trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 49.96082304  49.95888552  39.97678937  89.95441263  39.97340089
  79.94661216  19.96186101  39.98376332  49.96322176  59.96912886]","[  79.97216267  159.92817885   39.98331653  149.93260335  109.9532887
   89.90735021   79.9293797    99.98028637  119.88418503   99.96174375]","[  29.97055463  109.86199459   19.97540307   89.88166713   19.98930665
   29.98919695  119.96104046   69.91521942  179.93240722   49.94455777]","[  99.94494323   29.9759088    19.96749109   89.97038283   19.97783595
   59.98587998  139.88341753   49.93586013  109.95811844   29.97349328]","[  29.98866536    9.98385288  109.96436873   99.9002998    39.97829311
   39.97064064   19.97905004   69.97247363  139.95827093   89.95681435]","[  39.98427542   29.98088186   69.97594765  109.91015061    9.98083979
  119.9402639    69.97224016  119.9422386    99.95467866  119.96649936]","[  19.97460903   89.96806993   39.96186363  149.811984     99.9302021
   59.95223019  149.88129746   69.91191926  209.75435573   79.97126805]","[  39.95944      39.96377233   59.93447019  189.89174606  219.76426103
   69.98012351   99.96834081    9.98354991   39.98118397   59.96981725]","[ 149.9701382    39.98353626   39.98627899  239.88225965   39.97542956
  139.9172651    39.96296016   29.95295612   99.95730365   29.9715104 ]","[  59.95810493    9.98772931   89.94101419   59.96137962   39.96106733
  149.96297268   69.95597258  269.89538169   59.96949734   69.93371503]"
"[ 189.8862863    29.98334586   19.98691589    9.9804627   189.89530324
   49.94828943   49.94470677   49.97174424   69.96971152  209.95289759]","[  69.94727979  209.84653185   39.9711491    39.9624318    19.97282168
   89.95898704   19.97330249   99.95486471  129.95999312    9.98514244]","[  39.97505128   99.96150924  149.92084877    0.            9.98234817
   19.96425776  109.95114569   89.91831347   69.92137247   89.96117918]","[ 119.92951586   99.88740367   29.95368497  159.90601047   79.96449692
  169.8951485   179.9063908   109.94384567   79.98217638   19.97439927]","[  69.95752555   79.97975      69.96777696   29.96355149   59.96198702
   49.97162542   59.97403244   99.97053681  119.95019166  129.90222739]","[  39.95337098   89.95494241   69.92433817   39.98725864   79.95501881
   59.95454805    0.           19.97308576    9.98048305  109.95162622]","[ 209.78720426  129.95639654  159.80773183   19.96936365   59.93266769
   19.96693321   59.94430045   19.96750193   69.96534943  129.89936412]","[   9.98178132   29.9805777   169.88514671  149.8617612   119.8912846
    9.98673239   39.97099624   89.94137313   89.92916871  129.93913277]","[  49.95192571   19.9715044   159.93737088   29.97282832  179.93902874
  179.92647868   29.96689597  119.95409989   59.95801005  259.93529926]","[  19.97515388  109.91503237  149.92651377   29.97203131   69.91216551
   29.97886204  159.86689478   59.95391455   59.92406793  149.89943214]"
"[  99.92594036   19.9678919    19.97298587    9.98152608   39.96657484
   39.9552053   119.84559749  219.83137264   79.92988444   59.95214346]","[  39.96304665   89.91096795  129.94708064   39.97888859   29.95856428
  109.94467021   39.9772571    19.97983464   39.96316679   49.96753755]","[  59.97350869   69.96765922  189.91615758  219.88091437    9.98448504
   99.95770782    9.98897505   19.96652823  149.87843117  109.95166373]","[ 119.96745516  259.82698115   49.95740217  309.89485162   39.96834819
   59.96455699   89.8882223   139.94733905    9.98022408  149.95324828]","[  69.95081573  199.89671496   29.97707944  219.90208766  119.89068456
  259.91928216    9.98363057  109.95113181   49.96007121   49.96132113]","[ 199.92855687   39.95610691    9.98202298   59.97139526  149.87652329
  139.94827606  239.88938783  179.95456477   29.98384774  239.90730777]","[  19.96742194  209.90647448    0.           39.95306493  129.91241493
   69.95512677  149.92569496  139.89818514   79.96280487   69.95736987]","[  99.91464463   39.96540818   39.97944313   69.94797966   19.96566576
   29.98715112  109.95103828  119.889062     39.96748536  149.94536528]","[   9.98164011   69.97239821  119.9472637    29.9682638   129.90204702
  219.90655338  159.87600958    9.98069454   49.94159499   19.97360725]","[  59.96432666  109.94560263  139.95854844  119.94189477  119.96805334
   29.96332287  179.8767381    19.97267012   99.93828332   19.96556143]"
"[  19.96923984   29.96860506  139.91983724  109.95633379   39.96853725
    9.9870602   139.84313292  229.92020414   69.91351396   49.95793387]","[  69.94995325   19.97634045  139.95731376   29.97031881   39.98571182
  129.93801139  239.94922215   19.97586935   79.95548984   49.93988353]","[  39.94852861  119.94201869   39.97039793  169.93111935   19.97168588
    9.98388593    9.98267029   79.9209726    29.95140706   99.92322102]","[ 199.88265944   69.96015851   89.95941488   79.96763525   29.96171893
   19.97570071   19.97421314   49.97288258   19.96941616   29.95794794]","[  59.97405574  159.76807424  159.84783462  149.91889355   89.93440467
   79.96777812   79.95476394   79.92425453   29.98047508   29.96797458]","[ 119.95136384   49.96910941   39.96974929   69.96238554   39.95644201
   19.97725849   69.9698822   119.93787033   79.9654768    39.95085415]","[  19.96438728   49.9822203     0.           19.98645415  129.96078506
    9.98246135   89.95721025  109.94566672  119.95277665  139.91629222]","[  69.96024484   69.90681463   89.91599216  209.90429212   19.98225978
   49.95164951   49.97715606   99.86760065   19.96690284   99.9643123 ]","[  39.96878624   39.97756387   59.96309961   59.95141514  139.88539485
   19.98201223   79.98024815   59.97392091   49.92310251    9.98606196]","[ 109.94567585   39.93844647  119.92711708   29.96803284   69.94410649
  109.90042059   69.97791781   29.96497882  119.96034454   89.96866558]"
"[ 139.89646465   99.92748826  109.96306782   59.94476246  149.94136545
   29.95865004   19.98890218   49.96866099  219.92104886  159.90094654]","[  79.94052676   19.97558359    9.98245085  139.93745945  269.83616449
   19.98066483    0.           29.96512144   89.93839859   69.9657436 ]","[  29.97209301  179.95580595  109.90577056   79.9428962    29.97201527
   79.9652272    99.97606349  169.93238339   89.94286693   99.98091984]","[ 289.84827414   49.96172841   79.97747561    9.98299043   79.91015226
    9.98811918  119.91811237  269.91785555  139.9067752   229.87991167]","[  19.98452711   89.93683314   39.95037164  189.87905744   69.9628376
   19.97152234   39.96674488   39.98194609  129.93907808   19.97055034]","[  99.96030844   49.98016359  129.87497994   89.86474314   39.94004164
  179.93641152  139.94418122  109.93309504  149.91003275    9.98318004]","[  19.97536152   59.96307123   69.97522146    0.          179.83938008
   69.95734899  149.92189085   19.98328969    9.98673098  209.83259847]","[  89.92693333   69.96722822   79.96807643  129.83589029  199.90709722
   89.91350433  179.91093871   29.97170103  149.87795749   89.96293299]","[  79.95065675   69.95254206  169.94731179   39.93265991  119.9053544
   49.97229447   39.96670407   39.97024424   39.95910512  149.90796577]","[  89.9434821   309.91332532   79.94463532   79.96340747   19.97905321
   19.98407667  139.9459819     0.           19.98396854   79.89024022]"
"[ 99.96064701  99.91986244  59.90390564   9.98905309  29.95374608
  39.98637656  59.97726698  19.97735953  69.97335451  99.94533979]","[  49.96859624   39.97634943   29.95612852   49.96597733   29.98544141
   29.97009585   29.98187649  379.76998566  129.94470049   99.88500997]","[  79.94074172   59.98267988   79.96694173   49.97596922  169.90884384
   49.98040227   89.88952469   89.94086047   19.97418499   19.97263649]","[  69.91357067    0.          199.93480738   59.956012    119.95237082
   69.95399993   49.9692629     9.98482013   29.95951113   59.98746848]","[ 149.91706253  119.94239575   49.95122255   39.9490911   119.97767691
   19.97585789    9.98262147   99.9531921   219.86488019   19.96564159]","[  89.96299228  179.88243727   59.94258891  219.88475145  249.90957169
  149.88637298  129.91836181   39.96620701  129.955261    149.86327802]","[  29.96072536    9.98737204  189.91238411   89.97284373   49.969796
  129.91398145  109.97818073   69.96669655   19.96228612  209.83730481]","[ 199.91878677   49.96156626   29.97303366   29.97074172   19.96584336
   29.9585729   179.91228166  109.9351774    39.97741132   39.97481918]","[  49.94375745   39.96199355   29.96541153  169.94572856   19.97513363
   39.97601763   39.94696147   29.96783208   79.92940695  279.92136135]","[  99.93796354   59.95890795  229.93570309   79.96514459  129.97137335
   99.94284241  189.87504031  119.95060436  139.90929972   29.95765006]"
"[  29.95166097   19.97211894   79.96354873  139.91309479    9.98039965
   99.95344667  149.91160176   59.92170543   89.96589097   99.95537829]","[  79.9090633    49.98064763  279.84736892   69.96786768   89.95665945
  249.87733513  129.86121596   39.97758078   89.96084595  109.96822881]","[  49.95514087  209.89300468   59.96360414   79.97594449   39.95193782
   99.94946235   39.9756536    19.98259705  229.92259855   29.99016044]","[  69.93840015    9.98243269  119.93370685   49.92323869   69.96023368
  189.91995103   49.98567353   19.97189465   89.94031154    0.        ]","[ 189.94252779  149.96957228   19.9697719   109.94950847   29.96531539
   69.95460211   99.96059585  209.96284653   19.96714833   39.98374448]","[   0.           39.96034283  109.96697325   59.92404106   99.95381856
   89.9321007     9.98392574  109.96240149   59.96488412   99.91833127]","[   0.           19.96609332    9.98058637   59.96741926   29.97928528
  229.8963369    59.96956447   69.9180285   119.96692778  169.92267562]","[ 199.89422638   29.98373572   19.97571675   49.97451191  109.95122696
  339.65906245   39.94822554   19.97473047  109.95715482    9.98175708]","[  99.9024669     9.98675911   79.92722519  159.8740007     0.
   59.98419708    9.98726101   19.98375094   59.9491968    69.90626307]","[  79.91240044   49.98085138   29.95633194  389.85489857   89.95117784
   49.98388217  139.89301978   39.97162922   59.95474885   59.95136432]"
"[ 139.96225077   29.95226004  109.96877775  239.92011841   39.95145471
   19.97533115   59.97171612  229.8282384    19.97377967   19.97926156]","[  69.96772484   39.94023558  109.95843734   39.98426383   39.93707863
   69.96350904   79.97546214  139.88273016   29.95556545   59.97845903]","[  89.94200116   69.9595726    29.95345344  119.96179411   49.92651733
   79.87120021   49.9485531     0.            0.           39.97034193]","[ 129.93581376  139.93358495  149.9075125   109.95852992   79.96542559
   59.93935508   59.97676089    9.98791367    9.98186664   79.97746253]","[ 129.91564655   69.95254974   69.96217817    0.           49.94625811
  189.90703655   59.95225668   39.97085488  119.94579728  219.90441869]","[  39.96996695  109.89834702  149.95911273   39.95303157   29.94764175
   99.95221376   69.95888715   59.96256225   69.96929007   29.96058328]","[ 129.95591736   29.96687168  169.90493456   59.92597242   19.97492736
    9.97951069  119.93372841   39.98019185   69.96228565    9.98155787]","[ 159.87319949   69.97732192   69.92699434   29.95426156   29.97193681
    9.98205337   79.97442528   89.94191339   49.96220731   29.98713209]","[   9.98647974   49.97162322  359.91071219  139.94805229    9.98968971
   79.96556555   79.93421305   69.95660191   89.92786869  129.90127952]","[ 119.92961073   69.95326334  229.85547115   99.93950794   39.97171499
   49.98643488  189.88109628   69.94267492   69.95738511   29.95921169]"
"[ 159.88869319   19.96067021   69.96492235   79.9448225    49.92235351
  319.92436025   39.9658468   209.88036824  119.91647233  139.90941652]","[  59.97780722   99.93652368   49.96603226   79.95108217   29.97957886
   59.96462753  139.92541824    9.98480296  119.96916969   29.96221782]","[  59.97982409   39.93947943   69.97187624  179.89263291  169.95584159
   19.97163024   89.9433827    59.9470862    79.97374887   19.97936576]","[ 149.86316698  209.85819787   89.93002104   49.94717893   19.96877238
    0.           29.9690971    69.97052448   99.92953872  189.77999131]","[ 99.96598535  69.97977458   9.98426185  59.97625501  39.99028487
  49.9447299   39.95891641  19.97597944   9.98603635  19.96772953]","[  69.93082294   89.94721723  259.8289543    49.98612248    9.98348232
   19.97331319  119.89729472  159.886232     29.97641868  109.9486383 ]","[  49.93244901   79.97190248   49.94009421  119.96781372   79.94420538
   29.95521006  279.87303907  179.91370885   19.96897851   59.95184761]","[ 129.90028121   59.9651347    39.98712817   59.96294946   39.98386222
   89.93504687  169.92206262   59.97697736   79.95601992   79.96293177]","[ 129.94195741  119.93747305  129.92451174   99.87703108   79.96053203
  109.95633576   19.98082543   69.95810588    9.99049658  149.92862007]","[  39.9736873   119.93031578   19.97501745  429.88907265   99.97364072
  189.93366214  119.94815873  129.9447669    59.97306213   29.98449549]"
"[ 119.93484977  109.9337386    59.96672288   19.97755281  189.93962618
   19.96391253   69.95840667    9.984116    179.94327048  249.9055083 ]","[  19.98660352  229.88037211  149.90177155   19.97642638  179.81070387
  109.93190637   29.97111223  129.91037278   49.96647827   29.97825736]","[ 219.89251189   79.93968659   29.96934266   39.97655452   59.97057915
   49.98807486   29.95827972   69.95736428   79.94468401  179.91490902]","[  59.9602583   119.83718029   39.94169527   49.97121867   69.97003607
   29.96602487   99.88932487    9.98064905  159.91177947   79.94520432]","[  89.95794314  159.8787044   109.91123936   99.95207109  219.93134513
  139.95819733  179.94499131   89.96298214   29.95355698   39.95509685]","[  49.96614457  179.92029011   69.95911847  179.91621991   29.95964722
   39.94324296   89.94347396   29.95925904    0.           49.91731418]","[  29.96382611   59.97310672  169.93312744   59.96164272   29.98584152
   19.97572349   59.89789552   39.96949361  119.95505424   39.95117975]","[  29.95643234    9.98644173   79.95572754   89.96016368    9.98442097
   19.96941081  159.87638081   69.9581635   119.95298114   39.97067499]","[ 119.87611399   19.97225854  109.85260455    9.98814085  179.89092645
   19.98445994   79.93924286   39.96172373   19.97947708   29.97332384]","[  89.92845221    9.98533834  159.96097741   49.95898815   49.96692464
  109.95992672   49.95416387  109.92925846   99.86977481   89.961397  ]"
