rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[   9.98606023   69.91569741   29.97082762   59.97874129  319.73971379
    9.98606023   69.91569741   29.97082762   59.97874129  319.73971379
  149.84013304   39.96169624]","[  69.94228822   49.93034856  129.9391236   309.83809136   39.94062414
   19.97358474   49.97924133  199.86810294   19.99040451    9.98556225
   89.96267324   19.97515238]","[  89.9677917   189.96118379   29.95242893   39.96825919  289.92046069
   39.94884361   59.96430698   69.94705091   69.95575045   89.93758457
   49.94227554   99.97207018]","[  39.93744734   39.97164138    9.98090609   19.96961169   69.96692003
    0.          109.93031408  189.90387368   89.95544936   89.94700831
  249.8950146     9.98412429]","[  39.97039232  139.90640281   29.9635027    69.96360514   59.97525414
   59.91060441   49.93829943   59.93518309  249.83881289   39.96890456
  229.87450481  169.92980094]","[ 179.89554016   89.96257586   99.9439996    39.9432313   129.96016936
  209.89175035  149.91780771   39.97432596   19.9687944    49.98471009
   59.97079946]","[ 129.88759623  129.87014538   69.97267714   39.93620598   19.9764299
   59.95583016   19.97470179   19.97103039  199.9537853    39.96715847
  189.86819489  379.86936773]","[  29.98174253  199.86194898   69.97272733   79.93098309  199.91782258
  129.9412689    89.96498358   19.96265095   59.93905839  109.924324
   99.93755437   69.8798446 ]","[  49.95373698   79.91940716   49.97222349   89.96758376  119.91818757
  119.84791627  109.8903265    69.92230914   79.9181421    49.97062923
   39.97165439]","[  89.94880939   99.89140447   39.96763401   59.91148157  179.96071113
   89.96045398  149.90303788   39.96748874   39.95041578   39.974587
   49.97006647  199.90974875]"
"[   9.98084587   29.9565333    69.94605297   69.95516114    9.99024088
    9.97988568   89.96259507  109.88991237  169.87786125  309.89516447
  169.87786125  309.89516447]","[   0.          199.91009799  149.94687669   29.97849205   49.97375602
  139.93982535   79.95450203  179.87647115  139.92591323   79.92004117
   69.95555412  149.93614224]","[  29.9894647     9.98046094  109.93290524    9.9883817    69.96038847
   19.97322424   29.94820484   69.9599073    29.96114461   69.96408742
   79.97610484  139.88481551]","[ 129.95051044   29.98294798   39.95126701  189.91293117   59.94273679
   69.96386439   59.96334134    9.98402737   39.96799498   39.97176867
   99.89264312   99.92249725]","[ 139.91354779   69.9517362    69.90249607  119.89407724   39.97333067
   59.93441456   19.97991231   39.95503411   49.97843001   19.96587512
   39.93024782   89.9561084 ]","[  69.9296899    29.98064883   89.91674337  119.94497368  129.95811394
   49.9696904    39.95684006  289.86529939   49.94821614  179.87970234
  209.83271656   69.97311446]","[  59.96235488   89.96142692   59.97193765   29.98313927   79.95977342
   19.96656883  319.91492029   49.97772575   39.97767737   59.94306224
    9.98278907   29.95902904]","[  39.97275944   69.92915658   19.98206316   79.96786029   29.95866271
  149.94639308  149.94995731   19.96393668   19.98139185   49.94243913
   49.94937994  199.96845994]","[ 109.95356495  139.95594949   39.97543539   19.9844635    29.95959996
   99.91924405  119.91702395   49.97071488  219.91550837   29.97770663
   69.9671921 ]","[  59.95416356   39.94716569   29.98633525   89.90682637   79.93087031
  139.85513689    9.98802823   39.96677132   19.96082163   29.94617718
   69.96080265]"
"[ 169.89948889   59.95807336   29.96060017   29.97097209  179.8966788
  169.89948889   59.95807336   29.96060017   29.97097209  109.94552816
  169.88351797   99.95115354]","[  59.94716948  359.82092915   19.97568624   49.96000762   79.95803767
  159.9043814    69.91078248  169.94595499    9.98625069  119.94334287
   79.95196889]","[  29.97202291  159.86354332  219.8050571    39.9544581   129.97867701
  159.9165968    79.94426719   79.95629889   19.97679717   79.93916558
   69.92932731  249.92764669]","[  59.96315035   99.95533896   69.95831629    0.           19.98576379
  129.95707665   79.96858473  189.89089533   49.98346872   29.9708444
   99.90942398  129.96111247]","[  19.9670302   219.84692388   89.96834986   39.9532373    29.97232153
   49.98127054  129.89121957   49.96154201   29.95154704   49.9777015
  119.94798383   39.96123221]","[   9.98482621  199.93257398  229.81444863   99.91190867   19.9907747
  149.89812077  119.92370008   69.91288001    9.97951003   39.98295771
   69.92478156  159.87417934]","[  89.93281771  209.90577244   59.95705055   59.97067834  169.9081782
   49.96890986  119.94004529   19.97132618   19.96968148   19.98075329
  139.93955809  279.89548596]","[  69.9647822     9.98587671   29.97288511   89.94384781  239.89655885
   59.97802488  199.84816402   49.94163751  159.95830743   39.97926748
   29.97370445  109.94926533]","[ 109.95522873   19.96914984   19.97351867  119.95033653  129.93796687
  129.95945848  119.96130802    9.98894628   59.96363991   49.93565931
    9.98571702   69.96538163]","[  19.96254174  409.76579337   69.96389431   29.95188439  129.94535779
   59.97306195  409.8456124    79.97169216   69.95569592   69.96366793
   29.95813726    9.98245694]"
"[  19.96450686   59.95995823   59.93608515  169.91602304  179.88296652
   49.97814569   59.91672012   89.93896588   49.97814569   59.91672012
   89.93896588  129.93690435]","[  99.92704114  139.87502737   29.96935498  119.93460885  129.95108919
   69.96078525  209.91368948   89.87851229   39.96366283   59.96831698
  199.93661216  129.9370122 ]","[  29.95349411   29.98975645   89.96809418   89.93410355   29.95693443
   89.94490229  129.91366633  139.94064979   39.95242363   29.95453182
   19.96750964  139.91790835]","[  39.96252119  169.92957541   79.96164665   29.96528015  169.95000779
   39.96810945   79.96167195    9.98356752   69.97468274   79.88406906
   19.97439319    9.98236402]","[ 119.89912622  189.93431629   79.9508293    99.94989658  199.90051263
  109.96483087   99.94130332   89.95685691   29.96949303   99.96742913
  239.89931591   69.93028839]","[   9.98259388   59.96464559  149.87343667   69.94768123  119.94530151
   49.96835751  169.96305443   39.97447654   39.96422356   69.9704605
   69.95260788  109.95880939]","[ 159.85039161   69.97367945   89.97215246  219.93623121   19.96861137
  109.96304615   19.96619352    9.98747838   89.90187821  109.92748683
  309.94896509   69.95988769]","[  39.97325834   29.97945858   39.95675275  129.92464829   69.95358079
   69.94589116   79.96868245   59.97120674   19.97468795   39.93355282
   39.93438964   99.94649017]","[  89.97011351   59.95882084   19.97538613   79.9507188    39.93775142
   39.98436752   19.97620449  239.93480242   89.96186826  319.73931899
   39.97493707]","[ 239.83931381   49.95229631  179.96658734   69.97406049   39.963052
    9.98368679   19.98035781  239.92514824   59.94992825   59.93395777
   29.95590946   29.96409494]"
"[   9.98327708   39.97739272   29.98464256   89.94207478   99.97504467
  109.95746093  129.93776005   49.93991551  369.76612886   49.93991551
  369.76612807   59.95708709]","[  39.98354371  169.94511215  189.85498134   69.92270959   59.96770296
   79.95588051  179.94996723  149.89192999   39.9872473   119.92382832
   49.96882207  189.93005903]","[  89.96120696  199.90369895   59.96654341   89.95564254   89.96116667
   39.96147912   39.9570003    79.89957665   19.96908971   19.9627942
  159.91077837  119.88335462]","[  69.98355375  159.92504647  109.93945024   29.96468054   79.9252423
   69.95977418   19.98151102   49.91263702   69.95992348   69.90974789
   99.95692986  129.93075073]","[  89.92109933   89.96220245   69.96652694  189.90342764    9.9809367
  129.93884429   49.97483843   79.92105713  109.93271879   79.96249892
   29.95607146  209.94757042]","[  39.95623131   59.96413225   69.92868201    9.98582991   29.9895503
  139.94283152  139.92207963  169.81793866   99.97084096   19.96885317
   89.97729831   49.95298295]","[  49.95333325    9.98547302   19.95950616  199.92287062   49.93809401
   49.97776402    9.98580498   69.95968962   19.98137807   89.97794008
   39.97490026   79.90825187]","[ 339.82812772    9.98368474   59.96749053   39.96670821  109.94928004
   89.87735048   99.95168374   49.95992358   49.97492759   39.97378038
  429.76152236   69.93996025]","[  29.97106242  109.95840067  189.91699538   99.89685299   29.96516961
  129.97919853   49.93902699   39.9805463    39.9527015     9.98137815
    0.           79.93492943]","[  29.979417      0.           79.94511001   39.97707497  109.95679754
   89.95189345   79.96802013  289.88221128   39.96031219   29.9554105
  269.93532998  109.90479359]"
"[ 339.82996908  169.92196808   79.95698304   99.88900977   49.95213929
   59.9403144   159.88879873   59.9615474    79.95698304   99.88900977
   49.95213929   59.9403144 ]","[ 159.92007466   79.96554636   59.97450456   39.95789758   29.95453576
   39.96608006   19.97266995  139.88779234  289.93334758  189.93328044
   89.88104116  359.84376684]","[  29.95386651  239.93703085   79.90614351    9.98629514    9.98192641
   99.95574543   39.96389014   39.95313908  109.93867094  149.80686836
   39.96017542  329.91133639]","[  59.9741791    89.90754814  109.93764109    9.98191296   59.96804323
   49.97050183  189.87367833   49.97943323   39.9517303    69.95152256
   89.90222902  379.89539889]","[  39.97658124  139.95232352   19.97269144   29.977652     29.98444015
   99.93498198   39.98775473   19.97230357    9.98533869   69.9639021
   29.98258275   89.89656122]","[ 109.94603203   69.93669219  109.92487768   69.94084934   89.93796299
   19.97134233  149.93151576   59.9511482    49.96387063  119.92531679
   59.97314718   39.94723834]","[ 149.93276708   39.9596221    39.95494761   19.97507877    9.98136056
   89.91751706   79.98739901  179.87924052   29.95539999   99.93942217
  119.92451037]","[  49.95427104   19.97158044  119.97382408   29.98119657  169.94749329
   39.96500334   59.94797618   59.97382942  129.92713575   99.95885355
  169.87581529   59.95140436]","[  49.96774951   79.92692138  149.95332114   99.93093541  129.93202287
  119.92395675   39.93184347   39.98080743   39.98506486  179.9128741
  319.83815307   49.96864685]","[  29.96791478    0.           39.96633442  159.88366197   89.95044695
   69.97997762   79.89780947  359.87451286   79.94068358  129.95845538
   19.96408632   39.97008168]"
"[ 169.87844591  329.90043738  199.86464063  129.92115483   99.95415635
  319.85221367  189.9338339    79.92583341   89.95207323  269.93961479
   39.97142549  109.87579686]","[  49.97490569   49.95571853    9.98008966  119.96150835   89.95217496
  149.95773841   19.97159663  119.93001561   69.97057224  189.93825713
   79.94095587   39.98233264]","[  69.95031065  109.93733546   89.94535022  159.79995147  109.9529981
   19.9707793   159.93084575   29.97614454  159.89544658    9.98519963
   49.94974892]","[  29.96823774  149.94339783   59.9520506    49.93922052    9.98811976
  199.83132645  169.94352471  139.87340481    9.98450401   59.97412345
   29.96400867]","[  19.97674684   89.90204715  109.89086777    9.98140698   39.98774654
   59.96407259   49.94598618   19.98653862  109.93706366  129.95795237
   69.93005289  309.88974101]","[  89.94548258  189.89887225   89.95229424   19.98415339    9.97928784
  129.91809286  109.92528485   79.95406324   59.95737296  159.89775525
   29.96596538  249.90120745]","[  49.96397507   19.97924629   69.95103652   39.95236275  109.94609526
  119.95665638  129.96598987  139.97849279   69.96057892   39.97915956]","[  59.91405335   59.96329826   79.96903845   19.97983228   19.99018378
   19.97694476   49.97643237  139.88678059   49.93795826  129.86005064
   99.96039906  219.92113081]","[  49.98203893   39.96455046  159.89363735   89.97670653  129.86147174
   79.93597041   29.95007657   29.98936657  119.91316913   69.9107736
  249.8958861     9.98239628]","[  39.96310272  319.91599938   79.91387545  169.94757639  199.88029153
  169.86482959   49.97392385  139.92290626  139.90977652  179.8453321
  139.86107      39.95865609]"
"[  79.92199161   69.96265769   99.91682893   69.92140757   99.92955117
   79.89015171  209.95856223  139.93675881  159.94942802  169.91889616
  259.89274062   69.92140756]","[  69.93545459   49.95942032   49.96836126   29.96139295   29.97286033
   29.98141111    9.97959731   89.94566663   39.983248     59.93985933
  289.91205041]","[  29.96621321   89.97570767  149.92166202   49.92400924  189.83813209
  149.91782785  149.94453801  219.84554582   39.97220564    9.9820302
  179.94885294   69.94971393]","[  59.95928115   29.98753314   89.96928421  199.94554881   19.97099872
   69.94742445  179.9220666    19.97494655  159.87537813    9.98673818
   29.95963959    9.98652584]","[  79.96781711  169.93000927   79.95127884   29.9777426    39.97075219
   89.96805192   29.96052342    9.9856015   239.90089983   19.97412187
    9.98338274]","[  89.95202601  229.85338692   79.97199727   69.95809496   89.9557025
   59.98199372   89.96505989   49.97931057   39.97221116   99.95519764
   39.97315652   19.97215084]","[  29.96197706   79.97834257  109.90004313  109.95274341  129.92494553
   39.98689312  229.92757436   59.9612579    39.977918    139.89491231
   59.90801095  139.91127523]","[ 219.91643389   89.97014661   29.95984082   59.97449505  149.887996
   89.96481229   29.96826386   59.96558397   19.96813202   49.94538472
   29.98282566  139.9442364 ]","[  19.97184055  139.95741209   39.98646775   59.93391492  249.90104055
   39.96784306  109.94260381   59.92585068   49.94663254  159.96575203
   49.97440588  329.7736367 ]","[  99.95674883   19.9824516    99.88340325   39.9661174    99.94749885
   59.95013768   89.968733     69.97418565   29.94536773   49.98734497
  149.93910778   39.98228091]"
"[ 179.92887099   79.91615044   69.95886346   79.94830215  149.90900719
   59.94892996   99.93958566  289.87004288   99.94211719   79.8885866
  179.92887099   79.91615044]","[  59.97236257   19.97266872    9.98589143   89.96153153   99.94209707
   99.9807346   189.91379517   99.90841618  119.94323295   19.97809073
   29.96112188   89.94204156]","[  29.9830297   179.94490581   49.97750144   99.91825874   69.92118562
   99.94573792    9.98689026   59.97072221  139.91350213   29.98127902
  259.92676796  179.92292291]","[ 129.90895399   39.94885497   69.95760815  189.94518541   59.97652181
   49.94599884   39.97913402   29.9615176    39.95539324  139.97858356
   29.95067262  159.91098157]","[ 159.93949876   59.97982744  319.92132478    0.           39.98615835
    9.98006423  149.8975491    39.95122215   19.97839139   99.92997017
  209.95355685   99.9463151 ]","[  39.95324652    9.98537109   79.97622209   29.97936185  119.88493304
  109.97499465   79.95311563  109.89367846   49.96653469  199.86639882
   59.96682343]","[  59.94191273  219.83876761    9.9870375   159.91786409   69.94410226
   39.97538982  189.9494107    39.98372508  159.90668941  139.94404567
   89.96595744]","[  29.97112164   69.93036495   39.9810073   129.96087355   49.97440271
   19.96956329   69.88851783  139.90701948  109.89169748   69.98055611
   99.95003798  319.88213398]","[  69.96590413   99.95596122   39.97253802   29.970388     59.96793777
   29.9585369   149.88043767  269.88683133   39.9769727    89.93504215
  199.90454178  119.94431865]","[  89.97787464   29.96011344   39.98567995   39.96141769  569.74002742
   29.97338302   59.97852436   79.9058918   119.91659082   99.91763722
   69.97048444   19.96383627]"
"[ 129.93969175   49.92709897   29.97315632  119.92527102  169.92121615
  189.89395327  189.86703766  399.85444372   69.96203369   79.95139543
  189.8939531   189.86703766]","[ 129.97257715    9.98931944   39.9826127    89.963371    109.95640286
  199.88082358  119.95279319   29.98009367    0.          129.9400754
   69.95421993   89.92930939]","[  79.96898438  219.85766      39.94193006   79.92906499   79.9194004
   69.94149013   99.93591297   89.96601183  319.87562578   59.9371948
  169.93109532  119.95319145]","[  49.95169127   69.93446001    9.98373129   79.94775265  159.89818719
   49.92902011   59.96545971  299.90303455  159.96413705   29.97631404
   39.97414215   89.93602893]","[ 139.86628855  109.86084202  139.93534916    9.98403044  169.89357125
   49.96607592   19.99000582   89.90265752   19.96532653   49.95576816
   59.97370365  149.84966111]","[  19.98048877   99.96771108   39.9509083    49.96067772   19.96615971
   49.98106471   29.98808806  179.85074954  189.78353509   19.97314736
  249.86024972   59.95907705]","[ 119.90768761   59.9312497    49.9803246    89.90665806    9.9824642
    9.98731199    9.98981119   39.95114587   69.95515729   59.98372259
  319.76899319]","[ 89.95606644  59.97006096  49.95398235  19.97115184  29.97571392
  19.96774546  19.96619637  19.9794927   99.93876559  29.95849548
  69.94169743]","[  39.96960829   19.96222992  149.95927152   19.97801561   39.98674273
  149.95133454   29.98335937    9.98730089   69.95913901  109.96840846
   39.98984444  159.87962584]","[  29.987172     99.94856312  119.92322032  199.93128046   29.97564343
  119.93306506   59.97869909  139.85508847   59.95611553  189.91435997
  129.95490936]"
