rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 59.97265302  39.98367798  29.98658711  39.96606932  19.97439092
  29.98658711  39.96606932  29.98695866  19.98394607  39.98558624
  59.97265303  39.98367798]","[  19.96455137    0.            9.98303837  159.94770923   19.97710018
   29.98321758   89.96371811   19.97474435   19.97002      19.97165477
   39.98048175   29.97283589]","[ 29.98102819  89.9205655    9.98652171  99.98103823  39.9656462
  59.95724243  49.951486    29.96458567  39.98573175  39.9657861
   9.98737184  19.98434426]","[  29.97158299   39.97300485   19.97599828   49.97231136   19.9723911
   39.98710369   39.9570487    99.9697784     9.98849655    9.98361263
   29.95422473  169.95656095]","[ 19.98643533  49.97274339  39.97142713  29.96048592  39.96375741
   9.98799252  39.96554427  59.95367695  49.97333038  29.99008215
  29.98515533  79.96484296]","[ 59.95529755  39.97546039  49.94477124  29.98891417  39.9811014
   9.98730149  19.97790242  69.98376989  89.95242901  69.97032635
   9.98002935  69.97441518]","[ 29.98641907  19.98099951  69.96103683  29.98666276  49.94860403   0.
  39.96606576  19.98505475  39.96780646  29.97990969  29.97394149
  49.97206625]","[ 29.97906073  19.99093689  39.97023109  19.97867572   9.9886202
  39.98721448  39.98050875  19.99200541  19.97262372  69.98202939
  29.98552401  19.97453247]","[ 29.97844155  79.97669153  29.97947631   9.98343685  39.97679514
  79.98663371  39.98478359  29.96482113  19.97061774  19.97327884
  19.96922726  49.97714521]","[ 59.9775676   19.98722581  39.98326959  29.98774929   9.98413204
  19.97773096  29.98250056  29.97372383  59.97176567  39.97959807
  29.97812183  69.95528253]"
"[ 39.97307594  29.9564691   29.98732943  19.98394607  49.95489215
  29.98732943  19.98394607  49.95489215  79.97193924  49.95489214
  79.97193925  39.9825629 ]","[ 29.96554591  39.97098781  19.97458091   0.          79.97942854
  79.9765211   39.96621828  29.96831898  29.99142975   9.98153895
   9.98565933  29.98236593]","[  29.98564597   39.97955977   19.96657544   79.98280178   59.96366202
    9.98306973   39.98606953   39.97320391   19.98184369   19.98759555
   29.97371796  119.93480878]","[ 49.96989077  39.97468029  49.96319567  69.96012324  49.95043973
  29.96340949  49.95289601  19.97683218  39.98030612  29.98911171
  59.96945325  79.95209292]","[  0.          29.98710217  29.96007705  19.98762969  49.96957636
  79.98846491  19.97833098  59.97666439  69.95741917  49.97464426
  29.96789363  29.98738171]","[  29.98106069  109.95158962   39.98411524   19.97672468   39.9704835
    9.98332537    9.98363913   19.98001246   99.9837113    19.97023028
   49.98293049]","[  9.9890917    9.98328987  59.97268672  39.98183522  19.98134767
  29.97933816   9.98176851  29.99051075  29.95437518  69.96257945
  39.98286249  29.96658311]","[  0.          59.96697022  49.97457966  39.9694086   59.92757961
  19.96415732   9.98511308  69.96947201  19.99351516  59.94687707
  39.97501902  59.99005711]","[ 49.96465858  79.92196011   9.97916653  29.98662605  89.975316
  29.96269362  49.97759743   9.98364225  49.93928219  29.97438572
  19.99134738]","[   9.98279112   19.97414913   29.95305521  119.95291012   39.97799075
   49.97112225   29.98639262  149.94485565    9.9813026    59.9596607
   49.97972052   39.98788904]"
"[ 29.9903062   29.96411581  39.97647019  49.98588982  69.97286361
  19.97924346  19.98030771  19.98469855  39.9826861   29.9903062
  29.96411581  39.97647019]","[   9.98278598   59.98493507  119.91672254   39.98642556    9.98633855
   19.96917126   79.9575136    19.98598069   59.96291341   19.98259272
   19.99456512]","[ 19.97450006   9.9855945   29.98862558  19.98337204  39.97775894
  49.95195166  19.98075201  29.98353139   9.98388727  49.97066724
   9.98127742]","[ 59.96221804  19.97624495  19.97660717  49.97620283  39.98764669
   9.99127319  59.96144191  29.96560747  19.9900308   39.95840592
  29.98745112   9.98778559]","[ 59.96328105  29.97607497  49.98082581  19.96547248  19.98167836
  39.96500781   9.98824206  29.96428869  29.98671206  49.97971911
  59.97101244  29.97216971]","[ 49.96811197  49.96470674  29.97584118   9.98685268  49.98008828
  29.98514549  29.97530207  39.97588581  19.9797075   49.97642346
  19.98166679]","[ 89.95710307  69.95500878  19.98352038  69.98061925   9.98019097
  29.97770586   9.98451397  29.99209232  49.97100064  79.96618019
  39.97144868  39.98705313]","[ 29.97565037  49.95846281  29.98905631  29.97989329  89.96638019
  19.97003593  19.98677898   9.98483708  39.97982794  19.96527973
  29.97574855  39.98723668]","[ 69.95826282  19.98733925   9.99061074  69.96794752  79.93893308
  29.98612689  49.98250527  49.97399291  19.98464762  59.94858464
  39.97767727  19.98483287]","[  29.97395448    9.98133852   69.94306717   39.94818042   29.98094595
    9.98290058   39.97491567    9.98236905   29.98055282   19.96798916
   29.96889495  109.93206192]"
"[  19.98342989   19.97524256   29.98168462  109.93658189   29.96482947
   69.95262831   59.95475013   29.96784323   49.98612545   19.98342989
   19.97524256   29.98168462]","[ 79.95913334  39.95799673  39.96719953  49.97104908  39.9857165
  59.98024524   9.98641333  69.98711268  19.98521112  39.98671713
  49.97571876  29.98463901]","[ 79.92145495  29.97879121  89.95266784  79.96802862  69.96531094
  99.89945826  49.96465591  19.98853248  29.98466619  29.9656334
  59.97861891  39.95799395]","[  9.98254599  19.98011889   9.98684231  19.98279313  19.97065236
   9.98153018  89.947538    29.98646944  49.9776133   39.97448756
  99.96068328  59.97300163]","[  69.98150699   49.96102172   39.98467734   59.97076804  149.92872234
   39.94904806   19.97577595   89.97098263  109.96036359   19.97441803
   29.98670558    0.        ]","[ 29.95399653  49.97620274  29.97336235  19.98123808   9.98454217
  29.97341153   0.          29.99287104  29.96708955   9.98731223
  49.97699328]","[ 49.97432904  19.99273019  49.98861466  99.93547552  69.96271732
  39.98007781  39.98648853  99.95528569  19.97293438  79.96808328
   9.98948661   9.98501105]","[ 29.97077886  79.94861913  89.92603709  29.98457416   9.98008327
  19.96741859  29.98979448  49.98646781  19.97115465  19.97246729
  79.91419734  89.98897938]","[ 39.98209611  69.9686822   39.97368384  39.97356881  29.9671095
  39.99249765  19.98524527  19.97677118  29.97525078  49.97830881
  89.98252435  39.94823163]","[ 39.96461469   9.98222008  69.97642574  39.98386256  39.97839275
  29.97600221  29.96521966  59.97454948  29.99152805  39.95488592
  19.97760807  39.95661989]"
"[  99.97392491   19.9860818     9.98215145   69.97472487   79.97458163
  109.92750545   99.97392492   19.9860818    29.97269773    9.9828688
  109.97047399   19.98603952]","[  9.9929361   59.97659892  49.98331733  19.97088527  69.96302153
  19.96367376  69.94210671  19.98867671  19.97500821  19.99142668
  49.96425181]","[ 49.96879948  59.98010296  39.96244801   9.97919456  19.98024157
  39.97514475  49.98371523   0.          59.95580684  39.97449512
  59.96582069  39.98577861]","[ 29.9494253   29.98129699  19.96883904  59.95282698  29.96746342
  29.97237697  19.97719677  29.96575963  29.97753709  19.98636602
   9.98644525  69.90103924]","[  9.984448    59.97357548   9.99222502  49.98065201  39.99058409
  49.9682349   49.96767618   9.98362532  59.98662141  19.9717633
  89.9563965 ]","[ 79.92520025  49.97166834  39.97300517   9.98679556  29.9689468
  49.97908516   9.98981431   9.98053087  29.98379401  29.99263144
  29.98187778]","[  9.98168069  29.98491106  39.97384055  79.94856768  49.97129316
  49.95211682  49.97644741  79.98540648  39.99272045  69.9652614
  29.98672384   9.98573579]","[ 49.96473107  39.97639741  39.97979993  39.98797572  29.98567092
  39.98624782  19.99077334  49.97987248  29.99028132  39.98610815
  89.924709  ]","[ 39.97773575  49.96999099  29.97108781  59.96474114  39.95388486
   9.99003774  89.95181261  19.98007037  19.9703198   29.96911485
   9.9803739 ]","[ 109.93215299   19.97899596   19.97900221   29.95687507   39.98434413
   29.94914361   29.97302053   59.96990503   59.97533332   59.97033251
   29.98996525]"
"[ 29.96464125  69.95118096  49.97782845  19.96920165   9.98198331
  79.97828629  69.97624271   9.98178568   9.98178568  19.96981754
  89.94861832  19.97110205]","[  49.97124304   29.95233993  139.96767416   39.9916225    29.99292879
   59.9383428    29.96730042    9.98748976   39.98140545    0.
   19.99246975   59.96977753]","[ 29.98725437  69.97598764  19.96799915  39.95267065  19.96791186
  39.99151428   9.98612057  49.97773486   9.98693772  29.95704891
  39.98627735  89.95443739]","[ 109.95069427   39.97943167   29.98234021   49.98208534  109.91762512
   69.94353756   49.98640123   39.97183119   29.95227401   39.97557634
    0.           69.9782583 ]","[ 69.96942912  89.97141235   0.          29.98573404  39.97869133
  59.96427827   9.98765532  19.97741237  29.98175911  99.9708308
  39.97325818  49.94360909]","[ 59.977258    19.98246041  69.95012536  49.97678968   0.          39.99131442
  19.98174873  69.95413881  19.98213057  49.95852583  19.98625103
  59.97278309]","[  9.9796491   69.9533049   19.97775389   9.98298438  29.98232982
   9.98476409  79.93949794  19.97955089   9.98643677  39.96823316
  49.9827073   99.96469589]","[ 39.98644992  59.96659614  39.9854664   29.97906251  49.97323596
  29.97687484  19.9760124    9.98795648  29.95724662  79.98749604
  39.98525447  29.9600512 ]","[  9.98453829   9.98542173  19.99010992  39.98122854  59.96582669
   9.98028448  29.98337067  29.9919196    9.98791006  19.97281749
  49.97696343  59.97417189]","[ 29.99130845  39.9822406   69.94587797  19.97357043  89.94959357
  19.98102044  29.98945172  49.98250752  29.97348897  49.98490557
   9.98572224  39.96597757]"
"[  59.96056931   39.97743204   99.9657823    29.97097065  109.961361
   29.98752487   49.974529     19.99066572   19.96997611   89.94592595
   19.97159409   59.96056931]","[ 99.90651299  19.9782573    9.98546428  49.98566214  39.97803795
  99.95617248  39.98281028   9.98207193   9.98508021  69.92920355
   9.98780233  19.98791614]","[  69.96147684   59.97442342   39.98180312   59.98110729  119.95925611
   29.98289797   59.98645875   39.9491954     0.           19.98294513
   69.97846543]","[ 19.98143208  39.95253114  49.97910749  29.98969748  29.96049572
  29.96694055  69.94702291  29.97453346  19.98231457   9.98314432
   9.98803821  29.9925436 ]","[ 49.97169194  39.98531426   0.          69.96699525  49.98286563
  29.96355297  39.97675639   9.98054993  19.98437573  19.97553345
  29.98758247  29.95480525]","[ 19.96978536  29.97715248  49.97229232  69.97065908   0.          29.99367243
  29.9739691   59.96870715  19.97998922   0.          39.98079573
  39.95041481]","[ 39.97550833  49.98746354   9.98475442  49.96659537   9.9854369
  39.94607729  29.9646728    9.98897642  39.98348458  19.97623411
  39.97809246]","[ 49.97880619   9.99095054  29.99156494  49.97092652  49.97960737
  59.89808573  39.97140125   0.           9.98181488  29.97496831
  79.95931242]","[ 39.96939364  49.95636206   9.9912885   19.98145234  39.97059274
  29.96989453  19.97545162   9.98608579  69.9499666   59.98639249
  39.9861853   39.97799423]","[ 159.96339186    9.98581219    0.           39.97191368   19.98039972
   39.98383765   19.98682705   19.97184129   19.98062819   19.97227996
   39.98984233]"
"[  79.97339581  109.95915581   59.97869973   19.97607063   19.97955248
   49.97770196    9.98958621   29.96933835   79.95113666   39.97749356
  109.9591558    59.97869973]","[ 29.97837468   9.98443026  19.97737696  29.98723229  49.98844708
  49.96359125  89.94944853  39.97928209  19.97602216  49.95719644
  49.97107956  79.91211683]","[ 29.99099269  59.96778638  39.96873132  59.95649819  19.97617996
  49.94214453   9.98459091  49.98312409  49.94671767  49.97059874
  69.92374791  59.96044131]","[  29.97654748   19.98254917   49.96404119   19.97449867  119.96180741
  109.94543279   19.96981503   39.97651462   69.95761386   39.97112442
   49.9531326 ]","[ 59.98053983  89.87377276  19.96822811   9.98301073  49.97472056
  19.97184116  39.97694485  19.98803245  39.97673065  29.9811962
  59.97413316]","[ 99.9624116   19.97473133  19.97091092  49.98156423  29.97850867
  59.97355324  29.98748578  29.94754104  49.98534243  19.96913444]","[ 19.97536157  19.97221991  49.97832592  79.9531486   99.98517151
  29.98934827  29.99304406  19.98050456  19.99262974  19.97528651
  49.96371424  39.96633289]","[ 59.96882916  19.97407287  79.96142736  69.96664602  19.97520871
  29.98385597  49.97544217  49.98897731  39.98509358  49.97373226
  49.97358496]","[ 39.97185627  29.97452431  19.97490251   9.98637125  39.97173465
   9.98496239  49.9803238   69.95976991  19.98687506  29.99026242
  39.97017183  29.96289079]","[ 59.96628402  39.95517621  39.97668372  29.97686314  19.97604215
  59.94444051   0.          69.93872686  49.97594386   9.99010983
   9.9849186   49.98453469]"
"[  19.97949323   49.97617513    9.98958241   29.97083713   79.95945278
   19.97949323   49.97617513    9.98958241   29.97083713   79.95945278
  139.91795721   39.97584819]","[ 39.9785355   59.96241266  49.93337569  99.98189225  39.97618026
  39.96831182   9.98473623  19.9916525   59.98870898   9.98655556
   9.98182275  29.98976446]","[ 39.97142702  19.97800276   9.98194837  29.98967133  49.97821757
  19.97767297  39.97050994  39.98669672  29.98222331  29.98171766]","[ 39.98420446  19.96606664  39.97341895  49.97658142   9.98861449
  29.9516055   89.97554048  39.96108251  19.98911179  59.98160158
  69.9717231   39.98039724]","[ 39.98189336  29.98009215  19.98139508  59.96578555  49.97857382
  49.97354168  69.95651212  29.96879103   9.98422688  29.95941247
   9.98733585]","[ 39.97479974  39.96583269   0.          29.9820496   49.97906402
  59.9839992   19.98007353  39.96966408  29.98548179  29.98088546
  39.98193278]","[ 29.98367666  69.95643689  89.95660141  19.9681697   29.97831756
  69.94694302  29.97902186  19.97921572  29.98214897   0.          19.98446626
  49.9864349 ]","[  9.98393676  39.97482697  49.96174651   9.98659715  49.98469448
  29.9896912   19.96397217  19.97205575  29.97306235  59.98268653
  29.98187463]","[  9.98331432  49.98535017  29.96196716  69.9840374   49.97161891
  29.99170577  29.98184803  39.96060553  49.97411671  19.97706485
  49.97876332  39.98068748]","[  39.97547113  109.957655      9.98210404    9.98631488   59.96773148
   49.9420848    89.97185924   59.96786562   49.97009775   19.97644724
   39.97838595    9.98409155]"
"[  29.96866884   19.96710511   19.96662318    9.98543502    9.99123159
   39.98909713  139.91304826   49.95956926   39.96269867  139.91304826
   49.95956926   39.96269867]","[ 19.9865865   19.98910485   9.98461148  29.97604443  29.97136644
  39.96261116  69.96141128  79.98703207  29.97484904  59.96325245
   9.9879745    9.98788495]","[ 39.96368365  39.97102985  49.97263989  29.98891736  19.98751889
  29.99161014   9.9899728   79.97421568  19.97594347  39.98019681
   9.98458504  39.9718954 ]","[ 39.95436018   9.98795425  59.97577336  29.97140034   0.          49.97796704
  39.98718246  59.97230885   9.98569736  79.96699894   9.98102673]","[ 39.95512983   9.99112969  39.97565824  79.98612446   9.98276346
  39.96319453  69.95508305  79.96993918  29.95919264  39.97776791
  59.94525477  29.96151418]","[ 19.98822539  39.97490737  39.98113451   9.9876588   19.97790242
  19.9861515   39.99040138  29.98997697  39.97970823  49.95074871
  39.97313965  59.9781444 ]","[  0.          39.98510282  49.97032738  19.97080156  39.96846664
  79.96178984  19.97708404  39.97967928  39.97904664  39.98455478
  69.96871051  19.97504265]","[ 29.97682234  29.98373962  19.96895488  69.9792739   29.98863557
  29.98701288  69.94211148  39.98341764   0.          39.97930978
   9.99110894  39.983169  ]","[  29.97955425   79.98048959   49.97304613   19.98035048   39.98448698
   39.97450836   19.98595114   29.96462527   49.94844219  159.96814186
   19.99270484   19.97363291]","[ 89.97402378  19.9753973   99.95390177  59.97959453  99.94731901
  29.98463633  29.98422065  39.96785959  49.97297656  19.98307596
  29.98455039]"
