rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  29.96983012   29.98327504  289.87105602  109.91978156  169.95337068
  149.93578203   29.95401853   29.97998565  239.87665743   29.96983012]","[ 219.89846084   69.97153252   19.96395006   29.9584449    29.99100485
   99.85422828  109.9031204   209.88000902   69.9319059   159.96399977]","[  19.96865522  219.90083407  169.94596021  379.86162973  169.92734392
  129.889881     79.94060021   79.94558771   79.97174496   49.96665424]","[ 229.91986889   69.95336401   49.97074561  139.96465419   19.98129703
   19.96433647  139.8914943   369.90281608   49.95929163  189.92885574]","[ 159.90649443  119.93823567   59.94235804  149.93871689    9.98183653
   19.96768013   19.97221255  189.91555231   19.97989474   49.95699398]","[  49.97719517  129.93647031   89.98139652   19.96579784   79.93196165
   29.98158802    9.98468594  119.92583544   89.9585672     9.97943883]","[  69.9620812    69.96093915   39.9470895    59.94983976   79.9409032
   19.9814869    59.96822683  259.75412328   39.95449678   49.97153921]","[  99.96192359   59.96231091  299.8468192   179.93363225   59.95762632
   49.98939089   69.95681315   39.97240918   29.98863523   29.96338442]","[   9.98124161   29.97036161   49.93704173  119.91500464   59.97103065
    9.98719424   59.95514783   99.97523918  109.96470242   59.91942652]","[  89.98003076   49.96903777   29.99159683  159.93906562   49.97336066
   39.97946641   69.96229372   39.98063572   29.96611059   99.92649868]"
"[   0.          139.88758753   29.97468627   59.92306405   49.93343105
   69.94244424  249.85627166  259.86209455   69.94244425  109.91772558]","[ 309.81799423  199.94069411   69.96321815  129.95875917   89.96515181
  219.8770203   129.96041174  129.91409331   19.98305528   39.96659647]","[ 29.96158156  49.98412667   0.          69.9621988    9.98409759
  19.97326027  19.97895471  39.94344807  79.9382946   39.96000864]","[  59.96883599  179.8907433    79.93193094  119.9414946    29.99122986
   39.97542991   39.96498612  229.8412606    39.96487495  159.8685316 ]","[  59.94103443  209.93812642  219.82919825   49.96314043   79.94983783
  389.87880424  169.90148805   29.98457952   59.98005887  109.92814626]","[ 209.88915556   79.91415504   39.97095927   79.9643515   129.95801082
   69.97300192   49.97666135   99.94779956   79.96203522  149.89663699]","[  19.98707502  109.95360649   69.93029203   19.96725521  169.88956118
  179.91578754   19.97063563   59.94493014  179.91254665   19.97499002]","[ 139.95975297   29.97434342  179.85516695  129.96903147   59.95485833
  139.94267156   99.96591842   39.95665148   29.95937237   39.97475681]","[  69.91206471   59.92717916  229.80264977   59.95667806  109.94535894
   69.95558203   39.94862083  119.95853631   49.98393477  109.89619201]","[ 109.85431779   29.9726175    19.98543847   19.97578841    0.
   29.97577979    0.          129.91335039   39.96232616    9.98526002]"
"[  69.94132252    9.98593718  149.84305425   39.94459702  169.91257995
   19.9692255   259.80794766   79.93246172    9.98351519   79.95641245]","[   9.98607258   49.95828694   19.96905723   49.95897921  119.88994695
   29.97175498   19.97724304    9.98268752  279.9428682    19.98203772]","[  29.96602115  299.88163612   79.90320627  119.89462747   19.96575776
   89.94516989    0.            9.98293562  169.9431881   189.92945973]","[ 349.83120029   49.94993927   69.97244821   99.94334992   29.95667842
   59.96027936   89.900101      9.98234933   19.97747063    9.99047338]","[  69.96961146   59.92801271   29.97041348   19.97051019   89.96603563
   39.94275544   39.97551925   49.93892243   39.9664456   259.82358829]","[  29.95280446   39.95891992  139.90412793  119.97497018   29.96773639
  129.96204884   59.94394952   69.95618949   59.93371323   99.95146323]","[  99.91417342   89.8990926    39.96889781  109.8993298    29.96403531
   29.96974285  329.86928483   59.97608672   39.97901419   39.95309377]","[  89.89872938  159.88245013   89.90921752   69.94182527  129.9709558
  299.87133282   29.96559659   49.91780054    9.98195525   19.96538985]","[ 139.87861251   79.94974426   59.95635352  169.93841079   39.94735599
  139.94288183   29.97805962  169.9336052   109.95202961   69.97819111]","[  99.97559085   79.95197505   59.96974457   49.98096972   39.95276822
  159.9499268    49.96857597    9.98563968   29.96892978  109.92975471]"
"[   9.98299777   59.9567206    89.92702344   29.95460585   19.99056292
   39.94256389   19.9751192    49.95539165   99.92894996  179.85470629]","[ 199.91608626   29.95108131   19.9714958     9.98436069  139.91506408
   89.95176135   49.97756091   49.98122128   89.9323956    59.97749554]","[  19.96770027   79.94889852  119.95286807   49.95681471  129.93012922
   29.96941828  369.8639647   179.92078047  219.93430206   59.91642477]","[  39.96955201   59.93823803  149.89434597   89.9239318    39.96844452
  159.96183859  129.90141561  109.93650455   29.9490637    19.97448447]","[ 129.929791     29.97197216   59.91078114   49.96342462   19.98121456
   39.97045717   29.96521404  139.96445871   29.97101434  159.85089412]","[  29.9600997   159.92265031   89.9769915    19.97417067   99.9489004
   79.95555718    0.          239.92097564    0.           39.95399908]","[ 169.97091496   89.88324344   29.96504352   69.95290537   79.93654333
   79.96865982  119.93903282   59.96745501   39.97983151   19.98138521]","[  69.97471406   59.94955637   19.97031835   49.94320441    9.98344904
   39.96002481   29.95464318    0.          189.88867191   49.97068888]","[ 249.94235902   19.97256793   29.96576692   39.95523575  109.95368052
   29.9804841    39.96326688   79.91706905   79.92865409   39.94407193]","[   9.98396644  139.9620747    49.92416416   89.9468804    39.98536801
   59.97615561  169.92831356  139.94467949  199.89480154  139.87044684]"
"[  69.93744095   29.95617376  149.95269445   49.96909315  109.97329924
  139.93751792  119.94992971  139.91338638   69.93733217   59.9644544 ]","[  99.96393704    9.98697332  169.93721868   49.95033663   69.94365666
   29.96377115  249.89559311   19.97156484   99.96884486   29.9737021 ]","[ 149.9175109     9.98254748   59.97872233  199.86381282   29.96830408
   59.96783179   29.96324858  109.97334713   19.97483283  149.87730086]","[ 179.92352628   29.96988186    9.98395235  129.94004525   59.96636012
    0.           59.9283741    49.97124561   99.92175452  179.90549943]","[  29.99163497   59.95611022   49.97010399   19.97534414   99.95444083
   89.90033688   89.93209524  119.95345998   29.97379119   19.96913801]","[  49.96865135   79.96986684  139.86692964   79.95488823   19.96842645
   79.9619486     9.98801066   79.97823221   49.91657407   19.9782348 ]","[  39.98641837  129.94571391  159.89117988  119.95962739  229.84956227
   79.92930198   39.96469546   69.97221823  259.86241585    9.98222581]","[ 109.96079985   79.96741381   49.96867382   39.98088391   29.97089141
  359.9299164    39.98301363   19.97674291   19.97418284   19.97356402]","[ 109.9637547    59.97342691   89.97056346  129.96451358    9.98085432
   19.97011319   19.96742188    9.97956012   79.98099764   29.97900499]","[   9.98511745    9.9822412    39.9662246   169.92771804   59.91017918
   89.95956494  149.93596752   19.97574655   19.96164943   19.97050852]"
"[ 199.92629701  139.94070405   89.93475397  229.89968716   59.92407873
   29.98864148   39.95141829  119.95091425  229.90552811  269.87731995]","[   9.98569934   39.94808753  139.89045815    0.           49.94636233
   39.95357294   99.93047626  189.89325604   29.96516189   69.97346385]","[ 169.9569378   109.97555518  109.96135919    9.97931694   69.92111491
   79.94351121   29.94810243   59.93156856  109.93295407   89.91591825]","[ 209.85535081  119.88884162   19.97100419   19.96665787   39.96973349
    9.98837085   99.91635864  119.84789296   59.90894536   49.93285484]","[ 109.94920198  269.82224795   99.96435025   89.95981148  129.95287655
    0.           99.93162552   49.97482531  179.92131048  109.93373428]","[ 119.88566437   39.98031782   39.97155074   59.98289786   89.95864464
  179.89422597   19.97309414   79.93552215  129.97172397   39.94144194]","[  49.96212028   29.965315    619.67832584   99.95936516  209.84116959
   29.95381281  139.95601048   59.92294556   69.94632747  119.92853547]","[ 489.82259978   59.96230754  139.93285534   79.96958868   99.94056664
  179.91278572   69.97361347    9.98614078   19.97934234   79.96195664]","[  19.98035097   59.91397901  229.84374204  159.95775148   19.97830244
  289.91629426  109.97860841   29.9593829     0.          109.95422494]","[  39.95928917  109.93019746   69.91495304  159.82747152   79.87502181
   29.96781834   99.89952639   99.92941954   99.9148627   249.93853858]"
"[ 169.90850545   49.93494604  199.90833759  129.84989204    9.98768136
   19.97494347   79.97301179  129.93576106  179.85368232    9.98768135]","[  79.90271564  109.86401877   69.95778078  159.88708062   79.95871715
    9.98790336  209.8460984     0.           49.96696832  109.90951627]","[  39.96945078   79.88320715   59.9331745    59.96315401  129.90258274
   79.93101331  219.86452031  379.77638988  169.91053282   39.97389416]","[ 279.84786142    9.9817648     0.           69.95877269  109.93379211
   69.92329704   59.95806993    0.          159.93998581  149.94322507]","[  39.94019323    9.9832126    19.97231286  119.95647073   39.94432621
   99.91851091   59.95662912    9.98529413   29.96241036   79.97195623]","[ 39.97119554  49.96644282  29.9506973   39.97855003  59.96803556
  49.94210529  89.88037715  29.97828503  49.97850799  39.95587153]","[ 109.91418678   29.98064024   69.89921656   99.90233329  159.92916956
   69.94760313   79.92524201  179.93466514   69.95310018   89.95439186]","[ 179.877714    159.8861239    49.97525306   89.92909434  119.93665778
   49.93663687  179.90359455   49.97499746   59.95718235   39.9523574 ]","[  49.97598041   59.96695408    9.98390734    0.          169.95076365
   39.97772672  169.9058009   219.92214037   29.96541074   19.98027393]","[  39.92747686  169.96254831  119.93772287   59.93118854   89.95028122
   59.96787115   69.96837444   59.96474452   89.96675335   29.99067482]"
"[ 229.85238187  189.93180068   59.94897157   49.97970353   59.9285052
   59.96876501   19.97950472   29.95917      89.89406364  219.82327676]","[ 49.94564064  99.97704351  99.9570098   29.95390453   0.           9.98479542
  79.9645571   99.94233798  29.97912868  49.95012651]","[ 119.97315399   29.9816072    59.97448013   39.98739962   29.96623067
   39.9748207     9.98692119  109.88255027   29.98318884   19.97894603]","[ 169.93754239  199.94383651  129.86908472  109.95731926  119.89032067
   59.90294238   79.95221079   39.97195802  109.91664308   59.96039545]","[  19.97275655   39.97997155   19.97928234    0.          139.92176737
  169.92250709   79.91089937   19.976317     89.93250504   29.97975242]","[  69.98388208   19.97477552    0.          249.81505448   19.97880644
   39.96299237   99.94632169   39.97378481  139.94398147   29.97527924]","[  39.95319056  179.93398366   69.95350275   89.95570971   39.96116853
   99.90728195    9.98043744  279.8285107    29.97429916  199.9275274 ]","[  99.9180522   229.87042379   39.94676115  179.83296909   29.96207293
  149.91206471  109.94641822   29.96506612  139.93455182   39.96761939]","[  29.97350669  219.93793226  189.84690139   49.96807781   89.97149804
  209.91689327   89.92720044   89.93982858   69.96287958  199.94065135]","[  39.95860255   79.94791998  169.90116183  159.94830205  229.85725764
   69.95703929   79.97030419   49.97052714   39.93775352  169.91638716]"
"[  89.86802929  109.89577889   59.94181095  309.89755243  189.94714978
   69.91745426  159.84937073   69.94916716  159.84937075   69.94916716]","[  99.94015272   39.9460826   109.96500543  119.91898818   49.96778218
   79.96445214   19.96740258  169.95921778   69.89671119   59.95461274]","[  49.96845679   79.95295127  199.91942517  109.96430308   19.97101175
   39.95787609   59.9541684    19.97652988   39.97989589   19.97108525]","[  49.97001994  139.91720272   49.95529272   29.98021468   49.94245599
  129.96557529   39.96477481   29.96879105   39.97399474   99.88190891]","[ 169.94489346   39.96077088   79.96663976   39.98449967   89.9633534
   79.90898226   19.97442586  109.95814435  149.91138644   79.95231608]","[  69.96065215   39.94068498   69.89116848   29.98014407   59.95224219
  139.89259919   59.96696848   99.95128209   49.98011711   59.97402801]","[  29.97749427  129.93522624   19.97786088  199.93451805  139.94830732
   69.93792917   69.968321     19.97213786  239.8952741    29.96231612]","[  9.97974645  19.98945761  49.93043442  39.97488153  59.96477165
  79.94863605   9.98482154  29.97746683  29.95162017  49.97548279]","[ 159.90445788   59.96075015   99.97880243   39.97129213   49.98295828
    0.           99.89735896    0.          129.90612767  179.89695074]","[  69.96105379   19.97855593   19.97204322   39.9526638   149.93861085
   39.94462704  199.90308639   19.97506672    9.98413912   79.97040425]"
"[ 239.92517999  209.84639817    9.98539383   39.96669275  209.92783643
  179.88485677   39.98064151   79.95469664   59.92654072    0.        ]","[  29.97020125   49.97115145   29.96722709  249.86869883    9.98725838
  129.96960225   29.970058     49.92084925   59.96052724  119.9690625 ]","[  99.95445924   59.92492863   59.91862393  139.93617395   79.94578762
   29.97136218   39.97360439   19.97435872   39.96471213   39.96506586]","[  49.97439283  159.95688115  169.86959061   59.96348398   39.95366393
  129.9212987   149.90964892   69.96136378   59.93888307  179.85947216]","[ 179.97268864  139.96876355   39.96303598   49.97774166  189.7976374
  149.85352615    9.98038161  129.84187057   39.96848503   59.96534969]","[  39.96507017   69.92238208   59.97753184   49.97723491   39.98621054
  169.92591253   59.9632613   249.93352982   49.93823853    9.98663573]","[ 109.9499743   249.78863844   69.95125653  219.78497054  209.88645247
  119.95928178  169.9329484    39.96205781  199.93336774  219.87790583]","[ 189.9165735    39.9745034    19.97723603  189.91811218    9.98565551
   69.97634271   29.99042794   79.97414148   89.9809792    29.96359141]","[  89.96617328   69.97564274   39.95437353   59.95217715   19.97339736
    0.          259.8844669    19.96964077  219.94051424   59.97073227]","[ 209.86406174  109.91437093   69.97606777   69.92913723   89.95289296
  109.96984371   49.92034481  119.89454353   99.94186852    9.98728553]"
