nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
3,52,219,39,1,156,90,18,87,56
14,48,33,94,47,63,45,42,37,21
8,87,13,50,42,13,44,23,34,19
3,18,21,16,43,16,13,9,10,25
4,8,12,9,13,9,11,25,10,8
5,12,6,21,1,13,11,22,25,22
26,14,5,9,11,6,7,26,12,10
10,8,12,6,10,12,18,12,7,7
5,18,9,11,9,15,13,12,8,9
6,6,4,3,6,16,19,5,9,7
6,5,7,6,2,11,4,7,2,5
3,4,8,5,5,2,6,16,5,4
4,4,5,2,15,3,11,4,7,9
3,6,4,10,8,4,5,27,7,5
1,6,22,4,8,8,9,16,4,13
7,7,4,5,2,12,15,25,3,10
7,23,16,6,8,8,4,16,4,2
5,6,14,8,6,4,8,8,4,2
8,2,3,8,11,9,15,15,4,12
6,7,17,6,8,7,4,4,7,6
8,20,4,108,7,7,3,7,4,15
3,3,7,6,35,6,5,2,6,5
10,2,19,17,7,3,8,6,4,7
3,2,2,2,8,15,9,13,4,6
3,4,4,4,5,4,4,4,2,5
3,4,1,7,6,1,2,5,6,3
6,2,5,3,8,2,1,2,7,2
3,5,6,8,4,3,2,18,3,6
6,2,4,5,6,8,3,4,5,1
5,23,5,3,5,10,6,4,3,4
9,4,2,4,2,7,12,2,9,13
2,6,2,5,3,2,26,3,7,2
6,29,6,4,7,2,3,2,8,4
4,14,3,2,3,20,2,4,7,4
5,7,5,9,20,5,2,10,6,1
5,2,4,13,18,6,7,5,6,2
13,2,5,2,5,2,6,4,4,2
5,15,5,2,8,3,2,3,6,3
3,4,6,3,10,2,4,3,6,2
6,11,4,3,8,3,4,20,3,3
4,1,13,5,4,7,2,6,7,3
4,37,6,2,15,4,4,3,2,1
20,18,5,13,3,5,4,36,4,7
5,12,4,4,18,4,3,11,11,3
8,1,9,4,4,6,26,23,9,7
5,3,3,5,2,6,53,4,3,8
5,23,4,7,13,3,5,7,8,6
13,3,5,3,5,6,3,3,2,5
3,3,13,23,25,3,2,3,8,33
2,3,15,5,6,2,3,8,4,7
6,8,6,7,6,2,3,6,3,3
6,5,11,11,3,2,14,8,3,7
5,6,3,4,3,3,2,4,3,5
2,2,7,3,11,24,10,6,3,3
3,4,20,2,4,6,2,10,6,6
8,5,2,3,6,12,2,3,41,10
4,8,4,4,9,2,4,12,9,5
4,5,13,3,2,39,2,3,3,29
3,6,4,3,2,10,6,4,2,4
8,4,3,6,1,5,8,1,2,10
1,11,7,5,4,6,3,2,6,2
1,9,5,9,17,2,6,3,4,4
2,10,6,3,5,3,1,4,12,8
6,12,2,4,1,16,2,7,3,2
27,4,2,7,3,5,7,2,5,3
5,2,8,4,12,7,6,5,9,2
5,8,6,3,1,3,3,5,9,3
6,2,3,2,1,10,8,6,7,12
4,3,3,3,2,12,9,2,4,5
4,6,3,5,4,4,8,6,3,5
1,9,5,3,11,8,8,5,3,2
4,3,3,5,5,17,4,8,4,8
3,2,6,3,26,10,5,2,5,10
3,9,2,5,9,5,1,1,13,3
5,6,2,41,2,4,10,4,5,27
3,4,2,5,3,8,5,4,42,2
4,2,2,2,7,2,2,3,8,9
6,5,4,2,4,3,11,2,12,8
4,12,4,2,2,3,16,2,6,5
4,8,4,3,2,3,3,3,4,2
3,8,7,2,2,4,11,2,3,10
7,3,5,2,8,1,2,11,2,15
15,6,4,5,7,6,3,2,4,3
4,6,18,6,4,4,2,4,5,2
7,4,5,3,3,4,5,4,2,1
3,2,4,2,30,5,3,3,4,1
1,3,4,2,2,4,6,3,13,3
7,10,3,1,3,7,2,2,8,2
6,23,6,2,11,3,15,11,7,6
4,3,3,3,4,6,4,3,3,4
12,3,10,5,2,2,4,4,3,9
1,3,1,10,3,2,14,2,8,2
5,4,2,12,2,4,4,2,7,3
4,3,2,12,2,4,2,14,2,1
3,4,4,5,1,6,3,2,15,2
3,6,5,3,1,4,5,2,4,3
6,3,21,4,1,6,2,2,8,3
7,3,2,3,15,3,4,4,9,5
10,8,2,3,4,1,3,4,2,3
