rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 79.90270047   9.98089803  59.97825554  89.93478745  79.90270047
   9.98089803  59.97825554  89.93478745   9.98089803  59.97825554]","[  19.9760097     9.9823125    89.9323896   109.9729865   209.87866538
   29.97768844   59.96579338    9.98305469   79.96591142   69.94861943]","[  49.97426282   39.97921353  169.89825898    0.           19.97134264
  109.94559591   29.98014118   39.9267721    19.96623711   99.93853344]","[  59.96020621   39.96280939   19.976768     59.95414793  109.97699069
  139.9169287    79.91423098   69.95247004   89.93777935   99.90852225]","[ 149.95787005  149.83876356   59.98141231   69.97004157   19.97129625
   29.98775796   49.94629629  319.9140201    19.97129625   29.98775796]","[  49.95988217  199.94987204   49.95742983   89.93066463   19.96813387
   79.9144762    99.94521745   99.96888091   99.93784499   19.97878672]","[ 169.90264847  179.88756793  119.93794877   79.95042619    9.9863125
  189.77925571   39.95227669   49.97470426   89.93297552  149.9417003 ]","[  29.97636826   69.96311364  109.92943199  269.936157     69.96150686
   99.92393379   39.95152146   69.94964233   89.91381463  179.83175479]","[  79.95340533  129.88364663   29.97388894  149.93006103   69.89835104
   79.95549113   29.9572392    59.96635663  139.96315312  179.93082292]","[ 149.96729191  159.9309479    49.97466137  149.93828389   89.94399815
   59.97154194   49.93119618    9.98275078   59.95725352   39.94453431]"
"[ 169.93991053   89.95366164   59.96018961   59.96043211  119.94181584
   19.9798026   429.7752726   119.94181584   19.9798026   429.7752726 ]","[ 159.81430174   19.97709463  129.89461439  129.82141116  139.91209605
    9.98140341   49.93534182   29.97686051  199.89376475   59.95654516]","[ 109.89964243  149.8606824   189.89565097   19.96972277   39.96435956
    9.98249255    0.            9.97969156   59.95418876  209.85409495]","[   0.           29.98242321   29.9454296    59.92521754   39.96257348
    9.98031461  109.92504215    9.98331132   99.94530063  179.88962714]","[ 79.92428964   9.98736299  19.96719197  59.955371    39.97353744
  39.97353744  49.93729374  29.99279611  59.9647573    9.98546942]","[  59.94678723  139.91527545  109.90571017   49.96413131  119.94000633
   39.97651086   39.93557783  109.94137987   89.90594408   79.94626956]","[ 129.91741943   59.95665347  219.84647647   49.9445524   139.95779085
   59.97354173  129.88347738   29.96742963  109.94673619   49.97554216]","[  19.9800615    69.97288781   69.97436869   59.97567943   99.92727752
    9.98139941  179.94760829   79.97224969   69.94367829  109.96229875]","[  29.97608839   79.96831574   89.96289185   59.95532525   59.97287293
   59.97761496  269.8898104    89.96405358   69.96613389    0.        ]","[ 209.91764772   49.97740532   29.96537282   79.95802734   99.98063006
  109.9133944    29.98175862   79.94193415   59.96635435  229.88243889]"
"[  19.97172051   89.93614968  189.91602379   59.96060794   99.93549462
   29.95956724    9.98871404   59.96060794   99.93549462   29.95956724]","[  89.92360591  159.92707583  209.88343479  129.94967574  219.88146519
   29.95161705   69.90543817  139.8496703    39.94626987    0.        ]","[ 29.9568086   69.96425553  49.94459038  19.973621    59.96252772
  39.96268608  69.93857213   9.98635519   9.97953565  59.98012843]","[ 29.96803564  59.95306078  49.95242179  19.986986    39.9589094
  39.98376945  49.96472763  89.94360964  69.94493328  29.97262443]","[  49.93860643  109.94371314   49.94867173   29.96468309   49.93588345
   29.99301008   59.96350792   49.93860643  109.94371315   29.96110795]","[  79.94892245   29.96046781   19.97400196   39.94535306   19.96780605
   99.94094909   69.95496853   79.97155961  159.91431963    9.98394051]","[   9.98582562   29.97705355  279.92124       9.98506131   49.97649751
   99.96133845   69.95889363   19.97875849   19.97085056  129.88668938]","[  49.96384794   89.96475159   79.96135041  119.92014393    9.98067853
   79.95383783   99.93072602   89.89732696  139.96273691  299.92293473]","[  39.9489894    49.97297412   89.93333597   69.94724738   79.93075756
   19.97772597  169.91501075   29.97566757   69.97934372   69.96869106]","[  89.88235278  149.900105     49.98068969   99.92637247    9.98714772
   79.88730456  119.87182643   59.95662027   39.97798333   89.96081425]"
"[  69.94958513  259.90584476   89.92200645   99.95244678   19.98361271
   79.95742083   49.98559338   29.98030198   69.94657623   69.94899023]","[ 349.82664636   19.96443002   29.96259926  289.8943252   149.90824266
   89.96273819   19.97989996   39.97345973   69.95242229   89.96541867]","[ 109.94603253  309.89771283   69.96722653  169.94351579   39.93834243
   89.93775821   89.91647717   59.9222563    49.97961955   19.97218041]","[  49.95162897  279.83864746   99.85370225  219.82594606   49.96712968
   79.9315372   109.950607    119.97038748   69.94977203   79.97152882]","[  69.95048183   69.95845105  179.8845287   109.93518972   99.96205858
    0.           19.96916634   19.96699879  139.91618097   49.94816107]","[  29.95452465  129.88716381  229.89871911   59.96391779   19.96875976
   79.9542343    59.9588732   119.87262836   39.95615145  109.96330134]","[  19.97469637   29.96327501   19.9798666    19.97029574   29.9823685
   59.94725279   69.88258708   29.94770246   79.96786596  219.90772894]","[ 139.96186185   49.95181872  129.90081457   99.95252169  289.92074579
   59.97873041   89.90597503   89.96761089  189.86721236   19.96199407]","[ 119.93342147   19.96340687   79.96261672  109.95781042   29.97377109
  169.93883437   89.94984324  229.93499503   19.9854934     9.98899983]","[  19.9662777    99.94855974   69.95328317   99.96233237   59.96330875
   59.96512576   19.96784983   99.96973633  339.85323534   49.92430577]"
"[   9.9837355   129.84124001  129.92651367  169.93870797   29.98078019
   69.95143026   69.95802351   59.92525956   99.92267205  269.90403662]","[  39.97738799   79.95300573    0.           49.94494376   49.93308494
   99.94566663   69.97594286  159.92746615  159.86152465  259.8294893 ]","[   9.98024603   19.96478968   99.95597963   59.93581677   49.96357062
   69.9697781   139.93095071   19.97422597   29.96853025   39.9701766 ]","[  79.94608133  169.93062188   19.97029961   29.97090711  129.9422272
   39.95041443  109.92552293   59.95482741  169.82909229   29.9602399 ]","[ 159.89837972   49.96310695  129.95006611    0.           19.96916634
   19.96726398  159.89837972   49.96310695  159.90107092   39.94702797]","[ 119.96949887  129.91646157   69.94103658  129.84256542   89.95576204
   79.9345742    49.95183814   19.99294776    9.98373788   89.97493195]","[  79.96063575    0.           69.97922794  139.9396318    29.98090186
   39.95065362    9.98229063   39.97581302   69.96476594   49.93688903]","[  59.97244098   79.93794026   39.9486329    39.98906587   49.96148382
   69.92810382   69.93244273   29.96663583   69.92250131  229.91401265]","[ 149.89043996  229.87081516   39.97417441    9.98369605  159.92346153
   69.96280981   29.97899967   89.94523599  129.92525444   29.96632458]","[ 159.85748437   29.94979895   49.98550396   19.96823957  409.74590093
   19.97120375   89.98062157   79.95033091   29.95893583   69.96987718]"
"[   9.98431079   59.93921876  219.86301883   49.95629007   49.96931337
  119.96033514  339.83877946  129.92204096    9.98431079   59.93921876]","[  79.89533646  219.92366341  129.94264276   39.97939298   59.95066523
   59.92617952   89.97603367  139.91929668  119.95558433  159.91108887]","[  49.9526785    39.98850269   29.9588488   169.91204958   39.96536979
  129.94487269   49.95963289  269.88103276   89.95571174   89.93462965]","[  29.9732398    29.96588899   19.97209621   99.87964478  409.84332173
  149.95735409  199.91750343    9.98656127  139.9438821   239.8571233 ]","[  89.90729514   69.93906839   79.97760173    9.99286566   59.93248472
    9.98641432   29.97639608   49.96461497   79.92503787  139.93431936]","[ 199.89113802  119.96117713   29.97698731    0.           79.97857696
  159.93443622   59.96108495   29.99120691  119.95600121  129.89570838]","[ 129.94034485   39.9711038   139.92127303    9.98024339   49.91426921
    0.          169.92052887   49.93863506   19.96683024   49.9424392 ]","[  19.97628522   89.93876572   49.96693347  149.9244607    79.92546616
  169.93824876   79.95507431   99.98128765   19.97527074    9.98179809]","[  59.98275511   49.97160809   99.95423711   19.97599856   39.9712295
  189.96270547   99.96633886    9.98734393   49.93979344    9.9834781 ]","[   9.98071333  159.88054209   39.96012572   29.96065716   19.97940519
   19.96717998   59.98392782  159.95384402   49.92975051   59.95590698]"
"[ 219.87112214   49.95644676   39.95730199   39.95730199   49.98035182
    0.           29.9715639    89.90486357   39.989177    259.89087887]","[ 69.95204885   9.98654184  59.92640639  89.97534609  19.97375823
  79.90134884  69.94333158  89.89220208  29.95286183  49.98660752]","[ 119.90757176  189.89661368  119.92926215   39.93138042   19.97944627
    0.          109.96556662   39.94939155   59.97193497   69.94789049]","[  39.98179822  159.88507842   99.94801526   89.96682492   29.96687045
    9.98329683   19.97194314   19.97977063  109.88949842   49.95329329]","[  19.97895397   39.96565325   79.92571892  259.90655063   89.95551957
  189.95564019   79.95720773   99.92905991  239.84106878   39.95612271]","[  29.95969419   99.9223563    29.95579202   59.95331502   19.96937246
   19.96703484   39.96363491    0.           29.96258797  289.82475039]","[  49.94623421   79.95384827   19.98082325  169.9008621     9.98333563
  129.92750484   19.96848083   99.94854229   49.9761341    59.92529787]","[ 289.87209384  199.89135155    9.98510493  129.8819888    19.97311782
   59.97602326   69.91010703  189.89547753   79.96814934  159.91076984]","[  29.97189154  219.78740089  149.88983498  159.89996682  349.87707512
   89.95698997   59.92958761   39.9876175    59.9646383    39.97811466]","[ 149.95952467   29.97438909   69.97669411   69.93997705    0.
   59.95681116   19.97967916   69.96916586   39.97665686   49.96280039]"
"[  59.9606894    89.93895172  149.90775099   69.92901871   39.93439278
  259.88330206  239.88193201  189.91470241   89.96020797   19.97117377]","[  39.96342155  129.96875014   69.95131265   29.96150287  189.926398
   69.96027198   29.95267532   49.98637239    9.98941586   39.96704272]","[   9.9820777    59.95961149  109.92960198   39.97934212   39.97640316
   79.94443832   39.94798611  199.87575415   39.95968299   39.95703238]","[   9.98349634   29.98139747  199.93771707   39.98040562   69.92614966
    9.98383178   49.96963533  189.87501775    9.98317612   39.94055537]","[  29.96978659   99.89354665  279.72299694   59.97050917   29.96978659
   99.89354665   39.94766663   39.97667638   39.9629343     9.98521084]","[  29.96381683   79.96827526  159.80441196   29.98505643   39.94551889
   79.94814718   29.96114858   29.96731717   19.98119856   19.97913225]","[ 169.88276163  259.93862861  109.94870635  189.80816629   39.97525749
   79.95924159  119.9549193    69.96370092   79.96405545   39.9602361 ]","[ 309.86535456   69.95681136  109.94640877    9.98448316   19.96743981
   79.95331053   69.96683463   59.97767757  129.91476756  219.86807646]","[ 119.92232496  119.92322323   49.97830203   19.96568321   39.9734712
   69.9662315    49.96492644   59.96789195  129.92338812   69.9377621 ]","[  89.93955826   69.90683387   19.96705029   99.91934462   49.96914936
  269.78656196   69.98195941   99.96563881   69.91188559   49.95267641]"
"[ 109.93477476   69.95841744   59.94939063   69.95329379   69.9539956
   19.97117377   29.94876577  109.93477479   69.95841744   59.94939062]","[ 159.90787027   69.97255369  149.93708344   29.96131062  189.91847134
   69.96061357   39.97210897   49.98155531  259.88208937   29.9676093 ]","[ 179.83257698   99.94558718  229.77510733  159.86703845   49.9491194
  169.94756526   79.96494206  119.94953505   19.97466106   29.96970642]","[   0.           39.94305245   49.94061051   49.93786974   89.97779654
   29.95366358   29.97487212   59.95147575   39.94938854  119.94407572]","[ 269.76257702   49.94035505    9.98412674   89.9653451    19.97319402
    9.98682708   59.9385594   109.93679097    9.98690043  169.82867107]","[   9.98419789   49.95576114  169.91644266   29.97653449  109.94827492
  139.93950703   19.96713665   39.98088451  169.90327016   69.95414339]","[ 189.90641652   59.96527623    9.98876813  149.85552998   29.96717393
   49.9744083    69.92816149   79.94429617   19.96649839  169.82595426]","[ 189.93673271   19.97695495  129.89955963    9.98768296   59.96640466
    9.98176911  129.95034707  149.9475016    29.9573327   179.81037267]","[  19.970465     29.94690608   19.97347757   69.98555416   99.9435296
   19.97291423   39.98783181   99.95848439   49.96519668  109.92541831]","[  39.97497727   59.94548794  109.94678205   19.9755758    49.95855652
   39.96266903   39.98748374   89.9495164    19.97474357  129.92085895]"
"[  39.97101077   89.91667408  199.88282324   99.94010205   79.93749776
  129.89700039  179.86977653  129.94509395  159.89183674  109.91251055]","[  79.90532755  229.86293791   29.97700637   19.98267757   39.97585885
   99.89206797   39.95043412   89.92620314   39.95269433   39.97116598]","[  29.97559776   89.95377582   19.97184653   29.97715179   19.96216338
  189.90097932    9.98976873   69.94468832  189.93409947    9.98678919]","[  39.98041895   39.94758661   39.96091456  159.90771753   59.94074048
   29.95516212   29.98616765  149.94755279    9.98468163  199.88546872]","[   9.98097415   69.94640217   19.96947573  139.87605614  109.91314201
   79.95852055   89.97814306   19.97350587  149.94251317    9.98115153]","[  99.965702      9.98322313   59.98070695  169.84008865  299.85364216
   99.95431973   39.95119668   89.94546291    9.98735642    9.98570761]","[  89.9326523    29.94110966  119.91933621   49.97162463  129.86132751
   39.97452225   49.97223598    9.98577266   79.96221924   59.96456251]","[ 249.91332964   69.95806558  159.88732877   29.98121496   49.93621047
   69.96488413   29.95301869   49.96280092   29.9724494    19.96211033]","[  59.97567837    9.98890727  159.92071313   19.97374777   49.97108188
  189.90873682  119.94432665   39.97890345  159.94775073   39.95366728]","[ 279.85993601   69.95647275   69.940818     49.97612556   69.97624738
   49.95651987   79.9265277    29.97769644  209.9289164    69.96776092]"
