nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
1,145.0,26.0,115.0,314.0,16.0,160.0,152.0,26.0,98.0
9,75.0,50.0,40.0,68.0,77.0,56.0,51.0,33.0,50.0
7,41.0,1.0,92.0,15.0,35.0,73.0,34.0,72.0,44.0
6,22.0,47.0,44.0,20.0,33.0,54.0,47.0,28.0,29.0
12,20.0,31.0,52.0,23.0,1.0,55.0,34.0,57.0,22.0
13,35.0,23.0,16.0,14.0,20.0,35.0,17.0,26.0,29.0
7,1.0,44.0,14.0,11.0,37.0,16.0,16.0,17.0,50.0
10,19.0,18.0,9.0,13.0,8.0,12.0,10.0,10.0,16.0
10,14.0,14.0,1.0,13.0,3.0,5.0,12.0,1.0,16.0
2,7.0,18.0,1.0,9.0,6.0,5.0,4.0,8.0,9.0
4,10.0,10.0,13.0,9.0,12.0,3.0,4.0,12.0,12.0
2,12.0,6.0,7.0,9.0,3.0,6.0,4.0,8.0,6.0
10,11.0,7.0,8.0,8.0,10.0,7.0,5.0,5.0,4.0
3,9.0,7.0,5.0,4.0,5.0,9.0,4.0,2.0,10.0
8,2.0,2.0,5.0,11.0,14.0,3.0,6.0,5.0,6.0
8,5.0,4.0,1.0,6.0,5.0,4.0,2.0,5.0,5.0
7,8.0,3.0,7.0,5.0,3.0,3.0,8.0,21.0,9.0
2,5.0,5.0,2.0,6.0,1.0,2.0,5.0,9.0,2.0
4,9.0,3.0,3.0,7.0,2.0,5.0,4.0,6.0,7.0
2,12.0,7.0,10.0,7.0,1.0,3.0,3.0,6.0,5.0
5,2.0,2.0,3.0,4.0,4.0,2.0,2.0,9.0,6.0
7,2.0,2.0,4.0,1.0,2.0,6.0,4.0,16.0,3.0
9,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,11.0
3,6.0,5.0,3.0,3.0,1.0,8.0,2.0,3.0,9.0
5,4.0,2.0,8.0,1.0,4.0,7.0,3.0,10.0,4.0
4,8.0,5.0,3.0,3.0,3.0,10.0,7.0,17.0,5.0
6,9.0,2.0,2.0,2.0,3.0,4.0,6.0,5.0,10.0
5,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,6.0
7,5.0,3.0,1.0,7.0,4.0,3.0,2.0,7.0,5.0
8,7.0,1.0,5.0,2.0,4.0,6.0,5.0,6.0,2.0
3,5.0,1.0,2.0,4.0,3.0,6.0,3.0,2.0,3.0
4,6.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,9.0
5,8.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0
3,8.0,4.0,2.0,8.0,5.0,6.0,3.0,11.0,6.0
2,3.0,3.0,6.0,1.0,4.0,7.0,3.0,2.0,3.0
3,10.0,6.0,4.0,1.0,2.0,5.0,2.0,3.0,3.0
2,3.0,1.0,2.0,2.0,8.0,3.0,4.0,2.0,6.0
2,12.0,2.0,2.0,,3.0,1.0,1.0,1.0,5.0
3,6.0,5.0,1.0,,8.0,2.0,2.0,3.0,7.0
3,8.0,2.0,4.0,,1.0,,8.0,6.0,7.0
2,8.0,3.0,6.0,,2.0,,3.0,6.0,14.0
3,,4.0,5.0,,5.0,,7.0,2.0,5.0
3,,6.0,2.0,,3.0,,3.0,2.0,7.0
6,,2.0,1.0,,2.0,,6.0,4.0,
8,,3.0,1.0,,6.0,,3.0,4.0,
6,,4.0,6.0,,4.0,,2.0,4.0,
2,,3.0,1.0,,2.0,,5.0,8.0,
2,,2.0,,,2.0,,,2.0,
4,,2.0,,,1.0,,,4.0,
4,,3.0,,,1.0,,,,
9,,9.0,,,2.0,,,,
5,,2.0,,,6.0,,,,
1,,2.0,,,2.0,,,,
4,,3.0,,,2.0,,,,
4,,1.0,,,1.0,,,,
2,,6.0,,,5.0,,,,
2,,,,,3.0,,,,
4,,,,,3.0,,,,
4,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
5,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
