rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 59.96878791  89.94170057  69.96088267  29.98967587  39.97944305
  59.97686943  19.98405726  49.96251855  39.97944305  59.97686943]","[  9.98302979  29.98554555  29.98720775  69.96121817  79.96038492
  29.98794739  19.96970563  29.96996151  19.96989339  29.95781287]","[  29.9790084    29.9795268     9.98329464   19.97446522   59.97779461
    9.98306629  119.93799039   19.97865177    9.98538792   19.9825532 ]","[ 69.95851376  29.98061705  59.96286374  49.98217459   9.98197327
  19.99190797  29.98337238  39.97865854  19.97064328  29.9840197 ]","[ 39.97873579  19.99397319  49.98599944  49.9797243   39.97459547
  59.97078545  69.95675112  49.96772048   9.98655028   9.98546961]","[  69.9751893    59.96909747   29.98417988   39.98582232   29.98802929
    9.9881005    29.97148512   59.96612043   79.98341985  109.95992784]","[ 19.98129558  29.98869493  79.94768821  49.98146651  29.97032115
  29.9624664   29.97725638  69.95940119  79.95826752  19.96916822]","[  9.98602617  19.97216575  19.99004247  29.98411956  29.97738998
  79.96851627  39.9769557   19.96880266  29.98649129  19.98320325]","[  19.97133207   29.97538504   49.97500365  149.89674568   19.99342994
   39.99044933   39.97813252   19.97232765   39.98139773   29.99339042]","[ 89.9752001    9.98492182  39.97405409  49.98380169  19.98430871
  29.98866989  69.94416837  49.99216408  89.95698079  39.97296161]"
"[  99.93779265  109.97431501    9.98170397   39.98250716   49.98199229
   49.97188604   19.97874749    9.98289333   49.98027137   19.98214881]","[ 49.9778546   39.97840225  49.97713206  59.96791429   9.97993988
  69.9080513   49.95055869  29.98633445  19.97115576  29.98607143]","[ 19.98949964  29.97997008  39.95396586  49.97553757  19.9830671
  29.98276317  39.97460293   9.98221294  39.98643497  89.96985158]","[ 49.96743014  69.95211253  29.98146751  29.99207645  19.98413062   0.
  29.97759489  39.97027843  19.97138201   9.98752637]","[ 19.99431544   9.9793854    9.98571328  19.98334051  29.95865222
  49.9849111   19.97212384  29.97484782  89.98188454  49.97011628]","[   0.            9.98232531   29.95385346   19.97866999  139.93228396
    9.98621818   19.97124521   29.982496      9.98476892   19.97545971]","[  9.98373392   9.98260119  59.97559511  19.96612861  49.97952882
  19.9708861   29.98539269  59.95854357  59.96038664  39.97253842]","[   0.           59.97710397  129.93034846   89.96688745   29.97436481
   19.97353147   49.96369339    9.98652606   49.95737662   29.97740698]","[ 19.98995088  19.98724811  39.95354971  49.96050954  49.98133199
  49.96675826  29.9689565    9.98949316  39.97623233  69.96051539]","[ 59.98315372  19.97897297  29.98519178  19.97964263  29.98548276
  39.97969983  99.9827065   49.96957454  49.96686483  29.97820289]"
"[ 29.98949404  29.96443371  49.96105644  29.9754366   19.9753773
  29.95592925  59.9724541   79.9643607   49.97946143  19.97936539]","[ 69.96934553  29.97700665   9.98127656  19.9909428   29.99234411
  59.96449375  29.98066125  19.99310609   9.9867529   29.96519883]","[ 29.96777948   0.           9.99000249  19.96967348  79.9629617
  39.97536122  39.98388455  99.95491397  39.98288486  29.98826309]","[ 39.9743486   19.97704531  49.97711343  19.97481706  29.97537254
  69.97142966  39.9869174   19.97286951  29.98988475  79.97821549]","[  19.97497791   39.96695197  139.92222076   39.96366044   29.98160524
   39.94304104   39.97519852   39.98732768   49.94350963   39.96897334]","[ 19.98039271  49.95476984  19.97487719  19.97025752  29.99115061
  59.96376786  19.99092518   9.986493    39.99147947  19.97744151]","[ 19.98232862  69.96946283  69.94731628  49.96756302  29.98848412
  39.98435324   9.98902926  49.98530013  49.96822438   9.98784401]","[ 79.96117534  49.98000102  49.98103644  39.96531897  69.95340398
  19.97953593  29.99126972  49.9864613   29.97741178  39.94436857]","[ 29.98834665  39.9767109   29.98083301  39.98532053   9.98615969
  19.98908825   9.98485487  29.99112922  19.97671083  29.989779  ]","[ 29.98618997  49.96656002  49.99157372  39.97768942  49.97419886
  39.98121114  29.97493509  89.97667458  19.9732245   19.97093767]"
"[   9.98667726  129.95665983   39.98288875   39.95022386   49.98561108
   19.97828509   79.96402475   29.98230339   29.98024211   39.97480165]","[ 29.98490274  39.98092162  29.96982375  69.95498008  49.97105497
   9.98303266  29.97939599  29.98755635  69.96410299  29.9817386 ]","[  19.9838297     9.98668179   39.97446781   19.97228237   39.98453887
   29.96787612   49.96744595   19.96961157   99.94982191  109.96259523]","[  19.98649787   19.9645027    59.97262217   39.98290111    0.
   39.98644329  109.98061924   19.97712592   49.96001006   29.95815022]","[ 19.9791788   49.97347893  39.98272836  79.96609541  29.98841704
  89.88689265  59.96360851  19.97416574  39.97728725   9.98406169]","[ 29.98315001  19.98870827  29.98396285  29.96278807  69.94760008
  59.98408397  19.97831885  19.9879889   29.98798421  39.98596792]","[ 49.97834381  19.97503235   0.           9.98629137  29.97701541
  29.96121396  59.98196964   9.98010101  19.98199322  39.97994505]","[  9.98766361   9.98491521  39.97051415  49.91261759  29.98280501
  39.98099944  49.97550053  19.96828123  39.96753921  29.97605898]","[ 19.97704095  49.9688319   49.96891056  59.97749768  19.98032782
  49.97996008  29.99250237  89.90957971  39.97532327  49.97288045]","[ 49.97983405  69.97357929  89.97069773  49.91817241  29.97525472
  79.95632733  19.97012011   9.9892438   39.98676907  49.97877508]"
"[ 19.97669518  69.95126953  59.97107208  39.98360469  49.98371359
  59.95577049  59.94305945  49.9604061   39.97639371  19.97669518]","[  49.98232654   59.97669844   29.99315891   69.9882138    39.97007367
   39.97200183    0.          119.96293387   29.98291484   39.96775852]","[ 49.98628616  19.98225557   9.98409027  49.95970778  69.9783591
  79.96757155  29.96799286  99.97382486  59.96783296  39.98436604]","[  69.93530351    9.98863673   39.98690657   29.98220558   19.97909222
   19.98140937   49.96061286   29.97821218  109.96686775   39.99050944]","[ 59.96356717  19.98107171  39.95143181  39.97185228   9.98370138
  39.94845436  69.9575896   89.97476157  39.96046593  49.98544426]","[  9.98584138  49.97646356  49.98778802  39.99148322  39.98952474
  19.98845762  29.98939769  39.98050945  29.9836092   49.94538015]","[ 39.98487098  19.97828277  29.98000265  59.9659977   99.95073542
  69.98280158  19.98861141  39.97606418  29.98944672  19.99101042]","[ 49.98186357  39.95006367  49.98644089  39.97002037  69.95538747
  39.93865569  39.98629554  29.97607312  49.97195753  69.95365844]","[ 39.98182052  39.97762363  39.98489361   0.           9.98387566
  39.98187485  39.96531052  49.97781087  19.97941222  49.98865344]","[  9.97952112  49.96749284  19.97374254  39.97227302  19.99432928
  29.9859567   39.97555513  29.97992494  59.96810764  79.93578662]"
"[ 69.92064215  19.9836114   39.97712056  49.98638509   9.98045617
  19.96854751  29.97256742  49.96331696  39.97620261  39.97965848]","[  49.98060419   29.9810787    29.98656765    9.97958198   79.97166481
   29.96434209   39.96178022  119.97875001   19.98693562   19.98174534]","[ 19.9877161   19.98288703  39.97908118   9.98047044  49.97471647
  19.98844194  29.98058176  39.97785698  99.96275186  29.97924699]","[ 89.94490282  39.9739215   59.97446169  89.91949099  19.97883897
  59.97700579  19.98944534  19.98938273  29.98235824  19.989544  ]","[ 129.91537249   89.98323067   39.97922307   29.98775746   29.97521044
   49.97000934   39.98055588   19.96887956   29.96541325   49.96695291]","[ 19.98299777   9.98579114  49.96988543  69.96273985   9.98824733
  69.9780189   39.97421357  69.95058995  39.99049062  49.98030899]","[ 29.97648496  19.97421383  29.97664038  19.96423614   9.97945418
  39.97388667  39.97977223  49.98066922  19.97503342  39.98792253]","[  9.98064605  19.96835527  39.98046037  39.99082355  19.97384362
  49.97222284  59.97267322  39.96423921  29.98941049   9.98397418]","[ 19.98752396  49.97172811  69.97033216  79.94891793  29.98433949
  49.98425633  89.96506942  69.96946133  19.97267034  49.93780548]","[  29.97164127   29.9872854    69.97385996   29.97957893   19.99136735
    9.98634898  129.9552542    29.98613718   39.99010034    9.98272308]"
"[  39.98111511   99.95121112  189.91980277   69.97011104   49.95968223
   69.98713557  109.96561645   79.92548688   19.96925935  219.85348782]","[ 19.97172198  29.98152119  29.98050349  39.93365151  29.96551874
  39.9495783   29.97228552  19.97485923  19.98591846  49.98517127]","[ 29.97010827  69.97724303   9.98784715   9.97935055  29.97736402
  39.97635719  99.93740728  39.97890381  49.9776046    9.989557  ]","[  39.9511444    89.92357793   39.98789055   29.98750863   59.97678776
   29.98035293   49.97349982  109.97280341   19.98322086   19.98172014]","[  9.98599293  39.97849662  49.98298377  49.97168401  79.96682177
  19.97515271  29.97023912  59.98685514  19.99328181  49.96447614]","[ 49.97912145  69.95763429  49.97301361  19.98158726  79.96943483
  59.96786109  39.98752264  29.98679541  49.98095354  39.96421076]","[  9.97938757  29.97290787  39.96266563  19.98544429  19.97696291
  49.98297817  29.97624829  49.97277471   9.9879843   69.98490583]","[ 49.98002929  29.98487841  39.98302932  29.97567527   9.99007286
   9.98727885  79.97090196  29.96932406  49.9679949   29.99138593]","[ 69.98145195  59.96950669   9.98010918  19.98188347  49.98507411
   9.99017261  39.95966915  29.97864451  29.97396461  19.98610676]","[ 39.98421137  89.96892618  19.97514948  19.97914206  29.97999037
  19.98340178   9.98756135  69.97841874  19.97620733  29.98853694]"
"[  39.97977913   49.95151959   79.94178919   19.98200988   49.98752434
   69.95915818  169.93079513    0.           19.98668308   39.97546585]","[ 39.98618509  19.98977262  39.97542443  39.98182383  39.9566854
  29.97064834  19.97281524  19.97636635  19.97215179  19.9764005 ]","[  79.97579414  119.97628557   49.97785086    9.98327702   19.98858109
   39.97923065    0.          109.97469193   29.97036778   59.98046108]","[ 39.98134568   9.98442469  39.97731594  29.95379211   9.98214683
  69.9671718   19.96979705  39.97296047  19.97476514  39.93598637]","[  59.98601939   19.97264909   19.99061431   79.97918526   49.96951853
  129.92347299   89.96030263   29.9874447     9.97963048   19.97117479]","[  0.           0.          29.96571463  39.97091929  39.96846862
  19.97424957  59.94526519  29.985486     9.98938292  69.96834538]","[ 29.98401414  29.98027098  69.98465224  29.98245222   9.98392317
  39.97619469   9.98753639  69.96446301  39.97929501  29.97731157]","[  39.98875066   19.98061789   49.93616124   39.97696004  109.92662719
   69.93935656   89.9725178    49.97657684   49.93747269   29.97843185]","[  89.93094315    9.9905855   109.92617554   59.95711306   49.97192523
    9.98115022   29.98020859  119.88219892   49.98442233   39.98089977]","[ 19.98004955   9.9888508   29.99340096  39.97603036  19.9863293
  59.9723491   39.9772624   29.97297641  29.96798021  19.98869659]"
"[ 89.95358915  59.97883716  49.97527601  29.98337429  29.98103963
  19.97253395  39.97799337  29.95647157  29.97442621  59.93881445]","[ 79.94725563   9.9864394   29.99083938  19.98728043  49.97078243
   9.98457686  39.9800038   49.98468328   9.98627906  29.98375329]","[ 59.97506953  69.97108325  39.95403206   9.98197613  29.99073315
  49.98359911  19.98722555  39.9844233   19.97856144   9.98016056]","[  9.98025585  49.97827428  59.97985127  19.97246462  39.97020748
  39.97564366  29.96077715  29.98194301   9.98648864  29.98460332]","[ 29.98326447  19.97696563  29.9892668   29.99302088  19.99057466
  69.96807011  19.97247587  19.9782899   39.9769898   69.97161364]","[ 59.97738225  29.97334475  29.95801991  19.97206202  29.98947751
  29.9856183   19.97655029  79.9752476   29.98594278   9.98638752]","[  69.96915342   69.97570064   19.97136277   39.97499577  169.9419386
   49.97311475   49.98414615   29.97425388    9.98210994    9.98841714]","[ 39.98295174  39.98335734   0.          59.97292064   9.98491479
  49.97204318  49.98404693  69.96801624  19.98145163  39.97417569]","[ 49.98480796  29.96795183  19.99149008  49.97193619  19.98086842
  59.97170024  29.98948927  39.97514536  39.98310897  39.96151183]","[   9.98907998   89.96809843   39.96686815   19.98494321   39.98146271
   39.98718227  109.95792078    9.98947052   29.97885598   39.95844134]"
"[  89.94456075   49.96217085  169.93144104   49.98139565   39.95062007
   39.96097932    9.98145813   69.9464557    79.9535129     9.98055979]","[ 39.97172322  59.96748615  39.95259909  49.98613719  29.97729162
  19.98685073  59.95296485  29.98897337  29.98085307  29.97406799]","[   9.98067595   19.97578119   19.98012432   69.97093938   79.9613404
   39.98254835  119.95511626   59.96891244   19.98813845    9.9912914 ]","[ 19.98096194   9.98857574   9.98459531  39.98611963  29.9775749
  29.97098617  39.96808398  89.93391449  69.93573113   9.97962712]","[ 29.96416813  49.97276657  39.97280737  49.98073801  29.9625117
  79.97085213  29.98356017  49.95075375   9.98737834   9.98046189]","[ 89.97458996  49.97508928  19.97428923  49.98238182  29.96391825
  29.99342191  19.98269137  49.97287408  19.97530603  29.98575244]","[ 59.98008657  29.98549272  59.9808299   39.93844844  39.98363103
  19.97447395  19.99334129   9.98458007  29.9634277   19.98153544]","[ 29.98537658  49.96490048  59.97401228  19.98871263   9.98680936
  39.95637569  59.97337972  69.96912357  59.97084302  59.9875106 ]","[  9.98490455  19.98317835  59.98260074  39.94575267   0.          29.98621386
  29.97272218  29.98920374   0.          29.9715872 ]","[ 29.97917682  59.96172267  39.97534989  59.97916635  29.96939171
  79.95604118  19.99031926  59.97287428  39.98714483  29.98270421]"
