nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
2.0,8.0,1,16.0,4.0,45.0,5.0,12.0,14.0,26.0
62.0,19.0,3,4.0,61.0,16.0,33.0,26.0,5.0,56.0
13.0,3.0,6,19.0,2.0,10.0,44.0,4.0,1.0,5.0
2.0,11.0,3,6.0,1.0,2.0,9.0,12.0,27.0,1.0
3.0,3.0,1,11.0,4.0,8.0,5.0,5.0,14.0,6.0
1.0,2.0,3,48.0,4.0,2.0,47.0,3.0,3.0,2.0
14.0,11.0,12,8.0,4.0,49.0,2.0,13.0,4.0,4.0
13.0,11.0,1,11.0,5.0,11.0,1.0,2.0,1.0,32.0
10.0,27.0,4,11.0,8.0,2.0,10.0,8.0,8.0,24.0
3.0,32.0,1,7.0,13.0,6.0,3.0,1.0,3.0,6.0
7.0,5.0,2,9.0,1.0,2.0,2.0,14.0,2.0,3.0
20.0,15.0,2,4.0,8.0,2.0,3.0,29.0,9.0,1.0
2.0,1.0,2,3.0,2.0,2.0,2.0,7.0,7.0,8.0
5.0,2.0,4,2.0,38.0,1.0,3.0,3.0,1.0,4.0
2.0,2.0,1,6.0,9.0,3.0,1.0,2.0,1.0,2.0
7.0,4.0,4,3.0,2.0,1.0,3.0,4.0,26.0,2.0
3.0,2.0,1,2.0,4.0,3.0,1.0,2.0,3.0,3.0
1.0,2.0,9,2.0,3.0,2.0,1.0,4.0,7.0,1.0
1.0,2.0,43,2.0,2.0,5.0,1.0,2.0,3.0,2.0
2.0,2.0,3,4.0,4.0,2.0,3.0,1.0,6.0,2.0
1.0,4.0,3,2.0,3.0,4.0,1.0,7.0,1.0,3.0
1.0,4.0,4,4.0,1.0,2.0,2.0,2.0,2.0,2.0
3.0,2.0,4,4.0,12.0,3.0,5.0,4.0,2.0,5.0
2.0,3.0,2,1.0,6.0,1.0,5.0,1.0,4.0,1.0
1.0,1.0,14,1.0,2.0,2.0,3.0,3.0,4.0,3.0
2.0,1.0,1,2.0,6.0,3.0,3.0,1.0,3.0,3.0
2.0,2.0,5,1.0,1.0,2.0,1.0,2.0,4.0,4.0
1.0,1.0,5,2.0,5.0,6.0,2.0,2.0,3.0,3.0
2.0,5.0,3,2.0,2.0,3.0,2.0,2.0,3.0,1.0
3.0,6.0,9,2.0,1.0,2.0,1.0,1.0,7.0,1.0
2.0,3.0,2,5.0,2.0,3.0,1.0,3.0,7.0,2.0
2.0,1.0,3,3.0,2.0,2.0,5.0,2.0,8.0,5.0
5.0,2.0,1,2.0,3.0,2.0,2.0,2.0,2.0,2.0
2.0,2.0,3,3.0,2.0,3.0,2.0,1.0,3.0,3.0
1.0,2.0,3,2.0,1.0,2.0,2.0,2.0,2.0,4.0
2.0,3.0,2,3.0,2.0,1.0,2.0,5.0,2.0,5.0
2.0,2.0,3,4.0,6.0,3.0,1.0,1.0,8.0,6.0
1.0,5.0,2,1.0,2.0,5.0,2.0,2.0,4.0,4.0
3.0,1.0,5,3.0,6.0,5.0,3.0,2.0,3.0,2.0
3.0,2.0,3,2.0,3.0,1.0,1.0,3.0,3.0,4.0
4.0,3.0,1,2.0,3.0,4.0,2.0,2.0,1.0,2.0
2.0,2.0,1,3.0,3.0,3.0,3.0,2.0,2.0,2.0
2.0,2.0,2,1.0,1.0,2.0,3.0,2.0,1.0,2.0
2.0,3.0,1,2.0,1.0,3.0,5.0,3.0,5.0,1.0
2.0,3.0,2,1.0,2.0,1.0,2.0,2.0,1.0,4.0
2.0,2.0,2,5.0,3.0,2.0,2.0,3.0,6.0,2.0
2.0,5.0,2,2.0,2.0,3.0,2.0,2.0,2.0,4.0
5.0,3.0,3,3.0,2.0,2.0,1.0,2.0,2.0,2.0
1.0,2.0,9,2.0,1.0,2.0,2.0,2.0,2.0,3.0
2.0,1.0,4,2.0,3.0,2.0,4.0,2.0,2.0,3.0
2.0,2.0,3,1.0,2.0,2.0,3.0,1.0,3.0,3.0
2.0,4.0,1,2.0,1.0,2.0,3.0,1.0,4.0,1.0
1.0,2.0,1,2.0,3.0,2.0,2.0,2.0,1.0,1.0
2.0,2.0,2,1.0,2.0,3.0,2.0,2.0,3.0,2.0
5.0,2.0,2,1.0,3.0,2.0,2.0,2.0,2.0,2.0
2.0,3.0,2,2.0,1.0,2.0,2.0,2.0,3.0,2.0
1.0,1.0,1,3.0,3.0,2.0,1.0,2.0,4.0,1.0
3.0,2.0,3,1.0,3.0,2.0,3.0,2.0,3.0,2.0
1.0,3.0,1,1.0,2.0,2.0,3.0,8.0,2.0,1.0
4.0,4.0,4,1.0,1.0,2.0,2.0,3.0,2.0,3.0
2.0,1.0,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1.0,1.0,4,2.0,1.0,1.0,2.0,2.0,4.0,1.0
5.0,1.0,1,1.0,2.0,1.0,3.0,2.0,2.0,3.0
3.0,1.0,1,1.0,3.0,1.0,2.0,1.0,4.0,3.0
2.0,2.0,3,1.0,3.0,1.0,1.0,4.0,2.0,3.0
2.0,1.0,2,1.0,2.0,3.0,3.0,2.0,3.0,1.0
2.0,3.0,2,1.0,1.0,1.0,4.0,2.0,1.0,2.0
1.0,2.0,3,2.0,3.0,2.0,1.0,2.0,1.0,2.0
2.0,5.0,2,2.0,2.0,1.0,4.0,2.0,3.0,
2.0,2.0,2,1.0,,2.0,2.0,1.0,1.0,
2.0,3.0,1,4.0,,0.0,,2.0,,
,,1,,,,,2.0,,
,,2,,,,,,,
,,2,,,,,,,
