nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
86.0,58.0,115.0,54.0,20.0,116.0,60,59.0,79.0,35
49.0,65.0,46.0,76.0,106.0,51.0,61,56.0,53.0,51
16.0,22.0,8.0,42.0,8.0,8.0,15,22.0,15.0,43
14.0,9.0,2.0,2.0,3.0,11.0,9,3.0,3.0,18
2.0,5.0,3.0,4.0,15.0,4.0,4,14.0,4.0,3
5.0,3.0,12.0,3.0,23.0,2.0,8,5.0,16.0,3
8.0,3.0,9.0,10.0,7.0,4.0,4,9.0,3.0,2
4.0,10.0,5.0,2.0,2.0,4.0,2,3.0,2.0,12
3.0,2.0,7.0,5.0,3.0,4.0,3,2.0,4.0,3
3.0,3.0,2.0,7.0,4.0,3.0,15,2.0,4.0,7
5.0,3.0,3.0,2.0,3.0,2.0,5,5.0,7.0,3
4.0,6.0,3.0,2.0,4.0,4.0,3,8.0,6.0,2
3.0,2.0,9.0,9.0,3.0,5.0,2,2.0,5.0,3
3.0,9.0,2.0,3.0,13.0,6.0,10,4.0,3.0,3
2.0,2.0,7.0,5.0,2.0,3.0,6,4.0,2.0,9
5.0,7.0,2.0,2.0,2.0,9.0,5,8.0,3.0,4
2.0,3.0,3.0,3.0,3.0,2.0,1,3.0,9.0,3
3.0,3.0,4.0,7.0,2.0,3.0,2,6.0,3.0,4
5.0,2.0,2.0,5.0,3.0,2.0,5,2.0,1.0,2
3.0,5.0,6.0,3.0,2.0,2.0,3,2.0,1.0,5
2.0,2.0,4.0,2.0,5.0,2.0,6,4.0,3.0,5
2.0,10.0,2.0,1.0,3.0,1.0,3,2.0,4.0,2
2.0,4.0,2.0,6.0,5.0,6.0,2,3.0,2.0,2
3.0,5.0,2.0,3.0,6.0,6.0,4,8.0,2.0,4
4.0,2.0,1.0,4.0,4.0,2.0,2,4.0,2.0,2
1.0,2.0,4.0,4.0,2.0,3.0,5,2.0,4.0,5
4.0,2.0,3.0,3.0,3.0,3.0,2,2.0,2.0,4
3.0,4.0,3.0,3.0,2.0,8.0,6,8.0,2.0,2
2.0,9.0,3.0,4.0,8.0,2.0,2,3.0,3.0,2
2.0,2.0,1.0,2.0,2.0,1.0,2,2.0,3.0,2
2.0,3.0,4.0,3.0,2.0,3.0,5,6.0,7.0,3
4.0,1.0,2.0,13.0,2.0,4.0,2,4.0,3.0,2
4.0,3.0,6.0,2.0,2.0,2.0,2,6.0,3.0,2
3.0,2.0,3.0,4.0,4.0,2.0,3,2.0,2.0,2
2.0,2.0,5.0,8.0,4.0,2.0,6,3.0,2.0,2
2.0,3.0,5.0,2.0,4.0,1.0,2,2.0,5.0,11
2.0,1.0,2.0,2.0,2.0,2.0,3,7.0,4.0,5
9.0,2.0,1.0,3.0,4.0,5.0,1,5.0,4.0,3
4.0,2.0,2.0,3.0,3.0,7.0,3,2.0,1.0,5
2.0,3.0,4.0,3.0,3.0,4.0,2,5.0,3.0,2
3.0,3.0,1.0,2.0,4.0,2.0,2,2.0,5.0,2
7.0,1.0,2.0,4.0,2.0,3.0,4,2.0,2.0,6
2.0,2.0,6.0,2.0,2.0,4.0,2,2.0,6.0,2
2.0,5.0,1.0,3.0,2.0,3.0,5,4.0,3.0,1
2.0,2.0,4.0,2.0,3.0,2.0,3,6.0,2.0,2
5.0,3.0,2.0,2.0,2.0,2.0,5,2.0,5.0,2
5.0,6.0,2.0,3.0,2.0,5.0,4,3.0,2.0,2
2.0,11.0,2.0,3.0,2.0,2.0,2,3.0,3.0,3
11.0,2.0,2.0,2.0,2.0,2.0,1,2.0,1.0,4
4.0,2.0,2.0,5.0,2.0,2.0,4,2.0,5.0,2
2.0,3.0,2.0,2.0,2.0,3.0,2,3.0,5.0,2
2.0,5.0,1.0,6.0,5.0,2.0,2,6.0,6.0,2
4.0,5.0,4.0,2.0,2.0,4.0,4,12.0,6.0,5
4.0,2.0,2.0,1.0,4.0,2.0,3,2.0,4.0,6
3.0,2.0,2.0,6.0,2.0,7.0,4,2.0,5.0,2
2.0,3.0,3.0,2.0,5.0,1.0,2,1.0,2.0,3
2.0,1.0,3.0,2.0,3.0,2.0,7,3.0,2.0,5
1.0,6.0,3.0,2.0,6.0,2.0,4,3.0,2.0,6
5.0,3.0,4.0,8.0,4.0,2.0,2,3.0,3.0,2
4.0,2.0,1.0,3.0,2.0,2.0,3,2.0,8.0,3
3.0,3.0,3.0,3.0,2.0,2.0,1,3.0,11.0,2
2.0,12.0,5.0,,4.0,2.0,2,2.0,2.0,3
4.0,,2.0,,2.0,0.0,2,0.0,,2
,,,,,,2,,,3
