nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
14.0,69.0,117.0,150,101,61.0,89,81.0,212.0,84.0
30.0,76.0,34.0,32,20,6.0,23,112.0,11.0,138.0
3.0,2.0,1.0,5,52,49.0,92,25.0,41.0,3.0
12.0,56.0,15.0,15,23,60.0,26,12.0,8.0,9.0
11.0,12.0,40.0,12,14,44.0,5,6.0,7.0,26.0
93.0,15.0,3.0,5,15,13.0,10,8.0,27.0,3.0
72.0,4.0,12.0,9,7,2.0,4,3.0,19.0,23.0
16.0,18.0,14.0,3,28,6.0,5,2.0,4.0,5.0
6.0,4.0,14.0,5,3,15.0,3,4.0,14.0,3.0
6.0,3.0,15.0,2,2,8.0,4,14.0,3.0,16.0
12.0,14.0,30.0,6,7,44.0,4,6.0,16.0,2.0
15.0,4.0,8.0,5,2,1.0,10,2.0,2.0,5.0
5.0,7.0,1.0,11,5,4.0,7,4.0,7.0,11.0
4.0,7.0,5.0,5,2,3.0,1,4.0,4.0,4.0
6.0,9.0,2.0,1,3,2.0,6,5.0,4.0,6.0
7.0,13.0,18.0,2,3,6.0,3,8.0,3.0,4.0
6.0,4.0,10.0,8,6,2.0,1,4.0,3.0,5.0
2.0,4.0,3.0,3,4,2.0,5,1.0,1.0,3.0
5.0,6.0,1.0,4,7,2.0,1,4.0,2.0,3.0
1.0,5.0,6.0,4,6,16.0,2,3.0,2.0,1.0
8.0,5.0,2.0,1,4,5.0,2,5.0,8.0,4.0
2.0,7.0,5.0,2,1,9.0,7,5.0,2.0,2.0
5.0,6.0,5.0,3,3,1.0,1,2.0,8.0,4.0
11.0,1.0,2.0,2,2,2.0,2,3.0,2.0,3.0
2.0,10.0,6.0,7,2,4.0,7,10.0,2.0,1.0
3.0,2.0,1.0,2,2,4.0,3,3.0,1.0,8.0
2.0,5.0,3.0,3,1,2.0,1,5.0,2.0,1.0
3.0,1.0,5.0,6,1,1.0,2,2.0,2.0,5.0
6.0,2.0,6.0,3,3,3.0,7,2.0,6.0,5.0
2.0,2.0,2.0,4,11,2.0,3,5.0,10.0,3.0
2.0,2.0,1.0,4,2,5.0,2,2.0,2.0,2.0
3.0,5.0,2.0,4,3,1.0,3,4.0,2.0,2.0
2.0,7.0,5.0,1,2,2.0,5,1.0,5.0,4.0
2.0,4.0,2.0,1,10,5.0,2,6.0,3.0,2.0
3.0,1.0,1.0,7,6,4.0,3,3.0,2.0,3.0
1.0,10.0,4.0,2,1,4.0,3,3.0,3.0,2.0
2.0,1.0,1.0,3,6,3.0,2,2.0,3.0,5.0
7.0,1.0,3.0,2,6,1.0,1,2.0,2.0,5.0
5.0,3.0,3.0,9,2,2.0,5,1.0,4.0,1.0
1.0,2.0,3.0,3,8,2.0,6,2.0,3.0,3.0
4.0,2.0,2.0,3,1,2.0,3,4.0,1.0,6.0
8.0,3.0,2.0,8,1,2.0,3,2.0,2.0,4.0
3.0,2.0,4.0,3,1,2.0,3,5.0,2.0,4.0
2.0,3.0,2.0,2,2,1.0,1,2.0,1.0,2.0
2.0,3.0,2.0,5,2,2.0,3,2.0,3.0,2.0
2.0,5.0,5.0,7,4,3.0,3,4.0,4.0,7.0
2.0,6.0,2.0,3,1,7.0,4,2.0,4.0,3.0
2.0,2.0,2.0,3,1,6.0,2,4.0,2.0,3.0
5.0,1.0,4.0,2,3,2.0,3,2.0,4.0,2.0
2.0,1.0,1.0,2,1,10.0,1,2.0,3.0,4.0
3.0,5.0,2.0,4,3,1.0,3,2.0,1.0,2.0
2.0,1.0,1.0,5,3,1.0,3,1.0,,5.0
2.0,5.0,3.0,2,1,1.0,3,1.0,,4.0
4.0,2.0,4.0,3,2,2.0,1,3.0,,
3.0,,1.0,4,1,,2,1.0,,
,,,1,1,,3,3.0,,
,,,2,1,,9,7.0,,
,,,2,4,,1,,,
