nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
90.0,162.0,5.0,41,113.0,110.0,72.0,10.0,9.0,144.0
162.0,39.0,62.0,12,143.0,114.0,44.0,79.0,130.0,75.0
8.0,16.0,137.0,92,1.0,44.0,11.0,89.0,32.0,1.0
23.0,45.0,4.0,67,10.0,3.0,125.0,37.0,47.0,19.0
16.0,20.0,97.0,2,22.0,12.0,26.0,8.0,18.0,54.0
2.0,15.0,12.0,15,16.0,51.0,6.0,5.0,5.0,19.0
11.0,42.0,10.0,82,1.0,6.0,27.0,51.0,18.0,39.0
8.0,23.0,68.0,1,77.0,12.0,21.0,22.0,15.0,43.0
12.0,13.0,8.0,2,3.0,2.0,11.0,47.0,6.0,2.0
8.0,2.0,4.0,2,14.0,21.0,2.0,21.0,12.0,3.0
81.0,3.0,14.0,2,10.0,6.0,2.0,9.0,3.0,2.0
1.0,3.0,80.0,1,19.0,14.0,1.0,1.0,40.0,3.0
33.0,2.0,7.0,1,3.0,7.0,6.0,11.0,6.0,1.0
12.0,4.0,3.0,1,4.0,7.0,1.0,10.0,6.0,1.0
1.0,1.0,2.0,2,3.0,1.0,2.0,14.0,1.0,1.0
4.0,5.0,2.0,1,2.0,2.0,1.0,2.0,2.0,1.0
2.0,4.0,6.0,1,3.0,4.0,1.0,1.0,3.0,2.0
1.0,2.0,1.0,1,3.0,1.0,3.0,2.0,2.0,2.0
3.0,4.0,1.0,1,1.0,2.0,1.0,3.0,3.0,1.0
1.0,1.0,5.0,1,1.0,2.0,1.0,1.0,1.0,1.0
3.0,2.0,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,1.0,2,2.0,1.0,1.0,2.0,1.0,2.0
2.0,2.0,1.0,1,1.0,1.0,1.0,2.0,1.0,1.0
1.0,2.0,1.0,1,1.0,1.0,1.0,2.0,2.0,1.0
2.0,1.0,1.0,1,1.0,3.0,2.0,3.0,3.0,1.0
2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1,1.0,3.0,1.0,1.0,2.0,1.0
2.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,2.0
1.0,2.0,2.0,1,2.0,1.0,1.0,1.0,2.0,2.0
2.0,1.0,2.0,1,1.0,1.0,1.0,2.0,3.0,1.0
1.0,2.0,1.0,1,1.0,2.0,1.0,1.0,1.0,1.0
4.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,1.0,1,1.0,2.0,1.0,1.0,2.0,1.0
1.0,1.0,2.0,1,2.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,5.0,1,1.0,1.0,2.0,1.0,1.0,1.0
1.0,1.0,2.0,1,3.0,1.0,2.0,1.0,2.0,2.0
1.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0
1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,,1,1.0,2.0,1.0,1.0,1.0,1.0
1.0,2.0,,1,1.0,2.0,1.0,1.0,1.0,2.0
1.0,1.0,,2,1.0,3.0,1.0,1.0,1.0,1.0
1.0,1.0,,1,1.0,1.0,2.0,1.0,1.0,1.0
,1.0,,1,1.0,1.0,2.0,2.0,2.0,1.0
,2.0,,1,1.0,1.0,1.0,1.0,1.0,1.0
,1.0,,1,1.0,1.0,2.0,2.0,1.0,1.0
,1.0,,1,1.0,1.0,2.0,1.0,1.0,1.0
,2.0,,1,,2.0,1.0,1.0,1.0,1.0
,1.0,,1,,1.0,1.0,1.0,2.0,1.0
,2.0,,1,,,1.0,,1.0,1.0
,,,1,,,1.0,,1.0,
,,,1,,,1.0,,1.0,
,,,3,,,1.0,,1.0,
,,,1,,,1.0,,1.0,
,,,1,,,,,0.0,
,,,2,,,,,,
,,,1,,,,,,
,,,1,,,,,,
