nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
19,7,19,19,19,19,19,19,19,19
19,19,13,19,3,18,19,17,19,19
19,8,19,12,19,19,19,19,12,3
14,14,9,19,19,11,10,15,9,6
19,17,18,19,9,10,19,19,19,19
19,7,19,3,12,19,9,4,17,15
15,19,11,19,19,6,8,6,2,8
19,7,4,12,19,10,3,8,9,19
8,19,3,18,8,13,9,19,3,10
19,10,14,6,16,19,12,15,7,15
19,4,19,7,18,9,19,6,2,8
19,5,4,8,3,3,19,1,19,3
3,1,9,7,8,8,4,5,8,3
19,7,14,2,19,1,3,4,10,19
13,19,19,17,9,9,7,7,2,12
4,1,3,3,19,17,10,5,3,1
8,3,3,6,19,3,19,3,6,11
7,5,13,5,3,19,19,6,19,3
5,19,19,18,19,1,6,8,19,19
18,1,9,19,10,5,3,14,1,6
6,5,14,3,2,19,8,19,10,17
18,5,14,1,5,3,5,16,3,2
3,1,6,13,4,19,6,11,5,2
9,7,1,3,5,13,2,1,5,16
1,4,11,5,19,19,11,4,3,19
9,1,3,3,11,17,1,1,19,16
12,11,1,14,9,4,15,4,3,3
5,4,19,9,19,1,1,1,6,1
4,11,10,2,4,5,2,2,17,4
1,1,19,19,3,3,4,6,6,2
3,3,3,19,6,17,12,1,6,19
6,1,1,10,2,11,5,15,1,2
2,6,3,12,2,1,19,18,1,1
2,1,2,8,19,8,2,19,3,17
16,1,1,5,14,3,8,17,5,6
9,1,4,8,1,12,1,9,1,1
2,19,1,9,16,9,15,18,4,2
4,3,9,7,12,7,1,10,11,12
7,3,1,16,15,17,3,3,1,8
11,14,1,8,19,3,15,5,3,4
1,8,1,5,6,1,10,3,14,10
2,9,19,19,11,3,4,3,8,2
1,16,19,9,19,19,2,12,8,2
4,6,1,1,6,1,2,2,15,5
2,8,1,1,3,3,2,1,2,6
10,4,7,18,2,10,3,19,11,6
11,1,2,7,19,18,1,1,9,3
3,1,5,1,1,19,6,2,2,4
7,10,7,3,19,7,19,5,9,1
3,10,4,5,1,3,4,1,8,4
10,5,12,8,1,1,14,5,13,9
1,3,1,15,6,3,19,3,1,12
1,1,3,19,4,19,4,3,1,5
4,5,8,3,14,10,19,2,6,9
1,1,1,19,1,1,1,8,2,1
9,1,5,5,11,6,8,1,5,2
8,19,4,11,18,7,5,3,2,9
7,2,6,19,8,1,1,5,1,5
4,6,2,19,1,7,12,19,1,2
1,1,1,2,6,2,19,1,2,12
6,18,7,4,4,18,1,4,3,1
19,11,13,19,15,19,1,19,1,7
1,12,1,4,12,1,1,3,6,2
19,5,2,2,3,7,19,4,2,6
2,4,2,13,10,3,19,1,9,6
5,3,1,2,9,3,3,17,13,5
4,4,2,1,4,5,9,1,2,12
11,3,2,1,6,3,1,2,8,5
2,13,1,10,3,1,6,19,5,13
12,5,16,1,1,1,5,9,3,19
7,4,1,3,6,6,11,1,9,4
4,1,1,7,1,4,4,5,1,2
7,19,4,17,3,1,3,5,9,12
2,19,9,3,11,3,5,13,1,12
19,5,1,3,2,14,2,19,4,4
19,9,2,1,11,1,8,19,5,2
5,19,1,15,17,1,2,6,12,12
11,2,1,2,5,2,7,4,3,5
16,4,10,1,3,10,13,1,7,1
1,9,6,6,19,19,3,19,1,3
19,9,19,1,6,1,5,19,19,3
3,5,2,19,3,1,1,1,7,8
1,19,4,2,1,1,13,9,16,19
12,7,1,9,6,2,19,18,1,4
1,10,15,6,9,8,17,1,1,2
19,1,1,2,1,4,3,2,10,16
1,8,3,5,3,6,19,4,1,11
3,19,1,7,19,2,6,12,8,6
19,8,2,10,19,2,2,1,19,5
1,3,1,15,11,19,19,13,1,2
7,4,3,7,2,5,19,10,2,4
2,1,1,1,4,16,16,4,5,13
9,6,1,1,4,2,15,19,19,6
5,19,6,7,6,1,3,1,4,3
11,3,19,7,3,4,8,19,19,4
1,4,2,6,5,5,1,1,5,14
8,1,4,10,6,6,4,4,5,7
15,1,5,5,7,13,4,1,3,2
3,4,8,10,2,5,19,2,1,2
