nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
19,19.0,16.0,16.0,13.0,19.0,19.0,19.0,19.0,19.0
19,10.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,9.0
19,19.0,4.0,19.0,19.0,13.0,7.0,19.0,19.0,19.0
10,17.0,19.0,17.0,19.0,19.0,12.0,14.0,19.0,19.0
14,14.0,16.0,19.0,14.0,10.0,19.0,6.0,19.0,10.0
13,5.0,19.0,16.0,4.0,19.0,19.0,19.0,19.0,19.0
19,11.0,19.0,19.0,11.0,4.0,19.0,19.0,10.0,8.0
17,2.0,19.0,5.0,16.0,6.0,19.0,19.0,19.0,11.0
19,19.0,19.0,5.0,4.0,19.0,19.0,8.0,19.0,19.0
5,19.0,5.0,2.0,5.0,17.0,19.0,1.0,1.0,19.0
10,9.0,19.0,18.0,4.0,19.0,5.0,16.0,6.0,19.0
4,14.0,15.0,19.0,19.0,13.0,19.0,19.0,2.0,19.0
7,3.0,2.0,19.0,4.0,19.0,10.0,12.0,9.0,9.0
3,4.0,3.0,11.0,16.0,5.0,19.0,2.0,19.0,19.0
4,19.0,15.0,10.0,18.0,19.0,19.0,4.0,19.0,19.0
2,5.0,2.0,2.0,19.0,10.0,19.0,19.0,3.0,16.0
6,4.0,13.0,19.0,19.0,3.0,19.0,2.0,5.0,3.0
19,19.0,5.0,13.0,15.0,8.0,19.0,4.0,7.0,2.0
19,7.0,7.0,19.0,1.0,19.0,19.0,19.0,5.0,10.0
8,14.0,6.0,9.0,12.0,19.0,19.0,3.0,13.0,8.0
15,10.0,5.0,4.0,9.0,1.0,19.0,14.0,9.0,9.0
10,7.0,19.0,3.0,19.0,19.0,7.0,5.0,19.0,19.0
19,19.0,5.0,14.0,6.0,19.0,6.0,5.0,13.0,5.0
3,19.0,7.0,15.0,19.0,13.0,19.0,1.0,9.0,9.0
19,7.0,9.0,9.0,6.0,19.0,19.0,3.0,4.0,19.0
4,14.0,10.0,6.0,8.0,19.0,3.0,19.0,19.0,19.0
2,19.0,1.0,1.0,4.0,19.0,11.0,19.0,12.0,18.0
10,7.0,19.0,19.0,19.0,14.0,13.0,19.0,5.0,11.0
19,19.0,19.0,19.0,7.0,18.0,19.0,19.0,6.0,19.0
13,15.0,17.0,18.0,19.0,19.0,13.0,19.0,3.0,15.0
11,17.0,8.0,10.0,19.0,5.0,15.0,1.0,18.0,19.0
6,4.0,1.0,6.0,19.0,1.0,3.0,2.0,19.0,8.0
5,13.0,2.0,5.0,19.0,19.0,1.0,13.0,11.0,9.0
9,19.0,1.0,14.0,12.0,19.0,19.0,8.0,4.0,15.0
4,6.0,8.0,8.0,17.0,10.0,19.0,19.0,19.0,1.0
19,13.0,6.0,19.0,7.0,19.0,16.0,19.0,17.0,19.0
2,10.0,3.0,12.0,18.0,19.0,8.0,19.0,4.0,3.0
1,15.0,19.0,19.0,19.0,19.0,14.0,9.0,2.0,19.0
4,13.0,7.0,18.0,4.0,10.0,12.0,9.0,1.0,19.0
19,8.0,6.0,9.0,12.0,16.0,8.0,19.0,15.0,15.0
6,19.0,19.0,19.0,3.0,5.0,2.0,4.0,1.0,9.0
17,19.0,5.0,7.0,6.0,,,7.0,13.0,19.0
4,6.0,4.0,4.0,4.0,,,11.0,7.0,
6,19.0,19.0,13.0,19.0,,,1.0,7.0,
1,,19.0,2.0,2.0,,,12.0,19.0,
11,,14.0,,,,,9.0,7.0,
6,,12.0,,,,,1.0,10.0,
19,,13.0,,,,,,,
5,,,,,,,,,
