variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
1217.2036312725031,8611.367741272123,17998.192650124904,2926.7220689922588,5934.559124308834,1115.4012179748468,2624.824963606333,3096.664118949774,2053.809447780104,6474.315547068465
2749.879837944225,12026.996890544655,8413.67067483354,11364.79785870184,13759.397557020813,1204.7812922593398,2427.6013724414324,2586.3327264708837,2828.5311818037094,42291.17300634913
28493.22416040142,10049.500472746931,6201.974107162424,9441.372539567965,11527.85410932163,4126.800143456268,5686.298885681366,14021.452138248238,4641.3550533016505,23850.12569383561
28599.35369623268,12198.996070595975,8355.322509564088,7082.687480557633,9198.883007277542,5533.370827496609,5688.718364321367,13923.404404848861,16490.212246963703,23718.435108129455
20952.045847086287,13245.239559640948,13071.719004009457,13130.288131381289,8910.684202600714,6216.934627614852,6975.00229802626,16367.98416003209,14435.618719084116,16743.99681153942
18010.010694436533,14046.68578427833,8930.313020415762,7897.659072269864,9929.671816366328,7242.49713292036,8536.694311787944,14757.047971745684,14896.606503248426,17476.358331769447
19343.275375401194,17552.196151797034,11470.16463098429,10452.580597177937,12569.587366224841,6459.148912008099,8066.6027039399705,16769.857612721593,13987.28815228613,21031.269864228976
15173.23469318586,14470.624730860436,8988.221037103533,15566.343745711658,14841.392060129772,7057.831807601455,11501.998886805435,18123.253633759225,16519.49422183202,18109.1917205778
17934.495669703945,15880.338781552622,11489.647753674126,16215.315619080542,16491.882243866683,7719.337220199712,9798.186328693993,18061.513909329395,19199.734156675382,20396.70582485232
21809.102912553204,16098.582854217308,11553.549167863268,14264.11056161608,16940.605893467207,6535.8988391401945,13242.628860731074,59371.9974476114,22032.760669966152,23966.21514933489
27797.182885812246,16369.101135439196,13344.192713237793,16664.664045217287,14961.46389684052,7941.578872843584,11727.828819112103,65917.6388560526,30630.31694358241,22422.283491552684
20146.763586782174,14766.474352645813,13391.439476985077,13896.199619357734,16440.64412002958,9071.47133763588,12004.78020811643,76935.92824665112,36493.13662603942,35551.200759060994
19378.785010742788,12555.13661166051,17982.191687539955,16247.239104576189,21462.08628607059,16454.33039933229,15965.713628826032,60065.194416381724,41916.79338877215,26281.502375503434
20232.389923555405,16208.757779277428,16634.43299505992,17939.446346441382,75766.074260487,15010.448957345638,12678.0031116346,69751.86771942678,63993.24006649242,24617.191808322965
18004.15419403655,17448.384371507094,21043.425102479425,15034.827874650477,70991.03773048171,16120.245599143836,14878.809219199322,67943.62675394719,81899.78507390273,30348.409630131242
16931.92251830294,17848.39543205854,26234.183531329374,22042.95945447562,66527.49996969817,15662.286341477076,13366.450615859258,78318.43440213958,104456.35845222324,28389.255930697407
