varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
1023.7738881376214,2529.564986654609,4472.842254921106,1565.3667166480318,2155.0291291330354,1713.666079410024,1602.150305593394,3728.120590969381,1232.5045376638602,2385.922943588206
1238.6699983276453,2891.3380245422595,2104.5657440964824,2195.4665192648554,2631.2526403747624,1633.736786430527,1320.513351765011,3524.3175709428824,1262.8777615386198,5473.380648017121
8923.946112070504,3587.9299494223883,1794.9515336127477,2348.2085438054833,2242.135490222661,2311.7771238140544,2029.5729530148344,6489.507905383823,2244.6051234222923,4488.8137465520695
12887.489620871178,6010.569969146798,2275.4207154382084,2713.773513927438,1874.2584714402358,2859.3120005113424,2358.1902139357503,7842.579185716593,4255.749592298543,3188.16540886108
5178.504034281374,6766.027392067954,3593.4266989555435,3502.603899257705,2014.7346434111994,3824.314637797991,2380.6316972626246,9633.346251481555,9121.039534498326,7476.626156895667
3664.864896297934,10790.252640901483,3010.740324180958,6368.841330314263,2652.41419187036,3884.0246919502306,3331.2830812827196,8345.083090851662,17315.09685981668,8534.11123151439
6843.845710575422,16513.657675035523,3706.3167133907,3834.121816243309,27009.029975821308,3740.351143642014,10229.527712165665,10377.09958136768,12397.597396341753,23567.963003391043
7193.541214508992,13496.005699990234,4377.520457830289,4852.373486895143,48870.72333488341,3899.4630163564584,16784.500477628397,15180.851695362406,12106.74463162193,41143.59686353692
8062.189200910372,14944.577411066253,5971.141753740792,6100.071678728096,63526.7101625692,4451.963819409407,14433.005104297845,17198.197616416033,14440.020560610348,47544.00384216581
10040.72879147571,24225.582943441295,6722.146038829398,8172.869787824544,59150.39060546115,3812.3360936963695,20910.74818393688,53128.675324583885,19574.431520747665,61331.81016006359
12245.65105017011,19963.630442143243,6911.197415427872,7885.645539529922,47413.75008805886,5072.995649260352,19652.375103416776,60215.25741420916,31523.72196664218,76355.20696619466
10967.223471000325,15272.00225486209,10970.336297193604,5958.140620909072,81571.61083283069,5076.688385399892,22166.165015878963,62655.64337667629,40783.84003667471,119190.26418182321
15503.424232497367,14559.574021968214,15642.732797221448,7714.551648451018,178715.78636348117,9508.518411304814,15241.256944457426,46907.55263080196,47272.8776038337,128602.14343586485
21378.418122068993,25617.302366110227,15348.123110075046,7267.664558098342,21722.808775435806,11001.962710929329,11693.006897499125,67126.52914892448,64261.21742769769,211594.29457836435
31491.755388071797,33649.37148801789,22214.64797395653,6698.0114598249575,17696.89135144663,11680.603772781114,16856.392477030146,63404.24108977405,75185.93551440242,209481.68091254486
29208.20534772044,40301.55507267453,156806.7466027358,10926235.447482463,20863.812740516983,13118.85557256938,13168.342431217452,77626.4285576629,94184.25278026918,246755.54666676442
40861.6572321237,52350.41766685803,26916.083134556717,28328.356483162737,13729.016458490714,13861.772654215152,28361.414939341154,92894.89753142692,73188.74617448117,466934.6160898303
39468.98563985959,68683.16572187975,16024.143733043169,25243.374381518053,16410.10859858805,10212.817105323618,32150.731379963687,114010.0802716733,81348.57585815538,265618.3059992577
43622.842563364844,55156.02592256927,15460.870201391599,40514.080448613146,17926.416933486522,9279.25644083428,38952.44827697548,112407.70407342413,85785.05800260106,184944.57838578522
20457.63288671252,10675.629502730171,16276.904627055294,51759.597396071695,24270.712275799506,25135.066338165565,15078.815416584439,6527.611113931038,17783.80149095056,16914.48885802941
29878.391629614474,38396.0048450625,24162.233954896703,90206.39512104989,25934.40241127661,24588.897839867852,19816.330140289603,10452.549394652266,20913.78029461993,11316.42687974323
44556.03915715879,71006.96039995464,47118.402383032495,129820.67086046978,32957.349658558145,38045.004012408855,26700.2287182355,15039.471747188147,40786.175313924294,64915.52789594236
33125.14189828024,48634.12404425874,58315.32824718079,154409.1969292937,44200.08445315799,33818.32867382106,28978.462338307465,22680.700157390995,102704.33227585212,121009.40054464142
78906.20246859579,66691.34408553125,90697.81514875572,140968.5974332024,50994.230093710416,46658.57670967054,31145.009069234016,29935.519239932597,158505.24061664287,143599.80703785247
102890.7478944335,87464.70124665904,104634.56173420127,190669.05721824538,66076.42433165759,44956.916463913425,76508.18934287678,34221.6221778623,187143.4474004254,192193.5545581224
234512.7392411462,40043.545194724036,111406.90563780365,210893.5650332459,72731.77452982118,53488.1732967932,157255.17586277655,50543.466014968726,244190.69178030113,279250.59433708957
313706.37840509816,69876.6482225726,162453.68010458304,166584.80165158102,92939.80118599665,46214.530336038624,109200.90764602166,38808.31905055817,285515.85562035214,337464.04403953836
371699.47391957324,49165.48636445387,243315.60537995715,152802.14496706036,98995.50243883758,45280.44894863425,247963.31745075577,43936.30681280727,339125.3507709196,595690.101846331
329033.9940768007,421328.7708430886,182425.46160136446,172059.67113636725,119293.20950281034,35214.10036927054,324715.4394108802,178248.52078261386,246455.3906834273,51875.53051893592
