nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
13.0,19.0,19.0,19.0,19.0,19.0,11.0,19.0,19,19.0
13.0,18.0,17.0,19.0,19.0,19.0,19.0,19.0,13,19.0
19.0,19.0,19.0,18.0,16.0,18.0,7.0,9.0,14,4.0
19.0,17.0,6.0,16.0,10.0,6.0,19.0,7.0,11,19.0
19.0,19.0,19.0,19.0,16.0,19.0,13.0,19.0,14,9.0
19.0,9.0,13.0,19.0,19.0,16.0,8.0,10.0,6,19.0
13.0,14.0,19.0,8.0,19.0,19.0,6.0,10.0,12,13.0
19.0,1.0,18.0,11.0,5.0,3.0,16.0,18.0,11,7.0
2.0,19.0,18.0,19.0,19.0,12.0,19.0,2.0,4,19.0
19.0,19.0,2.0,19.0,12.0,19.0,3.0,13.0,2,2.0
15.0,9.0,1.0,2.0,19.0,3.0,19.0,5.0,17,7.0
11.0,6.0,2.0,4.0,3.0,19.0,5.0,1.0,1,5.0
16.0,9.0,19.0,19.0,19.0,3.0,11.0,4.0,6,18.0
19.0,2.0,19.0,11.0,1.0,5.0,3.0,14.0,1,11.0
16.0,13.0,4.0,5.0,19.0,1.0,9.0,13.0,3,7.0
4.0,1.0,5.0,18.0,6.0,4.0,16.0,11.0,2,19.0
3.0,2.0,6.0,19.0,5.0,2.0,2.0,19.0,2,3.0
14.0,5.0,12.0,18.0,19.0,19.0,1.0,6.0,2,12.0
19.0,6.0,12.0,8.0,1.0,1.0,1.0,1.0,19,7.0
2.0,8.0,19.0,3.0,2.0,5.0,18.0,16.0,8,1.0
19.0,5.0,13.0,2.0,13.0,15.0,5.0,2.0,12,3.0
2.0,7.0,19.0,8.0,2.0,6.0,19.0,3.0,7,19.0
6.0,18.0,15.0,2.0,11.0,19.0,6.0,8.0,2,3.0
8.0,1.0,1.0,2.0,19.0,15.0,2.0,1.0,2,2.0
14.0,1.0,7.0,7.0,19.0,11.0,2.0,2.0,19,4.0
14.0,17.0,7.0,6.0,11.0,2.0,17.0,19.0,1,19.0
7.0,2.0,11.0,19.0,14.0,4.0,1.0,1.0,1,19.0
11.0,3.0,13.0,8.0,3.0,3.0,9.0,8.0,17,3.0
4.0,2.0,12.0,6.0,19.0,4.0,9.0,12.0,10,18.0
19.0,5.0,14.0,12.0,7.0,3.0,4.0,1.0,6,3.0
10.0,19.0,6.0,1.0,1.0,7.0,5.0,5.0,6,8.0
10.0,9.0,10.0,5.0,14.0,19.0,2.0,1.0,19,9.0
7.0,5.0,2.0,8.0,7.0,1.0,1.0,11.0,8,4.0
19.0,19.0,4.0,6.0,4.0,11.0,5.0,19.0,16,1.0
3.0,6.0,4.0,6.0,7.0,5.0,2.0,19.0,19,11.0
11.0,12.0,6.0,19.0,13.0,7.0,19.0,1.0,1,3.0
18.0,16.0,7.0,8.0,8.0,17.0,19.0,8.0,5,3.0
3.0,19.0,3.0,7.0,1.0,9.0,1.0,19.0,10,6.0
7.0,3.0,1.0,13.0,5.0,1.0,6.0,14.0,17,6.0
6.0,3.0,6.0,7.0,3.0,1.0,2.0,9.0,5,3.0
19.0,9.0,1.0,1.0,2.0,6.0,3.0,1.0,1,19.0
19.0,4.0,2.0,4.0,16.0,6.0,5.0,12.0,4,3.0
6.0,15.0,7.0,1.0,10.0,17.0,2.0,5.0,1,10.0
5.0,5.0,1.0,19.0,9.0,9.0,6.0,4.0,4,5.0
1.0,5.0,3.0,4.0,2.0,4.0,19.0,2.0,13,2.0
12.0,19.0,2.0,3.0,2.0,7.0,14.0,1.0,2,19.0
,18.0,9.0,4.0,1.0,11.0,7.0,4.0,6,4.0
,2.0,16.0,5.0,1.0,11.0,19.0,5.0,1,16.0
,19.0,19.0,6.0,6.0,6.0,8.0,6.0,12,10.0
,1.0,1.0,1.0,19.0,6.0,6.0,4.0,2,3.0
,5.0,1.0,7.0,,8.0,3.0,19.0,9,6.0
,,4.0,,,2.0,12.0,4.0,2,11.0
,,,,,1.0,16.0,3.0,12,
,,,,,,,7.0,6,
,,,,,,,,3,
,,,,,,,,2,
