rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  0.          49.97555222  19.98797083  19.98433482   0.          49.97555222
  19.98797083  19.98433482  49.97690725   9.98302301]","[ 99.9563687    9.9793859   19.97532596  59.95403596   9.98207378
  69.94853241  49.97677963  59.98342955  39.97630734   9.98198568]","[   9.99070212   19.96806938   39.9633111     9.98508943    9.9846668
   19.98358621  129.94600554    9.98716056   29.97536101   19.97194069]","[ 29.96372019  19.97078105  89.97223688  39.98794863   9.98642046
  19.98102203  19.98045258  69.95053243  59.98369664  29.98431624]","[ 29.97867226  39.98719454  39.98728176  49.94492272  29.98866551
   9.98195191  49.96410663  29.96693319  69.97842606  29.98418744]","[   9.98536571   29.98633967  109.95581001   19.97870604   19.98375838
   19.98313119   49.96912057   29.98734615   49.97231154   19.97302082]","[  39.98739221   29.97747388   99.92379727   59.97145486   49.94046924
   39.96581804   19.96669175    9.99114767   19.98229131  129.96897115]","[ 49.9669569   49.98057509  29.99365798  69.98341938  19.9670227
  89.94834318  59.96459566  39.97731745  89.97969797   0.        ]","[ 49.97809539  49.9739146   39.9806841   19.97195794  69.96974071
  29.99139627  49.96333266  59.97721674   9.98561511   9.98340423]","[ 39.97081675  79.97117202  49.94535112  29.97129489  19.97461567
  29.96659753   0.          39.98775181  89.950111    29.97562427]"
"[ 29.98853981  59.96215791  39.96912618  59.94321676  59.96215791
  39.96912618  59.94321676  39.97614538  39.96822985  39.98102774]","[ 89.96286389   9.98412717  49.97817798  39.98919007  69.97114462
  29.97995558  59.96694286  19.97017212  49.97745425  39.98482358]","[ 29.99000528  19.98919381   9.98590744  19.98154787  59.98110209
  59.97134023  59.97281813  39.97714457  39.98696978  29.98558153]","[ 39.97678512  29.94973404   9.97990609  39.98557695  29.98648362
  59.96643561  39.97750871  39.98494092  39.97744448  49.96304193]","[ 49.98400329  29.98864548  39.98448141  29.97974618  49.98286306
  39.97552234  79.95637315  59.97726721   9.98011453  19.9877277 ]","[ 109.95867458   59.95891432   79.95424504    9.98312237   39.96999494
   49.98445106   29.98241652    9.98493133    0.          129.95155907]","[ 19.9668064   39.98879435  49.98410429  59.96665698  39.96101058
   9.98611248  19.98457184  19.96811355  39.97472962  39.96434144]","[ 49.9781529   19.97607537  39.98291642  59.9475892   19.97364446
  59.97654739   9.9815473   49.98168886  79.94614676  39.98114619]","[ 29.99063426  19.97999185  19.9807484   59.97104499   9.98363986
  29.96583862  19.98459738  59.93887295  39.97681455  39.95854271]","[ 39.964632    69.97449741  19.97255502  49.9699522   39.98222922
  49.97292729   9.9813886   19.99033967  29.9703842   89.96103527]"
"[  39.98122087   29.9671578   119.9470958    39.96868388   29.97840957
   39.97227521   69.96710753   19.9831129    29.96399277   29.97840957]","[ 39.96805953  29.98987692   9.98083246  39.97273186  19.97254116
  39.96974243  19.97930002  29.9633277   49.98648659  59.94940022]","[ 39.9820843   19.9700463   39.96630523  39.97426864  19.97934611
  39.96272229  29.95046748  29.95915729  39.96886703  19.96902472]","[ 19.98740129  49.97206499  29.97498944  69.97621821  19.99065759
  19.97467479  19.98244946  39.98121874  39.97801748  19.98056266]","[ 49.97610233  69.97013882  59.97365005  39.97796388  59.95618709
  39.97059719  99.94279051   9.99127435  59.93609136  49.97328312]","[  9.98224646  59.94953658  29.98004331  79.96376997   0.          79.96595232
  19.96863683  99.97332265  59.96920365  29.96209946]","[ 79.9495028   19.97512081  59.95554402  19.96956791   9.98226456
   9.98760909  39.96937816  59.98146699  69.96255535   9.98331433]","[  69.9537311    19.99222533   59.97043523  129.92068042   69.96471208
   19.97953918   49.98194065   19.98907028   89.92253243   19.97263377]","[ 49.96079571  39.9859753    0.          29.95607297   9.9804907
  29.97670096  59.96496808  39.97833689  89.96823253  39.97589061]","[ 19.96831467  49.97924173   9.98240289  19.96408961  59.96702727
  49.97291242   9.98710284  39.98432907  49.98028612  39.96025529]"
"[ 19.97334078  19.98953585  19.974289     0.          29.98130372   0.
  79.97327816  79.96778852  49.97655407  59.95652949]","[  9.98614504  39.9715093   39.97909614  69.98135391  49.97194768
  29.98021413  19.98608633  29.98198397  29.96317152  29.98283304]","[  69.90178153   19.98975407  149.93241705   69.9721752    29.98585631
   69.96218741    9.98536848   29.97434148    0.           39.9791244 ]","[ 29.986169    39.97525537  79.98997099  39.98462756  69.97405951
  89.98196336  69.97709008  69.9693248   39.97367433   9.98192651]","[ 49.97967744  29.97200838  19.97256916  29.95236536  59.98101236
  19.9760689   49.97540694  29.97394945  49.98689718   9.97959224]","[ 19.97113605   0.          39.97711408  39.9636215   19.98845483
  99.96629581  59.96242069  29.96109415  29.97029188  39.97051134]","[ 99.96081524  49.97519515  79.94872931  29.97528266  19.98397868
  29.97387347  19.97194764  19.97682472  69.94471652  99.95692486]","[  49.97226165   39.98152575   79.93766063  119.95981067   29.97288428
  149.88798083   99.98300212   19.98478933  139.88082474    9.98759711]","[  49.97428663   39.98101093   79.93892015   89.93388358   69.95824278
   39.97810641   39.98425548  119.9423556    19.987708     89.96230908]","[ 39.98034721  19.97823003  69.96390682  89.87935949   0.          49.97481213
  29.97724271  29.97585305  29.97109878  39.94336252]"
"[ 39.96882727  69.92430805  79.94347068  59.96967348  39.97658992
   9.98827249  29.97291173  79.94347068  59.96967348  39.97183244]","[ 79.95347316  39.96347126   9.98417707  39.97433704  19.97013536
  29.96869116  19.97402822  19.98342308  89.98220301  49.96540129]","[  29.97871737    9.98647213   59.98070989  129.94033857   59.97599353
   29.98745957    9.98716599   39.96051558    9.98048688   29.98182849]","[  49.98192281   99.97980645   29.96297039   69.98141075   59.95012394
   39.96810703   39.97218466   49.97651262   49.98461545  129.90353064]","[  39.98660041   79.96298938   79.94801586    9.98033783   79.90934178
    9.98721427    9.98267689  149.88909586   29.97863405   49.96055943]","[  49.97509518   39.98718701   29.94384601   59.90850172   29.9715899
   39.97467344   49.98669995    9.98058389  109.93655203   39.95371743]","[  29.97631773   39.98880384   29.96701951    9.98024574   39.98049707
   39.98032306   59.96157487  119.96700604    0.           49.94558039]","[  9.98561068  29.97618572  29.98803264  39.94969204  49.98297353
  39.94576928  49.9479975   29.96841104  39.96978237  29.97253052]","[ 19.96653613  29.96203103  39.98033468  59.97457833  39.98630131
  49.92293436  39.97526064   9.9845864   39.96047157   9.98528597]","[ 59.96159463   9.98449688  19.98210224  79.95997828  69.97051251
  89.95558111  39.95610894  29.98589581  19.97918226  19.98197258]"
"[ 49.97002144  19.98689835  89.97174863  79.97542246  29.95043099
  69.93548824  59.9672496   29.97630242  29.95043099  69.93548824]","[   9.98591022   29.98193443    9.98749575   19.97269132    9.98364437
   49.9854455     9.98717453  149.91009034   19.98520383   69.96856622]","[ 49.91286117  79.95556803  49.9476544   19.97748011  29.98994654
  99.97226247  29.97262583  29.97511185  99.86862801  19.98919569]","[ 39.97914111  19.97621442  29.98026774  29.97172889  49.9679296
  19.96648995   9.98498599  39.9487976   49.97435304  59.94561561]","[ 149.95093232   39.97074433   59.96282864   19.96720757   69.94503114
  129.96424036    9.98558422    9.98176171   49.96931202   29.9783126 ]","[  39.98254246   39.96559425   79.96867557   39.98008073   99.86958555
   29.98452512   49.95911065  209.92979744   79.93119737   19.98056114]","[  29.96330674   49.96773417   39.97309403   89.96005574  109.96783534
   29.98585444  169.92293375  109.93971765   69.96932047   79.97489437]","[   9.98622531   39.97763853   39.95546789   39.94202198    9.98451232
   29.97874133   19.97169658   59.98646252  109.93984357   19.98718455]","[ 29.98491388  29.97908302  59.96451174  29.95374915  79.98110818
  19.96340962  19.97339543  79.94395514  39.97849656  49.9294513 ]","[  79.98385812   59.9807809    19.98112349   29.96313092  109.91892664
   69.97684742   49.93856318   39.97873864   49.96205426   49.95996647]"
"[  99.94988095   99.9362303    39.9542967    29.98650673    0.
   19.97485767  109.95947459   19.98275701  119.97164843   99.94988095]","[ 109.92586067   19.98663182   69.91758001  149.97845988   99.96072665
   19.9909612    79.97048366   39.95090637   59.9702729    29.97194223]","[  29.97215875   39.95124284  119.93715725   59.95193762    9.98529412
    9.98691262   29.97258905    9.98973319   49.97399111   29.95804292]","[  29.97824653   49.96621824  159.85354346   49.97109265   19.97481705
    9.98011581  109.95918217    0.            9.98078781   49.95134499]","[   9.98248564  129.93369596   59.95880931   39.97306239   39.97484825
    9.98402344   19.97721305   39.98776944   19.98280751   39.94376927]","[ 139.85344076   59.95601242   49.98071283  169.80754739   79.95867341
  229.94994081   59.97609848   19.96974421   99.92304142   69.9715538 ]","[  29.989145    209.94362328  119.93667279   39.9766783    59.93604996
   29.98452991   39.97953621   49.97383546    9.98467716   29.97445132]","[  39.97029392   39.98420215   29.98554302    9.98574957    9.9869593
   39.95235146   49.93134574  109.9446793    39.95888965   29.956118  ]","[  19.99159493    9.98327421   39.96004255  199.88986142   39.95410359
    0.           29.9770232     9.98105076    9.98086452   29.98343585]","[  49.97868911   39.98431152   59.97099741   39.96645935   49.95427654
   59.9573156   149.95121938    9.98111154   49.96455305   29.96642718]"
"[ 49.94776406  19.9702508   29.95849951  29.98461834   9.98574071
  79.95308106  49.94776405  19.9702508   29.95849951  29.98461834]","[   9.98723279   29.94972397  139.94858709  129.94145112    9.98717488
   29.969781     59.9417807   239.81724468   29.96060316  119.84208819]","[  79.96721049  209.90412912   69.96818988   19.98709097    9.98657655
   29.95596079    9.98845763   79.92647711   59.98464269   39.96755485]","[  49.96426264   59.97191482   49.9503129   109.96544938   39.97292145
    9.98051391   39.96291841   99.94118577   39.94582712   39.97094232]","[ 119.92465408   29.96853491   19.96196726   29.98063854    0.
   29.98738294   39.98481738   69.96215447   39.97248662   89.92619411]","[ 109.95431442   39.98628126   89.97664319   99.89774197   29.96801204
   69.96464386   59.93068515   29.96332415  109.9278904    39.97988706]","[  59.97999652   69.97884462  169.86994918   89.92172624    9.98384966
   49.9785225    19.97367122   19.97185054   69.93998642   89.96557623]","[ 179.90887718   29.98554736   19.97977239   99.86296157  169.90793011
   69.97490417  179.85128284   19.97512067   59.96021552    9.98043787]","[  29.97628703   69.96804043   19.97118609   69.97114174   19.98395596
  149.94107083   89.97050117  239.9209407    49.97480313   59.97598579]","[ 39.95175345  29.97201997  19.96638928  99.8902448    9.98019435
  49.96285286  39.98509971   0.           9.98480251  89.94446493]"
"[ 149.93655643   29.97962129   39.98151657   39.98200155  169.86249291
   69.97255182   59.95247304    9.98012428   39.97949722    9.98548204]","[  29.97045345  139.96762664  199.95987867   29.96939255   99.94601536
    9.982597      9.9824182    39.97037906   39.9515096    39.97054769]","[  39.98104749   29.96361552  199.93621335   29.97515454   19.97088425
   49.97428021   59.98105716   89.97468365   49.95282692  179.9104351 ]","[   9.98322983  109.96304962   59.96392765   49.98529793   39.97754663
  109.95177375   59.95709983   39.9427445    49.95640783  109.91052768]","[  29.9763592    39.97339095   29.9680266    19.96845362   29.97310147
   59.9653966   199.95116268   39.96913315   39.98336461   49.94302368]","[ 59.96235706  59.96905182  79.97585543  59.93665216  49.94440874
  19.98021512  59.98584573  19.98668734  49.96508645  39.98463899]","[ 209.85853756   59.96002586   69.96420322    9.98666949   19.98613489
  329.79024261   39.95635912   59.96517783   19.973654     49.94702668]","[ 139.93780226   89.92967664   49.98135655   59.97140368   29.98260151
  119.911098    109.88907836  109.9081122     0.          129.92387208]","[  89.94303786  119.97933573   19.98277894    0.           49.96457662
   69.96828699  179.94816482   79.9625158     9.97980737   59.97531455]","[  39.98170379  139.96183403   19.97148856   39.9563487    19.9841107
   79.91317986  129.90678235   99.93817177    0.          119.95151348]"
"[ 19.97848271  29.96339922   9.98259259  79.9649389   49.98437327
  39.96704192  99.95541637  29.99387139  79.97713105  79.93753927]","[ 39.97312217  49.96752226  89.97872306  89.9642742   79.95952887
   9.98790844  99.97558741   0.          39.95762226  69.92253257]","[  19.97306037   59.97680147   99.96690944   29.96970394  119.87825424
   39.95823918   39.97178806  109.96134256   19.9704801    79.96590864]","[  39.98612156  179.90705256   19.97611231   29.96914563   19.9677683
   79.9521852    49.96393377  139.9406725    49.98051279   29.98274817]","[  9.98688078  29.96544778  59.96036147   0.           9.99020043
  29.97004488   9.9838032   49.96206491  99.92691001  59.96661721]","[  99.92778261   19.97427312   69.93667842   19.97441649   49.98091953
   99.89816393    0.           39.98413429   19.96024459  189.92500931]","[   9.98625003  219.75096176   29.98263348    0.          179.86682391
   29.95014791   29.97005175   59.969194      9.98354151   29.95798297]","[  79.95368613  109.90067497   79.94823804    9.98487985   59.95637579
   79.95698843   29.98104842   59.9750037    19.9807861    79.92498322]","[  49.97002647    9.98091562   29.97791214   39.9906473    49.97564269
   29.96331496    9.9872687    69.98152551  149.92971155   59.93414335]","[  69.96054629   39.98593894   99.97540599  109.95147466   39.9815363
   59.95453343    0.           19.97563241   59.93877283   69.93603381]"
