varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
523.9691947509807,430.0054242468032,420.6032345888551,308.4034840112516,302.40044560219746,293.84062209273606,298.6815755469279,337.5473290573849,801.6797586698009,620.7952238074636
413.5801615090169,2204.5702386116054,789.7279016398178,332.02835679482655,278.8237747739882,304.17192818463536,318.3488282217122,493.3382909929315,2950.0315379008202,626.0625838406692
476.64638763777,2217.0423176486183,961.1456628711026,300.7933535410356,821.6126571814527,382.68480041625804,306.61475889075746,626.5493907706252,4456.0423897299825,2986.7998743438848
508.63074064179807,5393.204023235769,1609.1202023828278,308.68658810013716,1457.085756374874,1357.1616346256899,282.2994596260944,822.5773078661284,4312.029313036055,10411.92141256697
612.9034058323302,8367.592367063493,2152.4914194659164,471.2230943751608,1776.688739642319,1576.9954334464053,357.09791363729687,1053.2184613344969,5693.263559938203,19614.80289275278
1154.5362628206422,9695.487403340674,2446.2682715674364,554.3726518903504,2356.7697391948323,1729.820077009718,407.6488745372627,1500.2563797315108,7324.240941996715,23113.14905486202
1030.280507939364,11293.017880119416,2861.100609871461,576.4636851986221,2334.9206834601537,9447.171459173429,420.8970284599276,1885.4260777695472,8069.392124483266,34616.08493915757
985.5288091574032,16368.34466543825,3325.936013462403,729.9081893211729,2938.7155737802987,9767.871492122262,477.32413566325755,2288.443228386597,8642.814692639233,39228.56087342545
1909.0274722374686,18859.93618640018,4031.8065987002683,958.4054633332235,4510.381811672495,10524.554646927605,529.1208217560247,2897.0469114679527,9074.203828748683,55875.095455416886
2152.628423287079,1003577.4207765784,4808.3235875403325,1051.1410077899177,7218.206849448111,10889.773031674666,554.1042156604174,3329.0536242128337,10974.825841333857,60380.48322673926
1969.4509895081435,881.8778857670193,4968.249869341067,1089.0268842963894,6291.951010411323,11295.647483276496,879.1314750423661,3657.567459399409,11030.934037585273,79877.885768275
2209.355860053465,3912.74255544444,5809.810113096383,1446.8149425354584,6315.036758546471,10663.564303943784,808.2675777677199,4372.91893781507,14178.093772903441,181076.80538390524
2747.5487442821377,6883.586308012869,7200.599981307212,1588.2593163247611,10264.413185714006,10771.95038105701,625.8734924219973,4996.81754129445,16271.75293000439,7881.35654968
2229.0629520904963,5979.124179274446,5799.895947401415,1450.4276213409248,1709.192442579969,7361.030426427319,627.0613509653954,5129.978516684905,13465.621855623976,7684.022609683775
2618.7626788636653,12402.965130896238,5464.623474928567,1413.154555633017,1774.5319731828372,9586.947816598695,4273.336714102715,5730.670749879106,10412.427905038223,9654.100671783806
3019.1246169362757,15548.266967945698,6389.154098957678,1374.348695899756,3815.2301332999255,5986.657566911269,5867.623230464303,6575.973893103297,8860.153721095034,12434.160561431525
3029.728203478282,12683.165244438405,6856.103669359953,1328.2261809936558,5760.608987495005,4593.708370652914,7250.568087605444,5883.286500815999,7366.848689480584,13211.64237746891
3002.041210165513,19933.291039784875,7549.519097093586,1556.4403563342164,6138.928976517142,5830.123711548887,9055.809265492602,5155.583003306053,10058.550887342763,26953.756710642367
2916.413261714922,17258.04344291666,7949.053151844219,1655.1977586001792,6610.293958048565,7317.870066475538,11611.526866917626,4557.748233080144,6942.539027681184,163145.7113905187
1811.9354478276223,18943.77009466334,14512.369382950421,10945.917955306817,42136.142142716155,1518.3722607780344,2097.5772542501286,6003.871120650727,2322.1789923663946,10458.316594200092
13458.703543415104,18108.201594513455,31181.09105628667,10676.410106975607,91313.03690742217,4218.517299825091,1978.249250708494,5832.009279245833,3246.1550084477394,10791.742788047255
25875.718464219593,22789.00832454321,93947.94668402603,11429.816658624499,186982.97358124988,5846.992831790112,2123.22586642688,6298.178687154492,3590.584592908922,8115.641249051676
182217.1830062253,19037.6071437628,162500.35515970513,10418.762851699574,116491.70557745105,5387.828478931737,4069.238202463216,8736.411832440373,5005.206283996344,122571.31949234939
510983.7776657035,109349.32571372582,137236.30949334666,18352.48583341821,99663.28576974563,5788.013172964316,2801.526236207021,12948.179817274868,2908.6206530849813,218068.51551910883
303745.4522927119,16095.87035726352,81338.32430423656,26153.75384282708,86100.06280458861,4516.63043182005,6671.873678347298,9974.309164599683,4783.258830211065,798642.1335032999
