varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
361.02238153729144,846.1245016304676,680.0548445095211,538.6107623304249,388.38682539340664,927.1313374234549,660.9900475448547,438.5728687763632,590.011293603997,326.49567030798704
261.56471838834295,15203.207875795195,438.1342442975359,332.9056105889945,358.4308914717593,796.6888378076536,505.0296150547801,467.23386800551157,442.94586137097707,325.67269296080224
273.852182227741,658.1659124010405,733.4064964103386,430.5474265823213,443.2085306142995,1123.9496733381702,782.4650731367781,495.0533661872963,376.6802608053039,344.98777146260943
218.40136846899514,750.6376259350276,898.396230452324,402.61616864986854,437.7069499401486,1475.2723302870909,957.411217527939,401.37855968465124,378.67016989771525,357.67518644034146
225.39462330932065,743.3280382475102,934.2272875657089,439.21539287077525,448.9501864313199,1509.1043033869496,1163.5569214546858,436.2629222975845,466.12893761790934,385.3927628014008
392.68796409190304,969.9384047603589,1023.9062486080454,529.7962171810452,471.2191922721417,1608.4184947515107,2505.9775780841424,409.75168561233534,560.6910312574494,416.60015978318955
513.0466491123234,1126.8302174381417,1286.2388815880577,583.3027990713999,539.516501015818,1653.292567834233,296.5633250913156,2349.244360180218,926.5931224692016,680.7680118680473
951.544050354269,1827.055077893781,2025.7835502103467,624.6415999611718,646.4653817357084,1748.0669389694071,621.7741492237451,1119.3049933355824,1485.6230327784886,2429.5167353848033
1027.489706043169,2162.1672001243505,2535.5411239073164,759.4574976524796,689.8392457785171,1853.8826270665609,1367.8960190252783,1089.8387102027536,2032.5430811873164,3389.6392473523674
1650.7029427627967,6114.838233052842,2994.9983016176234,8277.371445128212,1123.1069557193416,2779.2605955549657,1554.5364393088805,1545.7891718519472,2128.5287519146295,3159.348821131001
1312.5814178906733,7039.1187210378475,4201.73898176344,2092.559043356944,1275.9853092474673,2943.9420189729626,1562.6007630173822,1489.1765016146264,2525.826714891641,2932.0252561653815
1199.265257578827,7156.575918228117,4567.146515294427,1375.0061260630528,1265.780479281417,204592.22531576606,1578.1400654890992,1899.6746625887442,2787.7717861925003,2727.895625732903
1228.5985239766233,7002.990727915579,4451.98648332354,1291.6062596472407,1372.7599953193276,1114.0252594336732,1757.6093130553168,1848.9562301425012,2793.6225238621637,3712.0830367713233
1527.5190509022177,7174.445194522621,4790.4684164698665,3686.7760911554997,1391.8094401423589,678.2154029569233,1776.5238872576488,2140.444585211427,3295.1299296440266,5934.846274994845
1933.8982787331856,7577.904374712098,5059.689285071764,5084.910872890918,1591.472615323839,742.5951446054349,1957.2847348798202,2348.49018761961,3575.714392869922,2737.0579088600202
2164.5635230578337,8105.804890760379,5236.317197184806,6015.160129531587,1748.812545483669,751.9709484544461,2764.391604380057,2597.802959526719,3788.0067590509375,3155.748789314356
2268.725054878266,8118.827495418368,5809.553958714898,6335.488325309128,2878.143449411887,792.0275190542204,2993.5687926706146,2670.5809034077292,4195.282550692555,2979.98497483983
2330.081524363334,8097.621008504075,6491.927923108145,7702.482232001494,3159.905240553291,1194.3472801949579,3681.3843792639705,2870.132726291023,5069.531920763504,3014.655197185837
2401.1126683676835,12332.050873473763,6778.39591059692,8826.853599700735,3299.4497452955598,1363.3688209315071,3848.587064444537,3100.430622376271,5218.09103188594,3012.7980367176347
2502.4272744258897,3025.166478461152,1594.94505715127,9559.057784019482,1926.4474604696595,1520.1067824306294,8330.527795805978,4108.218786994936,3629.7814646472443,3149.027348489725
2888.1283621539787,1748.8747054253984,5336.1343035344025,9869.320238835197,1843.407790811801,1824.5384581278126,3676.7471411996908,3880.9531870115934,2405.9006632525916,3249.7819864332923
3311.3734348304297,1796.44244891108,5001.634691573354,11582.00549106134,3005.39637671483,1852.7379953863383,2498.5262226998525,4519.463307945673,2161.7790120676436,3274.4228150646636
5002.449190081966,2306.5671649851965,5121.586396371388,13908.045585304202,3215.4180576385806,2251.7617692445415,3536.3151396416033,4786.570002785599,2524.989052482206,3433.152813125174
5927.213786329645,2370.6428538771943,6389.604341428474,14478.637642788493,5732.624483980251,2662.3713456086252,4704.805128751059,4862.212420581583,2771.4064264393874,3690.0460189080077
6209.486569861523,2715.9974452894553,9779.972418263811,15466.609625033663,15601.398380853556,3275.27757268983,4743.14795515221,9196.984054199274,2785.350513323116,3892.7606818830322
6559.566827878788,2958.487159763261,11893.013102662639,16273.4915783215,69289.08144423111,3596.647525808796,5605.929817269234,3892.6235507261404,3358.788641616571,3680.9425519564875
7321.56908430504,2858.0176500454563,15389.372490927353,17328.64066987131,106901.59528244802,3591.1649347608222,6310.1732614663615,4798.518884593499,3696.3666364598607,4882.599459022065
1003.7195303886914,7130.944587440358,17758.633828093483,18673.91256783945,105339.23779418795,3880.662811300058,6550.753133266516,4191.3978048846675,4180.206647109983,5882.087520617598
1500.999902214211,6690.383855752867,20080.08419579447,18501.429183910837,140388.14605349407,4083.285573018779,9049.536888509232,4013.780957911803,3961.482248150181,8152.2371968053785
