nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
28.0,29.0,21.0,21,29.0,20.0,21.0,29,29.0,27.0
18.0,29.0,24.0,29,25.0,29.0,17.0,29,27.0,28.0
25.0,28.0,28.0,20,22.0,16.0,26.0,24,29.0,12.0
18.0,25.0,24.0,14,5.0,14.0,8.0,29,17.0,29.0
28.0,25.0,18.0,27,8.0,29.0,29.0,7,10.0,16.0
29.0,4.0,14.0,29,4.0,21.0,10.0,8,5.0,11.0
1.0,2.0,19.0,20,16.0,5.0,25.0,13,15.0,13.0
1.0,21.0,1.0,6,13.0,18.0,21.0,1,5.0,20.0
1.0,1.0,1.0,21,15.0,6.0,9.0,11,4.0,11.0
5.0,25.0,4.0,12,27.0,4.0,8.0,29,3.0,1.0
15.0,5.0,1.0,6,14.0,3.0,7.0,11,14.0,5.0
4.0,27.0,5.0,4,11.0,19.0,7.0,17,14.0,7.0
15.0,4.0,29.0,3,16.0,2.0,16.0,6,12.0,1.0
13.0,17.0,1.0,1,11.0,5.0,16.0,5,8.0,1.0
13.0,6.0,5.0,5,26.0,2.0,24.0,3,6.0,17.0
20.0,1.0,2.0,2,14.0,8.0,4.0,18,8.0,4.0
7.0,2.0,19.0,3,10.0,3.0,3.0,1,7.0,11.0
3.0,28.0,29.0,2,12.0,29.0,12.0,29,8.0,8.0
4.0,6.0,3.0,7,14.0,3.0,14.0,3,17.0,3.0
10.0,11.0,5.0,29,11.0,13.0,9.0,13,10.0,3.0
29.0,2.0,1.0,5,29.0,4.0,5.0,1,1.0,1.0
8.0,2.0,9.0,3,7.0,2.0,8.0,23,5.0,12.0
5.0,12.0,9.0,4,25.0,5.0,3.0,2,22.0,9.0
1.0,2.0,29.0,4,7.0,2.0,4.0,9,14.0,28.0
9.0,4.0,5.0,1,13.0,12.0,4.0,1,5.0,17.0
6.0,21.0,3.0,4,15.0,6.0,8.0,14,19.0,1.0
12.0,2.0,13.0,7,29.0,15.0,16.0,3,18.0,12.0
3.0,1.0,2.0,3,3.0,23.0,2.0,5,2.0,3.0
2.0,4.0,7.0,29,1.0,5.0,3.0,2,29.0,3.0
1.0,7.0,4.0,18,5.0,10.0,3.0,2,29.0,21.0
4.0,15.0,1.0,2,1.0,10.0,12.0,2,2.0,11.0
7.0,9.0,4.0,29,15.0,20.0,29.0,1,29.0,5.0
9.0,4.0,10.0,6,3.0,6.0,6.0,5,8.0,1.0
3.0,17.0,18.0,2,1.0,9.0,4.0,11,2.0,12.0
29.0,4.0,2.0,5,1.0,5.0,1.0,6,12.0,15.0
2.0,3.0,17.0,1,13.0,2.0,8.0,7,5.0,5.0
2.0,5.0,1.0,14,5.0,1.0,12.0,10,4.0,2.0
3.0,1.0,29.0,1,19.0,7.0,7.0,8,12.0,6.0
4.0,8.0,6.0,2,8.0,3.0,4.0,13,1.0,8.0
3.0,22.0,13.0,15,4.0,9.0,10.0,14,1.0,14.0
1.0,2.0,4.0,3,6.0,29.0,2.0,1,5.0,1.0
1.0,1.0,1.0,2,3.0,9.0,4.0,8,7.0,6.0
8.0,11.0,9.0,10,1.0,4.0,18.0,1,4.0,1.0
1.0,3.0,4.0,2,8.0,3.0,8.0,1,3.0,8.0
1.0,13.0,14.0,1,18.0,5.0,4.0,5,18.0,21.0
3.0,1.0,3.0,2,,1.0,2.0,10,15.0,2.0
29.0,5.0,2.0,24,,4.0,2.0,1,2.0,2.0
16.0,7.0,10.0,5,,5.0,17.0,12,,22.0
13.0,6.0,1.0,1,,2.0,1.0,1,,13.0
26.0,9.0,15.0,5,,12.0,3.0,10,,9.0
,,,3,,10.0,,3,,
,,,2,,,,1,,
