varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
2241.4271013641355,2129.481840355781,3716.704453689955,20900.264484421346,4614.953164208415,1097.7259202968198,3474.5024923066203,4150.696184349377,3411.89654642271,2456.8262638127158
3391.4487664153635,3613.0400936129436,2659.401981648423,1185.841958663852,5635.330429038986,1259.5959490576336,1241.065108042008,3413.03308135902,9597.304942533408,1998.9823159889452
1772.8212530933506,2943.550653874121,4429.403676053518,2354.8878459126877,1852.7007378118312,3109.255932794088,3021.4798504078935,4828.966728017998,1475.535246189775,9731.242810550591
2279.54493781124,2140.945517614553,2876.8700256704988,3136.42604884517,4724.961631302283,5088.892752721557,2430.3213091473426,13692.09422159139,5398.101274817372,12724.68217042896
3349.2132744142627,7876.010802995258,2529.1117561033143,7200.453999058048,4093.0816331622636,1266.346691321238,2280.2111648919818,3451.4908201727417,1404.5311045402664,4791.720854239855
1240.6933871341569,8018.378064749433,3733.4628002707896,7074.808368804337,2018.1293459236606,5226.819277466966,9187.951686779605,3886.9903270887053,2780.3221646415614,3440.524594819684
5342.48674571471,5140.917697304034,2137.069275866237,4954.992779137072,8216.324861479865,17033.416965897974,20056.5359563125,4133.748265266493,12252.893006790204,1465.0263813615506
7496.001826275605,6294.875249672696,8933.293239786963,30553.458559103172,14164.480788751096,11417.736162489267,2905.954874148696,25568.91081868994,21512.54938124819,5051.185253302032
3101.1575232514897,10046.686234859486,3820.92672901647,25959.673981449876,10655.483615407624,1246.6738157367142,1322.2151178611464,17911.64858470436,1913.6814611956736,3264.1362988034953
21503.69024376225,3578.2628066221328,8237.776124811633,2413.6063948247597,30580.94779843916,2899.09420599478,4670.698703141552,126048.11436925232,4364.568329159154,6975.598784100098
3967.9513907846626,7527.6275168806615,10893.396779446846,5731.3208308215235,5558.292836519097,3698.5697311639788,2727.9963069032347,6108.730847280874,7199.17412794135,2344.441970157569
30615.398532607025,6428.11593813363,9747.013306944325,7813.293176030886,11926.937175318191,1053.4376384105612,6931.119740161373,5567.546877699031,34926.04082137131,24126.317144830828
2282.613696765355,13017.75444398274,17326.95628543567,3164.006025928945,11617.591728560139,9560.039496454257,7667.908092377128,8508.973059354972,3031.188127257444,17676.750412313835
2156.438866725974,11366.218910454614,5639.1778638552005,17084.28097069996,1749.6567629429067,23797.482274501563,2414.2031572278293,11894.544976854177,20479.93456496341,14979.52707323416
25012.874260030825,17667.321633180174,9139.492876560344,16240.077782425005,19518.551632553088,14131.88694229184,3167.1282088917455,20367.930878676398,4369.247963722807,9796.13605640602
