nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
13.0,21,15.0,18.0,23.0,21.0,22.0,19,9,12.0
29.0,29,29.0,29.0,29.0,29.0,29.0,29,27,26.0
13.0,7,29.0,29.0,20.0,18.0,17.0,18,11,17.0
18.0,21,9.0,7.0,21.0,17.0,19.0,20,17,15.0
20.0,20,14.0,16.0,5.0,16.0,29.0,26,12,14.0
13.0,29,29.0,4.0,29.0,4.0,9.0,14,15,2.0
10.0,11,29.0,14.0,8.0,1.0,12.0,22,29,6.0
4.0,12,9.0,16.0,16.0,29.0,16.0,29,26,7.0
9.0,7,11.0,9.0,8.0,5.0,9.0,18,3,1.0
21.0,6,10.0,1.0,1.0,2.0,1.0,7,5,7.0
6.0,4,3.0,2.0,6.0,3.0,11.0,4,4,4.0
5.0,2,29.0,6.0,1.0,6.0,1.0,2,2,24.0
1.0,1,9.0,1.0,1.0,29.0,3.0,5,5,3.0
4.0,2,9.0,18.0,1.0,29.0,2.0,8,3,8.0
7.0,19,21.0,5.0,2.0,11.0,4.0,23,1,20.0
4.0,1,13.0,1.0,1.0,3.0,6.0,23,1,4.0
6.0,23,6.0,4.0,5.0,10.0,2.0,12,1,1.0
2.0,3,5.0,6.0,3.0,9.0,1.0,1,9,1.0
19.0,3,6.0,5.0,1.0,5.0,7.0,22,29,4.0
2.0,1,17.0,1.0,11.0,5.0,1.0,6,17,2.0
11.0,7,4.0,6.0,8.0,1.0,3.0,1,4,27.0
11.0,10,2.0,13.0,1.0,5.0,2.0,1,2,5.0
1.0,11,13.0,11.0,4.0,2.0,17.0,1,2,13.0
5.0,1,6.0,21.0,1.0,3.0,1.0,2,5,4.0
7.0,1,1.0,1.0,2.0,26.0,15.0,2,1,13.0
4.0,1,4.0,2.0,3.0,7.0,6.0,2,1,5.0
16.0,2,11.0,8.0,6.0,17.0,3.0,3,1,5.0
12.0,20,3.0,12.0,4.0,3.0,2.0,1,3,6.0
1.0,5,15.0,21.0,19.0,6.0,5.0,3,1,3.0
5.0,2,7.0,1.0,10.0,2.0,9.0,2,22,6.0
6.0,2,1.0,7.0,5.0,2.0,2.0,1,1,13.0
2.0,1,7.0,2.0,5.0,25.0,9.0,8,1,9.0
4.0,18,2.0,10.0,2.0,3.0,7.0,1,23,10.0
1.0,11,1.0,13.0,2.0,6.0,7.0,1,1,10.0
1.0,3,5.0,2.0,2.0,2.0,29.0,18,4,14.0
8.0,3,4.0,2.0,4.0,1.0,29.0,9,1,3.0
10.0,8,27.0,3.0,1.0,22.0,15.0,1,5,1.0
5.0,1,8.0,20.0,2.0,9.0,3.0,2,1,16.0
29.0,2,6.0,2.0,2.0,11.0,3.0,1,2,5.0
19.0,5,14.0,1.0,2.0,6.0,17.0,3,2,2.0
2.0,1,2.0,3.0,13.0,1.0,1.0,9,5,5.0
2.0,1,10.0,1.0,9.0,15.0,3.0,1,3,2.0
3.0,10,7.0,7.0,14.0,17.0,2.0,1,4,3.0
11.0,1,5.0,15.0,1.0,2.0,13.0,8,7,2.0
23.0,20,5.0,12.0,4.0,9.0,2.0,1,2,11.0
6.0,13,2.0,1.0,10.0,6.0,1.0,3,1,2.0
29.0,12,16.0,29.0,9.0,9.0,1.0,3,3,17.0
8.0,2,1.0,1.0,7.0,1.0,10.0,2,3,1.0
3.0,2,13.0,1.0,28.0,5.0,5.0,2,1,16.0
13.0,10,,6.0,2.0,1.0,2.0,2,5,6.0
8.0,2,,1.0,29.0,4.0,4.0,1,29,22.0
7.0,1,,1.0,9.0,,4.0,7,1,1.0
,2,,9.0,3.0,,2.0,2,3,3.0
,2,,22.0,6.0,,7.0,1,4,10.0
,1,,,1.0,,1.0,1,2,0.0
,1,,,17.0,,,1,29,
,3,,,,,,13,16,
