rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  19.97559895  119.88790088   39.98150215    9.98778101   29.98522332
   29.95407899   59.97555819   29.9796795    49.97384627    9.98733768]","[  9.98923317  19.97349074  19.9652165   89.96163909  19.97420149
   9.98504341  39.97326939  69.93654224  49.95404953  49.96920953]","[  39.98498618   49.96925097   39.98208153   39.98509883   39.98326277
  109.96493246    9.98222839   59.97181475   69.95898544   79.94097224]","[  39.98467217  109.95430953   29.99216731   79.97144665   49.97615952
   69.98272915   39.9828509    29.97984226   39.97937571    9.98368155]","[  49.97498087  119.89969527   29.97469471   59.96913381   49.9310043
   29.96718665   19.98748016   29.98695587   39.99046795   39.95183929]","[ 19.98513462  19.99207193  49.97595688  29.98887589  19.97556918
  79.96919092   9.9853929    9.98660369  99.96615604   9.98751087]","[  0.          49.98238083  19.9822535   29.9755601   29.99009625
  79.98256707  19.97382275  29.95225368  59.92796713  49.96793376]","[  29.98017824   59.95732232   29.96351071   39.98765155   19.98116184
  129.91074658   19.96039044   29.96930406   29.98169728    0.        ]","[  9.9791053   79.95969321  39.97215745  49.97360878  49.98456026
  29.97827804  49.96689452  49.98232659   9.98286288  29.98994096]","[  9.98276007  69.97200557  49.98518247  29.99224532  29.98672132
  69.95092582  49.93463959  29.99061837  49.97087757  69.98466706]"
"[ 29.98472262  19.97251045   0.          19.96825352  39.98485771
  19.96691479   9.98873437  49.97834983   9.98339391  29.99156373]","[  49.97686625   39.97941994   19.97352205    9.98813423  109.96616312
   59.98009356   69.9745518    39.97905211   39.98324184   29.97312277]","[  19.9808351    29.97300438   29.97495838    9.98524044   39.98961264
   19.97234225    0.          119.9765301     9.97955819   59.96591821]","[ 29.96819296  79.96817193  39.98064911  19.99076382  29.98930513
  39.98355439  29.98149068  69.96307417  49.96808     39.98852218]","[ 29.98347495   9.99055339  99.96349235  29.98417106   9.98963159
   9.98662236  19.97545413  99.96546066  69.9749348   39.97425922]","[ 39.9905051    9.98199046  59.95840547  19.98659873  39.95774218
  49.96255382  19.96855169  39.97918656  69.96662839  49.97630478]","[  9.98867972   9.98566071  19.98553551  49.96690736  19.97423719
  49.97952363   9.9851501   29.9838506    9.99166862  29.97049097]","[ 49.98108937  19.97827661  19.97340972  39.97583254  39.98672922
   9.98026697  49.93394739  19.9705192    9.98316648  29.96642777]","[ 19.98626055  69.97404253  39.98181365  49.96945966  29.9732028
  49.96228977  69.97380213  49.95279013  39.95343288   0.        ]","[ 29.97390043   9.98915654  49.97846168  49.98254209  29.96712849
  59.97239141  69.97831581  29.97361877  69.96003046  69.97629572]"
"[ 79.98301471  19.99065883  29.97083825   9.98580345   9.98842702
  69.98358402  29.98111469  19.98301956   9.98949015  49.97568547]","[ 19.97041366  89.9061448   19.97297596  59.97232712   9.98323504
   9.98858645  29.99053621   9.98796714  19.97948128  29.98499694]","[   9.9857762    19.97558082   19.99051834  169.91483179    9.98535438
    9.99040675   39.96905935   29.98694234    9.98230374   59.97743523]","[ 69.96192399  49.97032248  69.976221    49.97690952  39.99020198
  59.96496163  39.98454282  39.98100009  19.99174301  29.96259263]","[  59.95387422   49.97141964   69.96906265    9.98389096   39.97454708
   39.9773819   109.97697555   49.97025786   29.96794429   59.96434474]","[  49.9813858    59.97100644    9.9855737    39.98030681   79.96441257
  109.9676548     9.98928251   49.96594955  109.96118985   29.99130304]","[  0.          29.98864176  59.98660303  69.97681913  39.96167762
  19.98429345   9.98684334  79.97035045  39.97120708  99.96050853]","[ 59.97537737  69.97533552  69.96973471   9.98747398  49.96497613
  29.98488549  69.98621795   9.98441766  39.98955553  99.96537309]","[  39.98673047   49.96961975   49.97316357    9.98934008   99.96091557
    9.99022734   49.97676872   59.94335928   29.97113488  109.96086524]","[   9.98834693  129.92894003   29.97785788   39.98045033   39.97014042
   59.97195495   49.97430955   69.96581844   19.97048166   49.98638746]"
"[  29.99330568   69.95544761   39.9764838   129.90469986   79.93136232
   39.96736705   69.9621769    19.97403639   49.9652429    59.99091049]","[ 59.96809518  19.97948794  39.97809206   9.9910338   49.98876069
  49.96856693  69.92217783  39.94515594  69.96112068  39.97913656]","[  29.97144754   19.98048092   19.98469307   79.96124449  159.90671884
   19.96983648   19.98936011   69.95236068   29.98551007   79.96674994]","[ 39.96573162  49.97858291  39.98832558  29.97854532  29.96123217
  59.96360276  49.97042319  49.97200533  49.97974463  49.96787017]","[ 39.98554299  69.96096043  19.97895915   9.98290229  69.95877262
  29.97236385  39.9874923   29.96238747  29.96882594  29.95908311]","[  39.98604788   29.98351203    9.9884391    29.95297834   49.94816219
   19.97530385   99.95635719  109.98295805   29.9849241    69.97169738]","[ 29.98456675  59.96619869  29.9824212   29.97769288  89.97436702
  19.97242319  99.90392363  39.99164342  99.96505056  39.96629372]","[ 49.97003664  89.97592003   9.97936329  59.95426734   9.98017972
  39.97811808  39.98759498   9.98312833  19.97122234  19.97309828]","[ 39.97686409  29.97277164  79.96485187  99.96394747  39.97505192
  49.9796139   39.97786794  39.97807594   9.97974291  99.9550864 ]","[ 19.97256609  29.98511716  39.98316101  29.98361488  29.97488603
  39.98191777  89.90881739  59.97129602  59.97422487  89.96533652]"
"[ 119.92476468   29.97767344   69.97263192    9.9880855    59.96240315
  149.91662355    9.98321675   19.97674929   39.98127358   29.9886957 ]","[ 39.97945269   9.98699497  29.97742573  29.98416135  39.97220494
  49.98286402  19.97416847   9.98386841  29.98523995  29.97702228]","[ 29.96879102  29.98355904  19.97465441  69.91586216  29.98186623
  39.9765467   59.95388675  19.99290966  39.97992697   0.        ]","[ 69.96419584   9.97931123  49.9834616   99.9743939   39.97332891
  39.98100777  59.95690336  29.96757563  39.95043446  29.98780222]","[  59.98325132   39.9854081    69.97458932    9.98074469  179.92511999
   59.97473581   19.96818847   69.98258361   59.98294369    0.        ]","[ 19.97976669  49.97786862  39.98435528  39.97884016  29.98998988
  49.98741651  39.97594088  29.97189712  29.98265986  19.97149197]","[  9.98731948  29.98167911  19.9758984   29.98244412  39.97601276
  49.98980564  19.97410995  49.98243344  69.9222888   69.97827777]","[ 29.9659964   19.98914824  19.99032324  99.92485576  39.98856162
  29.97462734  99.954486    29.9692786    9.98449412   9.97943546]","[ 49.97071357  19.97340678  19.97588942  59.98314806  39.96425927
  49.92585793   9.98294775   9.97956704  29.96089454   9.99127229]","[  39.98335876   39.97551526  109.96323616   19.97757847   99.95277711
   29.97183267   69.95380956   79.94133733   49.97820261   39.98428339]"
"[  29.99113475  119.93512991   19.98523065   19.97113602   99.94422735
   49.98160935   49.98200501   49.95018175    9.98214441   49.95545231]","[ 59.98344716  89.97857496  19.9782775    9.98569596  49.96957685
  19.96670431  39.98010503  19.96683579  19.99155946  19.99072111]","[ 39.94618376  69.96354107   9.98884257  49.97305965  59.97137942
  49.9540787   69.97489567  49.94911353  39.97158667  29.97932079]","[  99.97644378   49.98544961   29.97176183  119.95036636   29.94389317
   79.94589815   59.98063351   59.98279266   49.96993999   39.97431274]","[  9.98388651  29.95917024  49.96142883  29.96062295  29.97295323
  19.96840823   9.98985759  49.96145895  79.95642507  49.97588092]","[  29.97331936   19.99205771   29.97071198   89.96056726   29.9614256
   59.96765653   39.97340087   59.97429429  109.97879728   59.95697333]","[ 29.99080029  19.97571963  39.98452373   9.98856678   9.99183585
   9.97924148  49.97542973  39.98803211  79.94521627  39.98088523]","[ 109.92403751   59.92459177  109.9513508     0.           39.97797389
   49.96651794   19.96225018   49.97748113   19.98474758   29.96666048]","[  39.95687201   19.97333553   29.97028317   29.98748326   19.96736659
   59.98282075   59.97832941  129.90750022   49.97199534   39.97355312]","[  29.99055691   69.91499454   29.98618287   39.97933254    9.97952371
   79.92452373   49.96571772   39.96254256  109.93604877   59.95347173]"
"[  29.99072374    9.98947116   19.98642513  159.9399535    39.98650789
   29.96022458   49.97551672   29.95205266   39.97121059   19.96802138]","[ 29.9844649   39.97487321  39.97011005   9.98924191  29.98226252
  49.97156227  69.98074579  59.96748858  59.97248553  29.97149697]","[  19.96842637   29.9590965    19.98910274   49.97494922   69.93134561
  109.91534617   39.97966824   49.96924694   29.95749985   19.98101182]","[  9.98146975  29.9766394   59.97354221  49.98005834  29.96503172
  19.97113493  49.9887519   29.97504869  69.9292474   19.99053439]","[  69.95637754    9.9861316    59.97559939   59.97388342   19.97544668
   79.96266294    9.98427054   79.96732838  119.93332712   39.97459024]","[  39.98970952   69.96525432   29.98651842  209.92499859   29.97931954
   19.97675631    9.98209124   29.98054308   29.96947952   99.95187966]","[ 109.96242503   79.96675344   19.98403801   69.97288222  209.95991676
   39.97253094   39.95180904   49.98318004   99.93205277   49.98697098]","[ 59.97455205  89.96123144  29.98646817  69.97613963  19.98114977
  69.97868929   9.9835851    9.98507077  79.94777772  19.96429148]","[ 129.94331286   19.97340476   69.94910118    9.98076865   69.9747332
   49.99076558   29.9796639    49.97595819    9.98296467   49.95979263]","[ 19.97177037  29.97330108  59.96433417   9.98185198  49.96327453
  49.96980732  79.96661989  39.97843384   9.98403379   9.98347457]"
"[ 39.97859364   9.98227626  49.96104374  29.97507661  19.97968776
   9.98481989  99.93913658  19.9741953   29.94393119  29.96041503]","[  19.9813558   119.8774528     0.          129.96665656   29.972705
   19.98473846   49.95601671   99.95561457   29.98802331    9.99191742]","[  99.97607496    9.97992496   19.97101547    9.98127414  109.93883553
   69.97268195   39.9655453    59.97289153   39.98332864   79.91613105]","[ 179.95576761   59.98681627    9.983433     19.97609185  109.93981569
   29.97563146   19.97451324   99.93902537   49.93769616   49.98299444]","[ 139.88020214   39.98263248    9.98906876   39.98813512   59.974317
   69.96660307   49.92241341   19.9719095    19.97276157   19.9758377 ]","[  19.98404414   49.97204132   69.97594038   69.96556529   19.97932388
    0.          109.93329876   59.9768039    99.95915159   29.95762184]","[ 109.96141244   89.96923006   39.97248568  109.94356034   69.96727813
    0.           59.98736531  159.9346627    59.91495852   19.96435802]","[ 179.8352949    39.97474964  129.95531352   59.96572432   59.96799654
   39.97602098   29.988689     29.96804003   79.94984027   29.95927053]","[   9.98282872   29.95333277   69.95515401   59.97155059   39.96566067
   39.9917335    29.98687993    9.98465985    9.9868801   119.967985  ]","[  19.98784957  189.91509503   59.98034221   29.96746099   19.99280972
   29.98903839   29.9702561   129.93532013   69.98746605   49.95346991]"
"[  69.91801586    9.97984574   99.96417194   39.98359999  109.86916453
    9.98319383   39.97603583  109.96446666   49.96065364   59.97197115]","[  89.97566727    9.98419462   59.976072    129.94554813   59.96200055
   29.96910431   49.97321256    9.9808189   109.94992684   79.97652892]","[  39.96329523   89.93858421   89.93742168   39.96750352    0.
   89.95566663   19.98622635   29.96859626  169.83913361   59.95414238]","[ 79.9714261   19.96842979  29.97723997  39.96631133  39.95135494
  59.978859    19.9849602   49.98119419  19.9755186   39.97528922]","[  29.97158082   39.94682026   29.95810998  219.86430638   39.9850315
   49.97639672   89.96803273   49.98802862   19.97663892   79.96038787]","[ 179.85454319   59.9640301    99.94294432   69.94687661   49.98261826
  119.91087233   49.96825525   39.98362554   59.95071689    9.9819264 ]","[   9.98477317   49.98556413   49.94929479   39.93208041   39.98212934
   79.98620805   69.94101011   39.93683865  139.92822727   59.95807247]","[ 29.98254129  29.9789567   19.96558533  19.97868068  49.98662815
  69.97344592  29.97547745  59.96476924  29.96663354  19.98382829]","[ 279.9383681    39.97065067   49.97618271   69.96620427   59.96523869
   39.98274261    9.98354672  119.9648929    39.98102606    9.98363526]","[  29.96971572   39.9807497    89.95446856   29.96142711   59.96542046
    9.98010899   99.97724261  119.97635753   49.96423863   89.96331378]"
"[  89.96667555   59.97545657  169.93765213   99.94124495   59.96207961
   39.96840409  119.9059787    59.97494156   49.96189448    9.98821388]","[  59.96785767   39.97390831   49.95105952   29.98307996   39.96599738
   79.95540608   49.95925608  129.96262343   69.97976714   49.98235306]","[  49.96606989   49.9847997    49.97158502   39.94938252  119.94897812
    9.98256155   79.96596612   29.96748187    9.99041171   69.97521548]","[   9.98158583   29.98587321   19.98620502  119.9582728   109.97483962
   39.98345687    9.98580683   49.97080238   99.95515163   69.97145415]","[  9.98290182  29.96058271   9.98497984  19.9790906    9.98385645
   9.9800283   19.96705368  49.9493114   69.97049522  29.96152287]","[  19.97235623   29.98906019   19.9725252    39.9794712    89.97600236
  119.95383061   79.96339474   19.9773007    79.95885404   29.97352198]","[   9.9890291    19.98070176   59.97380876   59.93942989   69.94336291
   39.9831239    59.96936229  119.95385533   79.95420787   49.97921695]","[ 39.97318476  79.96402503  19.9759536    9.98080415  39.98151259
  29.97416768  79.95046692  59.96020555  79.97196088  19.98535128]","[ 59.96774929  69.9512122   39.97913426  59.97756833  49.96853618
  69.96861477  49.96131718  29.97945372  69.97738723   9.99019287]","[  39.97462989   39.97729373   39.97348851   59.9613285    69.97410551
   19.97124971  169.91946775   19.97147714   89.97032679   29.96401232]"
