variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
981.1409921056289,2321.5288563514014,3404.477162924681,3323.91526137817,917.6411654910398,1121.9612083508846,2686.460471059346,546.4998909472042,3150.552229678201,954.4575277957643
1099.5172472227953,1849.863256857767,2786.592155133953,2211.094679774618,1915.8638801472325,1681.282652639964,9129.19921658034,820.5485823104493,2309.383917150709,2544.690165903874
2132.056121496882,1689.0978247379767,2170.6542227670075,1875.5818218317809,1579.2245273607425,1272.500823581595,6479.350032917227,834.0481312206518,1858.9763794703636,2005.209720981872
1504.7162991284795,1417.945264467099,2181.065079997868,1508.9165127222036,4080.4041577435414,1213.2905435319567,5384.279142346086,797.9687193507657,1939.915317587404,2279.5664440810842
2290.190487518489,2762.9449697333885,1949.5643151931386,3229.0680285804565,3936.0955340687997,1298.2253946119629,4509.301854523488,789.8802926701642,1812.2578087373781,2098.0217646890346
2302.8849590034606,2802.1339095912235,1805.025953324614,3288.7658540837697,5683.051388088272,1269.6773636379758,4035.768909686688,933.0714352807762,1958.2498543451632,2135.5602783454524
1746.3738384837832,2528.355233078644,1578.497625512977,2971.170150151432,5548.142943367842,1270.848513724257,3655.2752876361656,927.613686179167,1955.6666569911818,2077.1050045133243
1688.0128584321915,2848.046140755945,1690.571470957154,2681.743758895331,5518.568830813766,1338.0428334860217,3551.3516720329053,1022.0546897710225,2243.7201038499793,2416.90880865417
1587.9409379969045,2869.896478306178,2939.604027989422,3902.757377606881,7192.827289075025,1460.8623332889738,3291.8563395666997,1557.7321935360776,2190.5257485601455,2454.079981355117
1601.339085708878,2657.5962544857657,2764.828110138479,3786.0321016259154,7066.517268053667,1478.5114578416842,3120.493576416594,1607.52037292377,2387.5887798210815,2324.4275986614225
1924.1359662301488,2593.61051105621,2727.2299652888646,3665.580552585655,6927.503053672002,1476.1246683266459,3078.783200643429,1519.2482810218692,2533.7908075373566,2452.1672937237818
1916.3250870803017,2547.317594034629,2627.4192612820702,3573.368937895666,6754.579177328162,1876.1420617840865,2902.8582879779997,1707.622326892158,2494.245949074427,2466.9816791446497
2051.9508495155233,2442.3337468217874,2547.738614486556,3439.495898078587,6596.105626443392,1908.5561615989961,2756.84667484682,2253.1676202229905,2481.231460906488,2605.717165303239
2091.8965996812613,2345.0899301452655,2448.926735713185,3313.3239467663584,6444.933733729411,2275.023321906896,2666.516121348863,2405.264389343723,2782.3467644506036,2587.2268956916687
1012.2277748707016,2462.7214103561278,2390.2821171169267,3194.6023241583907,6298.438571942677,2247.5919117579533,2852.0667332077583,2273.0866111552573,2823.9646772721053,2579.1182244240445
4369.531492912165,2401.519496912105,2327.1381299379545,3206.029293600542,6332.554440622029,2193.275235551315,2727.502189989592,2431.9834017714893,2870.5862124865243,3105.3977094185175
5359.877984128284,2334.467896888528,2364.1987316022937,3505.0377072341535,6266.8564228433115,2254.3621813609943,2799.768194316996,2359.576027893729,1434.070495176106,3326.721967870632
4382.062086113797,2325.3813015957808,2304.3573647972285,3379.852637958009,6109.5211416443835,2228.6256141319936,3037.706573268185,2724.6210001485497,1771.57530327006,3517.830161773235
3973.595576473304,3436.76387273502,2218.1155619567203,3275.8729561847217,6237.346652398276,2236.4366354274302,2950.0343367651503,2614.4357400172544,2304.479742788688,3683.1774349173747
4164.081402054326,3359.4096470774193,2206.1679984759676,3184.231379901673,6258.213483193842,2223.266527714015,2906.7313294290284,2502.1483422518477,2270.2829691218294,3558.5321269559636
4059.2282876578956,3254.5522385740014,2136.6879664839494,3364.867508059311,6137.674238912413,2205.673912138314,2848.598252080068,2404.54059772368,2396.400392995197,3498.631608363534
4149.745657334537,3135.598434294846,2065.0678284261535,3249.792061775025,6151.236257915355,2176.2405386880982,2822.6446278736516,2321.9795114461836,3063.9880263408027,3569.6200747065127
5319.539154394576,3088.037876945446,2059.1845461262956,3140.3754111397607,6004.622885477351,2236.162774221174,2762.616108162287,2260.652535084133,2720.8352297229003,3568.2454268961587
8333.315914112954,3117.767808077573,2056.1508360817566,3423.9517502779695,6318.353586021291,2332.6212374514093,2694.8088456214214,2198.5417364448635,2517.299926783448,3542.7691642847876
11784.573913431544,3051.7164609474075,1994.6684962306526,3346.196502165383,6472.75600416766,2452.3331525595127,2650.99233438024,2164.6419303627536,2528.0056967575074,3493.4643264101924
13392.01787815904,3004.054379589474,1988.8185436193562,3260.3686258291114,6338.806364697837,2429.3190261557775,2589.7292556716984,2148.1127207252466,2464.9704308660694,3386.434701066026
13758.076203943709,2917.645348404154,1952.6456061866204,3257.8398292233633,6236.034113278971,2364.490090856028,2553.6927412471446,2116.3609583228226,2431.4183272093296,3323.6424768300094
60654.63465041481,2828.9651625686847,1888.8547962984235,3188.8867359604897,6129.459421296869,2382.8905245419073,2511.3931081046103,2080.809119312862,2321.822231922922,3257.1326655279654
49326.08912004812,2784.956997960205,1856.0200563298706,3102.152180759861,6022.067998331231,2357.938208768115,2470.0190834912273,2061.9884533547734,2545.4872588263806,3173.3069681412576
