rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[   9.98301443   99.94286203   99.95103823   39.97164634  119.96792755
  249.93077545    9.98618178   49.97082846   49.97433509    9.98197972]","[  59.95997182  129.94815664   19.96448513   39.97816852  249.86739006
   59.98415581   29.98621055  109.95311384   99.97823477  159.94325192]","[ 149.97234943   69.94139801   49.96012865  129.9139529   119.93937099
  179.92493563   19.96884072   19.98266549  199.90055657   29.97325087]","[  49.92169298   29.96603197    9.98182447   59.95733707    9.98467364
  189.87361714   89.96225521  179.89932505  189.85488346  189.93493371]","[  59.96943338   89.96113288   49.9398826     9.98556205    0.
   79.92994044  119.83582386  109.94646095   59.93835115    9.98823137]","[ 69.97077974  19.96636822  39.98202187  69.97615606  39.96537787
  19.98484527  69.96768911  79.9823956   79.97369878  39.95453822]","[   9.9843591     0.           39.95951882  309.78053308  169.967519
   69.96437706  289.87914532  119.90902496  169.91752072   39.95940339]","[ 169.89996753   89.89255086   29.96607615   59.95900448   99.91821521
   99.94546603  279.74913996    9.9840337    39.94879915   49.97291741]","[  29.98135353  279.91389964   29.95938918   59.9547943    59.98270862
   19.97535138  139.88343644   99.92704125   99.94284916    9.98754025]","[  79.94702624  249.88809117   69.96960393   49.9434392    99.97023277
   69.90088766  269.91686777  109.96426509   99.96074498   19.98192446]"
"[  39.96917291   49.93809338   29.94521712   29.96691791  119.87267554
  119.9607483    29.96529315   49.95907183    0.          179.95947203]","[  89.89903164   99.95917809   69.95025861   29.96190354   49.97503181
   39.98136413   89.95669584  209.9245984    79.9652335   169.9538961 ]","[ 199.95106659   59.96182438   39.97171305  229.85895138  319.82021829
  129.93613126  209.85947215  139.92465298   49.97149383  239.90627584]","[  29.97176508   99.94180656  179.94933146   29.95682619  139.899451
  349.88904966  129.93080304   79.92277631  119.90980256   69.9547045 ]","[  49.95514863   69.92466185   59.91956446  119.96330684  169.8983803
    9.9895509     9.98652172  109.90903253   89.96614312  129.94166018]","[  59.90438481  109.95893226   89.94936983  269.84928554    9.98029164
  129.93473687   49.95681113   39.95640837   89.88798412  179.93673349]","[ 159.87928323  239.89421828   19.96186995  109.9605431    59.93497991
   19.97215886  139.94784668   69.97199221    9.9813807   199.91923382]","[ 59.9355349   49.94312286   9.98186419  39.98174831  19.96984596
  69.89929606  39.96231543  29.96222828  69.95911075  99.95419429]","[  79.95754027   39.95057367   49.9551726    89.96011688   59.98514317
   29.96957458  229.94286956  149.89155999  219.93625091  219.89878264]","[  39.92564707  119.97316731    9.98087805   69.95632015  279.82259327
   39.96195745   19.9749551    49.95685199   59.96889554   89.9337639 ]"
"[  39.96735946   49.97166811   79.96932747   59.95174942   39.95714105
   59.96593473    9.98616429   79.95816045  229.95032663   59.9631007 ]","[  59.96162916   49.94307401   99.94638827   29.96364979   59.95592214
   39.93600941   69.9204717     9.98451674    9.98057958  249.85129281]","[   0.            9.98383356   99.92748815  109.95023717   39.9530727
   19.98796603   39.96153606  139.95261897   69.94692621   79.92004024]","[  49.96448615  109.97157455    9.98652777   19.97287038  119.94382425
   79.92121783   59.97258362   39.94480834  169.95480308   99.92906671]","[  39.93707869  189.85477057   39.96523367   79.9424233    99.91972892
  129.9583401    59.97974939   19.9693744   109.97644655  219.94447566]","[ 119.9501179    59.98326083   49.95392046   89.96032575   89.96066504
   19.97619368   19.96567078   59.95961169   59.9681725    29.97693091]","[ 179.93669035   79.96433517  229.92225275  109.95618064   59.96219964
   79.91254467  199.91304242  219.88640109    9.98171986   19.98875694]","[ 199.88040833  109.90763439   69.97609364   49.96168376   39.98127431
   49.94957228  149.94517966  149.93111781  159.93649444  109.94593866]","[  49.94691787   29.98767237   29.96537411  159.88758549  179.85091835
  139.85911174   49.94164873   29.95529569   89.91411097   29.98041776]","[ 59.89421547  59.95008727  49.97431966  19.97132997  59.97231851
  49.97334405  59.95913835  39.92934212   9.98909354  19.96870518]"
"[  79.97109194  169.95214624   59.9761575    69.97596086    9.98506418
  159.9596073   219.91126833   59.96997996   49.92613512   89.96063827]","[   9.98483475   39.9624474   189.79725173  169.85373173   19.97550442
   79.98225369   29.96458219   89.96274177   59.91878174   59.97668657]","[  29.98018605  159.93839208   59.9395937    29.95723048  159.96829293
  129.9204673   139.88945906  239.90976602  159.91450182   29.98865313]","[   9.99118394   29.96178267   59.96218117   69.93969891  159.8138791
    9.97906979  129.93265847   39.94277998   39.96728492  109.91297824]","[  39.98108886  129.86628919   89.92177948   19.97562598   39.97000823
  499.75401093   49.96438098   19.98405603   89.9685292   109.89476113]","[  9.98853845  39.94056388  79.93968275  49.98122812  19.96687559
  49.93263708  49.96124977  69.95929163  19.97381158  19.96312948]","[  39.93958696  119.94784034  119.87890493  129.95630792  109.88819613
   39.96044237   29.96709892   79.92916657  139.90233717   29.97962091]","[  29.9588693    49.93003791  149.91723554   19.97030005   19.98603056
   19.97885855  129.93757893  109.93234341   39.96646425  119.92440239]","[  59.96280783   59.96802219   69.89812278   89.96447915    0.
   39.96647845   59.92670041  179.87086186   29.95604      19.98763238]","[ 209.81596309   59.9561297    29.97093855   19.97171244   19.97652946
  129.93015531  139.9626649    29.96444182   29.96417222   39.9718396 ]"
"[  79.92712582   59.96342396   89.95554617  179.80117514   69.90952659
   29.98149375   39.95373474  119.95276221   49.97944386  119.94259431]","[ 209.79452237   39.9758827    29.97541247  279.87904134    9.9869242
   89.94737779   39.96992446   59.95234308  159.89338445   39.96878388]","[  19.96626593   19.98075179   19.96260857  199.93678043   79.94242485
   39.97811615   29.96493998    9.98598449   59.98249958    9.98640082]","[  59.97024947   99.93534888  129.92799351  279.94040031   29.98812113
  119.93990401   19.97193599   99.94051565   49.94632525   89.95961279]","[ 219.92372701  129.92631207   69.94417063   39.93463094   49.96603075
   59.93812565   19.97337205   79.91936817   49.95381213   19.98313551]","[ 239.90845684   19.96723456   39.98248009  119.85220374   29.97578733
   69.96337176   29.96990026  119.92528295   79.96283281  249.91405935]","[  69.93408259  259.91167185   29.97972543  139.96058135   39.9824374
   59.94434681   49.98223778   49.95653684   99.92883041   79.94960224]","[  79.87738981   29.9721058   119.93590187   69.94470734  149.90215957
   39.96004955   19.97709139   29.95809812   69.95599733  109.96240817]","[ 249.82193497   89.93322729  139.93356595  149.9113675    39.97713864
   29.97463857  129.86475602   29.96062935   89.9518319    49.98046328]","[  49.98760809   49.9613753   199.77968392   49.96395197   49.93499799
   99.89515537   39.95111164   99.94910239   49.95757376    9.98703161]"
"[  29.97968509   59.96454924  179.93963516   59.97359841   19.96766881
   89.93829632   49.96364867    9.98538789    0.            9.9820935 ]","[   9.98348566   89.88710108    9.99048126   99.95947781   39.93847681
  119.96122776  159.90651447   29.96417188   99.96909832   59.93886238]","[  29.95412071   49.95724409  179.96222352   29.9742474   109.93086576
   79.94807882  119.91422533  299.89360896  249.83287647   69.91472518]","[  39.96182668   69.96362177   39.97613892  199.89409916    9.98150203
   59.95395558   49.96760679   89.89132781   49.93354288   29.96854026]","[  49.97159449  139.93360083  159.88447778    9.98814131   79.96481116
  139.94837387  169.92810372   29.95870461   19.97656404  139.96011878]","[ 149.93076582   39.95628142  109.939652     79.98263618   59.98068237
  129.92782917   29.98178168   49.974373     59.93097125  109.96163611]","[  59.9488987    19.97364413   29.95485512   49.97435427  139.94526172
   19.98682793   79.93115361   39.98522816   39.96563437   39.94950972]","[   0.            9.98810935  229.85053448   59.93754797  129.96678681
   69.98752485   19.97703616  249.83181392   39.98407674  289.89928082]","[  29.9723973     9.9855287    79.94899383  109.92119039   59.97301314
  139.89947474  149.92327832  109.97531639  229.8826772   209.92065564]","[  29.95484172    9.97978154  159.92700516   29.96965372   89.95019458
  219.86255996  199.93806139    9.98779749  129.9451631    19.96942895]"
"[  19.98004682   69.91596154    9.98400279   79.88157082  109.93941449
   29.98450063   69.98252566  209.9259752    59.95787147  149.89512139]","[  19.96807982   19.97283025   89.92339321   59.9646126    19.96597999
  119.92394334   79.96194441   49.95220756   59.92145699   59.96563153]","[  69.95048452   79.95354849  389.76367973   39.97182089   39.98671198
  189.9016396   159.90065489   49.92405813   19.97221915   89.8928483 ]","[ 199.94795078  209.89320575   69.93083881   39.96486953   79.95343429
   69.92147934   29.98123277   79.94813638   59.9694726    29.95832009]","[  89.97280924  229.94073919   19.97424717   89.90046497   29.96132859
  199.91791743   29.97370628  169.92221588   39.93158168   29.98716464]","[  49.96957986   79.90001723  239.91740633  119.97294561   19.96560845
   19.97960285   59.97929642    9.98312528   49.96384853  209.92363225]","[ 199.83079034  109.94888568   19.97232818  139.94013003   89.95237231
   79.97100379  109.92934529   29.95572918   59.92372159   19.98615276]","[ 139.96588151  159.93492196   69.95896994   39.94283292  109.92142191
   99.95863268   69.96510441   49.97185553   19.97082497   59.96109003]","[  69.94452997   69.88657726   59.95696766   49.97001493  149.91839891
    9.98259231  129.94085317   69.96588982  159.91618844   79.92864932]","[  29.95674128  139.94449868   29.96423894  109.96044603   39.97184491
  119.9579425     9.98955501  159.90407807   79.90917569   19.97091985]"
"[ 139.93013053   69.94389535   69.96299895   69.96266615   39.94823203
   49.97343083  209.86341628  129.95002088   49.98611609  109.94741762]","[  89.97771145   29.96298299  139.93079042  139.88407504  129.90444212
    9.98253831  119.95056731   89.96481049   69.91001652   39.98617989]","[   9.98058818   89.96096213  149.80586348  309.88380718  169.85073096
  209.92461727   89.96296419   89.95174405   99.95362575   29.96702618]","[   9.9797342   129.94154882  239.89281912    0.            9.99072811
  209.77130751   19.96263253  329.84400911  169.90661528   79.96017691]","[  69.9679815    39.96964489  119.94397036   19.97509574  199.87465598
  169.93932993   99.94476591    9.98209203   69.96876677   69.97218918]","[  99.85101227   69.97447128  199.85223455   89.93432977   59.94861722
  179.92845489   69.96304811  109.95851167    9.9825104    89.9614619 ]","[  59.95839874   89.96015873   19.97344087  109.94787062   49.98427636
   29.96514744    0.           29.98027574  239.89869998   99.97233466]","[  99.95661336   89.94898798   39.96265615  169.94694831   69.9389745
   39.95270384   79.94052171  199.94062827   49.9779996    49.97421978]","[  39.97668452  129.85966747   39.98352406   29.95813211    9.98008696
   79.9673084    49.96435556  109.95758377  179.91918224   79.95085326]","[ 109.9410724   109.95388347   49.96697151  189.93581764   59.95691121
   99.95392335    9.97924477  139.90010277   59.95192989   99.89149841]"
"[  59.94170245  149.88378766   99.94306252   59.91086309   69.97844442
   99.94340603  119.91297531  119.95130916    9.98498917   39.97602663]","[   9.98258044   69.95478021   59.97037084  299.8817391    29.96687541
  109.89642613   39.95653851    9.9850705   369.903612    239.85064538]","[  79.96049499   39.97393739   19.98133094   19.96662236   59.96043096
   29.9637195    59.9746586     9.98959841  139.90425419  109.96708434]","[ 119.9528927   159.93145777   79.91333318   69.9128733    99.94666276
  279.8877829    69.97577904  119.97252012  259.88597917  189.880929  ]","[  59.96085483   69.96188199  269.78730167   59.96983055   79.96178407
   19.9789653    19.98028614   49.95198889  109.9499084    29.97584919]","[ 229.89497468   59.96565765   29.96680096   79.91494201   49.97624498
   99.92854147   49.96741418   49.98599025    9.98463594   49.97906018]","[ 199.93128162   49.93349964  249.91532073  119.95751733   89.96820066
   79.97099603   39.95696879   39.96711809  209.84863257   29.96218638]","[  59.98111944  179.94003509  149.94375767   59.92891989  169.93244901
  119.95536741   59.93537122  149.90866145   19.97468897   69.94694951]","[  49.97864539   79.92511321   29.96970697   39.96351939   29.97731255
   49.9541947   109.94142048   29.96122162   29.96252015   89.91510761]","[  59.93685259  149.81298893   19.98370641   59.97151106   39.95273716
   39.98019      19.97391834   79.98405589   79.90986856   69.96837119]"
"[  59.94969015   19.97572631   79.95097913   49.97966256  129.88457995
    0.           49.96876832  539.57770279   79.96595036   19.96901765]","[ 109.97347156   29.97343897  239.81174726  119.94806654  299.8130153
   39.96634435  169.92506536  129.96692016  139.83233459    9.98191522]","[ 119.91962494   29.96478051   29.97408857   39.96173154   49.97811999
   79.96012703  189.85985278   59.96486574  129.93457233   99.95613203]","[  19.96823403    9.98296075   29.97560713  239.78298658   79.91911665
    9.98122757   29.98876525  149.90994489  209.91014555  119.95085559]","[ 169.94340408  119.96323153   69.97351758  159.94998233   49.96945588
   59.94937352  139.96273248    9.98168242  159.91294326   99.9482867 ]","[ 109.94703145   69.96154866   29.96778221    9.98909852   59.95080348
    9.98764935   49.9731057    59.96065165  139.9084628    89.92640858]","[ 149.93038264   39.98884194  259.9259072   109.96582025  139.9590939
   89.93216406   39.96915993  159.90270101  149.9296053   239.90489251]","[   9.98254166  209.91396566   19.96790374   79.91116611   99.96074534
  149.90113366   89.97613603   29.94441407   39.9724401    49.97931435]","[  59.97752217   79.95377958   29.96902658   89.96313273  229.89375657
   29.97655475   69.92589723    9.98642068   89.97019278   39.96362979]","[  49.96421151   69.96920393    9.98104064  159.94407908   39.96964505
   29.96383342   89.98318293   19.96870132   49.95892072   69.94416107]"
