nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
18.0,8.0,9.0,12.0,40.0,6.0,2.0,9.0,6,14.0
3.0,7.0,15.0,26.0,15.0,10.0,20.0,52.0,12,2.0
2.0,18.0,18.0,3.0,10.0,44.0,1.0,1.0,23,19.0
15.0,7.0,8.0,1.0,5.0,27.0,14.0,1.0,2,14.0
4.0,28.0,7.0,5.0,22.0,14.0,46.0,4.0,1,11.0
10.0,12.0,4.0,14.0,28.0,1.0,18.0,4.0,21,7.0
4.0,2.0,17.0,3.0,5.0,3.0,2.0,9.0,5,10.0
13.0,6.0,23.0,12.0,2.0,9.0,11.0,9.0,11,13.0
10.0,4.0,5.0,6.0,2.0,27.0,4.0,16.0,8,4.0
7.0,7.0,13.0,8.0,3.0,4.0,8.0,30.0,6,4.0
4.0,22.0,11.0,5.0,8.0,2.0,1.0,2.0,6,5.0
3.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,3,5.0
3.0,2.0,9.0,1.0,10.0,2.0,2.0,3.0,11,9.0
3.0,4.0,4.0,8.0,1.0,2.0,7.0,9.0,9,6.0
3.0,1.0,1.0,5.0,5.0,4.0,2.0,2.0,1,1.0
22.0,2.0,1.0,3.0,1.0,4.0,1.0,5.0,3,5.0
5.0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,3,1.0
2.0,4.0,4.0,11.0,7.0,1.0,3.0,1.0,1,1.0
9.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,1,2.0
2.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1,6.0
2.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,3,1.0
3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3,2.0
1.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1,1.0
5.0,3.0,1.0,1.0,4.0,6.0,3.0,1.0,5,1.0
1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1,1.0
3.0,6.0,2.0,1.0,2.0,3.0,3.0,1.0,1,1.0
3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1,1.0
1.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,2,3.0
1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3,3.0
3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1,2.0
1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2,2.0
4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,3.0
1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2,2.0
2.0,2.0,2.0,2.0,1.0,1.0,5.0,7.0,1,3.0
1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1,2.0
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1,4.0
2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1,1.0
2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0
4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1,1.0
4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2,1.0
2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1,1.0
2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2,1.0
1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1,1.0
3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1,1.0
2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1,1.0
1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1.0
1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1,1.0
1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3,3.0
1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2,1.0
1.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2,3.0
4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2,1.0
1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2.0
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,4.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1,1.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1.0
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0
1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1.0
1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,1.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2,1.0
1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1,1.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2,2.0
1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4,1.0
3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2,1.0
1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1,1.0
1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1,2.0
1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1,1.0
2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1,1.0
2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,4.0
1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1,2.0
1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2,1.0
1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1,1.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,4.0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3,2.0
1.0,1.0,1.0,2.0,,1.0,1.0,2.0,1,2.0
1.0,1.0,,1.0,,,3.0,,2,1.0
2.0,1.0,,0.0,,,,,2,1.0
,,,,,,,,2,
