rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  39.97400995  149.95014948   59.94887117   29.96158483  159.91879868
   49.96505034   29.96876609  119.90673288   39.97372222   59.95104269]","[ 169.93219792   69.94457563   29.96931428   69.96390255  109.94423553
   29.95134101   19.98233087  149.91089541   39.95641343   19.97011406]","[  79.96747848  119.93918771   19.97242106    9.98065069   79.94615064
  189.84904535  119.88321472   39.95422007  169.95195397  149.94945272]","[  69.9684599   239.90269319   99.91652036   29.97648362   29.97578008
  109.93814465   29.97508141   19.9758403    69.96667252   19.9798667 ]","[ 199.94155678   69.9378263     9.98447471   89.87566883  129.92907083
  169.83079745   29.96378425   59.95486756   29.97649221   69.92354616]","[ 269.96003937   69.98811738    9.98563051   79.94277884   49.97439664
   19.96604559   69.93015254   29.97087539  179.92017038   59.94736934]","[  99.91616433  159.91649729   49.95950876   59.92146031   39.93541009
   19.97075697   19.97455734  239.89513224   99.9583584    49.97161454]","[  19.98084712   49.92512891   19.97515354   19.9643413    69.95474158
   69.89122073  179.90176256   29.97334209   19.98405848   49.9567876 ]","[  69.92733258   49.98329548   49.98008871  109.95049168   79.95918233
   19.98269888  179.88769969    9.98293189   29.98196568   59.96344404]","[ 149.92523733   29.97732401   39.96586554   99.953008     19.9724424
   19.98350018  119.94595241   49.97118545   29.98533243   29.98266415]"
"[  19.9704791     9.98905329   29.95928784   39.97342268  109.95524518
  109.9568702   239.8913086    69.94938714  189.91359556  379.91479954]","[ 179.93574524   69.97167213   89.96633733   49.96376033   79.96421435
   89.92112416   49.96341991   69.95318516  129.89624803  229.87813887]","[  19.97208183   69.96385728   19.96207325  129.95521799  169.92496002
   49.95680348  339.89420652  139.90425216   99.93136759   19.97115269]","[  29.95771785   39.93916561  249.75073125   29.97849709   79.96321506
  109.91339652   49.95824553   29.99049654   19.9678121    69.97955692]","[  99.94355019  139.89798918  219.70562464   79.93468749  129.92460859
   29.97316843   39.97268375   39.94028015  159.92780341    9.98602541]","[  89.94831771   29.97315935   89.96850884  209.88443084  159.87002702
   29.9843326    39.95498527  169.95424492  159.93622267    0.        ]","[  49.98236499  119.97418616   69.92867148   39.96862284   29.98958719
   29.97432684   39.97255655    9.98040266   19.97363133   39.9508345 ]","[ 159.91874955  129.941248    129.93974416  159.93482238   89.96062688
   69.94765717  109.95250252   29.95761882  179.88448196   49.95292952]","[  59.96769513   89.94497667   39.95359171   69.95828391    9.98046954
   69.90781313   29.97556442   19.98618185   79.96602832  139.92916038]","[ 139.94594166    9.98832555  229.84082754    9.98417959   39.9739625
   69.95628553    9.98413279  129.88424544  119.95072233  119.95692026]"
"[  99.90858274   29.95320276   59.95752348   49.92700285   79.90215246
    9.97989711   79.94131289   69.95957133   59.97851139  359.82487813]","[  69.9568396   149.94545147  169.93159812   39.9693998    39.9700677
  169.8783607   109.92438549    0.           19.97215328   69.95705574]","[  99.91723983   99.93548695   19.97475563   89.94524323    9.9826334
   19.97384951  109.95554407  189.92325229   19.97599412   59.97994578]","[ 139.86170388   39.94468753    9.98175687   39.97110611  129.96829165
   49.92726693   79.92484311  149.94731593   29.97371826   59.95505232]","[ 169.83238636   19.96478753   29.9683003    19.97929363   49.94874674
  119.93832314   39.96518489   59.95951111  109.91820422   59.95887598]","[  39.94902457    9.98682948  109.86586798   99.94110568   29.97820297
   69.9832431   149.90346237  279.76580379   29.95886989   89.94059701]","[ 109.97358899  129.96209574  339.89669316   89.9227899    49.96914337
   79.94386696  139.9185031   139.92862151   19.98797518   79.93141779]","[ 119.9628317    49.96886147    9.98220628   29.96201373   69.96901506
   69.92590962   39.97129582   29.97148013   89.97323683  199.94011376]","[  49.96643874   29.97218965   39.97741803  189.90971495   39.92966532
   49.98910069   29.97153449  119.92049419  229.78682324   89.97040337]","[  79.93371334   29.97229063  109.85337111   39.98914654   29.98104957
   49.97979788  589.78775221  119.94616134    9.9860626   129.85436545]"
"[  79.96731721  209.9367695     9.98801098   39.97015815   19.97484101
  129.96004962   19.96228699  129.93749131   19.96772057   49.98285416]","[ 139.887331     29.96986434   89.90535363   59.96540061  109.92863661
   69.976632     59.98467053  129.85121735   39.97516237   99.9097033 ]","[  59.96004717   59.97326806   69.92185487  109.95915332   69.9709672
   69.96828046   49.92189527   59.92825978   69.95159756  129.86339229]","[ 159.88450527    9.98353809   59.95815824  159.89304542   79.96028855
   69.94044668    9.98332142  109.96955723   39.97291763    9.98108504]","[  39.93569304   99.93072182   49.95744427   69.94613949   59.95172192
  229.81275069   99.97621491    9.98459656    9.98500876  159.87224217]","[  69.96848898   89.93966187   39.95205989   79.95217102  109.95144693
   19.96670854   99.93665421  129.93010143   69.91224963   29.97165038]","[   9.98478586   79.93475645    9.98768211  159.91771352   79.95806548
   19.96971542   99.93941678   49.93117924   39.94459726   59.9784415 ]","[  19.97091091   59.96029747   39.94668252   69.98042123   39.99000156
  109.88795579  129.97896929  149.88632213   89.97292644  189.87350776]","[  49.9595243    59.90647793   49.96371815   49.96520743   19.97165201
  159.93322377  119.88623547   39.95520155  249.86742502   39.97027553]","[ 179.90330989  129.94774084  189.85101843   89.92583021  119.86688724
  119.94820132   29.97714177   29.95090032  189.85979089   19.96355734]"
"[ 209.83198716  149.92801707    9.98407592    9.98451242    9.98661482
   29.98216113  139.88437557   89.91136864   29.97775897   19.98414848]","[ 119.96396531  109.89064682  279.87014839  159.9290936   229.93905442
   19.96923206  129.95299222   49.94520996  169.92170697    9.97927783]","[ 239.84628625   89.96886426  169.84811515   29.95290343   49.94956951
  189.93684004   59.93088657    9.98890518   69.93924008  199.87780569]","[ 159.93271937   49.97520023  179.82786962  159.88620357  159.95662235
   59.969634    119.96341827    9.98319641   69.95319739  169.90939623]","[  79.96758745   79.94650656   39.97994967   19.98190011   59.97165484
   69.97139182  409.81907663   59.91902884  119.96089646   59.97826812]","[  69.96974885   79.93214697  199.94542001   29.97674329   49.97620308
   69.95989569   59.96459836    9.98839574   19.96795028   99.94567491]","[  89.96299004   49.97511751   19.98376433  179.94780713  109.95317469
  219.81551487   69.94118474   49.96242265   59.95776708    0.        ]","[ 119.92930563  109.93091241   79.97302289   99.94458843    0.
   29.95450065   99.90280755   49.95571337   19.96219993   39.98115343]","[   9.9817286   179.96379986   69.90182763   99.95367307   19.98525369
  119.95329213   29.96652941   69.95711655  119.88102244   49.97073072]","[ 149.88302233   79.9636017   139.92630071   59.96986739  119.90520465
  109.95595983   59.97890645  149.94673233   69.94926212  209.92123689]"
"[   9.98174693   69.95438178   89.93198794   39.97492768    9.99177953
   29.95456035  149.93190979   99.9313884     9.98155117    0.        ]","[ 239.917283     79.97530249   39.94932288   89.94642484  169.91315058
   69.95371917  109.93713831  309.8700505   129.9185372   169.86697808]","[   9.98703335   19.9671981    69.89868054   79.95790142   39.94455521
  119.96463664   29.97602379  159.90023872  139.9195488    69.93460772]","[ 319.9222324    29.96690906  119.94189958   69.97848682   79.956596
   39.99009729   49.94939255   79.94202873   99.93127986  119.92120472]","[  19.96860081  109.951177     69.95801848   89.97167896   19.96332231
   49.98523709  139.93579391  199.86417113  159.94090379   69.92460744]","[  59.96760319   39.97006751   79.96227405  149.90876079   29.95965729
   49.94258625   89.93378869    0.           49.94495433   99.93251393]","[  19.97166691  129.87688671   49.95045207   29.98527763    0.           49.962861
   69.96089105  129.94117926   79.9790748    29.97513711]","[   9.98300369   69.9306575   149.95896261   19.97035599  349.82774829
  149.94711847  229.85035257   29.97262856  149.8634753    39.95163708]","[  89.92037947   49.95848323   29.97780991   59.93057591   19.98975944
  179.7975518    39.97083954   69.9301045    19.96653732   19.96996296]","[  39.98633726  139.94797377   59.93691188  159.86744132   49.98238699
  169.93745358   29.97879123  309.87822455   69.96495788   49.94814867]"
"[  29.96881477   19.98944674   99.96765572   89.91976271   19.97332996
   29.98607622   69.97654218   39.97477011   79.93829685  279.90170073]","[  79.95446964   29.97181971  309.90522211   89.96823258  119.95536065
    9.98803535  379.76829712  119.91043736  159.94713518    9.99000852]","[ 119.88499948   29.95765643    9.98255448   59.94019558  199.89031858
    9.98426856    9.9881138    39.9476292   159.901805    369.89366298]","[ 159.86827742   39.93981309  139.92149951   39.97911133   69.93158263
   29.95646409   59.93681819  119.94846668   89.94831561   79.94605315]","[ 139.88538704   89.91163238  129.87124217   29.95842512   69.90657893
   39.98474041   69.97437646   29.99147503   59.967738    209.90171108]","[ 179.88998347   49.97099803  249.85909482   59.96136406   29.96233476
   19.97295192   19.97027568   89.92675706  179.9590857   249.90643824]","[ 149.88935466   19.98020084   29.96943949  239.92570121   79.94764614
   39.97881461   99.90967567    9.9809807   189.91173613   49.92135325]","[ 149.95193309   69.95336563   79.90314531  479.65806364   49.98763519
  109.94409051   19.97742836   49.96460328  189.86386939  169.88227183]","[  49.98660279   29.97195505  149.90003166   69.93124778   59.96721459
   39.97089975  289.88344355   69.91663321   29.95349579  109.95617615]","[  39.96094202   19.96470153   49.98020099  149.93163506    0.
   19.97219811  239.94775644   39.97931942  139.95176722  229.8542552 ]"
"[  89.9689897    39.97762812   79.93453046   39.99159595    9.98586099
   19.96918876   19.98091253   39.97753501   29.96214809  119.95937069]","[   9.98124566  199.91846303   79.94236955    9.98203434   79.96685231
   19.96341542   59.95439212   39.95618132   49.93434744  119.89905912]","[  59.92214749   39.96739004   39.98418832  219.89960851   49.91531588
  149.93322992   39.96569533  169.9655308    89.91284018   69.96383394]","[ 199.89125138   59.97317756   69.95286168   19.98485847  109.96345505
   29.98394969  109.98187695    9.98722232  269.83823695   89.97304386]","[  39.96943354   79.97430574  119.92766629   79.9322218    89.92097314
  119.9087588   149.89561301  109.93354589  139.95002738   29.98094989]","[  49.96769093   29.9812771     9.98485146   29.96108215  159.90592242
  109.95479977   99.9410289   109.94667681   79.94078978  259.93731378]","[  79.9450806    49.96552162  119.95288402    0.           69.93732623
  339.90022111   79.97086038   59.93249158   79.9606666    69.96654791]","[  19.97318378  119.8695246   119.92732486  139.84293157  219.88081561
    0.          269.91394874  149.9516849   219.92851624  179.90979453]","[ 39.99018588  29.98765218  49.97528032  29.97174721  99.95049532
  49.94387223   9.98238441  79.97830368  79.98417428  59.9524703 ]","[  59.97995934   49.95764013   89.9340376    59.91459909  109.93735648
   29.97200613   19.97229666  109.94397976  109.94215909   29.98065463]"
"[   9.98226136   99.92609795   19.97444351   89.9192714   249.92624701
   39.97335816  119.95238536   29.96369683   19.96786308  129.92498088]","[ 159.94699916   79.96298785  339.856302     49.972119     49.94218724
   39.95653057   89.95299979   89.95251415  239.9117357    39.97457126]","[  89.90992347   49.97155891   19.97052069   19.97720646   89.95188261
   29.96267148  159.94484153    9.98745959   19.96593449   59.97014271]","[  79.91616072    9.98465792   59.95103719  189.80642246  289.88369937
  179.91682363    9.98175546   59.9452978    29.95984213    9.98510018]","[  19.98189774   49.97539586  229.85577481   89.93329794   79.97592625
   59.94472642   39.97538484   49.95270529   39.96625437  119.93856497]","[  79.97268556  119.948517     29.97232682  239.88957823  119.93978973
  159.93016444   39.97097511  109.97706948   69.95842785   99.94626665]","[  39.95445148   49.96747337  209.89734597   59.94844924   39.96800973
  129.95767048  129.92288756  279.8867965    79.92589293    9.98812542]","[ 39.9581625    9.98027015  19.97168288  59.96399059  69.97073961
  89.96044375  39.97652616   0.          29.97792064  69.94718985]","[ 429.78047505    9.98299165  249.84051684   29.98193479  109.93630994
   39.94816966   39.97640742  129.87319163   79.94182566   99.95734348]","[ 119.92620528   19.97409064  169.91148653   29.94724787   69.94828749
   79.9520117   159.85384662    9.981698     79.97523722   49.93164633]"
"[  59.97691827   59.95235044  179.9533038     9.9838907    19.9748811
   49.96305646   19.97623527   99.9497265    49.98076826  239.88126471]","[  49.92371283  179.959566     29.95281459   19.96905752   99.95248067
  219.81494428  239.91403979   99.94625834  219.89016829   59.96900619]","[ 119.94035739   59.95952771   79.89311497  119.94424125   49.967051
   49.98122355   79.93810211   89.94481258   29.95635945  299.89760145]","[  99.97877042    9.98667303  239.84746792   69.93326322   19.96244145
   39.96727479  149.89667092   99.89512478  249.93097504  249.92743249]","[ 159.94546508  299.87409047  169.95120341  149.92777476   49.9346998
  139.90513965   69.97045247   59.97199329  179.88789881   39.9774692 ]","[  29.973548     19.9749969   179.81034343   79.98546529    9.98390379
   29.98026867   49.9457885   199.92575273   59.965462     49.97417249]","[  19.9664299   219.88477827   19.96809027  249.90041447  299.85418383
   29.96428114  149.86571703   19.98183242   39.96952164   49.96773198]","[ 119.91509022  149.85193325   49.95266249   59.95608092    9.98274341
   39.95764503  119.89095861   69.96466199    9.97987169  159.94003386]","[  29.97752367   39.9599382    79.96273491   29.95708845  309.8293904
   79.95186203  109.9005079    29.96215635  239.82052165   69.96937613]","[  89.93621843   79.9489371   109.94168819   89.98291883  109.92894779
   19.97701524  179.93353149    0.           39.95428845  159.96067857]"
