rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[-61.74342381 -62.03909667 -63.20218521 -64.6565445  -61.80908068
 -65.67670085 -63.51685074 -62.1272273  -62.42147061 -62.39297909]","[-52.97229909 -55.48027522 -55.60261316 -54.00650331 -54.84810265
 -53.0578872  -55.22218926 -56.1054921  -56.71561884 -55.68861845]","[-72.56661255 -74.92681659 -73.37519198 -73.76446867 -73.36751097
 -73.51819196 -74.89306544 -74.25451933 -71.70255202 -74.22601231]","[-61.96356887 -62.97012595 -61.791596   -57.64117612 -62.7996433
 -60.56391827 -61.50131292 -61.27887964 -62.58741464 -66.00593172]","[-66.82969843 -65.79311144 -65.55066939 -69.58856122 -66.30765117
 -64.30646195 -67.65390897 -63.9177262  -64.84133888 -69.87490106]","[-60.60271368 -63.01223888 -63.74530536 -60.71312029 -59.45699062
 -60.03393622 -61.03731442 -61.80894547 -63.53508817 -61.53151435]","[-74.15535165 -73.44341653 -71.10022915 -72.71781278 -70.41594526
 -74.62689935 -74.02648545 -72.72386357 -72.83400811 -71.65647798]","[-64.98290557 -64.35849214 -64.04881735 -63.15018266 -64.54664709
 -62.99823008 -62.75016486 -62.80533056 -64.1545638  -63.698175  ]","[-59.97813234 -58.11371883 -57.33709328 -60.70278077 -59.14091424
 -58.16744116 -61.31868329 -62.38405407 -62.63085208 -60.52242371]","[-57.35392239 -51.70069087 -57.09861166 -55.24531501 -58.3923899
 -56.56429505 -58.18008404 -58.14337155 -55.21474762 -57.72375938]"
"[-59.59258581 -57.25215385 -57.52310857 -58.70517858 -58.29139122
 -59.24405023 -55.98967573 -60.3344419  -55.64875653 -57.49479125]","[-62.38171547 -61.46052502 -59.59007092 -60.33990217 -60.46423831
 -58.75797681 -59.6045287  -62.35409536 -57.37736207 -59.11187461]","[-68.65045098 -67.90037942 -66.56556409 -68.50497584 -68.15507833
 -70.44251034 -68.11918384 -65.1027685  -66.82378099 -66.00779962]","[-63.70875378 -64.75535131 -62.90058657 -65.61698074 -64.44969112
 -62.76994656 -61.5223083  -63.55347585 -63.64961572 -61.64973514]","[-67.01793641 -65.84928455 -66.82719037 -68.37724483 -65.60337243
 -66.77745542 -67.48090389 -67.7836015  -66.7045847  -67.64270243]","[-73.54803176 -71.31829479 -74.21658585 -70.06488762 -72.39806363
 -71.10619561 -70.16695087 -71.96779395 -75.01956746 -70.8564285 ]","[-63.96599558 -65.47915115 -65.96554487 -64.84381457 -65.91245328
 -65.17906451 -69.00431255 -67.45245488 -65.472251   -66.29393524]","[-63.23714571 -57.62188929 -61.56888928 -57.70461585 -59.28019078
 -60.24370096 -61.42864184 -60.45720645 -60.75106621 -57.64195216]","[-59.10339443 -56.20848152 -57.22872641 -59.54267498 -61.21091488
 -58.97861492 -57.84539511 -58.33721576 -57.44494262 -58.99237123]","[-62.10239461 -60.46940145 -60.81193837 -58.40530141 -62.57536667
 -62.54162926 -60.70001955 -59.85753618 -60.89348255 -59.87340016]"
"[-51.38481117 -51.31057129 -52.1833125  -52.50098151 -53.62114148
 -53.46358071 -50.5862868  -53.24451697 -53.18811997 -53.08522841]","[-66.64186031 -66.06890399 -66.30986393 -65.84043517 -66.855682
 -64.52315368 -66.12558065 -65.36176751 -66.84483643 -65.45661447]","[-59.83558627 -63.25287362 -62.50485416 -64.73959664 -59.94977034
 -62.58283294 -64.1823307  -62.34024215 -63.121283   -61.78963553]","[-73.60924684 -73.71887165 -72.29935012 -72.12324959 -74.60213176
 -75.1777063  -74.18429655 -72.88908577 -75.61516435 -74.08450178]","[-66.31437673 -63.86830172 -65.82392113 -64.95676332 -65.44504545
 -67.23404434 -64.91447178 -63.79658379 -66.45161617 -64.49592013]","[-58.98922264 -62.60771771 -57.51921472 -59.44248608 -60.27587352
 -58.67684314 -59.64756037 -62.4148327  -59.64071329 -61.06259381]","[-69.65914877 -69.47907441 -68.81836913 -71.52754034 -69.22647822
 -67.42622187 -66.72003012 -69.84666167 -68.45560845 -70.41755541]","[-60.70536267 -58.96303232 -57.67991721 -58.1614544  -58.33966    -60.29907087
 -60.95263248 -59.7848858  -59.36950158 -60.29633948]","[-61.2583103  -64.35589421 -62.41284891 -64.33095866 -64.01038783
 -65.00076404 -59.48213866 -61.8299433  -62.60498925 -60.48208326]","[-66.63003746 -66.82378319 -63.74762674 -64.41273346 -66.14901398
 -64.93017255 -64.38905753 -66.2652952  -64.032321   -65.76932254]"
"[-51.38166469 -53.78663404 -50.86169561 -53.37047958 -51.19419589
 -50.48259664 -50.8833126  -52.65945701 -52.51095314 -50.45309117]","[-73.40763428 -71.76480613 -73.89164664 -74.19436452 -71.90726591
 -71.50987324 -73.08137527 -71.913229   -71.55336975 -72.13056912]","[-62.75484718 -60.48191671 -62.07607209 -60.99603162 -60.44510793
 -63.17235414 -62.0149281  -62.41984018 -60.11775683 -62.08575671]","[-71.21014555 -72.16353056 -70.52564977 -70.17658954 -70.17091033
 -71.21031309 -69.17516551 -70.86547087 -70.91758809 -69.35492677]","[-69.00075999 -68.715868   -69.09648023 -68.46283021 -71.05264619
 -70.17751047 -69.08772979 -68.58484451 -68.321533   -68.54655739]","[-53.40258072 -55.40813111 -54.62389064 -52.04932864 -53.08294711
 -54.06243406 -52.20228833 -51.55249534 -55.2585049  -53.35439107]","[-96.77699886 -95.73038577 -96.96676653 -96.3058324  -96.13978826
 -96.16544708 -96.98200708 -95.79595604 -96.48484442 -96.83814671]","[-63.18194185 -64.45916777 -60.88891322 -64.92047183 -63.70782949
 -61.60683411 -63.44490725 -64.26640526 -63.12743287 -64.66910208]","[-58.29585786 -58.03272954 -58.35871958 -60.04971377 -56.15972681
 -58.71851903 -58.73659526 -59.53077575 -59.64485152 -58.32311202]","[-59.67371208 -60.63561972 -62.41454802 -60.45564406 -58.06990451
 -61.46370938 -62.67525187 -61.37432356 -60.03855262 -59.32629127]"
"[-50.54884142 -54.08412777 -51.30632094 -50.25912098 -53.14312471
 -52.57520131 -52.63215187 -50.32253553 -48.98489561  51.92538332]","[-79.37250306 -80.10996244 -77.56321546 -80.58732871 -79.31363917
 -77.79808919 -79.08133757 -80.31089996 -79.4291448  -80.38321159]","[-54.20397859 -50.07887732 -52.57750131 -53.35458013 -53.42029425
 -48.80098303 -54.24337086 -54.04080554 -54.50980448 -50.61658516]","[-62.27022539 -60.95881961 -62.08754873 -59.61419732 -61.01280413
 -60.96222137 -60.95450112 -60.36442927 -60.52874659 -62.26664923]","[-86.95880772 -85.52178622 -86.92441975 -84.34145858 -87.00206793
 -86.56430055 -85.92238843 -83.69675453 -86.41011433 -85.92975981]","[-56.65605706 -60.00131256 -56.36526982 -58.30297765 -58.19392767
 -57.75815735 -58.86239227 -58.0990834  -63.57285366 -58.73723334]","[-72.82016698 -70.99939726 -74.64634165 -72.41776178 -71.07999399
 -74.52288793 -72.99098154 -71.99455212 -71.89074148 -72.1388427 ]","[-59.28069025 -57.13562247 -58.91614409 -61.1169773  -57.29840981
 -59.53707024 -58.98844411 -59.30399423 -58.70141918 -58.45973601]","[-62.81353121 -62.72790505 -62.4261493  -62.589242   -62.84151325
 -62.60197913 -60.58073214 -60.82575378 -62.93607166 -60.45614541]","[-56.0014789  -56.79784367 -56.46516549 -55.9957047  -58.0172512
 -57.36696826 -58.02003239 -55.23131682 -55.73446129 -56.77975119]"
"[-50.8685736  -52.23742809 -53.66537357 -51.2195349  -53.66632431
 -52.78375263 -54.4415943  -51.16029971 -51.82981281 -52.65272204]","[-73.21203068 -75.84061326 -73.22449407 -72.2909281  -72.33473583
 -73.91354071 -69.2525682  -74.34346965 -73.54625032 -74.80208751]","[ 66.44202884 -59.37597205 -59.81960624 -62.02005827 -60.0947215
 -58.78686484 -59.6194877  -60.99276524 -61.72516389 -56.84778327]","[-54.68914677 -53.61149523 -54.54535017 -55.8382262  -51.90054817
 -55.12389148 -55.27402616 -50.64308081 -54.97810314 -53.47637823]","[-76.14584761 -75.65261369 -75.90092878 -77.01169285 -76.82590914
 -76.55771453 -75.38144036 -76.31583629 -77.82174469 -74.20693173]","[-51.13638684  51.06198281 -52.18185253 -49.43372452 -52.98583673
 -52.91518765 -52.15488978  48.69528179  51.12963108 -51.93015588]","[-67.96811436 -65.57756017 -66.26066796 -67.0265178  -65.17889372
 -66.25553274 -65.77525962 -67.09799159 -65.98353559 -66.18037375]","[-57.77152529 -59.6976653  -59.20242793 -57.83937705 -57.93504481
 -58.03797176 -58.26011854 -59.75630353 -59.43627892 -59.54909298]","[-63.67692471 -65.54836743 -66.59665919 -63.17236009 -65.96201518
 -62.64393348 -65.91149967 -64.09367315 -62.7577224  -66.88889471]","[-63.99873965 -64.69079044 -64.02424421 -64.85425051 -64.9420391
 -60.82679769 -63.4203441  -63.6804845  -61.96645092 -61.31093029]"
"[-51.39272235 -54.39583252 -55.22408425 -52.58067122 -53.02882187
 -52.77031317 -50.81230294 -51.17004081 -51.12454345 -50.5260659 ]","[-74.63204951 -73.90676084 -73.78245053 -74.91884098 -73.20840493
 -74.68038068 -74.32795732 -72.56041306 -73.89784695 -73.22040138]","[-57.62101908 -59.37669151 -56.4448075  -58.98783594 -58.27751693
 -60.65154616 -57.88641434  57.46887639 -59.64192169  72.80269262]","[-54.8007956  -54.13287427 -55.19134981 -53.38765291 -53.28728277
 -51.13477987 -53.27609955 -51.98352062 -57.12203207 -56.17182169]","[-79.69018594 -80.17669478 -79.76658877 -78.70676599 -81.47285927
 -79.21192063 -79.524382   -80.50376129 -80.16835941 -78.42378959]","[-62.29165148 -64.72037859 -62.75381754 -64.3746615  -62.44023234
 -62.9841664  -62.54475891 -62.2663136  -61.95771922 -63.00475654]","[-62.01051091 -58.85578024 -59.43967522 -57.28110745 -62.20865182
 -59.87831906 -63.37396214 -55.73290943 -59.56849846 -60.63569077]","[-60.6555375  -59.47247054 -58.08048196 -59.55452252 -58.38448668
 -59.02783072 -57.92084474 -57.15830706 -58.16610157 -60.76339942]","[-80.92813894 -78.82192047 -78.51010675 -80.86802038 -80.72161927
 -80.33844778 -78.0331476  -80.48645841 -80.16669877 -80.66529836]","[-58.3397814  -59.3182221  -58.81172338 -55.31216568 -55.79027895
 -56.20807657 -57.20967806 -58.91994139 -58.51050877 -57.55089204]"
"[-66.74769119 -67.53759909 -66.65338862 -65.45838498 -63.67075915
 -61.93594324 -65.17952765 -63.67056978 -66.31896147 -64.24428186]","[-89.83588767 -90.28641984 -89.98263754 -89.52698533 -88.70443773
 -90.21481818 -88.6157897  -89.01309944 -90.45211436 -89.92282932]","[-56.66379913 -57.16825425 -55.56564027 -56.33119134 -55.37180302
 -56.91117293 -55.71634028 -53.90918532 -55.29988068 -56.52635346]","[-56.14170509 -53.87921518 -55.34150204 -54.12104109 -56.14148057
 -54.46774186 -55.15908461 -54.36818545 -54.18628627 -53.99571199]","[-76.38748225 -77.42858952 -77.19175206 -76.61568532 -77.1704228
 -77.34576826 -76.80200405 -75.72361623 -75.86557596 -76.66758963]","[-58.5508333  -61.06102517 -58.66102872 -61.29244288 -59.1582529
 -60.36953551 -62.4455881  -61.95137688 -57.08356793 -59.74662636]","[-61.74233719 -61.7592546  -62.87427038 -60.95684    -61.00178821
 -60.69067344 -61.15729844 -60.96866689 -60.56619406 -62.41053449]","[-52.8018274  -54.05240516  71.91696489 -52.6792274   57.01226397
 -52.11803037 -55.44168918 -51.8030383  -52.58623872 -53.96452127]","[-58.78391853 -59.01807076 -59.81940296 -57.78184308 -58.45383835
 -58.35714497 -56.60552459 -59.31410275 -57.24194667 -58.82300968]","[-57.77164521 -57.66275821 -57.33902836 -56.61318354 -57.33206724
 -58.40919796 -59.26104881 -57.36730834 -59.45269055 -57.01326871]"
"[-52.86311031 -52.59661039 -51.72003462 -51.3415689  -53.46606377
 -51.26000782 -52.30594564 -52.33961987 -50.03732237 -52.25852122]","[-55.42959314 -59.21053724 -58.33961574 -59.520733   -60.19497351
 -58.25014464 -57.11702371 -57.70863376 -59.59596135 -58.24146302]","[-57.08748465 -57.71284206 -54.55999764 -51.51193824 -55.0122935
 -54.28834876 -55.75144196 -56.543006   -55.13397962 -54.29997988]","[-86.87207064 -88.9190164  -88.06152442 -86.02274016 -86.94741941
 -86.99725124 -87.43980835 -90.51027684 -85.74943066 -88.72503361]","[-72.98755043 -73.07547886 -73.55084754 -72.77085574 -72.90976477
 -74.68328205 -73.008447   -71.44418624 -72.29949245 -76.0296751 ]","[ 53.55956413 -56.66912561 -56.44909659 -58.04088228 -57.9607678
 -57.91914837 -57.0543455  -57.63905841 -56.94325361 -59.17736153]","[-93.18756483 -92.85286565 -93.27681174 -93.39511678 -92.80168086
 -92.77428454 -92.45829012 -93.00623303 -92.9385582  -93.61848983]","[-65.16327035 -68.37588903 -63.41320444 -68.02822181 -70.11482618
 -66.5942939  -65.50650413 -64.88955662 -66.68211015 -64.77038549]","[-53.87398493 -53.34843394 -52.41683873 -52.31541504 -54.26142091
 -53.8103005  -52.90646927 -55.00730072 -52.95121838 -53.26752522]","[-68.38967758 -68.00869155 -67.48001893 -68.37609416 -68.65818188
 -68.56215419 -67.5779213  -69.35342347 -68.06065858 -65.76841841]"
"[-54.8706255  -51.28591299  54.99047926 -51.46021717 -52.62553357
 -53.40416081 -54.84295415 -53.26151091 -52.3593746  -52.76169535]","[-61.73329441 -60.27132799 -59.73627595 -59.57385454 -60.57117572
 -57.48285668 -61.48569936 -60.75766141 -59.58391172 -56.17327511]","[-53.51781226  53.19466894 -54.11175413 -52.64783323  60.98811321
 -55.21156959  82.81072009 -53.14552275 -53.48343673 -54.58583425]","[-50.91345348 -53.39475003 -51.56894631 -52.15621247 -53.02643947
 -52.93304556 -53.36947905 -53.0226723  -54.37903764 -52.93419478]","[-72.40496441 -71.47497018 -73.71576585 -72.48642426 -71.96344626
 -73.8299227  -71.37642823 -74.60945667 -73.65488055 -70.57197167]","[-55.5097842  -56.5623796  -56.45684074 -59.81830532 -59.56192596
 -55.55876605 -57.90063611 -57.19644602 -55.28752535 -58.44488826]","[-54.22269857 -55.24058121 -54.66334609 -54.8928701  -58.23943645
 -57.16513929 -53.61349641 -57.75925891 -55.16488246 -56.05038745]","[-58.9668504  -61.80329516 -60.56261147 -60.33985859 -58.18960509
 -60.74682913 -60.76608425 -59.53741277 -60.49121937 -58.47185213]","[-56.57355524 -59.64591135 -57.76293487 -59.02906041 -58.06526695
 -58.5716708  -57.90830554 -55.41093043 -58.99608405 -56.04546131]","[-52.42286847 -50.12481701 -52.21881153 -51.57172222 -51.32927473
 -55.37276501 -57.91415087 -49.61777413 -51.54885341 -53.94043049]"
