rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[-62.90066515 -62.85721675 -61.49942177 -61.93075051 -61.53028966
 -60.44041897 -63.78472108 -62.06865856 -63.40030054 -63.10120665]","[-62.2936651  -62.58177086 -67.33028997 -62.8112297  -64.08225529
 -64.11136468 -63.21074282 -64.29113412 -63.98391411 -63.56976044]","[-65.64059886 -61.643742   -64.8877539  -62.9381762  -62.5705265
 -63.05817151 -62.7830152  -60.42054766 -64.04616267 -62.97429409]","[-61.49149937 -63.35123888 -62.41861986 -60.615499   -63.4638276
 -62.63098711 -62.01600996 -65.27767366 -64.60200954 -64.42694801]","[-63.52832188 -63.01434984 -64.6800209  -64.34827505 -62.36313902
 -63.85958791 -64.92237215 -64.31881799 -61.77124272 -62.43979158]","[-62.25361074 -63.74223405 -60.30100525 -63.39800892 -60.81987559
 -63.33279472 -65.17476461 -61.13198404 -62.96112633 -61.34583717]","[-63.53692147 -61.56195591 -63.07117908 -61.85904058 -61.05966655
 -62.1375708  -62.83544404 -62.72823134 -61.77970608 -64.2347452 ]","[-62.66532079 -61.20436785 -62.36407272 -61.62078549 -63.47650075
 -63.4959351  -61.12910436 -61.91906446 -62.54061466 -60.521781  ]","[-63.74850773 -64.02482771 -63.18465968 -64.95047524 -63.01954362
 -61.15897895 -63.43307612 -60.94922942 -59.38116877 -63.50516658]","[-60.61114943 -62.58630139 -62.25797376 -63.99757655 -62.17357618
 -58.93056425 -61.82948598 -64.88249843 -62.21831924 -62.19884271]"
"[-66.68510647 -65.31735384 -66.24778239 -66.39902744 -64.78827265
 -63.57644745 -68.94012521 -64.1522757  -65.78878349 -69.27610737]","[-61.89611998 -65.52420842 -62.1630686  -64.13409563 -62.13323137
 -62.41481131 -62.17018321 -60.50843729 -63.01542104 -64.78171924]","[-62.41935134 -62.66285589 -57.93054093 -64.39778525 -64.39547093
 -63.19530167 -64.06644704 -62.84984567 -61.9705486  -63.09625614]","[-64.79263284 -63.47365861 -61.44130764 -61.37258077 -64.37790784
 -61.20419947 -61.37078793 -61.45404349 -62.52188363 -61.51075606]","[-61.96849539 -64.37395925 -60.7654969  -61.48510773 -66.01874406
 -62.15507476 -62.87559321 -64.66506547 -63.66460721 -62.62644699]","[-65.96665272 -65.18022313 -63.31026555 -63.57438774 -66.29089834
 -65.05066858 -64.68048195 -65.45030392 -65.32724541 -67.50239132]","[-60.30856298 -62.19927372 -61.79068859 -62.58933574 -60.86106753
 -62.9164539  -62.56315191 -65.98267415 -62.35650413 -61.18056249]","[-66.22265385 -63.18038798 -62.75566578 -63.24180986 -62.80380442
 -65.16676486 -63.49018132 -63.427523   -61.25577508 -62.89266644]","[-62.7429162  -61.4567713  -60.67209475 -58.64052939 -61.10489167
 -59.61455078 -63.18699567 -62.12481277 -61.92111729 -62.34157526]","[-63.65897156 -63.68297053 -62.0533093  -60.08137369 -60.81336076
 -62.49816243 -60.25362171 -63.33954021 -60.72685938 -64.19089226]"
"[-64.70241457 -65.92522757 -61.82893826 -65.25737373 -66.97925655
 -65.06790151 -65.3524388  -67.70231197 -63.83675413 -65.26022614]","[-59.79148421 -60.56968246 -59.95420194 -62.61223851 -61.77938027
 -62.89285386 -62.93332905 -63.34036039 -63.26734387 -60.74562009]","[-64.252868   -62.2139302  -64.30913533 -60.7309703  -63.24500286
 -61.4132388  -61.78153418 -61.15435285 -64.74773874 -63.00910281]","[-62.77637612 -64.52656645 -61.48839038 -66.24538673 -62.23466604
 -60.57948048 -62.23246375 -64.83292792 -59.51307479 -64.78539751]","[-63.31067659 -66.62164807 -62.67845745 -63.00762226 -63.09000291
 -64.29973837 -63.81508805 -64.68752611 -63.11594596 -61.85624309]","[-66.69312176 -67.94428113 -65.97593854 -64.72998402 -69.20407939
 -65.52896217 -68.76270565 -66.03154709 -66.94864409 -65.75285115]","[-61.10615175 -61.26125789 -64.7830431  -63.98753048 -61.23242986
 -61.33552977 -62.37485885 -64.19121008 -61.73345497 -60.63663458]","[-63.85233514 -62.61498469 -63.9746702  -64.78160836 -61.99050149
 -61.93717588 -64.05630812 -63.50272802 -62.63848545 -65.39467012]","[-58.68694761 -60.44275863 -59.74627709 -60.41926614 -59.85249922
 -59.83220782 -57.49606365 -61.23984537 -57.99921348 -60.59913556]","[-62.61949808 -60.19340762 -62.51504401 -64.09990229 -62.64551657
 -59.61436818 -62.03284625 -61.6532739  -61.9548738  -63.19617683]"
"[-64.52670695 -65.25189285 -62.79488009 -64.04682815 -65.34538319
 -64.59292277 -66.83204787 -64.07065605 -63.75460375 -64.35707708]","[-60.69523828 -64.58026017 -63.28247014 -60.88032174 -63.48387829
 -63.77440729 -64.41608057 -62.15599238 -62.66584095 -61.3769473 ]","[-64.12259919 -60.44480649 -64.97117543 -60.25725988 -59.49930426
 -59.58546093 -62.85835574 -63.29346047 -63.51889195 -61.26948317]","[-61.47705748 -60.88452483 -63.07491537 -65.47180301 -59.15476494
 -62.49288812 -60.06238013 -62.79704993 -62.77708028 -63.83384866]","[-64.63551569 -64.61915863 -62.79529828 -62.56972074 -63.1619333
 -63.39280565 -64.81025959 -62.98856957 -63.0342774  -62.13886661]","[-67.65648778 -68.20582331 -68.27390196 -67.80604014 -71.11065691
 -68.03488929 -69.46239961 -67.66620503 -69.42240795 -68.13375399]","[-60.54013285 -62.59525417 -62.27073925 -60.67824928 -62.04752779
 -62.05967927 -63.66865775 -63.42270478 -61.75627867 -61.04468223]","[-62.14604093 -65.5109843  -69.02870912 -63.52478067 -62.38561677
 -64.12123182 -66.05596611 -61.78838247 -65.47383033 -63.24926281]","[-58.47243762 -60.03869107 -57.96137097 -60.17024118 -58.24436393
 -58.86100977 -60.78658252 -59.01610583 -60.32073804 -58.14312818]","[-63.1610366  -64.32352006 -64.80643084 -62.12478128 -63.29661503
 -61.3459961  -61.31773925 -62.02214373 -64.36640347 -63.440832  ]"
"[-65.64614355 -66.26484362 -61.33161762 -63.25892557 -64.0786655
 -64.57012005 -63.42420823 -64.35230032 -66.14479101 -64.78971254]","[-60.87191816 -63.22023502 -62.75402546 -63.75621402 -61.30566542
 -61.39787715 -62.67956264 -61.33998464 -62.16967886 -61.38462594]","[-64.5961272  -63.08592112 -63.08296148 -62.08663872 -63.77391129
 -60.96245243 -60.2391733  -60.61375984 -61.79989855 -61.30867743]","[-63.23051438 -62.19465733 -64.74710242 -61.61017727 -62.88924566
 -62.14267895 -60.23525081 -60.48112916 -64.09393877 -59.61864464]","[-63.30125434 -60.8307403  -62.67800959 -66.47696014 -64.76366217
 -65.82608351 -65.77180957 -60.44573536 -61.44748501 -62.17344797]","[-74.07044177 -69.88523583 -68.21858629 -72.92481781 -73.76396502
 -71.11072379 -72.95380561 -71.68299748 -70.54319071 -72.58068258]","[-60.6128387  -58.73509927 -62.27181068 -62.36936614 -60.90825977
 -63.85359338 -60.6750557  -63.1951013  -61.01032467 -61.47674936]","[-63.74540748 -62.27666792 -63.27705397 -64.55791167 -67.20220618
 -61.87486507 -64.58981672 -63.51170573 -65.1540121  -65.77497148]","[-57.80926532 -58.87213868 -59.22755855 -57.01783698 -59.21385218
 -57.5391438  -60.11193975 -58.43243168 -58.32763085 -58.69062726]","[-60.6529497  -62.24366974 -63.99922817 -62.30627169 -59.0570369
 -62.48370997 -64.72274913 -61.93356247 -61.92922732 -65.13174455]"
"[-66.30002971 -67.05386763 -66.0093142  -65.1097043  -64.00493925
 -65.21822912 -67.14355966 -66.14859062 -64.2602711  -67.57234943]","[-62.94132247 -61.65009806 -61.66909258 -62.17592315 -62.69132344
 -64.40347176 -60.75410635 -65.68046035 -62.57315118 -60.67363147]","[-62.39384559 -60.39676523 -61.83724973 -63.24159068 -63.16440579
 -61.04068757 -64.68369086 -62.86345866 -60.24073259 -63.01559737]","[-62.72304967 -61.94116492 -59.96688434 -64.12026097 -60.41416061
 -61.40471443 -64.12939231 -61.35583513 -61.20384313 -62.20778315]","[-65.13347939 -60.97824955 -61.54761305 -63.47527018 -63.45535884
 -61.47277707 -62.0412196  -62.25439715 -62.00099989 -64.58625534]","[-74.81913922 -72.35758183 -74.19767781 -76.02859518 -75.1663023
 -74.11245462 -72.5481228  -76.75647979 -74.27352234 -71.67311038]","[-58.99681225 -62.14761446 -62.7885736  -59.99480221 -61.76047809
 -57.98614502 -58.47641956 -61.20132692 -61.67857938 -58.68906859]","[-66.00779691 -63.02688423 -64.92424544 -62.36942865 -63.93778834
 -62.89188928 -61.78880292 -62.45695922 -66.79154519 -66.54724551]","[-55.82935433 -61.9293677  -58.65176264 -56.01540533 -56.99104532
 -57.57116447 -58.45217796 -56.60508372 -58.35676593 -58.95229611]","[-57.99145888 -60.36249114 -62.90128906 -61.1709113  -61.31843003
 -61.37303386 -59.47175671 -61.24780316 -59.66135695 -60.73610882]"
"[-68.91714088 -64.45366045 -65.95677154 -64.59588239 -67.93927551
 -61.32975191 -62.10332147 -63.66924366 -62.34959602 -64.46740277]","[-61.61014987 -62.33077704 -62.57244449 -63.27955308 -63.27904444
 -62.76850471 -63.84576457 -61.26970803 -62.35656764 -62.01711387]","[-62.5971525  -61.67315542 -60.60178404 -61.53071543 -62.39192136
 -63.74142002 -62.03459578 -60.46951627 -60.18749943 -63.45289999]","[-65.26346319 -60.6127528  -62.96596445 -59.97148865 -61.43801163
 -59.8011336  -61.25412147 -61.22677097 -60.10074433 -58.5453305 ]","[-63.09591978 -61.34005473 -63.52960516 -64.12669575 -64.0950162
 -65.51085751 -61.6795424  -63.04482782 -61.89395238 -65.22356153]","[-76.2104665  -74.87652942 -75.89967351 -74.36041145 -76.2153379
 -75.88209481 -78.76510019 -74.04035957 -76.72620381 -75.53368971]","[-60.07624411 -61.493095   -62.02797459 -64.13545788 -60.87237012
 -59.73059286 -60.51101616 -61.89583982 -58.11836778 -59.79407253]","[-65.70747092 -64.12783041 -62.09308251 -64.52702466 -63.77249687
 -64.45472438 -65.96988638 -63.99995036 -64.22079743 -66.26456837]","[-56.00261685 -57.32015021 -57.48037002 -58.47480059 -57.67097139
 -59.24709243 -58.97692554 -56.85075534 -56.40982417 -57.30935676]","[-60.8277478  -61.34097638 -60.65875848 -61.82202683 -61.01844081
 -61.52878508 -60.38281296 -64.80723507 -62.47316502 -63.16069541]"
"[-65.08303884 -64.0350191  -64.13613505 -66.934473   -62.33489131
 -63.58759599 -62.6684327  -61.59798859 -63.1086935  -65.80737245]","[-62.40639251 -59.93791652 -59.9918146  -63.01535966 -60.65137294
 -66.11238469 -61.97355593 -63.00038143 -59.76648349 -59.94971804]","[-61.47853965 -59.84786743 -62.21741388 -61.69086603 -62.68806508
 -60.97677873 -60.46979864 -61.06036853 -62.02413062 -63.26517577]","[-60.03447938 -59.19714787 -61.45592531 -61.64092271 -60.0433829
 -61.65774276 -58.3930921  -60.80220061 -61.76088642 -61.45515858]","[-60.69841313 -61.78790134 -65.18006615 -65.55775065 -62.57716379
 -62.81361418 -61.43564946 -62.45493767 -62.64192651 -62.44411896]","[-77.70802919 -76.90849102 -80.5431646  -76.31976805 -74.05184469
 -76.52688608 -77.95088722 -76.36930481 -76.40735586 -77.9102856 ]","[-58.45522981 -62.16762935 -58.55089871 -58.43912919 -60.36249779
 -60.27254241 -61.82446096 -59.18391803 -59.91492791 -61.79340574]","[-63.74225664 -65.46038988 -64.71117248 -62.92380588 -66.82906083
 -64.44186789 -66.92284483 -64.56463615 -61.20822785 -66.81098408]","[-54.89830512 -59.91218838 -57.07435326 -55.90226799 -57.01241068
 -56.43299701 -57.51140089 -54.2795005  -57.318254   -55.70522564]","[-60.72536626 -62.11445624 -58.1457741  -62.33619352 -58.57059054
 -58.6243644  -63.26894412 -62.09024436 -61.10238314 -63.22010308]"
"[-63.84627423 -64.31291722 -64.27388645 -62.13620219 -62.14348338
 -64.52431666 -64.75612338 -64.40106083 -63.40226013 -60.87670921]","[-63.62250316 -61.19086535 -62.73045668 -60.80610217 -63.60455518
 -62.12190091 -62.01719803 -62.79336187 -61.91001427 -62.54942303]","[-61.08937311 -61.53300818 -59.00643387 -61.4856484  -60.59944732
 -61.83122081 -61.52123657 -59.44602177 -60.06468601 -57.56236408]","[-62.14873812 -60.00469246 -59.90085359 -62.55227388 -62.16802383
 -59.26241791 -59.64584685 -59.01498153 -60.57586333 -57.89347292]","[-62.10079555 -62.969889   -60.35662202 -61.00588383 -62.78288854
 -63.18981608 -60.58479516 -61.57823486 -61.12829439 -62.57887613]","[-76.36665665 -75.27022062 -79.73972786 -80.07700699 -77.51068677
 -78.11257981 -79.12361197 -77.18282232 -77.50931737 -78.87537715]","[-61.63679039 -60.40052499 -61.58014632 -60.26621013 -59.39578292
 -60.4388857  -61.0404837  -59.74043552 -61.51468337 -58.57070087]","[-64.31241405 -61.56938489 -65.96062183 -63.16410633 -64.83930195
 -63.56760739 -61.98974567 -64.38490313 -65.31027155 -62.90798769]","[-55.45087823 -56.04997002 -55.35891025 -58.16164024 -55.95601776
 -56.90253232 -55.81682498 -55.01763838 -57.71276398 -54.27383794]","[-59.07027544 -59.63237766 -58.0599913  -61.74503331 -59.72730912
 -60.64052567 -59.89018524 -59.40486364 -58.80844527 -63.9933224 ]"
"[-62.98787677 -65.89955372 -61.86968053 -62.2962745  -61.10014923
 -63.0235731  -63.29152341 -62.39481959 -64.72868926 -64.77364916]","[-62.91026941 -62.94444964 -62.84707201 -63.06214612 -61.78394607
 -62.5357908  -57.73546426 -60.41356164 -63.39787312 -60.06974357]","[-62.70238391 -62.43314058 -60.44294304 -62.01966716 -58.74924564
 -58.82994831 -62.43385218 -60.72813418 -60.54696152 -62.33493916]","[-61.70424323 -65.7961821  -61.89574587 -61.53543069 -59.44318575
 -64.01780951 -61.79832374 -60.9882086  -57.44726222 -60.92928386]","[-61.01086523 -61.42933905 -62.39077667 -61.33541552 -62.86661829
 -63.32366001 -63.3013307  -61.98754361 -60.31625344 -59.98052129]","[-78.37729303 -79.51990025 -78.45604368 -80.43032434 -77.7335606
 -79.15649203 -79.31510307 -78.47489227 -79.50653617 -77.69183541]","[-61.50280795 -61.16246259 -58.46387797 -58.95003671 -59.58084489
 -61.01654572 -57.43836896 -60.15498765 -63.22054435 -59.68267288]","[-62.26128366 -60.84987737 -66.72443345 -63.83128706 -65.51734409
 -64.95068223 -66.93006752 -64.08765739 -64.15864453 -60.88471772]","[-54.77422644 -56.939554   -54.92070054 -55.08197594 -55.56034364
 -55.20080035 -56.99903864 -60.13977007 -58.39655337 -57.57581528]","[-59.54399092 -57.7567426  -60.85190016 -60.4778679  -63.02638744
 -62.51100676 -61.92322833 -59.32572974 -62.33759184 -58.93637058]"
