varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
13128.03204102182,49154.37087416811,25183.084447375713,37080.666599630254,606922.5267043132,70569.49869020941,41676.2084081332,56331.67129121775,50139.3525159984,57874.2497818286
16905.485204538432,64235.69887954856,45516.482693983744,87601.35112268908,66810.37935161017,71575.39241700046,54059.73358396547,57084.62149152825,81907.40935687782,79800.23769093707
16242.054467441994,49999.26368001621,58097.93217701872,71995.44911403286,81487.41958703124,74511.739436261,66496.26849363273,79037.29398410686,68805.86551116385,95280.47686826964
31998.605481533457,64286.511859380684,63449.008617311825,60416.59159591516,85699.33844443994,104801.12646059293,113116.389549173,54466.46602539526,83127.00655321131,81047.06372575721
38576.57764158774,73893.1316794556,73791.03254835092,119505.4834567331,84645.72600485371,128444.56067243598,92156.00434738208,86659.87997660904,66375.08554682616,141665.17705319694
27983.63846186068,90014.51646383188,48541.94239887619,87287.36372409982,80411.3239492114,170401.91771491847,99056.22297558791,98996.39688691702,62093.91508362752,139434.41660119436
40960.01370683578,72108.09513142478,65631.52014403764,86133.47811142288,83636.19261415934,159382.7409343371,84205.84505067358,99836.1773947387,70030.70276010767,145976.5237126457
70600.45305880504,61654.487322238434,93295.8077664479,102916.40254866745,88015.85641908052,177301.45829864888,129400.09855393338,99920.58337859958,60822.87026757785,175693.40909205022
30196.548999324077,66627.39543796309,85660.23072414625,115629.11803111977,113031.63914255,243445.56127514603,116067.89655391255,96397.64688927053,107895.09086605874,147572.72448463194
65415.445928888344,68529.30688252747,119406.79431148365,165278.12468885782,95204.18256197852,182580.20078341805,133559.6014504888,91272.88513045604,64611.211721207044,211910.42851544183
47193.54337957158,76931.26176993804,85574.66111237305,84577.13050690554,76823.28002850027,265618.58065888414,206541.63944634245,97134.42210867317,72276.70224640389,197021.8526118935
71792.40991334838,131355.95355198617,72807.03022549563,89808.9061351062,109372.11918841765,128364.0132409935,189221.20237992163,82535.79630279675,75965.16784498448,278641.44306524005
130426.84218348449,100332.97576653596,94384.51511796782,70690.07779152889,60977.53736269674,199363.43590731046,197095.5593050095,82601.10385137067,90963.22039073208,242657.74501029617
66872.77155985439,101169.90904275612,80930.82734936697,59240.600240839,77505.18152139543,290633.2891218679,180917.04300830452,90273.22243847648,112163.61418152104,278989.93985681015
44145.74253216824,119483.34972888166,46523.22755606805,90747.51173401574,70419.89598681037,209737.78292487457,204840.91450739437,88293.01821419354,102348.1962863,275125.479914194
100562.90036542044,109664.86162288798,49027.246637610275,70223.82462254247,51079.730524211576,260071.63510764707,164324.78164590124,109332.08255879105,108843.77292928752,285959.3167334235
109963.88320843539,114043.1632960284,56048.33494716445,61968.02766865453,53281.33775888492,239014.5805658534,193582.01110069762,93251.48457900184,118606.37861268151,268506.3399880753
122002.94658275697,110498.06746964215,106626.09001281645,76179.70041823009,59100.260506901555,427444.2101849748,118904.06945091089,92990.91868534565,77322.26418251893,274990.50783493975
72261.27704592909,143955.5492458195,63723.77281526182,52841.62808315999,51883.2580281002,280123.12333846244,176581.79263089073,83463.02645846225,123592.4612038574,399667.1748038824
76206.66834380382,139158.3491972788,59839.56819918293,53098.56951870377,48095.42686728921,231268.0448060169,154319.3213414637,76214.11215667885,114985.81005813806,406809.78742378217
89864.8031785241,122747.69963237997,68685.21559191775,43617.39562103285,86311.81873286264,283132.3748386578,202433.31542875903,107226.78170862311,90867.3797091557,399907.12329945783
