nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
2.0,6.0,3.0,7.0,9.0,2.0,1.0,1,4,1
9.0,8.0,2.0,8.0,6.0,1.0,2.0,2,1,3
9.0,9.0,2.0,9.0,1.0,1.0,1.0,1,1,1
9.0,9.0,1.0,9.0,1.0,1.0,3.0,8,1,2
6.0,9.0,2.0,1.0,1.0,1.0,2.0,1,2,1
9.0,9.0,1.0,1.0,1.0,2.0,1.0,1,1,2
9.0,2.0,2.0,1.0,1.0,1.0,7.0,2,1,2
9.0,7.0,1.0,1.0,1.0,2.0,1.0,1,1,1
1.0,2.0,1.0,1.0,1.0,8.0,2.0,1,4,1
1.0,4.0,3.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,2.0,5.0,1,2,1
4.0,5.0,1.0,2.0,1.0,1.0,1.0,1,1,1
2.0,1.0,1.0,6.0,2.0,1.0,1.0,2,1,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,1
1.0,2.0,1.0,1.0,4.0,3.0,1.0,1,2,1
2.0,2.0,1.0,1.0,1.0,1.0,2.0,1,1,1
6.0,5.0,1.0,1.0,1.0,1.0,2.0,1,1,1
9.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1
2.0,2.0,1.0,1.0,1.0,5.0,1.0,1,1,2
1.0,1.0,2.0,1.0,1.0,1.0,7.0,1,1,1
2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,1
3.0,3.0,1.0,1.0,1.0,1.0,1.0,1,1,2
2.0,1.0,1.0,1.0,1.0,1.0,3.0,1,3,1
1.0,3.0,1.0,1.0,3.0,1.0,1.0,1,1,1
3.0,9.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
9.0,1.0,1.0,1.0,3.0,1.0,7.0,1,2,1
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,8
2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,1
1.0,2.0,1.0,2.0,1.0,9.0,1.0,1,4,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,2.0,1.0,2.0,1.0,2,1,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
3.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,3
3.0,2.0,1.0,2.0,1.0,9.0,1.0,1,2,1
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1
4.0,1.0,1.0,2.0,1.0,1.0,3.0,1,1,1
3.0,1.0,1.0,1.0,4.0,1.0,1.0,1,1,1
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1,2,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
3.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,2
2.0,2.0,1.0,3.0,1.0,1.0,3.0,1,1,1
2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3,2
2.0,1.0,1.0,1.0,1.0,2.0,2.0,1,1,1
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,2.0,1.0,1.0,5,2,1
1.0,9.0,1.0,1.0,1.0,8.0,1.0,1,1,2
3.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,2
1.0,8.0,1.0,1.0,1.0,1.0,1.0,3,1,2
1.0,3.0,1.0,1.0,1.0,6.0,1.0,1,1,1
1.0,1.0,1.0,1.0,3.0,1.0,1.0,2,1,1
1.0,2.0,1.0,1.0,5.0,1.0,4.0,1,1,1
6.0,1.0,1.0,1.0,1.0,2.0,1.0,1,2,1
2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,1
6.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1
1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,1,1
1.0,4.0,1.0,2.0,1.0,1.0,1.0,1,1,1
1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,2.0,1.0,2.0,1,1,1
1.0,1.0,3.0,1.0,1.0,2.0,1.0,1,2,1
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1
9.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1,1
8.0,2.0,1.0,3.0,1.0,3.0,1.0,1,1,2
5.0,1.0,2.0,1.0,2.0,1.0,1.0,1,1,1
2.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1
6.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1,1
1.0,2.0,2.0,1.0,1.0,1.0,1.0,9,2,1
1.0,2.0,1.0,1.0,1.0,1.0,3.0,1,1,1
2.0,1.0,1.0,1.0,1.0,1.0,4.0,1,1,1
2.0,2.0,1.0,3.0,1.0,1.0,1.0,1,1,1
9.0,9.0,2.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,1,1
2.0,1.0,8.0,1.0,1.0,2.0,1.0,1,1,2
1.0,1.0,1.0,4.0,1.0,1.0,4.0,1,1,1
1.0,2.0,9.0,1.0,2.0,1.0,1.0,1,1,2
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,1
2.0,3.0,1.0,1.0,1.0,9.0,3.0,1,1,2
1.0,7.0,2.0,2.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,2
9.0,4.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1.0,3.0,5.0,1.0,1.0,1.0,1.0,1,1,1
2.0,3.0,1.0,1.0,1.0,1.0,1.0,1,1,2
1.0,1.0,3.0,2.0,1.0,1.0,2.0,1,2,1
2.0,1.0,1.0,3.0,1.0,1.0,1.0,1,1,1
2.0,8.0,1.0,1.0,1.0,3.0,8.0,1,1,1
1.0,5.0,1.0,1.0,4.0,1.0,1.0,1,1,1
1.0,2.0,3.0,1.0,1.0,1.0,1.0,1,1,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
