rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 34.06768644  60.41366396  34.06768644  60.41366396  34.06768644
  60.41366396  34.06768644  60.41366396  60.41366396  76.42566499]","[ 26.21534248  64.85373432  97.16139085  39.37162001  29.70859563
  47.3440283   53.15713704  73.55052224  72.49590201  57.45772714]","[ 80.27094289  41.91003118  38.17097098  38.00113789  58.60245426
  32.57449317  65.35372026  99.32462417  65.35372026  16.53175202]","[ 34.37558323  42.89855564  77.18504509  37.97910841  79.08312619
  60.72808188  49.26877258  34.16127213  53.65360622  27.65940461]","[  34.05380931   72.78014783   29.26664802   67.85443475  107.1014456
   25.30083223   58.30618234   56.27180009   65.94324508   20.75127634]","[ 31.13784811  66.49428816  38.45919139  35.4080672   80.89974818
  33.32722747  43.95611023 -15.81328915  50.91980814  66.54148153]","[ 33.9880634   95.87771384  97.4723545   30.59844458  47.2675503   70.347076
  57.66233992  75.41299288  91.22129001  18.77239998]","[  33.40250728   35.93768334   59.36553373  107.00056141   63.03129994
   59.04300937  110.58721199   57.96164406   59.63650871   22.41750909]","[  55.64177418   42.49457383   28.32122961   46.81520627   79.44373942
   74.71151292   67.91368757   37.77487205  117.230413     46.32106536]","[  40.35618524   34.61051666   37.37206747    6.91035881   33.20689376
   42.64757998   89.21344593  112.94211973   56.91553696   70.80762337]"
"[ 24.05061942  41.15871355  85.94737454  24.05061942  24.05061942
  41.15871355  85.94737454  24.05061942  24.05061942  41.15871355]","[ 49.44026284  52.36472625  44.90059939  21.79261674  60.08163799
  51.14573868  17.0120923   52.7666746   14.0696612   12.49245045]","[  10.90219257   46.53244345   74.80859163    7.98979746   62.90945484
   81.7156749   115.95749774   47.45546002   66.64911507   68.99102263]","[ 112.48164183   54.52235484   77.80111261   24.82166351   27.56235357
   79.79695258    9.04217046   39.09824394   44.57227275   19.04684078]","[  16.7148737    60.10049874   33.44313475   53.86414715   16.7148737
   60.10049874   62.97126967  109.62596005   71.30261893   61.3411367 ]","[ 70.59786333  11.53398644  74.98534364  55.46429153  61.60522458
  41.18385823  68.88860338  61.60522458  41.18385823  55.19612617]","[ 68.36892903  45.77566556  59.91497903  75.05907937  34.21426592
  30.34242495  61.66995288  73.53813095  92.48209166  77.50072202]","[ 50.09400372  39.06867463  32.08661146  75.24259543  20.63035668
  65.02986909  83.1986403   78.56832786  69.82263638  91.22008561]","[  60.02097932   60.07826128   31.11175498   36.35782235   29.99143043
   60.16827277  117.659373     46.53094293   55.61961439   70.46635373]","[ 64.17894001  70.5480615   97.1419743   74.58464601  50.59502526
  65.49896508  93.83286555  48.75944152  65.95105937  31.32402002]"
"[ 23.33768812  85.09846989  23.41894029  50.46864835  85.09846989
  87.44905447  23.33768812  85.09846989  44.19571531  81.94742371]","[ -0.67055635  -7.93498651  50.22104325  48.91135753  97.46269273
  94.97011339  96.97982772  12.53709414  36.12389127  40.4609357 ]","[ 11.68539854  20.40713558  60.56208702  74.33202872  74.33202872
  31.20008496  50.59449489  62.08943095  51.05203715  48.4142835 ]","[  47.51494488   53.35724058   26.89927372  115.17729906   88.58934433
   20.94050693   92.57279235   17.20472442   21.89492416   55.55262875]","[ 72.09555763  55.43372188  34.82016226  69.47457414  45.33207079
  73.07532188  46.89783442  73.26437249  24.1391731   78.67862559]","[ 100.05727839   25.75397786   37.74369997   61.43521608   70.42295773
   76.9859031    82.8131756    46.91049437   80.72534116   91.36166546]","[ 65.31080596  48.96426341  47.13044564  76.5935134   44.5816196
  77.83711002  48.45022506  73.37215484  29.72181118  93.59752695]","[  49.77550037  108.65236229   96.66018897   91.88258914   57.29283324
   37.31207523   52.54075199   55.73360972  102.05944063   36.39063834]","[ 61.66095405  77.22638197  57.94551936  73.36743075  54.8616158
  64.27027132  46.03367684  43.31714452  42.84042646  10.03518203]","[  90.43037237   70.07033385   79.73749775  104.69745772   98.97362821
   70.25512819  115.69741701   50.14590931   46.2831116    82.17247066]"
"[ 45.98605316  76.42305815  45.98605316  76.42305815  45.98605316
  37.95301231  45.98605316  37.95301231  45.98605316  89.44283462]","[ 35.96170705  35.13547006  62.11408416  52.38698099  52.38698099
  72.64984693  30.62871543  32.09921652  75.31975236  30.3938945 ]","[ 61.43458593  47.54255804  59.57889768  59.71773852  64.27141437
  56.33001958  45.35886062  64.52033383  26.15718752  64.27141437]","[ 33.86393595  22.78022964  99.7734879   22.98394979   4.50205192
  15.27402121  47.8618203   39.31359093  56.2669303   51.5249416 ]","[  2.21767872  49.68821159  75.12569668  75.12569668  68.3298596
  89.41586263  36.46821113  17.24542719  26.01612206  62.22422196]","[ 114.51144004   83.8013677    57.36237247   37.11655503   93.39864976
   97.10306184  134.80924021   58.8163079    92.10972924   79.57040908]","[  87.25369918  117.401936     24.03290659   52.62433528   38.71913913
   72.28808814   91.18856493   84.01409469   47.84612491  113.42554765]","[ 62.76564131  36.37039954  92.26141689  86.29160802  70.46565877
  86.98940885  79.90180858  64.88908488  66.89070832  45.39346194]","[ 19.5970071   46.92173392  21.06229847  80.8466529   57.57617403
  53.88059731  57.77472088  69.06324315  52.01484477   4.49649225]","[ 37.32672627  39.00947939  48.23353692  61.99380789  62.40694306
  57.55908088  43.00611176  35.46399588  63.2699895   48.40917581]"
"[ 20.14649428  20.01968821  49.89412902  20.14649428  52.08453139
  20.14649428  20.14649428  20.01968821  20.14649428  20.01968821]","[ 38.91028424  67.31948668  39.24658381  70.41288157  64.96802644
  40.21801126  32.33400455  54.29624534  76.90482899  82.86510273]","[ 80.77757315  20.11222039  88.35248855  80.77757315  76.29146763
  58.40898196  70.68748192  81.55077065  31.66659302  72.53422561]","[ 44.32505534  21.49298301  35.67419484   9.56600554  82.97826073
  68.46215682  44.32505534  18.36055534  99.81572448  45.0492336 ]","[ 24.63178577  19.78015918  44.04855413  54.64229042  18.3161539
  31.26748604  17.98218281  30.41994244  11.77575954  55.78051417]","[  41.99491036  124.64145703  148.91568083   42.22095095  136.41987476
   63.79880138  126.92210207  127.7016901   101.8686478    82.29469104]","[  41.86710366  119.89774339   56.30263768  123.99647599   81.58954454
  121.2838789    77.35089581   73.3374471    45.34133833   45.04131902]","[ 66.54921369  75.83080149  33.84160663  45.91798337  38.4713992
  18.9769533   96.31137795  93.11378013  62.44824916  84.05175586]","[ 65.14058438  41.6031909   93.77767162  60.10042496  80.95937386
  51.39489398  58.69989158  35.28076522  -3.44270377  12.25097572]","[  83.65147869  106.07544529   70.59276328   98.24941355  107.12423621
   64.22002392   65.98135047   55.28242181   76.13985317   80.10533002]"
"[  98.27355175   91.78447348   48.44337963   62.44405631   48.44337963
   62.44405631   84.42462181   48.44337963   39.8173737   121.85665456]","[ 34.41348231  74.16166585  61.23963201 -24.73184588  43.76768827
   4.62117158 -24.73184588   3.09831995  66.7751379   21.27570597]","[ 47.77827993  65.14469668  80.40099872  54.96096253  56.22778622
  89.97096353  69.81947596  67.05289601  57.78344463  53.15849041]","[  23.06144279   24.33707777   72.26506704   58.51882322  103.90428131
   29.37158978    4.46981413   67.39723171   27.12058175    1.16935154]","[ 22.66877604  43.51052307  20.47800755  43.50445209  42.73487681
  53.61473347  12.1299228    4.82949246  78.34090886   5.65527127]","[ 123.27507065  133.2635918    89.09681649   73.40654767   71.64195819
   60.60116007   62.52288274  115.45125676   91.50131505   80.6342874 ]","[  35.85483366   32.45747356  117.87474004   76.78972193  119.46417903
   57.77954508  145.2180963    72.49860335   51.95826257   81.74163799]","[  77.93161113   91.7189273   101.89636547   94.33524564   88.85768343
   96.93547561  103.93916959   79.22244625   66.68272375  107.09523491]","[ 107.63510754   19.08686525   40.11292192   66.46149796   80.21559534
   92.0894261    45.31699965   97.71595187   90.82012533   22.79548909]","[  85.88697842  103.50126901   81.2662516    54.40892765  104.84909834
   92.22421656   62.99451596   58.74848169  123.66627286   41.02222903]"
"[  89.62792246  100.79387945   73.57741875   89.62792246   86.17913236
   41.02462673  100.79387945   60.22739926   50.29924898   50.29924898]","[ 19.00429394  53.35165565  78.84995542  72.57560504  43.43032606
  44.63607779  32.72168058  66.41432356  72.28503412  46.18287108]","[ 54.99815188  50.57103665  98.1695522   24.57066077  49.52735505
  65.49997499  98.84318672  35.53358151  70.68913587  78.26670993]","[ 34.69172241 -25.75783518  35.55050076  41.74597694  19.74307656
  33.96699663  63.90630629  54.24676747  56.89490365  19.07143687]","[ 33.11780451   2.75543666  40.81135254  49.04918948  54.85649566
  13.03835963  56.47272177  -9.89976545  12.35185174  63.14202538]","[  84.2541105   135.5584913   158.33017187   85.71285132  115.63499857
   71.20132398  100.6603114    70.26281601   40.77799997  100.05368027]","[ 110.76364103  114.58623837   23.01764221   38.84180781  146.2774494
   61.19590106   62.75832109   85.25128025   93.00539885  101.16823329]","[  84.42030867   83.09044747  102.18700043   72.00256148   88.23881031
   64.01703919   42.58780824   95.71875893  109.11798972   63.91124309]","[  86.69955111  118.01180483   61.75040956   60.67176293   63.01267683
   40.60810668   77.46308014   73.78014389   28.4071422    55.08642193]","[  98.84590952   97.35999569   63.3574378    41.05621351   16.30845941
   59.02656523   15.70514452   95.74336786  117.66463443   33.606918  ]"
"[ 91.13826505  56.26816708  78.21325649  77.36298828  91.13826505
  56.26816708  50.44351737  32.64091518  56.26816708  91.13826505]","[ 39.35460412  80.1511324   15.78548322  69.75788476  35.47021805
  61.99150071  75.13736682  29.74464797  76.01335987  46.97776515]","[ 100.32683706   60.79125169   83.25233357   93.37132833  108.03776143
   42.53631524   86.77996747  111.58822429   88.93633619   70.41826916]","[ 90.99263462  44.33087682  97.39037865  29.29144802  92.54604768
  -8.46040445  62.32948137  56.5262482   39.05733438  34.81188571]","[ 16.71590747  29.3379731   63.69992363   6.66821368  -2.88269729
  23.757646    15.75908401  13.05378456  18.12072665  33.60425157]","[ 117.50347137   84.13931487  146.01255462  107.4758658    89.14272598
  120.91735644   93.01385358   92.73905165  149.16198415  103.50300816]","[ 110.74768804   78.57217637  100.85538899  108.16456162   46.6195005
   85.73428685   68.63301451   74.80297153   79.49389923   80.52553355]","[  91.76148854   48.07596492   57.90136101  108.05164462   46.72784963
  138.37764217   41.07086875   95.40286813   67.50924397   24.53841861]","[ 141.21338467   49.58394195   97.31843187   53.2735438    82.54499722
   62.29212378   69.57639402   97.12087023   97.10202371   71.12272839]","[  75.62825741  130.20351372   93.94061292  133.79202776   77.8363741
  103.43288799  126.02660366   95.21822699   88.23733611  130.20351372]"
"[ 96.88476444  15.20102878  96.88476444  15.20102878  96.88476444
  15.20102878  96.88476444  15.20102878  76.35409463  15.20102878]","[ 40.37779747  46.65893384  64.02685184  34.22939631  71.53392893
  23.5913176   68.87712312  46.65893384  68.90965328  38.83154652]","[  84.69118896   58.73436868   84.83374295   56.97914881   16.28338628
   56.22353405   40.71284974  110.00366679   79.49597483   75.93848905]","[ 10.3726053   28.92084865  54.1014706   64.2774129   94.9875634
  33.51306486  91.97974229   5.63536708  74.9528169   60.42451091]","[ 89.22528096  19.18135088  32.51205281  20.03619565   9.73191655
  22.12296609 -30.65530914  32.94628363  31.2841991  -18.57450134]","[  82.73126657  137.72579308  140.36593568  143.6231975    99.6536052
   67.53202555   65.97828999   78.54677045  161.11468597   69.26786317]","[  97.89273727   73.27531799  131.63855311   86.38583591  111.53479467
  109.02182276   88.98667769   83.0377477    84.90521105  103.47537691]","[  56.03768635   37.18379332  100.92247012   82.03879168   63.40041223
   54.5423297   100.54130832   82.78350842   73.9861218    61.26984096]","[  78.27633519   67.82495292   98.74079703  102.67151194   91.00392536
  103.66654899   90.15180243   76.35113635  104.72329295   61.64097092]","[  94.36553889   93.43335216   54.98748501   78.5213421    63.04984224
   64.70956662  116.07648845  124.09927648  137.23917282  135.87838424]"
"[ 86.82503977  65.03985031  60.85484527  83.41528813  86.82503977
  65.03985031  86.82503977  65.03985031  65.03985031  11.24701349]","[ 49.04518732  32.55348467  41.82471615  11.15016953  -0.9349619
  74.20353573  74.64510298  59.99684569  77.09663826  64.61573479]","[ 109.55602479   93.91960161   42.55469647  114.74153985   50.93212161
   81.44867677   96.08648166   86.3096934    32.0775499    53.53025291]","[ 19.71623244  48.4694111   24.21436449  72.87123093  29.71579493
  37.1623717   68.53731753  46.14748832  59.84866787  31.67535236]","[ 44.39586128  58.9143823   13.26224186  14.91526309  61.17480806
  45.65165435  40.38308302  64.22326708   7.69237684  22.64423259]","[ 127.17776321  129.41342651  127.13232721   90.25836794  115.94859574
  133.14422914  125.38112698   98.77697199  165.20186769   88.40805509]","[  77.86725093  134.55881386  129.88724447   71.98645165  164.93396149
  150.20306862  112.27084317  108.68866438  135.90200512   61.53969235]","[  53.72853451  100.75701025   73.37913843   38.61556713   22.65507486
   86.4261227   103.58476071  101.56178174   39.87036002   43.02826779]","[  46.75986901   93.60705627  127.70448768  116.77996221  132.24275698
   70.15674485   40.0976383    96.88636265   63.91831073   98.38790568]","[  77.5640949    93.78821075  129.74916519  115.57659333  130.93654542
   93.25330039  154.32987391   94.21534279   48.29232873   62.73090736]"
