variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
36875.0114771129,73098.21845552031,43975.993149968,39809.28907109013,49651.10968554282,26045.891167849524,48047.17361134566,70474.87828317592,45861.23113421217,42629.585964757636
32756.321939162837,85673.02784156396,34394.365696546505,60692.207509029686,43410.75012356416,42069.80484943559,43396.50328065532,46894.856102547004,37485.80558453399,40578.45260786955
32019.29048741235,80638.43056766473,42131.78265263579,101978.20520827727,46125.31193005119,46466.59724407945,42252.01199681907,48495.68107161214,40309.22541850267,41687.84722235748
30880.102432527594,69754.57058981527,47594.89629029224,135477.32772645942,42801.7987396758,95071.24008537036,38472.45230455335,145713.99394837514,43309.99858817268,38207.24245728231
33558.72886208717,60283.94836750023,42603.71646171856,148404.6551220779,46988.619733627,87935.05369248777,49045.056402610906,124469.30380185408,43468.1434358392,38570.51452463618
46665.038681056496,122508.86785633737,43705.3645412089,163785.0518599751,45633.91971562097,92311.10055654251,50524.81671248473,107658.68058355979,43163.156423831,43843.32559807172
46379.22174401523,141473.406942091,42340.49511954166,171771.52728872202,45379.53908216384,91314.11983484312,53243.5889841573,108036.5268244898,52365.64167517748,42187.66923888278
48284.769330881725,127772.2800095171,43644.03652032713,167508.44306552806,43040.5890621071,78955.69589941585,50386.94382400724,120172.82470830744,53625.729707077364,41945.24699990677
48745.10631497536,133407.38898177317,43852.02712684425,184504.06015126116,43147.65376002313,84705.98088332795,48487.3565182594,81270.07276557366,56448.26910649649,43505.56379951972
45900.80138561881,121867.88125449188,46128.43750523776,243782.07930984767,32568.66903983624,89046.30914390605,42470.25711723887,77014.86539944605,63760.722166588435,41899.34470387842
50710.70916795683,128430.24957120833,39604.998937577184,309572.22585701337,43756.07049359198,98293.50665959937,51310.07212026631,101687.1287592687,58077.7516371738,33297.416138301545
49373.70547221917,129488.04253274824,44430.2774732254,300265.56938127166,40910.35303238602,101980.20266561114,44800.91709166525,73246.82775982094,52537.114316532716,40512.70652060826
55946.7147864381,125190.8628836287,46615.89264168238,259866.46647017327,40737.821959650784,114428.9212729304,49882.28652562242,109128.23199794158,47150.24606757441,62152.37344618603
58288.80084761084,120859.44620745337,43799.41660010516,225874.16286603804,40256.307579149405,116318.58086271017,50216.59184094463,116364.4999050578,44883.5685731127,63564.770050979845
72793.70081059933,273093.3931447907,41782.626814570765,329934.136706705,38564.79707780894,94648.15110030342,60203.69099157247,112837.45230693332,44191.206140954164,61003.883242356475
72091.38412457684,281613.6980502991,44371.50119243919,357103.7262097242,40968.112310681594,87870.44531293042,59951.68822716028,124847.58260213237,45084.513280660634,68393.36260568985
70141.38546209403,212642.19008344327,48075.14719578334,299947.5720560036,41401.26108317687,82633.40388856197,50714.27845201738,114951.18668832787,44567.71417237109,69052.75390252717
69293.30196816871,178907.01400342636,50535.79357111619,402324.58858841885,40568.07312840446,83759.2342629635,46082.65730294339,184841.51754388568,43561.494347835476,127714.68822032605
26147.690566812053,154943.00944297074,48698.101025883705,453956.6744755703,37157.14592917,85945.60021442124,49715.44437564054,154638.75652044034,45903.59870067181,290943.31722869363
28981.11179501203,128634.08918591033,39667.40824264217,530259.0686421513,37454.79437766089,80256.38242629556,49415.25663802495,166101.22985218168,43345.054259720855,137329.92560728343
37716.849465293984,138585.72106378718,49325.51334336877,482365.2176687282,37452.21185791059,73826.94533592364,48557.25915263832,297221.84582482814,41990.16841361666,163462.95784591674
39455.3237689846,237029.89366894937,64465.71600818009,354413.53379726363,42215.29589056429,97740.31583228898,54370.161539230874,258311.32013352992,43122.849066585535,177372.92259992013
36897.58751596265,207477.8883086206,87793.17636064797,481485.26795091934,42024.901126953104,64837.48280641032,50545.634551472096,229433.04403213115,40163.73052120383,170076.8855829025
36831.78552854509,214336.66532829113,70064.11832565494,345732.52707054594,44813.20017261189,60007.12357273673,70988.16263535325,291850.2713881209,38716.63833442997,159706.92094459647
35231.40937499182,175322.24273041106,62310.64658118035,334864.91907920875,48069.45917963909,64399.47601638378,63250.85194146702,332816.51301309105,40921.19984200025,158047.04829606487
36749.57075023648,260851.69719803397,57188.937988600635,347135.4233092284,47976.80251960305,70941.57183615075,60240.06528333918,352258.9542924909,38865.755005412066,198507.49964387796
41913.41033686302,252154.20641513364,53881.626576133516,324605.3743109087,49163.84259947219,78207.01792949639,64578.14395830457,343411.76087473513,37535.651485091286,138428.66771196574
26007.324800365946,299072.1731422366,58783.85658871685,423195.62319528713,38798.26085958917,79640.25736683837,60357.02230348707,333461.8019674241,34838.66477808709,129506.30104342432
27136.331847945152,391839.04585545417,50269.53011744637,495353.0650493956,40828.5819201687,73850.97263061331,57675.28374211486,330375.39204655436,40807.05444174969,134952.58422664832
24177.868059115288,344670.07526670437,48004.139611417166,199026.51845227845,42290.16867932776,74356.71092755182,56491.41755468037,364339.4006339887,40849.74298400326,213964.43448521587
24763.114008252553,182138.1181307439,50698.763211212216,315273.17025116074,43783.598172614526,71092.4224024149,56084.26186474792,420569.0716580042,36285.74485097347,158473.7334747905
26217.876906406862,295736.66225137486,51847.29222945372,351373.0204576872,43954.9194384451,104793.54667746149,30584.82475650884,569418.6149454981,33652.826090824026,213704.78055049968
30438.949459198077,325911.14382317953,48696.43634142629,347780.89374108147,41385.31964677818,118075.54376090021,45860.866703785214,522356.736571819,33366.84723072326,218093.24744270666
30762.357441262786,292317.6136532532,55458.029722872125,348367.9551708229,39172.802794521915,108615.41088411058,72326.15705604042,564596.9110058437,32289.676163886008,487024.09802920907
33116.6217288348,281924.73379303236,71981.2398434048,327485.51806421555,37078.02219678124,167570.6962354621,76353.7345089404,556952.8680079267,31815.45348872114,245879.1170931721
33230.5651626326,276395.1525971565,61124.25920394864,343034.58079950395,36398.38051608797,151471.93586027453,82023.22123079939,497769.3111463409,34560.584919209774,313497.9292704056
39031.6089911793,413444.64423360396,62371.89926468937,561811.6481509986,44965.97727633506,144648.20677818128,127585.69029418647,540064.8344626133,35318.87399004544,326868.50394187676
40422.512694448335,645937.2615063076,44317.20591729952,529840.2984290962,46086.73849068642,139334.32257590018,97015.63902935741,590773.0376553175,33342.85492316031,296213.2175046416
101514.91691652476,335448.7331162593,59607.250773245454,353718.2821658259,48004.08305003458,140152.19833174106,200089.90838273958,590932.1994309362,31442.869996924623,477551.0439682437
85373.95124445063,320859.1577355252,125810.61976842853,462624.3840224226,39209.086783131585,150507.98010056632,256354.3384649625,598128.0722527498,28838.249275053447,238835.81897008696
77295.77693330508,356108.32491677284,84140.82234819024,340076.00232230406,43129.40049339185,147760.94849834772,183860.20573758642,623453.7644932701,33347.240784441885,279095.49192792224
69104.17162454434,600960.8890161505,128967.05950253605,272039.934934149,40023.88440357538,196880.35752621054,185076.1486998322,683482.8564973641,34180.1203721755,327366.47700590896
64974.19871491742,310962.7923200985,89873.52547774889,454767.53018253006,38479.05690560252,257228.32143993827,286528.8216770165,494585.78262751317,32398.06764280851,340062.9898013506
