rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  56.68699695   94.51284342   -8.92635286   42.61294268   53.12631199
  111.58323019   53.10813462    6.36193979   24.4799       17.42104869]","[ 33.18835223  20.79507573  -5.27726431  58.81734712  31.25791009
  52.92062761  55.1293471    3.80306384  41.57530203  41.70302415]","[ 19.73109469 -16.11710862  29.42501286  48.79099056  18.00499357
  47.01285195  22.6015309   57.60830279  34.95091947  11.28624563]","[ 35.17992325  35.14954779  74.73187721  30.3916147   42.45504122
  20.35161993   3.97899085   6.30195019 -20.05984807  62.72440529]","[ 21.11469081  41.133202    37.43286737  26.77690684   0.91111153
  40.41078214  17.53886391  21.79927498 -20.20846477 -10.37101126]","[ 59.48346263  69.62320872  19.17570536  48.67985889   4.55459157
  37.17988339  40.04501558  54.86631853  25.36497892   6.56710797]","[ 30.96402876  43.02445677  38.8462958   47.48797392  62.84054444
  64.91888442  -2.7935703   45.23574836  10.56465578 -27.7315003 ]","[ 40.10965484  22.74677468  25.76043408 -19.83800979  33.8789901
  29.78226447  56.14299651  -4.82645747   0.14713033  27.52097685]","[ 73.42320564  39.76190118  53.47249167  27.66998055  35.46116171
   1.1405409   69.22646368  22.83271418  50.00961972  51.20484517]","[ 72.98990947   3.13203777  35.60223791  67.1057303   57.67012035
   8.13771178   4.55519318  37.89467809  16.56631059  11.66901882]"
"[ 75.51584632  56.31218697  94.43478004  38.35546279  52.92867426
  51.9159756   80.62220888  27.65078746  63.84800407  74.78348888]","[ 39.92239367  55.86562823  49.66281816  77.49483849  71.25642312
  29.44772514  48.17312462  41.96161029  92.10604054  55.70577886]","[ 89.93937945  34.25907555  33.41785766  61.98189632  45.13123708
  58.41816803  60.08201124  44.35525941  33.17368986  29.18057813]","[ 58.90180894  73.28814297  39.40024881  69.65097514  42.37432812
   3.93476505   5.0196355   52.94311171  48.53768919  68.08967234]","[ 41.74126257  50.82578929  36.04184744  24.01462901  73.08894699
  28.52307266  27.59059107  36.48100524  14.59445248  51.93897013]","[  -9.83608227   31.85668524   79.44596079   19.16298668   59.93997541
   41.79446147  -32.72009497   64.42410283  100.88856029   49.60146   ]","[ 81.45746515  35.4197816   35.25671425  57.02954475  68.09161297
  56.74147846  18.6561961   -2.3386093   67.10722016  48.11484476]","[-14.83303199   8.76841824  -0.53866029  17.48370307  36.37109621
   5.80366429  35.45619172  90.66289604  13.5732775   40.30239104]","[ 63.4883292   70.21466172  36.8287954   56.24467784  -5.58673286
  28.13345156  63.3806533   57.83238395  62.3957269   93.31169794]","[ 45.58738533   3.06330311  59.7931243   25.06773334  38.71949083
  27.25982512  32.00421659  20.69209081  25.51587587   6.45801953]"
"[  64.39890298   84.00748277   58.54362527   69.94615987  120.51853584
   86.7038337    92.34663107   54.01670854  102.11109667   69.2111381 ]","[ 20.09335879  91.48574178  28.10587656  85.35741097  30.65478146
  43.50856784  26.68386555  59.54994094  62.72196464  53.21134909]","[ -4.41166706  60.27099642  54.20264887  36.35499025  52.64547584
  10.38273033  62.24529076  88.69310331  67.39352969  43.91956683]","[ 79.33622929  16.08201513  14.85671076  68.62238443  52.24480513
  47.99225745  57.99605291  25.41274226  44.96435414  -6.09485596]","[  60.64848918   28.3850748    71.13076041   33.11040391   79.37441161
   44.61575185   69.58579458   40.18397539  108.15141908   93.11917597]","[  74.61135992   23.87607905    9.05436754   48.89782463   68.41025021
   30.82429711   17.55863132   99.52037142   58.94951259  109.36522369]","[ 62.61526177  52.46172093  66.2610663   70.24690719  34.07798163
  38.46550335  58.50425108  20.02863043  34.97733987  16.52806025]","[ -9.64957602  42.79851401  26.71146984  42.75810639  19.94367689
  40.38680123  73.38507213  31.98146409  60.05047467  29.1602867 ]","[  27.39398858   72.10504001  103.967746     71.29181657   12.09290415
   64.1301409    58.0945173    63.6108297    59.32762353   69.60728454]","[  0.44823351  65.55544741  59.84322913   4.1194792   34.620862
  10.34988943  26.62312243  26.98844045  -3.53334033  39.47378768]"
"[  79.11451786  117.07969112   18.88102284   98.70860024  108.07080445
  131.15471802  106.31603209   87.13367518   64.24115031   93.02331519]","[ 65.03227192  64.42105445  76.98560977  68.05854871   9.89138932
  53.88736856  25.8904137   57.92315089  50.18566452  37.16007159]","[ 54.46076103  51.41838586  55.01067277  70.7046418   65.08353831
  18.67102232  46.56524245  78.67178438  42.98376225  -0.14270026]","[ 68.55713418  17.2142955   30.96672629  84.01802274  43.99476873
  37.22058529  60.08793494  57.2125808   68.73806723  28.47964436]","[ 26.18642618  43.9726403   33.51010673  18.10517951  62.86224814
  51.61082237  74.58383172  82.57956818  27.96246917  57.51399937]","[ 69.86501594  99.93891473  64.63993763  41.01667937  30.3232359
  26.04890176  47.36540206  53.23312992  81.61193581   3.30475975]","[ 73.70464024  19.29920933  64.47081183  36.78999875  16.61092593
  15.87976856  19.57870054  43.09854006  17.1890707   71.84692922]","[ 75.51553211  87.96948362  43.65243929  81.04511829  46.58855211
  18.87951978  19.48209664  18.92521748  45.53486524   5.93880283]","[ 78.1981282   20.82653202  45.9910684   93.78732654  51.42788905
  53.94474595  43.46187196  41.30052542  74.380326    41.93946895]","[ 17.37065785  13.10131208  41.95223373   4.47150762   6.16630304
  50.29626754  12.27861399  12.851374    37.19605411  12.48658021]"
"[ 145.81964739  105.69709402  122.80159351  105.88454711   95.1548816
   38.97931785   94.06231113  118.01643022   91.59777267   64.74224198]","[ 61.26218946  60.37156664  66.81522131  80.20042274  71.19077422
  55.4096873   17.1552916   23.54869002  69.63396466  26.64361563]","[  -3.81616536   37.81575183   68.810366     68.67066481  119.37276763
   23.2427892    80.79686686   80.13563279   74.46321185   31.92432855]","[  53.87887547  114.34423056   63.19968716   99.83182205   71.21039136
   43.85681423   68.95619967   17.37280726   40.27389643   62.8500631 ]","[ 54.5953612   29.29782387  32.20047474  31.85135461  67.87068514
  62.94138573  33.38458041  46.49956982  71.83138673  75.09056275]","[ 44.03948867  65.80858464  10.98506998  48.24833795  49.96661084
  31.14425222  36.59537727  35.92296542  63.24493186  55.77513507]","[ 64.68276887  80.32504771  48.17567829  31.66022463  90.7983576
  60.30400445  86.06814389  33.52362461  45.21676691  62.67396263]","[ 34.90845853  36.05062477  35.56654359  54.35546962  67.80824807
  44.23684408  37.51821318  18.07719867  70.8828752   25.41214135]","[ 56.66006783  70.8820357   73.76436233  88.11892857  70.84842803
  62.20714673  44.63276674  95.50160025  52.67221391  64.5530121 ]","[ 64.72556744 -13.74935575   4.71631279  51.1599678   58.37839937
  19.20705329  64.22886735  34.89685739  34.70693765  51.89172834]"
"[ 100.11427859  117.31794039  116.88473316  116.44782351  110.37394244
  107.38706786  113.77196848   86.8077936    37.59366284   87.81368643]","[ 87.37068886  75.10138698  71.2772992   18.54911816  72.05973561
  63.11002315  34.89396638  27.96382113  55.2970148   61.221879  ]","[ 69.0058617   55.22942226  88.24377885  18.64590847  72.99507334
  48.75960724  11.35652731  33.27040277  64.72001528  63.65354682]","[ 79.31724331  51.38951421  60.41259251  28.94914735  54.10905582
  21.04324501  93.93003439  71.87613897  42.82119456  32.84297095]","[  56.0025834    57.63955194  126.93987666  101.09688451   41.61291854
   25.17905176   49.69994985   55.40790734   51.94335902   47.98377426]","[ 71.15208733  82.21691776  49.22501047  37.48451161  99.19100045
  64.84393682  72.15017669  65.2986238   61.01766756  42.30179635]","[ 61.23052319  41.37869462  89.54877139  31.53457173  57.87211993
  38.12509379  91.65396122   1.48436247  70.55575262  64.78692441]","[ 51.79821149  47.44806528  12.91713911  42.95642255  69.65955982
  -5.59335234  12.07303973  37.25493155  48.61112635  59.46517922]","[  94.40558143  100.50728656  105.77036502   74.46125758  121.34754044
   75.57699741   91.56766918   72.76745726   80.53054804   26.22465447]","[ 38.50905982  58.75268227  15.50598105  56.60658186  38.34852066
   7.11492313  56.11372838  68.32030382   7.83055636  17.45968483]"
"[  76.40391159  139.15366688   97.24955394   65.21596922   99.10151885
   62.34309646  131.85779791   88.27602728   69.64355029  144.81336865]","[  65.77087783   48.0969322    98.07983016   79.29088265   77.10108685
   74.03519478   89.13129777   89.97879428   77.61208928  102.09530148]","[  60.93317275   75.28738913   26.17016377   26.98878766   73.58841829
  110.75894769   57.81584718   30.42280989  113.81583717   76.26578194]","[  47.38835399  110.69234266   29.95936261   45.09186875   60.36633779
   29.46319632   64.11860897  121.10364348   65.52351669   60.05388081]","[  81.28110629   28.65476507  103.00545836   49.44042994   22.89764483
   34.95150458   85.01943145  133.83402632  112.6847533    40.91315331]","[  94.30548616  103.3885833    57.13743509   44.31019844   72.03687487
   50.47527329   65.08659526   15.78014931   59.28389228   93.93777654]","[ 66.0342349   53.68011015  45.31753561  78.61367494  50.42329229
  35.48464038  63.96353261  47.05808254  55.31666591  44.01930293]","[  44.54403531   11.14777092   52.25171518  103.69363488   36.22883447
   35.64761101   58.73252073   48.93048286    9.11019219   18.12386512]","[ 104.646609     91.58808256  134.04362649  104.64793246   51.09770522
   43.40944748   69.54468306  103.21404926   31.0753543    65.32639992]","[ 55.18663928  33.84710254  26.08770453  58.31561592  19.85245701
  37.27973193  43.98279965  54.03426991  53.62035912  57.7488826 ]"
"[ 113.97098079   53.98709765  118.19614889  126.43420366   47.36548859
   84.29524644  105.72696927  114.05376684  123.56915794   68.93638839]","[  41.48091479   84.08859887   26.3817911    75.53254676   26.35406352
   77.27331455   66.3762472   100.89433197   77.21710536   68.7184592 ]","[  80.05677071  120.44283206   -6.46303371   22.60941311   75.65423118
   38.15309762  122.08821844   47.58097534   34.27971386  109.77896959]","[ 47.89047242  94.195441    29.82873529  72.50125379  47.06543908
  95.9050405   63.35207724  64.81460891  62.07890742  51.41671357]","[  88.93754187   31.10894808   60.03769032  119.70366461   48.81643887
   10.29532552   46.10239177   89.22943416   63.78692893   37.65412319]","[ 71.66328793  36.20192243  82.86762291  72.87419714  60.36919582
  10.79210782  71.74816151  51.50872634  62.80893002  42.75933174]","[ 83.85247691  61.87867256  88.93050697  90.41529322  46.81575874
  64.13832065  41.13786512  23.77293277  66.58400146  49.64497491]","[  53.29275733   70.67741178   30.45736423   28.38928937   49.52514269
   63.609715     63.49546552  116.08650797   36.67504252   87.10261802]","[  90.21083459   20.8246551    35.58299575   66.97656848   75.54075655
   81.16165539   91.88967365  102.60310103   66.03735943   72.46886979]","[ 61.95908173  55.55801175  58.89345777  41.64725585  10.13034473
   0.50828708  29.40209141  59.29670166  47.87823411  45.74219175]"
"[  83.22573351   80.64954913  119.76013443   20.80895647   72.68241801
  138.70805649   65.19748473   85.71452481   18.62433714  109.76910745]","[ 130.68434021   95.9868348    99.75688419   20.76483324  100.91090964
   88.93503481   90.37075025   49.22647649   70.72538632  121.20729948]","[ 81.80160513  93.66207931  81.90025546  65.92709076  75.35887508
  47.64494198  75.03239627  48.24204624  63.52274354  96.91233483]","[  72.95790886   84.70815747   67.0150023    63.56828822   74.21763248
   35.72249586   84.34990752   79.67611849  107.27669969   49.99765431]","[ 32.28167581  65.20834709  92.22468151  37.60782113  92.50066122
  67.46689296  72.02946194  72.1703648   76.42180129  50.41081658]","[  73.76039034  145.72355331   72.31394635  117.3543018   118.88744288
   80.8558788    74.83353252   60.18235273   63.89413461   39.17699352]","[ 77.65022089  66.43876227  75.41260569  60.48288167  46.34421917
  70.54164123  53.56461655  90.56445921  61.36486702  61.53254989]","[  53.14636664   64.59307926   51.97846736   35.90258363    2.12763136
   48.74142847   99.37814029  107.95844923   50.83701333   90.23497499]","[ 75.5501571   53.45729316  13.21873797  37.87999111  79.41358158
  33.26314967  60.7430521   56.99670253  61.96416311  43.6493812 ]","[  3.16181186  77.47690064  86.67736412  66.13521135  27.07611881
  33.03705245  63.5398854   64.27380959  87.06641099  56.78525488]"
"[ 140.28366543  101.7117534    92.9041191   162.04111705  138.84982002
  109.03823384  121.33009006   89.83066636  105.26354033   59.33196758]","[  50.60859832  101.59348248   68.53997144   48.70031967   89.08469316
   73.98131852   92.51499623   79.53264031   76.64375527   76.967174  ]","[  74.07740289   95.71293552  107.31128122   82.06076318   98.43370142
  110.77967735   76.53913998   83.53187754   59.31402482   88.21730934]","[ 142.68968626   51.65609708   77.37350081   97.99065047  120.03979184
   60.17642747   46.58436447   68.92844303   68.31745309   66.83155149]","[  84.57818796   74.47100203   88.33462091   70.36258772   81.75557157
  107.00457324   78.47325623   59.11154042   61.56358417   49.03106497]","[ 124.13194424  106.86747781   78.23530248   57.84291917   91.7708671
   70.14086788   28.90703905   40.42448477   18.10952103   46.92327386]","[  34.55068502   64.4041653   102.99946856   90.78868629   66.25870702
  105.58488573   85.05838583   78.84795476   32.74531112  102.86715816]","[ 47.2115855   17.49111896  89.59595119  48.75318906  90.21522782
  28.45042049  39.30442952  67.0017777   76.20822954  33.45291028]","[  27.99865767  104.31261523   95.44666283   60.59542889  114.11298786
   23.39674      67.4094079    82.41363509  103.27580228  129.24878907]","[ 98.2291813   50.26680412  65.02501966  23.00764434  67.1326563
  77.08311146  21.30754519  73.91663157 -19.8141517   44.32757842]"
