varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
833025.1889366321,14002.916649462459,13815.8106974758,13439.553721862907,18373.95701979126,18293.258341320216,12649.972756395111,13388.616453716684,16918.901799937907,17654.169039580498
127427.46537982157,61364.91843943562,24736.33961188774,73635.77588070044,35265.0349003789,59850.98921588793,37553.88095135814,20064.25477344632,44559.22883310959,16164.512160195769
113989.03827786574,47643.0472772008,54313.426268688636,120088.83574942636,328553.20583772287,158526.24585698004,30641.568183017098,42242.724258154456,37822.071608140155,59229.72417480412
316516.4126178798,197867.59547283826,32344.68367145085,156961.42954229735,23152.219403522828,339916.2251336342,54460.82810578731,197529.22983004467,72694.0109732415,55928.00179431657
75331.1800513446,23589.225625542702,145588.67726446368,114786.0663612748,52858.442784369225,27374.293678755563,91858.75516621216,17133.96459448624,65179.46782022081,44988.72627732072
110221.50533480744,31639.808715959152,33334.61091992692,55377.64239749898,90512.03084392553,79917.2724783073,102871.5094924345,34806.72248629577,145916.82186851022,356051.1877630715
230789.85855107335,38910.04956472048,45023.234922002266,152982.8985178181,11610998.213688841,48357.91263082859,27176.055199301354,47497.25156678444,3059867.774745213,35421.75950822045
351760.43240853195,46631.36576135807,818260.9585412407,176899.7835140379,37926.04606772499,2898939.651629622,43717.3352874154,82318.87809492159,38715.953908375166,16840.01377623157
107940.85092664498,159438.1274518222,59437.962685931234,192628.72906246147,227781.91125540604,37157.25558063507,42132.78304172153,745913.3788795979,188122.87089339318,1524055.178691235
145406.1971196258,86300.8465791888,86220.7731562738,50557.09852344221,48077.923101648616,51465.89619750292,63401.12074661239,47062.1027101825,104560.14314058938,67563.13418957376
464930.4862915758,27622086.683893315,112829.55851527654,124773.50417161759,113097.91104931434,81040.41885306603,62525.268419342625,148950.01178904908,356300.92937072756,62167.99468600123
106378.11848497529,53237.10744347703,104385.44212644041,65084.05495179279,215529.9915950895,148260.03295933016,152413.37154250703,115999.0253203322,55157.20810821178,115854.82451242724
388949.2791815278,203369.65970959095,1106909.8139746827,207253.62976319378,53552.96970245376,207021.74525830237,169437.42042196175,278993.18423063133,114863.42390901601,40554.61304465145
151557.21704910637,38644.586577259215,89969.42491811636,369124.503579954,100890.43197189501,153919.4299548144,68165.223305829,55235.091041863954,215382.45807155746,42705.62525756877
412659.0892398361,76687.51504804895,83244.89951023777,60001.95033331664,110261.86668142745,270800.7704812307,70017.36923665568,53575.876512543444,567865.550720229,71410.92068086566
152392.92209199525,81391.40299704047,581626.4398511404,70717.48265287631,4726260.078566064,53639.297196719126,77678.34576620214,1098730.4090605902,53394.30583634965,63418.50782839008
648570.4465124418,83975.96051209382,66170.42081611836,55963.81626394449,75283.04532804617,85348.9924357647,119911.15040822394,50544.71951330206,88073.57718014304,147336.9318250898
154580.39076031244,59436.241007379766,79136.88441519975,161404.37342660496,213632.93245351472,107246.35704108812,211211.52148961465,87904.43428211585,77436.11857773324,33884.38860226894
300669.507389783,59611.09718593584,83536.76407782684,3787681.120048086,226116.69893601746,98923.04851283849,883809.2949001112,359510.8522261324,132091.58132962452,40931.11564898381
283317.07177757926,68380.6854544288,115280.02258150853,54390.13206350648,99800.06652095768,156509.974320785,79055.86809376413,37407.85970340623,146398.3608853696,1362788.5781808223
460339.39741371694,99819.6376321905,132203.09431521554,68754.58077017727,334791.2387783556,8879185.575465865,105501.42531401126,131945.855048494,301187.0587341081,32675.466489125145
602170.6875959092,85683.25786949287,134619.29236813472,86361.0130179924,344768.8807992714,62090.459166940636,117302.82571886998,176038.13020029303,253525.3836225845,115538.51418586161
281242.564236774,600961.4765383934,922844.2304362904,132861.5539849414,212982.73868285026,97390.8283973161,533415.2058623527,71775.00318336238,281719.29617808224,203211.5808800786
63092069.17637504,64046.1136683693,61726.182514291526,91838.10640723648,183784.62510517065,207203.98331743822,54700.96461042939,53298.17900585387,153268.98587160016,77112.18630930985
525685.0397265854,73892.59544496295,54988.545152787374,306022.1787560999,205352.93670176624,146469.85443602054,68772.7142910214,150798.22925426887,204512.6362751457,160223.41581114224
1126776.2399321413,100097.98956671305,129198.7756588865,134324.87452240157,416442.2794914378,267210.9249890911,103066.63833197577,127264.38905309219,260180.64393750692,214129.71701594195
131887.24250011542,134514.34819881216,92532.65983525803,204492.40852328643,117378.17958954902,236277.68879638534,197068.43992130295,5949710.582722919,536908.8769911237,159069.5439509186
156492.35252897,1535630.275491952,111209.04139470292,148030.4330318356,98193.31943850375,454095.44620726403,253626.92731914527,84930.51848690398,68648.74836286245,338712.1310210036
165695.13110202234,79382.0948757137,146198.45425436896,274292.21680523874,253868.47399280616,99243.76186212049,631391.5617238742,91937.9147926245,140981.10775537207,56062.34743580126
725189.9170523735,86489.49223466488,202252.7882394839,610929.3937179041,329347.3619590535,122381.74640073125,53403.52728950801,263912.8686620764,196335.47906541062,162987.79908436103
131673.09980827972,111309.74884521184,217286.65734555532,107982.89864166403,290099.01585066156,162911.9207129815,54822.94922645445,2441939.439983321,160293.4875789369,187076.02650252875
304973.34454380325,233324.87519103102,192032.97542332852,74743.77205949712,621113.5296047811,190047.65756532375,121401.436766335,54125.23914839186,168774.66089505248,603653.412460874
283600.29500774783,118858.98770786429,572930.4359420633,108991.54384146631,27069086.9029264,181402.55220500586,160833.84586204804,63494.40356112024,131722.34717182053,60535.768197222336
7508785.763354248,207930.6110373506,73098.6766735252,169559.75840399577,169737.6465508929,473852.2761399378,203735.3641495802,347031.6043073137,174159.696084076,477120.0180679418
158595.5758730083,34267.50934215294,99802.32401676133,275441.12323277676,324482.12760035775,689373.6354443142,189038.75765207905,144538.10974439653,252106.42022949946,137216.31162911415
690057.1865025945,119938.19817451702,1205509.8570689638,233756.4079950932,463920.2304636567,272535.48215536005,180686.05622794144,987640.4768635368,302594.66969854955,546740.2869594139
131739.40517884796,152185.66857149694,109050.41727247628,141385.05760868464,20566953.70010978,209537.52779827564,145922.90640704456,70238.79540705113,1618947.7072045757,289207.9628520652
139053.78905888586,137600.40778460496,93893.06362181934,183603.94556272757,213985.50981536973,313133.11111735954,164733.97208799206,170059.81702970265,65586.5118435907,1783529.900724505
301748.89324424585,169365.55155758874,292240.58993081143,282830.7133107445,474961.36170032294,23076719.119380243,365274.2978009995,88351.36265852454,127955.04025195912,104503.03023662578
343728.6078566846,185142.07820599177,203156.4559335017,254449.37830230626,10655125.078115612,174860.59600181214,99610.73038164651,111140.722066981,116968.22231177503,353097.9359042651
2668195.432332523,62387.03103128965,16046899.53831973,734306.7238930651,571219.1676761513,133949.9501965989,98559.71156001966,100953.39259701404,161421.72343439533,1372898.6132492372
90239.09274314939,85141.23155539398,88293.7609291466,388702.8595473815,1184102.3630559938,240345.3846142679,76033.42299665065,139754.80977208365,339675.8051422845,250665.80072386487
247018.79612250414,65836.83774479716,111126.37241561108,855472.4937906298,382578.2347481072,270290.4253211437,124996.1049493594,150803.36548944964,550551.6464637723,1908858.7324046083
206512.68402566906,176289.9304349139,195426.1025181911,83698.91392696009,206350.8238750949,7715037.772223207,113508.66792444617,104670.36556915575,79294.16789096002,283433.7937069421
459136.2188758381,85893.77937575645,189293.19285217527,166931.17862152873,659765.1158773048,124674.75581021572,514735.3799890737,168698.85772537216,110920.66133481906,409392.53826031147
474315.1106546194,116601.95433970648,321393.87140177103,300206.6641434062,553720.107977472,275779.37945230305,107843.16217732901,407268.0671162236,132389.90502029983,955864.2070508179
434364.55048924906,257124.76141753467,152144.14943264768,203441.8334889043,3270665.5471151313,177093.3279093012,78835.4384869234,103012.58409562218,220092.12170488242,442809.6304379129
3067447.1446248936,132671.12614105665,227848.6329138518,239775.89062008294,205237.1449769606,308873.4333719341,117950.52952352719,186578.4806652367,235305.79973576206,121628.97908653603
229391.3545753406,109724.57912286455,275597.3049161157,2782038.8400263824,391946.38226652006,674522.7314228411,85642.91851955763,676154.5106675267,2389685.28996866,137740.41788790992
321039.4761410955,156080.90674541963,178292.95861407524,97696.56409023958,674391.0817495458,152914.1360067582,109072.32844280335,88389.92832389713,129290.34038186027,3341698.616336392
381729.91336229746,222452.2326631187,298886.9647071396,200598.2704155602,526361.8009144035,206430.97861435488,191751.40270982802,221760.1707072228,320079.9623151848,122177.977272784
585205.1867598188,219397.1830570609,684597.5743280221,208203.16936698448,1037361.9062451128,325739.24360076705,305889.99600169534,267671.68323070975,347349.49362613354,157324.6695472207
137130.94513368863,56625744.6217615,107682.02841892675,294633.05579978134,549915.285600527,214164.52216037092,227871.70292913943,206225.71381678636,1062065.7295694076,299819.36643949954
921045.9031543069,82735.36857972233,196746.44542199722,889734.6819567748,472407.9802834496,909198.8834560162,340320.94001005386,2218172.987037906,202594.20578975056,284875.7224912221
173772.35924905926,120220.80026092855,1531268.7742101233,162253.01174069112,953200.5580203779,194515.86163336778,74751.34384617905,239380.65515707247,2210440.6489959056,2456154.6919231266
