varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
290409.5604749216,256894.40031583293,21062.553977303938,13252.527477900097,12408.601170658578,45104.20172097999,14382.24954216407,17248.577871206828,20182.21316380968,59826.22356347691
54756.932452414985,23633.734610298918,41758.98342156414,21166.794112990232,25210.728573262655,71002.48991289202,22864.62451313321,26653.206350789835,32524.191465704578,76374.31377798418
139288.56522828812,24642.108507727884,89971.05312374758,47970.00068535932,928225.369344917,151474.23868919912,46988.79462619146,61417.84331567994,107816.5889780463,124012.7198331365
168067.59235312341,47133.493433713615,21132.11660483743,77768.70597241956,25019.40004017224,20541.84897019301,40633.20831798359,56984.5973592597,94148.24316395397,48750.65869434829
249421.91698321636,62590.59001825117,42991.07119245002,1029550.4325327652,48634.66445171401,68824.38266172743,72425.48443761145,79707.66993412016,76907.3998007787,68978.92512149434
178928.42909748136,371942.00708609505,157488.40593405184,49018.971596497984,60913.3383761859,45205.58289381582,65121.74753315335,141952.3410356411,880016.4559379553,77929.28106463393
288101.22239800193,23706.35037694779,40090.26212738243,60958.64513910997,306551.35262248357,134157.72091399838,316733.8923958319,610369.9527770139,40734.24863690691,131812.46336820623
148530.45173696848,52682.39635963644,41865.01561519531,206149.19260665445,25137.009374631023,108816.59454971514,40800.89903010508,34470.108515999425,78978.1492525578,40109.14714963823
223749.6658956913,35401.48102442469,48027.18653522113,130776.32916234889,59969.261904953506,21001.245534113514,55127.80010105552,84790.2901729566,1260976.813097481,69860.81530906705
379474.07723898126,49695.623663963706,94348.26493178436,130272.64160773501,56907.87729939348,50376.64257160816,634086.4160786893,142492.7476396255,45228.04331765212,58026.449927504116
107267.8367139165,244550.48324663032,110882.31156840312,451827.36246933806,80512.07177247806,66836.41206743862,44925.59496475986,183706.7178078122,47773.728825789374,77784.15060196721
130528.22168830776,52355.052431338256,90150.04066471882,61533.12265818754,177956.77699304305,87019.08088805081,74263.91638579094,162122.96258361777,86267.57101682283,163482.16418989692
560543.9954437047,37724.19667211664,3000331.8448593905,73738.33861423426,32165.227264363646,565365.6385176857,121671.0190798045,341255.15187353466,154151.7876970981,128006.7855791683
177336.00839892623,77274.26464803965,58869.647825054424,166097.3916020153,74182.4906006501,35918.67479651069,112417.94170796976,286254.91089066543,302714.5915582415,77678.33664025426
192006.40839021688,66920.55281219169,56104.665512902444,154349.4891403418,132292.61861058974,108545.58469728485,266439.46472147404,89065.23423156499,78767.92792715857,135169.4945511554
972142.2183937981,92120.86403213549,126982.36364190927,304528.647439317,106661.57894371799,316133.5176678378,54674.055424906786,189861.1649716941,83573.12989994619,263779.27323109173
127887.63992418406,700221.7746605944,446100.5161603656,291732.60176812287,605093.6749652314,63554.79213093736,110540.08515990234,159676.26789328107,216208.96596488677,57926.74430604844
140598.23273238313,32623.080687343638,55311.79934144212,311536.6238045462,76339.91863107338,82732.89031066373,63660.56321528798,559802.4412312489,226768.0370799841,50044.94740395491
321731.94550475903,75026.3188100537,154234.65109592036,845046.5764991654,201021.4159455457,176713.80127300427,248084.86818648496,123491.871812682,172341.07723290584,100996.83808667086
2521767.879590418,91092.05865955059,393360.2106195657,82303.85983896551,64224.99297534997,44215.54769680302,372635.15012023004,146243.62613857,363083.5748667086,101265.0716705603
131369.06275198513,50711.56803841123,103386.92563270067,99313.64491084914,147800.0941485214,105655.76837586763,529786.0046637212,241703.3187304634,72287.10430283155,1631227.760707024
302396.7879642702,128204.5263705496,299955.43807179586,283022.0504374398,343694.61347644735,695733.4101453222,55138.65472453307,480375.31764314324,156211.8540049425,66361.3834453244
1168576.1815461768,169962.42504742305,69997.3197239865,568982.0536111912,38248.75316125802,36222.67048650734,214247.36464900532,337486.50302389613,657427.3338953091,55034.487007126125
784606.2294589563,307482.6167431148,95153.8192560618,100471.94508988541,105166.00895120707,79650.4227032969,484563.2074603033,150578.52355388895,86167.96514725586,91652.95776894165
366229.9857889665,62964.18404149627,145186.67587102138,128918.01653318453,297218.0238742467,425376.8316658571,6230576.439363886,168772.54780503848,295909.29596030613,143389.02955005967
321417.56551360665,86671.27875651393,768803.1417134122,523775.41671673855,221099.0650854878,94522.06736163185,73789.4722458345,417400.03920390643,216619.6531587434,303324.8501929623
607872.0285442634,169222.34362014683,55402.473393113956,110427.01139063238,4104128.6845850567,158532.9058699574,377188.39239351783,497874.0035289363,78997.44102401304,43205.41574336456
606339.0736837438,154919.3152399187,112265.3038102784,119203.24918097164,84262.4505318458,157821.1726374054,7834958.608359842,79712.21063893673,162755.82282525624,252623.02920810122
822059.1136136517,68580.50469641734,105590.05567164831,425663.04214194487,153979.83446000476,438966.01932981634,684471.2564443013,509275.6591737102,198684.96982314458,250363.58693147136
