variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
203371.2768183712,145921.27368673863,89413.21623821271,128379.27368484277,131461.68309099463,89418.05463788805,136722.2425837876,105334.94696517204,95852.85553659045,88832.61239455432
250694.7733055596,100461.57993903357,167652.14740686014,109221.25825646103,177856.36649398814,193810.33149253478,170400.75561535935,56398.92190351197,142539.7829053628,158039.97781375062
487709.5190082403,143005.82810648662,188617.48531479907,122102.5496070465,197107.30920307798,143077.9084816991,165662.41006969605,79547.77153899625,176700.18881101673,127858.60292497578
666628.8554071789,185405.03304672585,256706.9858534609,120582.36064707044,204699.64276768453,257699.25146849523,122599.96643888565,115903.06388592489,182968.6712243826,139416.76188741042
511829.0212854033,230811.50949196,421226.248364782,113797.35843448204,182639.9142456554,307120.57833598624,138143.55580737555,117979.68107270746,191066.43535834976,118927.48568076304
453760.01493871404,272771.6838314633,544810.3352476218,235696.4179123697,361785.0663251476,140952.94041155622,232768.68583237333,196353.670944068,374843.92553570494,100938.98487937888
339414.2355701813,315680.020350431,314687.6104352965,171561.77864608483,254947.09791851992,352291.9485229577,247657.9991238675,174081.6936992228,500270.8494834896,158581.43703927007
530809.5840433836,649086.3138766426,464994.1386386101,259053.42885954096,356168.8243546338,243162.45109583164,210191.11933743276,250685.30414888164,469803.9794843885,178602.6715361306
509475.2451100287,696878.5284721615,510967.51863119047,174101.09143499268,400165.5086827077,436976.4347134576,445169.0171736918,219320.06624826978,463653.60536968795,123042.65428183891
395151.7452701834,735920.4487987871,598386.3474748002,386720.7404981197,419761.96079029585,573686.3289195113,208380.4540708412,430145.19496571063,660703.5527364563,143255.63761178043
565645.4846387296,996988.126075784,804133.1858073189,262678.4152744034,677493.6012511459,412702.2076977185,422306.25040727045,456574.09746492817,717273.9933366433,276935.3652598161
631534.329798958,1319850.4533959473,696272.3368421977,306330.35827856686,544308.0858771692,463853.08182158275,478528.4927822995,224195.4698225818,535470.6619896824,392642.8880232711
844428.4336989191,691292.2327485323,1031119.6083746323,217320.85485619245,756431.8428991358,547060.350747616,626151.0021380421,367307.0733693101,635161.6287416115,492943.75668410055
841761.3527335909,920751.5366757866,980111.6271020904,318198.48803754,778053.584631145,353006.5821034723,474387.67131676595,462296.1410929285,701078.2619437986,258130.64268634003
932486.555369537,1562955.0458460345,995643.3920472729,284605.55563118844,614022.4932592254,359976.73035323765,462549.90411340503,535962.2848121254,909851.4489270691,390994.8218631296
532098.9495428368,1232388.2308642564,807110.1380067987,571810.1512324105,918877.7829789991,362139.26203586656,663572.3245131104,477377.6257380673,737585.0631160832,464185.0348009183
983738.3630732549,1400400.344909062,1089447.781754704,433299.0535859205,530651.5660505943,329224.54493687954,457217.79500667076,402033.8696357362,675916.80196804,458235.27115751675
856383.1732961696,1056826.259186361,936421.2927924586,541181.7434146281,906631.0803172856,322680.3676234582,288123.64108747424,341189.9614710808,589650.4282324843,403774.0223386253
911140.3365817927,1129672.3594137924,955825.1838125854,529393.1433958295,664441.8897885231,454448.4989398067,260937.87696556008,415513.79276225646,586188.7434189004,506187.0077321336
939589.30840922,973276.812645696,680868.9726582174,505916.1851463196,475539.04984830087,720527.8788144398,401086.8614808542,426298.60017575277,955776.9264925979,557036.7467926729
978625.3520948933,904877.9447960197,1366185.0364357515,281159.55229750404,538145.9081676765,527285.1638709975,255810.04236055174,545586.9280835637,539380.1177663964,765581.5895323849
680761.6231893922,598680.3253697002,513709.82078095357,564188.5690684272,415719.7207681906,530561.08669666,268485.0030968366,497242.43570709944,769465.210198754,514905.27918517735
633080.9561144215,814209.9747407973,984530.9261959083,614463.1129247153,383037.4289462528,910355.4810475905,327830.1569517151,483654.27771284676,663293.5355713601,744920.6004087791
957765.332327265,782894.4050064005,669825.2025803025,542017.7319596157,418783.5290483435,805868.4422182776,266528.4538455242,746831.979185963,972909.0656952166,390154.55630710674
821874.7540557226,777825.7503024279,818787.964801959,675934.6739642299,454699.4201930515,1125731.3512895724,282613.31381337636,836592.5215789785,884223.5351347588,447534.3912073814
704267.0938301976,1118730.7770887632,620370.3611943334,378223.99633565935,451142.2513704435,1130856.0397159595,351809.2164604342,539266.9469429152,737988.2821964289,1119621.4409810798
728949.0885466535,1195176.206332834,652282.9577661289,463805.00172289234,237731.15612418842,1282793.2655887487,305595.33337212214,641161.017003239,1057885.2435254122,653973.1875813903
723133.9131065076,1889316.4189078417,811657.9297565061,424360.4758592041,496473.96647911955,1052232.5080515696,349989.4142884815,917953.8120994372,568739.9311128163,824619.0600160392
652629.7079779201,738995.8856498534,662732.6308174465,542793.5077651005,308494.0214739172,1147973.0488186814,327431.95635951747,627607.4231471589,735077.1806720343,719434.029593931
672283.490609499,1360523.4437976696,489604.16273225914,839022.9877132974,329226.94560978183,1315181.7041636428,505694.2541821362,606677.3163193652,439897.6156477436,927910.007998725
698352.788058081,1021421.2502421661,616411.3604770238,594398.6505199634,455133.82088913664,1063753.6478273114,822730.6746128603,854836.4728963188,492890.2852698741,1111996.3729932767
595030.6667387523,1566120.0173933147,839485.5301405549,948521.2462758968,307624.0109931652,1216807.866028587,558926.0509305485,639169.2062667783,627127.593179319,855735.9613507666
466018.14673464745,1454534.9064119577,856331.6706733577,753636.9711966303,325504.364694754,1039304.4668742411,451152.5643568281,638038.8663513686,607117.70305802,1188472.2633027367
519704.56661235023,1420617.7997642343,409205.38913664926,526427.0662294084,330795.4164767581,1560355.0135724999,628459.3250679175,772276.8018446113,797123.9556149794,621498.4482271621
560586.5121811993,1302799.8438795453,332163.07567764877,666053.1256068267,280178.6111610981,819417.5151184922,597070.8307507366,788886.0188046022,697598.2023265919,957592.8487638179
597684.5472908859,1157823.8041830016,412772.0648822638,905717.0968193095,396552.1156078025,966792.9077028723,663283.0601116116,1037539.1969743085,581945.9113402069,933348.1538567075
535816.1400433886,1360900.1962001873,354247.96870345424,620729.5089954676,571558.0461256334,1374514.9934702045,802874.1765088749,852777.1243078397,603575.5726134294,878707.816308025
567385.1161540832,1477229.9689413588,413547.10689523723,731151.4056176597,563632.5979681741,1062268.4527026888,631912.8953396792,691671.0505935969,580134.0408895973,730805.1097451937
737332.7038838104,1383070.8968805778,273497.63225959195,762342.5643209905,593283.0986599821,925386.8468369831,404942.52343375277,551964.5534267074,502006.5416543277,439433.56962958263
654686.892925492,1186642.6715313327,317451.1452833136,975779.133430714,501791.39005570207,1304198.7241726234,484112.5695902042,702161.8775062669,842451.3971166282,992947.2288710651
587684.3158078694,1746457.2586785285,207067.65694974014,662542.0556692969,397932.53111268405,1159541.631234822,694715.1931255772,694674.5068138721,637608.2436579377,853378.9262184604
680792.7206004662,1683814.2556233336,309228.2746954577,798192.8110642673,469351.583318693,1322831.436242807,573372.5308207446,669204.8129041872,721965.5210405583,1227570.3324991644
494710.1632140481,1629237.5449613798,449782.6875146107,961646.9529001791,1001383.1765205555,943731.6745396383,724889.1742496744,820350.3352831353,346665.9481452779,1416314.027156273
566606.5725640388,1199998.3422247057,365728.81733694085,958234.3881890071,692260.341191385,868384.411424698,1086524.9140872848,641932.5084284098,465376.04347837233,1693311.1318076178
717237.0675158596,1268498.7381893888,349064.9082023566,736861.2441948978,613650.654490802,1247207.2281463314,896763.9708497592,491072.73367950064,437043.5966800145,1208178.8942599082
682401.2312149627,1428145.217322275,352552.3896716876,1064455.9438212882,879771.2757906802,665974.6648810133,941049.5859904848,553715.1482247764,544173.6169949168,1247413.766178113
799272.060431914,1486625.3211124083,526561.9579201008,849471.1092071552,883217.5775143446,609481.2288400822,741144.0751874599,562947.992848582,323062.23644217587,1428339.7115737053
517329.2986812163,1822003.5675324483,347010.3941202817,795132.7755125074,862346.8623432415,715024.9075645421,912518.288288661,702889.7742219036,359708.71127334173,1363937.5569044913
657914.5705650013,956792.0897070727,685386.1947390501,689883.2192108526,1504327.974717758,694624.4788854386,760286.7172333312,798292.3654471113,348099.78824933706,1614523.8388809315
588549.0265447862,1123036.6752786818,795502.7655630808,799463.2634887156,930484.5964281912,650462.8612496038,891168.5526394886,705092.6562550706,399779.6258942721,1577006.37353159
535168.4399930439,1395194.5261225516,471514.35661330994,1212320.5045854035,842695.9872583523,682678.5165905498,779891.7415020114,689011.9697010006,508960.57244594244,800736.5029096941
794532.8674242841,1357882.800078358,915096.5872111719,762250.3288649152,1144131.2094204281,647844.6118468014,330901.57337593107,865822.675312773,472037.48058592534,1354134.6727097644
716933.4127106944,1266151.2838855456,1075873.033263392,873208.7027572762,955508.0663088174,729276.5542086409,289334.47097680625,1324359.391512336,641734.140632452,977323.6808182286
876775.7432002458,1039024.9211098261,770074.3881353865,700303.4118188198,1078826.0523264622,410599.6266726248,339342.4442227494,673462.8007207302,422210.66639295215,829816.6512548019
763382.1561601444,1702789.0433947686,1028142.739942803,666228.0895202705,1022452.1504011869,495202.1888373248,106135.85947521412,1036031.9582893946,744860.6604875944,1102202.3638792178
1025324.5584678393,1436170.7586333079,872906.7302575798,715666.6084372932,841603.6369560292,513259.48419756594,166738.3495296848,876159.1664028377,701667.1681547207,654488.7792399862
721492.503882389,1523163.8704594267,1296071.8653280889,762417.3833963033,988767.0295622809,532948.347575695,202035.62393335826,1152393.802101236,667863.5358255093,826269.8423234426
741143.4167006296,1241330.0436140785,906183.0383298483,989927.271684726,997063.4572700066,860430.9182216953,232800.42417887464,1290352.3778595107,635268.5777850391,844491.898978479
912934.0349657176,837634.6882424549,789712.769552822,929118.4889013754,1052606.8871836446,621217.9987716377,180735.9698567411,1119255.0738265207,807114.600418804,827026.8579422951
821841.473388307,1190435.2828729767,916046.3814285401,1003677.9436922572,969609.2331661653,1058074.801970521,237181.83342056716,1321193.973847131,900647.7034594556,632655.3299215748
800287.4908904363,1012639.7382933549,856552.981090858,872486.2035322826,713899.6558211029,1442762.4800685681,220310.74371770016,940195.2397264463,789419.2141338463,630363.1228389349
1005066.8876598564,1218887.423463935,878723.702984708,636165.5133663029,686635.3977078729,974773.1586391717,241270.60291887718,1153027.3833464615,1210969.6375930253,754431.9633850353
817415.0161147723,1292125.0520859873,873703.2332284194,702177.3729321389,819012.9343985898,930334.3567166537,290057.3433246951,1333469.0915607773,864936.6671690631,666171.48512175
836246.3736437618,1909991.012354979,736806.5028097332,1102517.9260150394,456397.3676037416,1186517.5752951098,187629.05610769396,994463.8024579647,798371.700890101,625111.7732348023
774794.235982331,1513903.795641069,1080438.2884463756,731026.664025417,811491.1196723408,857668.1873213241,480541.159672671,1330052.637255235,1383585.8727051283,791730.3066230875
1661439.434115584,1189819.099475571,1069463.0027779932,516130.29090031795,733406.451978913,763795.2953531845,410952.7615899142,1320599.6673337035,1016250.5992245699,636687.9997650173
1295435.8177547303,1177191.5002981685,1017327.8013921011,854387.1562835677,675193.0341131333,784102.7443863954,547944.5705716468,1242561.7994419853,1263876.7229185645,687287.4941410159
933696.5105538355,1532140.5359956482,1244631.3278840699,944476.0428536944,611807.8582532309,618703.6160815057,462259.8520254987,1278717.2710478944,1597610.8778414153,698410.3520721432
1366804.3372019008,794787.7170384098,806630.789823577,680311.0858108734,761822.7573266295,967667.3480258515,392885.381416527,1265517.4726038217,930833.3283076084,491759.5450542646
895262.7636282389,1504321.8480895632,1027898.7965271148,837991.2773296488,889059.7946257314,530339.0630122228,740902.6269677419,897093.1240017988,1304081.135295954,417844.33964344574
1253605.89574044,1487373.4326596665,927841.2959457829,832720.8502713032,1157625.8753358661,836520.1291756242,641964.4453833911,1194949.593529243,1853752.5094205495,403639.9601048242
1075166.0746843726,1161323.0301801371,759905.4138740946,626260.3369988853,1065031.7914340068,941391.0160066554,617149.006235925,1697471.9553985556,1235617.4984369278,828048.7177851988
1099687.262769019,1081102.010479117,868638.9113325912,1154291.1387048897,1110037.491735198,829265.3366181396,578970.0406212164,1032561.0110053885,1245500.3397160112,697745.8394305198
1421015.7491844618,1361113.4112894805,775063.5660956386,1186741.3678221703,1250184.303391927,785538.5783008297,689822.839490719,1450072.5378968425,1300747.4382232982,476870.8004765236
1106373.8054753374,656004.8526136598,875848.9268330059,1047272.2949520312,956788.4738365901,1116775.6887887302,648677.1437840147,1630653.497450641,883148.2770209119,678171.8675236754
1270024.1403971377,764189.2094188764,1058942.6345586549,930841.1175374279,1078329.5942479311,979957.4305424134,595925.487014814,1112049.4543988938,618302.9121795484,847849.5699813489
1315700.2741969465,1056558.2263237694,968188.0094945048,715771.503034089,1056674.5743948556,1025053.1193680663,938033.4540790912,1970197.910108313,608463.8567950565,642557.6087435436
