rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 36.85663573  51.69083146  99.53931173  21.96308312  36.85663573
  53.60306701  21.96308312  21.96308312  36.85663573  53.60306701
  21.96308312  21.96308312  36.85663573  51.69083146  21.96308312
  36.85663573  36.85663573  51.69083146  21.96308312  36.85663573]","[ 47.22108     76.34179475  -6.42570654   8.62994963   4.36184424
  53.92412356  62.37387753  22.46722267  54.14491658  59.54193241
  14.27196298  43.84506729  66.45905151  60.87418969  62.08906407
  82.9136695   70.00060819  -9.08878714  78.75511185  44.43225412]","[ 59.54594382  75.01286863  88.06811693  86.72931265  21.67076235
  39.41000124  39.41000124  66.29819886  42.301284    44.7078594
  68.04457694   5.72405673  77.45493162  71.25011046  61.82961008
  48.15608899  41.12689776  42.31175609  17.31704177  86.72931265]","[ 62.94180608  59.31193483  39.26358505  28.27355214  48.16917873
  34.73392823  58.21485789  20.17086106  33.51078272  54.85790579
  79.62245562  51.83652434  75.98361178  -8.13186299  86.48413983
  20.59602401  80.83222068  25.43760559  45.29195258  68.66754038]","[  40.61167812   70.18090776   68.28517124   23.52788716  109.52864419
   40.77694936   69.84158698   24.84272941   69.84081705   95.48620819
   76.73575586   45.56876617   76.73575586   45.56876617   68.72309346
   81.83609953   45.56876617   27.98736297   53.02473818   85.43912572]","[ 14.65123145  54.64626929  73.9580509   23.87384186  -1.35829747
  53.21325849  32.10169432  50.72888667  25.7732683   66.21720356
  73.9580509   42.0881616   81.58404011  47.07093915  57.06846488
  37.3081635   57.08459918  42.64225606  53.55622806  50.04230308]","[  64.02213453   68.59652311   33.02946956   43.40928151   79.63705706
  105.98961013    8.48908445   60.10091495   39.44245029   43.60464125
   29.20002662   31.58957608   56.92379459   54.83825615   23.65975105
   77.48079794   28.57706213   64.922032     65.38062594   54.83825615]","[ 58.3239959   85.53469446  38.69565219  33.66132004  38.69565219
  33.66132004  45.29226581  64.76086876  46.73209017  58.0501342
  39.93832405  51.52111168  39.16689069  62.22135024  71.4519876
  24.67383566  67.22467496  61.78521124  74.72086019  27.01636046]","[  27.72708233   86.77285563  113.7386935    57.51710035   20.90701421
   25.16381474   52.24337982   80.57028049   43.00141674   17.14789593
   83.02693084   59.08952019   56.79751534   43.13842103   19.73293813
   59.5786151    60.26205478   68.54866215  133.42389524   70.39543024]","[ 35.34413408  62.74417706  66.20342293  71.68287572  87.95026938
  83.93616071  87.95026938  83.93616071  13.02025347  71.68287572
  84.72072216  47.56886047  79.25569711  19.45782267  40.47136239
  43.61165693  16.00290712  69.45359713  76.99025803  36.25989969]"
"[ 57.37129544  57.65165258  57.65165258  55.63795339  67.98201517
  57.65165258  55.63795339  57.37129544  57.65165258  55.63795339
  55.63795339  67.98201517  57.65165258  55.63795339  67.98201517
  57.65165258  55.63795339  55.63795339  67.98201517  91.17982437]","[  90.43749797   46.65542592   52.87120647  100.05390858   54.864381
  104.17203      80.41702139  122.19593074   53.03581092   26.1117689
   61.23644047   86.76378663   56.53464269   82.52086863   97.49532433
   62.60839133   67.61430627   27.83222857   59.48501337   32.82497699]","[ 28.19895081  81.87345898  95.82889465  78.26242434  49.06756145
  53.33057069  95.62450307  95.82889465  43.50988492  70.33860441
  42.47802652  82.80128945  63.98679355  57.71143883  65.04295341
  52.14200942  53.53531961  95.62450307  95.82889465  78.26242434]","[ 48.63933578  34.39886833  50.43821636  58.26759575  48.6651388
  50.53446443  68.74274346   5.24357201  45.0639505   94.52496107
  74.29396972  48.6651388   50.53446443  18.51323172  60.51342725
  50.08146907  95.61149512  94.26010004  54.69696225   5.24357201]","[  73.69159462   78.09563517   67.56608385   95.41097794   46.63989421
   94.4722982    68.70654348  108.66379064   32.53398226   40.79905985
   56.1727201    83.05638895   40.79905985   56.1727201    83.05638895
   87.92814005   68.45035335   84.7685129    56.60696127   44.87205588]","[  57.46509712    8.06074035   69.16325875   45.49170422  113.92443918
   46.67623437   59.35834324   56.96785189   99.1193092    44.24606727
   52.4022102    50.69635498   80.01329666  114.60972004   66.80610893
   90.01042826   77.89733919   41.70552925   44.96461902   78.04981379]","[ 50.21101326  86.87085775  77.0258952   65.42270584  68.24736484
  66.40065313  42.33292071  54.05111204  73.20040174  81.2267995
  63.94084489  91.46513625  72.68734649  40.67832155  39.91854063
  54.3233727   72.68734649  98.22432768  56.20381877  97.23075546]","[  55.08375284   36.63055483   33.85295948   89.75655832   70.25329419
   60.20017054   86.94575339   66.60233747   35.42273906  108.73566867
  110.90697375   58.4744601    68.03812933   46.62358628   75.6210563
   85.26173356   85.93544027   79.6596861    84.13693497   37.20753479]","[  44.97510001   49.34191604   69.90661027   80.68204362   75.86493432
   72.41365444   78.41680033    0.6736616    40.58448666   53.91742585
   71.01068679   63.15032581   88.90049309   76.34259043   58.11734585
   28.5404717    64.85342984  106.86742075   64.19024601   45.07154927]","[  41.31164332   17.03644444   51.0949724    82.79943291   72.49303842
   64.28846523   71.35271921   55.32180012   48.77219996   59.64569647
   96.70710542   51.0949724    82.79943291   71.49800961   57.90854401
   73.97818926  109.8949218   136.02709168   49.91831868   49.98356994]"
"[  57.39328809   58.28386061  100.20492246   51.54742032   74.1797468
   57.39328809   74.1797468    57.39328809   58.28386061   57.39328809
   58.28386061   58.28386061  100.20492246  116.69735892   49.14329854
   74.1797468    57.39328809   57.39328809   58.28386061   57.39328809]","[ 116.85783324  100.04251919  107.23883453   83.45402395   79.4251862
   78.36082676  103.47489116  107.23883453   85.29772981   76.54032337
   89.9008304    80.40359946   62.88603696   65.412896    115.41010549
  108.8251656   104.53887154   37.06423862   86.29538608  100.04251919]","[  28.36272617   52.95393553   37.68109857   59.33662368  112.83813742
   88.73207033  104.37070625    1.29828204   63.08270262   81.40153557
  100.83543598   58.86061287   49.1808762    46.17441356   42.70563562
   84.38578314   58.50891649   54.78576522   85.59241197   87.50099976]","[ 107.14103288   65.34111151   89.72800455   58.97556911   82.76628706
   97.22688302   68.23822382   74.43164483   94.32296415  113.70783485
   90.50089892   49.33953788   82.76628706   97.22688302   65.22036809
   58.5471577    50.99730674   45.37332386   77.09006599   90.76924557]","[  91.32938717   49.27558521   62.5707086    76.93103149  121.04555021
   54.16550537   65.28757572   36.34885844   95.52747912   29.32725092
   95.52747912   29.32725092   91.83879935   78.03276084   83.71414763
   75.91388678   15.33576785   50.12341142   58.17744302   57.25444139]","[  84.93248617   69.75502869   85.38026813   49.97712292   56.66738064
   52.20976993   51.5210694    83.97872195   85.21647661   78.68965633
   95.29310775   76.64148164   64.384637     82.20570956   35.59845815
   88.39260496   52.70312053   82.35907499   86.87993183  102.19682325]","[  66.85936307   23.51031016   69.07901809  110.46235101   67.47927386
   72.90851528  136.6952669    66.69036216   81.27721698   52.43833589
   51.231702     57.94995796   56.27443663   92.87331565   59.23404202
   34.07570119   19.16026161  108.8841056    68.04020198   80.38398924]","[  71.92319529   77.41231087   80.8449469    67.43123801   56.94286203
   77.26462599   51.4286627   103.89768778   92.37746469   57.18478904
   52.9598536    50.27825709   86.20387829   99.59535374   71.92319529
   77.41231087   80.8449469    42.38644023   69.53518156  118.1017947 ]","[ 102.31169872   45.46116611   51.97076076   99.55515478  122.17579581
   89.91512506   44.76545579   33.27194952   89.45603042   94.41082853
   57.94870494   47.84696911   12.96775451   99.92749161    3.55617719
   31.24754174   40.31116258   65.60946751   52.35740306   74.52089896]","[ 130.49824811   70.32621233   50.75213422   58.22860308   80.53461513
   71.02457348   41.81716603  105.7217935   139.03419055   81.53297626
   80.48325706   73.7996723    91.98492319   60.68839844   96.13899229
  111.36024508   68.40644951  111.15118717   42.28955249   20.16941409]"
"[  94.40402646  112.43409534   66.43512447  112.43409534   66.43512447
   94.40402646  112.43409534   66.43512447   94.40402646  112.43409534
   94.40402646  112.43409534   70.95414996   94.40402646  112.43409534
   70.95414996   94.40402646   94.40402646  112.43409534  112.43409534]","[  18.89818622   79.99571558  100.69416442   65.20114016   50.05715882
   80.17994469   48.99512622   72.25060699   37.54971252  102.49228095
   61.41912749   68.00150803   95.8283164    74.55547961  140.44389881
   83.91836025  105.11454192  104.94105657  100.672763    110.43453423]","[  46.29012568   69.60571834   72.55098644   74.3715401   103.4295563
   73.02494174   29.55323456  106.50707459   29.70073291   51.75527847
   41.47811788  123.49753503   94.22373855   89.35556809   46.5120774
   52.06066559   79.44907598   47.07318897   93.3650724    72.19059287]","[  86.70426449  107.86918098   59.66203386   86.70426449   78.01338245
   54.0149087    82.2637389    90.75537592   82.30170619    9.27359116
   75.92101557   57.70704808   52.44926954   68.60645277   91.75908061
   81.85430356   92.01499778   98.54629357   68.88668722  106.51601238]","[  70.08583841   64.53146382   58.00675665   65.00807972  158.1618777
   36.956424     87.6551263    67.5863465    70.08583841   64.53146382
   96.61699653   76.51142518   30.37822435  130.40677035  124.3895699
   67.5863465    70.08583841   96.03730625  149.35952088   70.9977838 ]","[  47.66745046   83.88500096   47.38256096   61.5037528    60.21184487
   72.58333899   55.78582053  108.39601672   31.8411878   110.81484785
   38.89562902   83.03939047   82.28063156   93.48561473   59.97579229
   93.48561473   59.97579229   21.57730152  107.44694704   65.31539696]","[  31.57654152   68.32622722   44.28636163   53.07146629   97.5725491
   77.76219406   75.46914197  108.19308058   80.64431347   79.93600154
   42.93072871   44.40981005   57.35224988   48.56341291   50.98437503
   98.92973994   63.73463379   63.39970053   38.64334398   87.16228459]","[  69.5717309    95.55026289   77.76045922   91.00809941   74.49441867
   91.90684599   26.01706569   59.68601329  103.16517986  107.17773623
   52.66301597   90.58414205  101.48824597   52.35172918   81.79687297
  111.46948029   62.53534623  102.12494373    9.54776272   67.09472432]","[  88.58491446   62.97343455  124.60082605   84.58064484   84.17877253
   96.89254594   81.83579386  123.22031378   53.71577994  103.79895332
   34.84658483   85.48122531   93.603706     85.48122531   93.603706
   96.32796961   56.90271798   35.40998811  124.01694583   40.31979007]","[  41.85255018   55.24014599   42.39632864   69.86262194   80.77726432
   84.37546975   34.97751867   89.60842635   73.39111281   73.39111281
   72.36025689   56.73525724   73.56420467  138.6757614    88.1908164
   80.42125078   42.39632864   80.58119997   74.67293282   54.33487229]"
"[ 103.58646575  143.53431225  121.08704579  121.08704579   30.55783114
  148.1156531   143.53431225  121.08704579  121.08704579   30.55783114
  121.08704579   30.55783114  121.08704579   30.55783114  148.1156531
  143.53431225  121.08704579  103.58646575  143.53431225  103.58646575]","[  64.96008121   70.07030286  101.14179745   88.23849655  126.27563878
   82.34393902   85.86309005  126.27563878   63.72572997   95.56553892
   71.23056435   80.4691352   106.63797012   55.24064256   93.53042773
   58.18780775   71.23056435  126.27563878   63.72572997   86.86710352]","[ 101.33372098   33.8375319    96.81436546   95.79260176   73.61183595
   82.84253978   85.18220999  110.52160065  109.54626369   83.24628174
   71.21565358  122.48857933  126.75018654   54.74537209   98.32964882
   71.66889841   66.1004826    92.75004896  120.69506755   94.31291445]","[  35.81505634  106.41886767   60.63843065   53.88354214   93.84936381
   70.59188853   35.85285846   97.75746513   74.66484788   77.7121468
   44.16006011   60.63843065  106.41886767   30.27948713   94.17275092
   93.25809918   88.8524511    73.69791929   82.14459998  106.75208225]","[  45.92655214  138.4737403   131.70721462   91.83455632   52.44073131
   48.49804871   91.83455632   52.44073131   62.99715578  120.72307127
  102.60191222   23.79013182   83.36113482   80.23111387  134.38412928
   85.26182824   79.14713302   85.94592056   81.79846634  115.4176011 ]","[  72.59658855   26.64660413  126.40710593   56.56306268  116.44163545
   68.36168235   92.62953716   78.80951238   64.71776155  102.73633282
   53.21610827   65.80349982   34.49334558   92.62953716   78.80951238
   60.74596408  101.43823589   94.07640179   97.31678742   85.84983851]","[  21.74498378   63.02074309   63.24580635  136.59355936   72.69737133
   27.64755096   84.51938591   25.46812303  103.61768761   81.82986394
   63.02074309   63.24580635   61.55195355   62.76239787   83.33304481
   23.1674116   106.01762768   51.50906531   72.00825518   80.9375973 ]","[  67.68975437  115.13569973   24.9816792    41.07223801   62.655781
   99.77339186   80.5457886    88.71393338   84.20858076   84.11204035
   75.95012484  100.16634579   88.68383662   33.68203658   99.85913139
  104.63193579   74.28927993  118.36158077   63.36061429   59.85063925]","[  78.11193304   69.56282471  115.40070698   79.04717165  106.96069572
  137.32564023   73.92068287   87.25021942   78.59666746   90.9348535
   98.86000087   54.91016671   78.83399822   97.7566885   116.40008355
   94.26214531   95.35563162   94.43821161   75.48544061   90.64215923]","[  38.80589062   73.01775677   51.22134807   71.24816666   93.20658883
   52.52233272   97.1712849   108.92724068   99.4621998    88.31091068
  111.16627995   57.59562226   99.14787362   18.67577303   41.9404001
   57.64485888   89.44712378   61.38665083   57.59562226   99.14787362]"
"[  83.0508882   141.48293581   83.0508882   141.48293581   22.74390571
  141.48293581   22.74390571   83.0508882   141.48293581   83.0508882
  141.48293581   83.0508882   141.48293581   83.0508882   141.48293581
   22.74390571  141.48293581   22.74390571   87.09523639   83.0508882 ]","[  45.47309949  100.61070375  127.18704597   78.0240505   100.61070375
   66.83240932   55.68222704   57.74653956   15.40815585   54.85276771
   83.79812615   79.66282613   57.74653956   64.1949519    79.17752898
   62.00797605  125.95752031  104.04016969  143.89308102  100.01065096]","[  77.97622749  132.3499757   142.89481291   65.98992063   77.69592695
   89.3098757    71.31770206   61.50569821   95.47924237   88.93678698
   98.24905589  130.96745445  116.23385891  118.78836951   71.43108239
   62.83088794  104.48845396   74.31016838   62.16682421   70.44700521]","[  95.48289689   99.38780006   51.65282706   98.20603238   91.70381786
   79.56754641   92.69790746  111.54095462   31.95187423   91.40252973
   93.43248489   54.6494952    99.99041187   77.32206925   54.6494952
  107.17157517  106.86577603  133.65293773   92.24098686   76.85670724]","[  18.58673877   67.81257469   77.42195969   97.77411209   84.0412969
   63.04192438   84.42381203   90.26928513  107.94378729   86.50889389
   42.33885257   90.17701874  148.33648936   86.50889389   42.33885257
  107.94378729   86.50889389   96.15152308   82.41891084   54.07886919]","[  85.48725791  107.56581634   66.51498324  120.0508511   125.46198337
   85.03016737  114.65367412   67.16964259   64.55031375  114.01649359
   92.46078597   76.86780275   64.55031375   88.74383766   98.81642803
   53.01944787   51.91269507   88.3424727   123.21359546   66.10515264]","[  59.37261237   71.07912013   70.41183882   57.02319461  100.55632089
   63.70703754   61.84427099   53.11258105  109.18053867  122.17261961
  111.41187068   31.61195843   58.18126989   61.84427099   53.11258105
  113.07587686   76.5503501    72.02223063   77.20131006   82.44439899]","[  88.44767614   73.64745395  124.1705068    91.29874015   68.10073548
   73.08882082   54.65902549   82.77049462   71.43304796   91.29874015
   68.10073548   80.2540306    99.89046869   82.41798959   96.33412445
   70.62103652  108.10381846   38.11004215   95.3012319    22.96784261]","[  54.55219623   95.07196149   59.43818673   89.0849437    99.50044126
   54.55219623   95.07196149  123.52993994   52.03833808   24.62958855
   56.11521071   82.33030499   93.69765769   96.31034749   66.26404069
   55.81478641   79.20480776  106.31923799  127.80274578   79.36864122]","[  94.03881082   53.00930943  116.51008187   95.41806335  139.44929577
   90.78985371   21.25670963   94.69087542   75.87944798  120.68094882
  116.21754671   37.69915788   93.57945581   81.63790754   39.93387498
   93.57945581   40.25666707  107.40075773   94.69087542   75.87944798]"
"[  82.31758071  153.13253179   80.32697615   80.32697615   92.4354129
   42.93143578  153.13253179   80.32697615   92.4354129   153.13253179
   80.32697615  153.13253179   80.32697615   88.28142231   82.31758071
  153.13253179   82.31758071  153.13253179   80.32697615   92.4354129 ]","[  81.94860686   96.36638312   81.1698904    13.22567554   53.46931589
   87.20194441  108.52220832   62.25661468   79.0110444    68.09881407
  104.60698634  101.47916922   53.46931589   84.63851564   85.62428119
   98.13291937   81.86751086  103.7771918    31.48111222   88.06977363]","[  23.80647253   57.21087336  123.04186208   71.72780231   50.24675152
  133.96530703  123.14147768   89.25508404   93.3815914    54.1435424
   67.68125583   50.24675152  133.96530703  123.14147768  125.20269135
  131.37287881  110.26750182   72.08003589  107.718591    101.74017214]","[ 111.92915435   96.51276969   72.30605799   56.71246811   45.85166152
   84.09626212   16.98559008   78.03188261   86.94880157   72.30605799
   83.45795596   92.45590149   84.85273236   32.01966652   86.07074241
   71.53727127  111.92915435   96.51276969   77.44585857   97.24615951]","[  76.49947495  113.36964988   95.10624271   51.36951575   40.19927081
  102.62711315   82.45049714   94.19657203  111.38511275   26.79419065
   91.9698245    86.96439461  113.89343556  102.62711315   82.45049714
  168.70355421   64.59595869   40.19927081  102.62711315   82.45049714]","[  15.00072638   73.40409013   68.44649534   76.83886842   25.87352182
  106.69437108   95.82834135   89.87751921   85.44270883   68.69229782
   63.97673077   71.68550125   85.32997767  109.74118481   76.93382805
  127.92861905   84.48568127  135.45679303   51.02917984   91.58989915]","[ 107.69134849   53.23782559   85.07321582   84.19954893   69.26885562
   99.44170721   98.60178554  116.35715782  126.81802365   38.33849814
  126.07072473  102.05982719   81.40214469  129.72875832   35.62171712
   39.97620257  121.66617586   34.68830942   75.68970238  102.05982719]","[  36.58182121  104.66932329   91.47612709   90.23005392   51.31475143
   35.75131519   38.16669283  103.72857012  114.93242822   64.39584289
   45.36761054   47.09129328   49.75274015   81.95587959   99.15555205
  109.25601709   37.84199637   79.78240434  125.68379924  132.2373172 ]","[  99.12188082   95.26354586   46.54519196   56.74598894  131.805948
   59.99445622   78.67476528  113.49150402   39.06632057   16.83875514
   77.60375655  103.95051261   62.73215898   66.55939221   68.85900502
   56.11018648   94.05620133   90.72005664  117.74832259   80.0165765 ]","[ 119.21980755   69.03119746  149.55355798   85.38716219   98.99232465
  149.17056596  108.41305221  111.17445745   70.93881392  120.5434878
  106.98152733   41.31221352   64.93196348   47.16750738  102.56450358
   98.67457779  109.71231709  108.41305527   71.15946523  166.89136645]"
"[ 115.84802748   92.13192592  105.63679858   71.57197165   39.66094403
  115.84802748   71.57197165   39.66094403   39.66094403  115.84802748
   92.13192592   39.66094403  115.84802748   71.57197165   39.66094403
  115.84802748  135.32296773   71.57197165  135.32296773   71.57197165]","[  67.03077628   64.37317377  116.50454176   88.86731367  100.09214591
   93.45486266   94.30189165   74.97964078   99.1776938    84.90062499
   94.84736619   98.9109437    89.22932622   42.35786282   98.9109437
  115.25474364  140.9909947   128.31062036   71.21358918   99.37358946]","[  66.74999596   70.17559245   89.52262804   99.17325226   88.18490744
  102.24702962   83.46937505  134.55797569  152.30140225   66.62702258
  152.79282408   94.11290723  139.42653776   99.29391529  106.79103579
  103.83556069   80.08829325   86.89913668   81.37430724  106.81869888]","[  44.14914162   71.66471491   53.33839406   99.01995627   67.01733439
   46.46439879   61.27285787  120.63211543   16.4322738   112.78080406
   64.58620747  116.21617228  108.19937737  127.50605015  103.88688751
   56.11761488   68.35390838   60.21821654   77.30889006   64.58620747]","[ 125.15759155  125.58128014   25.12345777   85.03861479   85.75763624
   99.77152896   90.41840141   96.98527153   25.12345777   85.03861479
  168.62046926  113.92052544  114.62499375   95.45655477   49.01536527
   77.19493754  147.17221446   43.16864143   90.0271067   117.14432909]","[  15.53225793   85.42968587  106.40749476   70.44737189   69.84573096
   92.92999159   72.951189     75.26899386  105.67624035  104.83679286
   61.62253459  120.06095134   99.84579466   90.0263889   123.48106625
   69.79311064  122.79100177  103.73086994   67.85711119   70.1161678 ]","[  71.01129731   72.22512509   39.67853229   71.44500083   94.11676963
   98.09351344   35.71143216   71.2698955   142.76683584   65.23330217
   71.79374416   99.48486476  146.70076383   56.67941164   80.98225489
   99.82461201  102.6867752    95.89860937   55.35378492   40.03240496]","[  78.25587636   75.04495712  117.08591056   78.86604372  114.94565382
   62.3376081    60.01153026   94.83647012   93.47251181   99.64821932
  110.47301723   97.40558411  120.313225    109.7240632    71.36727781
  111.00256515   41.22292882   49.15277727   88.01503864   86.04630825]","[  1.33079835e+02   4.98378515e+01   7.32770207e+01   8.04492206e+01
   5.90201887e+01   1.16278928e+02   6.58836201e+01   1.16421197e+02
   1.24554109e-01   6.71046813e+01   1.27650900e+02   8.31365442e+01
   1.32562473e+02   7.24550364e+01   6.89168263e+01   5.86258960e+01
   7.77951016e+01   1.37905639e+02   8.55794647e+01   1.42663142e+02]","[  79.64851473   86.8211097    85.05748158   86.62440062   74.15821744
   66.35104781   98.65678826   98.35776386   88.16977034  163.30917336
   86.62440062  124.72037441   71.86706692   88.09727202  120.94630727
  116.67964491   81.11810564  104.66647242  124.23617529  142.25789954]"
"[ 139.10968089   70.79742812  107.17547188  107.17547188  107.93896683
   45.36089572  139.10968089   45.36089572  139.10968089  139.10968089
   70.79742812  107.17547188  139.10968089   70.79742812  107.17547188
   70.79742812  107.17547188  107.93896683  139.10968089   70.79742812]","[  84.20009688  135.97496913  116.69180858  136.47145105   46.75741898
  101.76349658  108.80021178   66.12762609   82.22790004   46.75741898
   89.28096009  110.60158599   96.52131641  132.64192743  122.53606666
  110.36547231   78.49006355   99.5641299    54.64871962  101.58967033]","[ 111.31799447   83.70882527   68.81983729  112.25389001  111.52934758
   95.72512435  105.9048325   125.64414106  169.35630649  186.81743082
   85.22354662   91.96544426  124.54137101  101.70916976  104.95427765
  139.79233153   95.72512435  112.61913419  121.32507085  153.70451759]","[  75.70838483   59.46271886   79.40559125  119.91305952  127.23622961
   81.29835345   94.53237564   98.53149112   68.65490449   80.53301997
   82.14637731   83.95291316  110.61166093   81.94476063  128.75937032
   56.16146433   87.12206538  124.97727522  103.15952789   73.52234306]","[ 112.32213404  115.96989411  134.24366938   75.58535745   44.05035858
   23.73041557  178.81969202  104.04481163  151.72268021   93.47391442
   80.01356244  140.42689252  104.04481163  151.72268021   78.19148341
   98.08975586   71.72937646   92.08936248   87.40572714  104.04481163]","[  53.9670215   118.75246047   82.3348439   131.52920982   85.38539583
   93.28785068   75.88565623   72.99086849   94.12302435   67.22983663
  102.54778324  134.01190688   41.57365444   60.01411997   72.01996399
   60.0505608    86.64556981  110.62031755   80.83441391   96.10367695]","[ 141.59771467   66.08008806  100.66591018  100.68579243  126.40901721
  104.82257558   62.33127458   95.24627453   75.10062924   73.14222246
   51.52232348   67.62605667  114.31955961  141.59771467   44.51926371
   51.07855266   49.10796338   93.97835096   70.46287333   61.80652867]","[  78.23255915   91.67235936   79.50450688   53.66108907   60.7308406
  101.10586968   79.94814484   76.08712398  134.14233566  103.49040131
   35.59121954   68.50437301  104.50111879  106.1513389    76.16881645
  121.58842064   88.36212213   63.9120419    46.56587929   86.70534603]","[  77.45180875   55.64234454   94.8167283    52.5637503    17.55293873
   35.11215155   39.09542977   81.63450956  106.24001846  152.1209686
  119.26562982   47.96026557   98.23002633   40.67497031   85.62614755
  104.27844024   82.69748368   50.15647682   11.21690843  106.92312957]","[  21.93763805   68.63662691  127.29574523  101.62145938   46.05587863
  141.69897127  126.07012215  139.8900738     6.03932766   84.29851628
  116.7379817   117.5316028    36.67446846  158.15666845   84.29851628
  122.82590163   60.72956494  106.31669906   29.22657375   89.80262914]"
"[ 149.83134132   85.90396376  146.0199447   109.87248999  119.01496604
  149.83134132   85.90396376  109.87248999  119.01496604  146.0199447
  156.01161732  109.87248999  146.0199447   156.01161732   85.90396376
  146.0199447   156.01161732  156.01161732  109.87248999  156.01161732]","[ 105.51202071  106.22626475  131.55018626  108.04596234  104.73648366
  130.85496447  144.84010015  143.88514247   77.82626844  123.44252415
  111.06774998  139.00755424  103.3415917   113.15499944  104.67408832
  118.80890792  103.3415917   113.15499944  104.59383345  100.94563964]","[ 140.0762617   151.19164644   42.27145374  124.82930609  130.93207246
  123.47807908  140.97287736  112.37588279  146.11075657  137.14391305
   55.26021541  138.79402451  137.14391305  119.17469872   42.90151086
  107.32483991  107.27760851  120.02730531  125.93603435   84.76751   ]","[  93.02092436   74.67974252   97.42608895   71.70617398   93.83573553
  118.41803222   97.49087333   33.68813732   84.13016341   53.29300596
   33.70616494   66.04291523  118.41803222   93.02092436   74.54396754
   22.85007644   68.2840711    41.53215618  107.07868643   84.13016341]","[ 111.96819563   71.66300755   98.04990918   58.43120376  153.24107489
   73.08601316   72.66724343  139.95742318   93.0607671   127.21878487
   88.13417563  128.45500626   89.95340539   91.20215262   99.70020551
  117.79327983   87.12038326  111.1871527    72.66724343  139.95742318]","[  22.63530417   83.2950224    97.7327915    58.43601385  119.86866342
  108.98616527   77.55837746   64.59047117  100.46998342   70.58296265
  108.5874415    66.59279369   94.95584315  125.28355685  119.06401132
   43.01907171  101.63992694   70.61830947   77.23708002  114.79330331]","[ 106.83773479  109.24075116  113.00807035   59.63558887  101.00427299
   91.95678425   49.71595008   46.40850167  103.13991041   82.45051648
  124.14799881   80.62735366   69.47663061   80.65713158   91.38133753
   79.7956958    97.35572602  112.95810293  128.5458965    35.33328469]","[  99.27761325   54.30937755   94.87819658   85.82659829   87.2310196
   84.80205668   99.06478744   22.69464958   61.94919448  102.63345877
   96.42690658   75.33602905  102.46044584   96.66337846  106.82680088
   68.22092251  124.94239425  139.40659732  122.74006804   75.5953116 ]","[  27.49166507  113.37822306   47.63149361  110.77343783   93.83026263
  111.50801021   90.80317562  122.00793204   53.6108191    61.51944487
   87.97123847   54.52874168   76.33896676   75.08508406   11.03196506
   58.74635263   68.75839512   13.73079595   22.59032985   63.28065016]","[  50.57738337  146.64955959  118.13267616   99.88530988   61.18117965
   93.85977843  116.36188173  124.92035943   66.53583264   88.16519935
  138.2204809    92.37215395  102.59721899   98.31954219  111.32341663
   80.78716265  101.79300717   99.88530988   61.18117965  105.60745508]"
