rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 72.11998549  71.86098405  46.22296605  71.86098405  46.22296605
  72.11998549  71.86098405  72.11998549  71.86098405  72.11998549
  71.86098405  71.86098405  46.22296605  47.670221    72.11998549
  71.86098405  46.22296605  71.86098405  46.22296605  78.93396361]","[ 60.21466063  62.42955415   2.22046264  40.78649637  75.86827739
  38.8095859   52.21417291  24.445002    37.61587954  76.4306537
   2.59695126  21.96814074  72.47166096  98.8735523   73.1727953
  75.86827739  38.8095859   24.445002    37.61587954  75.43597574]","[  21.66217742   56.04236344   80.83835946   22.59465498   61.51482712
   91.36570254   82.06242215   64.71341154   76.46578119   73.39615998
   63.32136256  103.79446274   49.29381526    7.63272983   72.10911774
   42.84562666   30.42347117   89.03855849   53.21390149   82.59500012]","[ 65.9193256   74.80424171  22.59910625  34.39814404  32.76933924
  42.43196118  61.75909732  16.50535501  55.14073979  54.85319482
  33.63095712  82.86191697  80.64535827  58.51388178  26.54797306
  97.60229744  42.43196118  61.75909732  91.75587623  76.96140602]","[  8.30321674e+01   8.65157627e+01   6.11910714e+01   4.14611111e+01
   5.98287487e+01  -3.49191184e-02   4.30457865e+01   8.45565264e+01
   7.80134608e+01   6.32013444e+01   3.80042696e-01   5.22204482e+01
   2.87090714e+01   5.11893754e+01   3.61530244e+01   1.36576325e+01
   9.07006146e+01   4.71124222e+01   2.64678771e+01   6.58927795e+01]","[ 61.81680744  54.04057477  78.57363158  26.05367694  55.34411129
  77.45559284  58.62919642  18.89251175  59.7801927   23.81360522
  16.97790996  58.72926939  61.37924244  45.97464804  84.49376936
  35.4958555   37.35175575  40.80808174  75.28191214  65.30729831]","[ 103.9302501    49.5631094    78.67034323   28.76619381   57.41669037
   60.36142038   56.70972921   83.87688795   23.05646104   75.44955519
   42.65635186   32.86403899   46.63916762   87.81671793   57.72515859
   57.02324718   40.79944276   41.01729492   52.73580001   75.55816977]","[  37.16341577   57.73291215   97.00633661  101.08587328  104.61386747
   64.50898978   45.4849204    62.04724399   67.70416427   36.7195585
   25.59563559   64.31700592   71.49751881   49.60198815  100.357894
   94.50331006   35.84288218   39.25292436   22.95471269   44.95497372]","[  63.05187082   81.02416949   69.02147449   46.8323886    51.67150257
   34.25678478   77.34144842   38.85734448  103.49340585   40.77607574
   42.39155206   12.95345339   61.98671499   42.7642274    52.13320833
   93.38351774   67.75741072  109.79260716   74.37047119   41.08972819]","[  78.13322299  123.96214119   53.26135206   32.38994808   28.74432492
    3.07331388   70.16888738   25.1487526    46.51030084   54.8566511
   38.17964252   71.3199086   -10.92177443   26.33788628   54.5652717
   38.96554144   66.72153925   15.97595962   56.89254675   16.39706796]"
"[ 97.64628912  66.0583642   97.64628912  66.0583642   96.76474747
  46.39529716  46.39529716  97.64628912  46.39529716  97.64628912
  66.0583642   45.10094316  41.12627693  97.64628912  66.0583642
  45.10094316  97.64628912  66.0583642   45.10094316  46.39529716]","[  74.19213982   85.79235044   39.80855094   78.62388426   72.54887555
   57.36533913   82.00214806   57.36533913   82.00214806   85.63758898
   82.88062829   50.0172943    90.4517287    50.32884814  102.23990352
   78.62388426   72.54887555   57.45886845  101.85987633  101.85987633]","[  65.8052275    69.85894915   62.07019766  106.67653656  105.3003292
  119.02714296   93.92345114   57.6938583    71.83483812   73.37904545
   54.18077174   73.12725714   47.67532462   91.29616532  107.1879736
   56.64661879   50.59928014   77.70522786   43.73591247   62.47006171]","[ 98.4304807   63.01619214  70.52944183  57.63843821  54.91884242
  63.90377963  59.3379598   72.24325625  80.16323979  88.87435816
  32.9428942   83.70470813  78.35600889  94.33489849  96.20435717
  78.35600889  94.33489849  96.20435717  40.77781748  83.91293414]","[  81.76537449  145.62392161   78.50418252   60.85223518   69.50483254
   31.26313944   64.49211808   86.47608733   67.22664826   60.57010097
   72.64193481   56.34192937   32.5095349    62.14267659   47.42691749
  120.467765     71.46799668   87.90236778   86.54865874   66.92395026]","[  45.34087382   27.81143081   34.32024263   22.97626589   45.59080984
   66.43610624   55.383603     30.90556695   52.53704815   63.76122532
   81.79725022   66.09312653  100.34600285   51.04404836   45.34087382
   49.80237445  108.73308549   83.99321304  111.77748111  115.20353695]","[  72.91048584   24.49432098   77.02280371   64.84801566  118.75385782
  110.75143391   80.05800101   62.85639547   70.19327165   86.81535837
  120.40747718  124.67884587   68.29076887   62.21423891   80.6209056
   74.91415673   38.54313238   94.77092556   41.95755048  102.66987013]","[  61.9370278    28.37665388   72.97862034   62.3268348    53.52993842
   49.1844324    68.77519389   66.95351546  125.77265633   47.46841194
   55.49936535   70.16077043   81.6182957    61.4719551    84.89858191
   57.24564219   75.6871429    63.7663043    52.32650922   74.91129489]","[  74.86987316   28.05308188   78.47332488   63.68754486   39.29791375
   49.13431616   49.26097442   53.24010831   45.78071724   59.37706526
   60.43267632    0.37422765   67.67778522   65.83497452   68.93397002
  105.75803278   72.49452959   73.25661254   55.85704802   70.57364502]","[ 108.64230084   26.3188259    77.66508394   26.04308466   93.50097868
   54.13075589   95.35118859   42.97341692   71.38119831    2.61977142
   80.88145048   85.73713416   52.09780709   95.59247538   80.41624723
   75.38449058   50.02802013   75.54779322   61.5655769    45.33376776]"
"[ 48.53468128  29.5228133   48.53468128  29.5228133   29.5228133
  78.62470639  48.53468128  29.5228133   78.62470639  29.5228133
  78.62470639  93.55608908  40.94894683  48.53468128  29.5228133
  78.62470639  93.55608908  29.5228133   78.62470639  48.53468128]","[ 112.08944143  113.81084944   54.9861567    70.54181171   50.44648366
   86.71430678   99.92068636   49.7399232    92.24554475   83.4750705
  133.61913042   95.40185609   80.20145492  105.2381381    52.13855674
   77.14821506   54.9861567    70.54181171   83.4750705   133.61913042]","[  53.34048635  115.69709363   49.92595235   81.97325443   48.10608703
   51.45122899   56.18770732   30.30499484   75.18454627   61.25941192
   59.67961679   75.18454627   61.25941192   60.81353358   61.29151781
   53.16579464   64.43635594   70.7740899    37.24871554   60.3017314 ]","[  97.74036312   98.40317239   96.21802941   76.06073791   83.86446454
   73.33031126   86.37248694  112.39884926   67.59318545   40.42958605
   77.94173928   74.14112027  101.81764349   99.56969135   76.67982046
   44.86788444   96.65268192  107.76361802   68.17392045   60.85736856]","[  89.82465578   94.70306747   63.98211224  113.09345013   70.81210837
  116.87398362   78.93476506  102.54054535   59.0398963    59.10075194
   41.05237561   43.18295621   40.14953371   41.28256226   83.07526781
   57.48445944   85.92719575  125.43478623   94.50835874   63.94615947]","[  33.80365437  113.45213211   56.50689992  113.20445556   51.68528794
   52.46533195   48.99713283  109.22401581   33.7758833    60.33181282
   29.97753047   48.39149465   70.01966081   53.83556851   48.38462517
   48.99713283   85.82900634  105.56824953   60.87174636   15.99903888]","[  39.76111228   84.73678491   76.07711493   79.85244058   88.6229939
   29.1967755    78.52342083  114.65795251   42.83644923   63.37020009
  105.63210328   88.6229939    93.92856217  103.61708941  106.04009796
  112.6705285    14.8899105    86.59697227   93.32281836   24.31949204]","[  83.84492458   55.79824875   74.00828719  120.05499979   48.66533399
   75.16004114  108.10282486   38.86164005   68.81766375   60.34124785
   83.80109171   86.42476226   64.54136924   73.44577825   50.3248817
   79.53544839   40.92442958  119.43420194   76.62729171   53.24340497]","[  61.67620151   70.84488012   85.59644477   74.20163045  113.72911443
   93.58561362   53.81645724   74.96098384   73.88984468   65.455245
   94.18141905   64.59940041   63.09592134   51.6842683    43.07211162
   78.12787842   10.67239649   43.84514857   75.68468326   61.59199224]","[  85.02055723   61.59556877   87.73432417   79.51369043   38.50481117
   55.05385113   70.30266228   93.3194944    86.31755528   82.71451558
   48.12210803   52.70114434   47.09693254   82.93079209   79.88144774
  116.34207988   60.09720058   90.12958597   92.0897689    48.28376216]"
"[ 43.48514325  80.66015801  44.94613533  76.51998448  43.48514325
  80.66015801  45.85411993  76.51998448  40.20605443  43.48514325
  76.51998448  40.20605443  40.20605443  43.48514325  80.66015801
  40.20605443  43.48514325  43.48514325  80.66015801  80.66015801]","[  71.11077914   95.99275257   90.78015628   32.46504      37.98826599
   65.50352132   74.52169015  112.82382057   69.52480498   28.35787983
   67.28172981  139.99583119   90.10674235   69.15925407   90.10674235
   69.15925407  122.06942364   71.11077914   95.99275257  111.98175638]","[  67.9239129    67.2302576   100.61180699   80.76704488   28.73855559
   57.26727087   63.8935828    71.61618197   85.62693356   78.17220092
   53.13096828  116.55544413    7.57423938   52.37542147   46.20480832
  128.53978527   68.94838204   43.49614595   63.8935828    58.89208106]","[ 107.74895985  119.51354517  137.06485837   94.66566094   90.81881144
   67.45211386   64.36853739  101.70471129   70.37143076   54.24034688
  137.06485837   94.66566094   80.32312054   67.45211386   64.36853739
   37.55118523   96.14218019   95.23446145   76.7418377    74.74141246]","[  99.07879888   92.70032838  141.80430354   79.09049371   78.36183681
   39.09764643  109.68463041   90.82361067   88.79452704   33.25900324
  130.67850602   77.95805513   89.31781369   96.26277697  115.76021657
  134.87623096   92.91683799   41.76026041  106.5624417    33.24805599]","[  35.59283774  101.56361829   37.12717776   79.29059952   24.27521861
   40.04338431   91.35757427   34.58083424  129.24424553   64.20718621
   87.82964809   75.52220718   45.26498928   72.21339571   56.08988463
   64.4062038   112.26191139   53.22878101   88.84526795   69.05977357]","[  88.07131866   94.69204866  123.45841957  110.80546476   88.07131866
   50.5634889    93.53620972  134.04521188  129.65594097  103.46851355
   96.08274784  130.78347693  112.68299456   59.88199989  112.68299456
   59.88199989  117.63959147   64.28744084  109.34945172  118.6081318 ]","[  73.29620907   53.92175014   62.87694073   51.27688009  129.75480235
   71.71949446   91.31398954   61.3906377   104.25846743  129.34250798
   61.98477658   63.81908184   86.75283306   98.74325324   66.03722785
   96.51876374   62.02703622   83.65642737   85.98766766   86.75283306]","[ 133.43519397   91.06225693   44.23118663   97.70238857   67.7765995
   79.13480006   87.29370072   97.13984595  116.83821713   75.6424275
   13.87626875   34.52554085   38.93898162   80.2600348    31.17335596
   82.64401308   60.81325616   67.79975465   89.26610806   83.06223711]","[ 78.2247034   98.30925807  92.36198547  73.15531575  82.8929767
  89.71880111  83.11069837  60.74247024  70.56347055  63.69495964
  72.78254738  86.69349748  63.07041559  62.00914132  97.70881598
  46.23999765  99.85142995  65.40833211   7.47520587  60.40300104]"
"[ 43.48827777  58.49601883  52.5243371   44.63540428  43.48827777
  58.49601883  43.48827777  58.49601883  48.10129328  93.49871053
  48.10129328  93.49871053  79.27511405  48.10129328  93.49871053
  44.63540428  44.63540428  43.48827777  93.49871053  44.63540428]","[ 106.14558833  141.38598573   89.42838478   86.98255591   27.45540284
   76.49319263   77.03967717   80.36086468   91.65699047   95.44502194
   72.5957756    97.66611559  106.14558833  141.38598573  108.56684046
   46.82872489   72.45959463   69.89901907   96.60741408   86.98255591]","[ 100.86548958   58.03557259   92.10084934   61.2298892    77.56393236
   71.4593211    53.59289644   35.26852439   72.16701058   47.17337884
   56.10732582  102.60653272   63.183699     96.0671497    86.26763239
   48.34517944   74.20920472   99.57432205   84.94347485   86.73926174]","[  76.43523893  114.46513774  101.4625469    95.26811947  149.52517287
  102.97127412   76.52499304   73.43610069   58.34990918   87.12702856
  124.71923729   72.3377919    73.12623303  131.26106563   51.15903605
  105.33138546   95.52088626  125.82920086   74.14563895   72.3377919 ]","[  74.94110686  117.73005689  134.15102492  169.76058185  152.10885146
   89.74309906  103.41080338  131.3686307    95.40271104  118.41043661
  117.47004499  111.16608377   93.77099017  159.62708568  132.15068494
  110.80074743  109.25716015  160.90978627  143.70499732  113.80011526]","[  71.3107136    68.90221455   47.39864626   80.79496239   91.09125258
   87.71338269   90.12514707  119.24522632   66.60205865   75.82273569
   39.64355764   60.31439535   55.07284948   71.49159268   62.20604719
   64.79848507   52.50894833   71.21874039   83.64608706  108.86019197]","[ 113.40826418  106.91704684   83.20984383  139.48405104  122.71742929
  117.52969355  116.47935144   69.48071716  154.12352097   90.57632772
   74.01481658  106.58853096  110.95987811   57.14072846  122.72910233
  122.1079506    86.95765247   85.6382331    98.60188378   94.46331976]","[  71.8480609   115.54692042  110.58118386   11.3547093    73.43389632
  164.79903812  101.84477481   44.66336425   80.10766705  114.31693405
   44.66336425   80.10766705   86.79453479   73.78531875  108.0950332
   96.1079577    35.74810437  103.63853015   72.35235798   86.88978686]","[  95.36654716  137.75488267   39.34797423   45.85682324   57.31178705
   88.70812148  103.57114166   82.35848175   73.05265141   57.9249403
   96.27413266   86.0532554   114.30300299  126.41576079  111.90830144
   78.40306001   78.2057258    75.90750663   76.29078237    9.17483038]","[  84.24070855  119.42003722  112.1840198   128.32001858   59.65240176
   54.82051744  116.28845414  109.53275247   59.51832031   63.74468066
   86.13504593   84.85873453   97.68995453   73.40937967   57.55131415
   23.37329973   74.52540082   89.88335152  152.95021487   83.92670264]"
"[ 58.07254003  38.24621534  38.24621534  58.99490599  -9.21485065
  60.04761923  -9.21485065  60.04761923  58.99490599  -9.21485065
  58.99490599  -9.21485065  38.24621534  58.99490599  57.01624574
  58.07254003  38.24621534  58.07254003  38.24621534  58.07254003]","[ 129.28531658  119.46365671   58.17329625   78.45041271  117.08075767
  140.71682129   66.32216987   96.27846257  159.58520436  116.08006179
   84.99481982  116.85337227  121.84238267  103.82308271  130.36164506
   66.30960134   70.09390694  105.82797969  123.9536669   140.82122564]","[  22.60298782   96.09822416  107.23888394   64.72604584   80.07528779
  117.38550277   94.32892852   65.49720508   37.17760309   74.74138153
  132.99829605   92.35310085   69.15292523   95.64997508   75.34812553
   49.91888646   69.14511476   75.34812553   51.52403097   89.95476136]","[  81.45237201   92.26307101   86.99789456   86.83221659  130.63735329
   71.01614559  137.0925371    97.09014571  167.59867012   92.90830164
   92.26307101   86.99789456  105.90870198   87.22816348   82.36600032
  111.77672725  113.48527591   70.74619134   74.59448627   80.9909657 ]","[  59.02094654  140.89315778  123.00239762  109.11406999   72.31218317
  122.13556197  123.68473072  182.42867357  111.05596596   90.22989636
   61.19507418  116.84334916   44.53277904  141.2701831   110.82608356
   62.97167872   95.96272464   78.51103309   83.43713626   52.50058412]","[  39.87697027   87.44107572   69.97459227   74.47405289   93.18124964
   59.09287202   84.64493934   94.67064685  114.36902398   60.11983922
   65.71642273   67.61544831   96.8265271   111.36381032  100.64938351
   86.95348017   91.57117937   58.80940069   88.81000451   78.92456967]","[ 127.64993732   80.94935118  138.94619733   84.69169092   97.07829919
   82.59687543   65.28559389  100.35985413   65.16939478   52.46382849
  133.12226625  101.50353222  140.4979953    96.32199893   52.69660921
  106.44084403   24.28670004   95.12745692   78.53569494   40.00142376]","[ 134.27232316   72.421895     88.35541096   89.80565814   84.13020093
  133.59028046   47.41369571   59.41181095  110.47295563  133.58852555
   87.71480896  111.70981622  106.44845193   58.47885759   12.12623581
   74.55428618   12.12623581   74.55428618  106.73355588   71.30409822]","[  86.56308871  108.09745716   86.23634855  109.57125291  133.70213661
  109.86195602   90.20629413   85.67444158  115.53188137   98.27833657
  138.14850446   94.84315691   78.27313569  115.53188137   88.39693883
   96.95818502  116.56419575  116.52692435   74.92683951   32.72567304]","[  76.76559192  104.12995175   32.13435483  148.3335634    87.54491588
   56.13147656   51.61054448  135.55301582  104.80624414   79.16097715
   95.39805048  104.55463272   58.69166615   90.55983787  112.93133334
  104.83112179  110.10448661  103.48801779   60.46774366   91.86982125]"
"[ 83.11000156  44.07814803  44.07814803  79.89722605  11.95650604
  68.62458742  72.33176656  11.95650604  68.62458742  68.62458742
  83.11000156  83.11000156  44.07814803  72.33176656  11.95650604
  68.62458742  68.62458742  83.11000156  11.95650604  68.62458742]","[ 156.16495547  136.77026248   75.18799541  124.88435943  135.72714798
  154.8645843   156.16495547  136.77026248  142.96012171  144.60664471
  127.2217397   134.64020912  129.94688437  104.53806779  148.35165471
  129.94688437  107.99164911  105.3889137   130.67434134  102.74453708]","[  88.89549691   59.11553569   52.51200446   94.35772408   84.24268295
  105.36011772  119.06707348  141.49512662   69.74480043   65.39080773
   69.92691294   54.65146207   67.36305167   74.94619603   90.03468726
   43.30093355   88.54557266   43.60161208   95.50021449   84.39283399]","[  70.34386214   94.65774356  111.59057985  175.24200322  154.97319911
  151.32943794  130.96947035   71.3035317    93.37001467  147.14143751
  140.99584197  109.13159197  130.86149819   98.34002144  106.69380807
  135.03752761   85.20639114   99.51184033  117.56427975   92.13606506]","[ 142.18837609   86.39281606  181.82672274  167.85475272  107.32342096
   96.67623304   66.3449356   112.14607499  119.3307204   139.12166842
  119.40166418   74.69292086  127.28371264  172.12033392  120.53396567
   69.51097072  159.86415138  167.0454087   160.79613231  142.58239693]","[ 111.66145211   57.65236258   65.50658109  126.99104697  124.31632498
   98.21364913  108.68084917   64.61533357   91.79208039  125.28361105
  104.19309653  107.36804118   67.60645339   75.12709671  114.22456222
  109.60154849   48.27524676  128.58696727  105.38204862   99.96297682]","[ 143.05794923  130.94308291  114.22312809  142.01106573   51.35732258
   63.26888084  139.25459498  134.98960734  132.9592331    53.38265782
   64.06132957  101.38248015  130.7350218    62.12852339   96.78942508
  117.5337405    39.34766437   71.38734268   73.52327614   45.33889373]","[ 151.80610425   33.00439446  117.45894872  130.58369973  103.89655577
   92.22678621   76.56216768   47.35571565  131.64555162  152.93160687
  100.94307971   41.85601711  111.3178644    21.09676599  121.39435906
   92.22678621   76.56216768   71.75662268   60.85721766  139.97549726]","[  71.04762636   76.32822065  133.63227174   88.17900835   92.30543628
  132.81652774   60.83831109   85.28508807  108.61533438   85.48906464
   79.43528568   53.92960086   59.69880874  102.06626716   65.10356956
  114.1681266    59.69880874   67.85239732   70.63578173  108.61533438]","[  75.22993466   75.64912357   89.7638928    89.21776344   86.19052743
   90.35858805  101.19751584   80.14479774   72.55678435   94.51620919
  114.8095706    98.83731211   84.92115981   66.50584091   66.38547957
   79.13578428   82.98005869  110.62162075   93.54982258   87.35373546]"
"[  83.02336799   72.75111498   76.50422492   83.02336799   72.75111498
   76.50422492   72.75111498   76.50422492  119.95630896   90.9911312
   83.02336799   72.75111498   76.50422492   72.75111498   76.50422492
   83.02336799   72.75111498   72.75111498   76.50422492   76.50422492]","[ 160.15537825  153.68298473  154.18185041  146.9346782   145.47048742
  170.02191712  120.90484995  187.15875037  134.4957927   144.52975167
   85.43779142  143.11908773  123.91164171  124.4236907   140.2190603
  176.85178362   99.89764217  154.18185041   95.26136097  154.18185041]","[  89.65587241   73.57678484   69.54849947   73.06150245   69.01264938
   34.22635953   98.40467524  100.14445766   60.76572651   73.0857387
   15.47885337   72.10299362   56.39514973  107.48703884  122.18896199
  119.48420554   90.80597178  117.52461761   66.01333514  108.2629599 ]","[  76.97794665  108.31575495  144.79530454   40.28636202  116.17524289
  138.70352705   92.51710114  108.31575495   43.72967458  130.77841387
   92.51710114  135.07398027  119.54934769  138.2497795   134.35655841
  123.26628115  101.76936137  138.2497795   135.05697408  137.89039498]","[ 119.95210838  124.45572211   78.91693241  109.04098128  152.44115878
  172.86474813  137.62214292   67.40999909  171.95482371   51.23241959
  174.31088231  110.02208112   86.34919059  179.59413096   90.68673777
  114.02716799  112.31755571  150.50475459  129.59820547  140.96160234]","[ 104.53061651  130.26654177  112.84397014  100.7629845    72.24959996
  140.32306893   94.63961699  123.43672452  145.39046646  123.10638245
  111.23652132   46.11380171   71.48029968  134.66425767   71.64872289
  117.64751006  104.2136082   106.91373707  147.64697067   60.85561805]","[ 132.00664524  115.11428027   73.12627301   60.87283698  164.7838915
  116.60216861   38.91737672  169.49398083  139.00845788   79.42874592
   83.92146786   47.15667656  137.21867765  151.00041547  106.31808362
  119.03396126  158.80047099  152.45998359  110.55043155  136.62429007]","[  35.50252782  120.14607873  127.79206805   88.93367111  124.06743134
   99.07246594   58.89705639   35.50252782   98.84826134  135.06114249
   35.50252782  120.14607873   77.03384498   71.51493464  114.49719538
  135.68176984   59.05726134   51.18537268   72.65335011   99.39646278]","[  65.99247028   81.85569284  150.6544907   130.20544691  127.99892629
  131.13065841  108.14658045   61.62649443  117.29665647  100.39109313
   98.81615611   45.22511258  118.44400123  111.03915341  103.65799052
   57.65328149  124.16533801  159.53122562  131.25977179   73.31697231]","[  84.48758274   91.85073769  102.4776891    94.6024312    52.58706559
   96.21317845   22.60854366   86.28455573   10.24873053   59.46689197
   88.08935908  145.39838238   91.5576481    72.65856703   40.8344125
   73.15445448  101.26701222   53.47976966   49.04332254   65.41550209]"
"[  65.24849189   96.06287747   65.24849189   96.06287747   42.65608952
   96.06287747   42.65608952  102.63128194   65.24849189   96.06287747
   42.65608952   96.06287747   42.65608952  102.63128194   42.65608952
  102.63128194  102.75146386   95.77198315  102.63128194  102.75146386]","[ 117.10589681  144.12009498  113.71785584  190.6497662   126.42739896
  158.51790827  184.91628589  100.3946347   182.09560533  125.38027922
  172.38989695  126.3320247   159.41162703  106.3885958   174.32033514
  145.34992017  159.57217268  123.96601897  175.20147125  169.04506198]","[ 126.03781521   80.9354206    60.25851157   80.87915262  106.73871379
   73.62559001  142.22714604   48.42392736  106.73871379  122.32227318
   56.27721904  126.03781521   85.74058229   96.99189621   81.00038198
   69.68065454   54.1108847    79.04837715  116.22237786   88.29149701]","[ 116.27138262  115.52665376   77.20626267  119.60843755   84.10590954
  136.12094994  139.15835014  156.29449875  167.29785112  128.5218952
  104.39340874  139.15835014  129.32511197  128.5218952   162.20915401
   92.80061933  163.82655031  168.4560771   120.17982479   65.46695762]","[  87.89970445  150.99286501   62.74485581  142.5056566   168.06871692
   85.57341601  177.10739807  140.68072187  142.15980201  153.33501672
  109.93836973   76.56914196  110.62902829   97.48449891  137.07516007
  109.69898238  155.21622485  172.86730212  137.31057362  136.86344363]","[  96.30317412  114.1362059   141.77980289   51.78544681   99.27633364
  137.87195888  159.40334815  124.73999356   65.26771007  106.77196661
   41.11366636  143.62589281  172.0767255   119.29267174  118.13196276
  104.70588975  136.83454014  123.11836051  122.20284227  150.88603765]","[ 139.27379957  127.84080816   94.31170302   81.12775773  148.8093803
  139.53623981   43.08724838  139.6735397    54.26650454  129.1515998
  100.0875712   117.81043398  121.86063507   38.58197255   26.1712457
   83.68877603  127.18156811   82.63766286  117.81043398  121.86063507]","[  72.7339236   153.59025862  119.28664525  122.47232666  150.72211084
  148.25908743   43.4728212   121.21261983  141.82179666  146.43490317
   60.34134046  110.22943426   62.05461347   36.56627682  109.00855095
   69.94817556  207.22453433  118.58129174  160.30380094  110.98329799]","[ 116.43410927   86.60581411  161.35587354   84.75498201  126.86338886
  100.07680718  118.31872562  112.04465647  114.91115149  133.87296293
   72.97261445  109.9277256   100.68794446  128.65373685  137.9679291
   68.8708438   138.78109734  109.92152385  101.3150226    96.22583402]","[  60.04400349  101.57375789   51.6131797    50.50569538   97.53890689
   86.74028936  114.74105338  118.71232003  135.73202537  116.40916013
   83.8427409    46.07815988   73.97908451  131.48492444  131.42315411
   53.62785503  127.34433247   52.16879327   82.28838041   97.20125296]"
"[  87.39077101  105.52103138  105.52103138   50.2797151    47.99107725
   75.08140941   87.39077101   47.99107725   79.2060884    47.99107725
   79.2060884    75.08140941   87.39077101  105.52103138   50.2797151
   47.99107725   50.2797151    47.99107725  105.52103138   50.2797151 ]","[ 180.90978066  144.40191257  160.71012977  145.87326786  130.01515563
  165.3148563   137.73789082  127.53926678  180.90978066  126.40945407
  193.8389118   146.4791694   186.51310485  179.53252531  103.96290409
  114.42482834  169.21498327  153.16927533  168.13520737  158.10667894]","[  70.05294827   48.88241838   95.31264546   95.31264546   43.63202269
   82.3114351    87.9140945    49.92777496  110.73941865   57.88479452
   59.26113267  106.7403679    52.24813857   53.7453618   102.69267444
  102.69267444  106.72421837   79.5019019    91.53281677   85.80658214]","[ 135.31084897  111.06478804  134.7353686    67.36456922  111.26185631
  113.61999165   88.64810986   88.90197791  122.27931584  120.77727102
  130.40782988  103.53979601  185.56199493  142.00171162  142.9353498
  158.52202955   93.38861558  127.18353374  152.12212532  101.43995703]","[  97.37034029  186.04161261  156.92262934   83.49990133  136.15444438
   93.00340761  115.18748032  171.94128126  101.3977248   144.85684823
  156.30756153  146.03645838  128.12747087  111.28993175  174.79618408
  173.09070444  123.64565904  159.18550156  164.83766371  143.07347108]","[ 109.3864768   126.6187814    57.10234333  123.3017098   124.33204178
   98.79242179  157.07224286   99.81433229  106.20993603  155.09783028
  131.88876138   84.57138154   89.0172058   152.92849358   91.73102211
  132.28786354   81.17057317   85.24736793  127.08895215  143.39614622]","[  87.25995541   91.83941869   29.63587539  172.37185691  142.81011831
  133.12271135   72.72302513  124.82751902   75.66015338  141.34645997
  171.07597907  163.59757704  196.37711625   88.03286623   54.67818611
  112.31321588   99.66040565  123.71457627   89.91520179   44.54044089]","[  36.33701204   82.78301266  123.26938226   91.80789408  153.92847631
  125.42434599  132.47895978  123.61425804  124.28828308   95.94630645
  110.94496551  105.17835985  122.59839791   78.41346512  170.69541496
  131.68909439  108.56130459  170.69541496  131.68909439   71.84553687]","[ 136.07556778   78.09958391  131.90648314  116.19733626  106.91986679
  155.05765241  151.87068087  134.8581326   154.04300375  102.54616874
  126.47985674  109.70797579  123.94565547  136.25766452  118.04700139
  107.05052275  163.03692722   97.94251377  159.21070846  112.16547087]","[  55.76144394  128.38336025  103.07034055  139.82877888   94.5772398
   96.01903176   78.75158332   93.5554611    92.20329978  105.99839286
   41.53378211   91.44548578  123.03614099   73.19617018  114.85637022
   92.32753407  109.79596879  132.07774218   58.9962342   160.69886967]"
