varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
36238.403577651334,67309.87253203616,52671.25640433039,44115.46347145819,68427.68627597512,40628.610842960654,29749.42092322693,49333.10744162122,57545.94716675201,42785.11474808706
39225.80813830431,63862.935507945964,48510.29829946517,43086.029672436634,53720.366511194894,80991.24802105088,32600.438004948268,57058.83298842688,77474.34107058452,48820.28113718924
42284.39019538317,108270.69429314468,46427.14939235854,53730.37198484558,66248.42079674048,89769.42404982497,41560.488600438315,57941.38679753127,65480.46482007279,57995.397702941715
44088.823982817485,128478.49836487127,49140.04431516641,50656.81472996506,55975.310427318174,93832.0644703646,46186.496202067,56521.17393821734,81073.7230807158,58530.95567132883
44309.604411620785,119340.62494563594,45282.91771391854,47933.98480903957,60960.38909329014,118999.33979801023,66749.87681582845,57369.639910685415,94779.42887501788,59096.58273293504
52601.95652023929,108751.65027537633,43675.74153203085,44978.25097357083,62635.69101052702,117597.91405018172,75720.3523071484,60888.00465627579,99846.87273216184,57184.20519904481
53092.957811614346,95802.28639837977,46808.62152059848,40145.603962139234,56605.17826662485,90214.83172580616,85238.06849915523,56115.45111561833,101318.76742067489,55803.51122535576
53746.13559413188,79798.87026185589,64567.88613921078,48283.67189203722,56174.09542253738,109124.76974286324,84535.67506807574,55273.71530530332,91577.84992629159,58075.964408032494
54034.79778840426,97555.21642093315,70674.19385538557,51299.03783938222,59093.565557313996,116098.56437749721,135547.5486538377,57242.766701419016,89989.25052742011,55233.55416768008
45565.88986299602,97176.27023179061,52895.95223273177,122809.87846261458,61791.49012992962,116589.55964141506,121328.10527527698,28321.532979126667,115778.18136949492,52401.853410220065
52269.9589064862,79210.02968302385,63032.77821472569,59420.97708811528,63810.1247452534,142840.55826589136,141966.62353409498,50803.72874465105,191245.30619897443,41970.20643955195
50146.94410672428,77272.87699060672,98746.96324920891,108449.69061675094,50706.12000770752,154461.09453055623,98439.56570892017,54650.16358379573,134528.0260464284,39676.987377175654
50768.220739304415,99757.13257129338,96396.94099209059,193054.543375671,137348.76848869634,186919.9030222136,94242.29293445512,53604.60080525456,133732.56890195064,39067.35865860083
51706.29474042758,163325.19708827176,72259.19840235778,239962.27417602186,112166.15256888382,146058.6129903332,115469.3074238696,64752.08318521416,147648.0033506471,43109.747579705545
50838.63942207715,137420.52630967632,63254.80967019829,180600.6472634861,139167.98315530998,189422.6671677138,124572.73517182794,79410.60446915575,151618.8873409174,43061.55047189648
52712.31309097042,127380.59320582595,102638.02441413727,160490.89552128367,98784.12922704329,224349.6965304179,156342.50016713736,119363.76198377457,162405.17761932113,43433.8999875962
50033.857058775124,170796.2862166184,79750.73239429318,143868.71532107407,184962.67737733884,137654.08760197775,124404.61616820889,93111.43430791842,146074.01234340918,41998.51303810511
48459.035796548196,197460.78599518712,84927.72986522998,177546.11316235072,108779.03523810516,168760.75111953577,118562.78436731026,89317.97324439522,142822.02488900803,41267.07454809733
32096.35552000235,253323.9879497952,90881.38657594778,244291.63378507894,130205.84961135431,182527.89897784556,127689.15860339394,106129.45511668132,137780.0416524706,41575.28967032651
45915.96307393511,243849.00700837502,121167.1629778462,254315.730785869,133143.98594604898,263459.9107129059,131854.79375517135,129334.50589685042,159106.93244008342,58825.65343374772
44509.237661152714,248077.34327964886,125564.00563504282,252688.9005519675,202801.4898669092,229275.24058674191,131677.32798556675,188072.73374593531,145337.24767045144,106350.05705231102
43759.24463237163,255905.41836891463,99699.72710893665,267489.1263401774,276553.7038195943,352795.3414796753,126497.14881391806,122083.95734353899,144434.14522807614,103007.92445667594
45077.433437361644,256405.18311259424,110599.65823573287,269122.57788193325,183696.66565036314,331573.6155608007,148448.7081274032,128956.216607542,158719.98365929408,91525.52547598345
43207.507561544175,214338.94327564468,167057.4920003651,203927.81133781304,250293.67808294832,296026.0554810887,196504.44632716975,135290.46904815602,141777.3586446652,115723.51677580879
44964.88588349024,261959.4334525939,173252.28707256107,228917.52928143222,201640.0997322661,437356.3539688896,188992.09768011712,189805.63736276556,180518.7973010837,214894.69616403815
43146.938469565976,266428.6068432989,175376.15481980972,301548.0250594348,194618.91495661283,394984.5713702592,183065.68618004277,201673.73206705198,293300.0877323778,153311.51918246347
44672.95003117855,326161.52602395765,227352.24366112892,296115.35235966777,207302.54964918597,373117.71004303306,226291.16799476888,292979.2713544904,291122.6428590789,271814.72373654513
40483.921502147656,320095.8329154934,257189.06771177636,306496.4279245489,298679.92677188496,285224.43101046863,192811.31034185557,159477.55725357094,475534.0182887972,214994.2782801655
51392.88558981591,324077.0281889613,101675.84438532038,286790.5550636516,320039.77189860644,316134.4959492843,203314.66454945947,224157.49206827558,350047.844156937,345422.8136699933
65728.63921409762,327011.46098932985,120925.91636719488,312486.3107635915,339653.8578184637,421663.453680516,280817.46034329105,414281.46860998974,309375.6764292634,323827.66321949824
62654.07693174365,343133.06484515977,129859.90310335765,316646.38304189907,323432.08784756553,450811.22686583444,269717.4961961644,337114.53998042765,391513.4992369335,336524.8494063833
58344.2639966597,339894.87311021925,130933.01049870354,222071.49662644832,278007.35673838656,450281.5157532213,265075.1337386758,176851.029038833,194736.49829195687,318214.6880406024
60371.52295173105,327420.83627438504,171991.9846950664,341595.5851044613,270805.39550781186,428891.276749163,275726.0573213078,182713.3110320875,349698.70763315284,400180.3839570709
58432.46484354338,321706.8786080822,128256.7480284771,345836.47311296075,369728.3917486414,452897.6766203169,231580.973158655,148399.445624854,301907.9489704411,494286.1331739514
59032.63182464745,231438.5611515663,141713.21117194006,410453.3680600811,304050.2218904265,438490.94654184574,396925.2524908155,140791.69780756452,322555.6394089818,392578.7503531575
59531.69395968992,439906.04126078764,147901.33976566247,403914.1848663874,395395.55521767103,481297.56408605445,196827.62798036798,318845.6500163512,398431.43192101596,478886.47493996774
64107.594662085,393186.3842966113,155429.16704433115,384382.84591459914,312546.95782601525,494906.8193697612,439616.5706055641,275475.0054690298,207207.18181788587,322884.45508751826
62091.245817272036,373040.6418326437,105582.18201374536,390694.22174082394,314723.45271209435,449547.74776877154,258874.48109028477,228214.81257126862,267894.601996686,359935.51382112433
78532.19444289485,586021.6917827111,162026.4615784758,385498.9918662713,323797.75409798766,494525.0052320932,355331.83756962087,242603.10677930232,458202.65358696197,405485.62696557294
116957.65721482402,326415.66675974743,149276.20046850631,292355.52198649524,335463.06358544604,507587.79803864786,298857.1713599205,274918.48540326423,335106.87749352626,390526.5951310834
122461.49930035484,349980.63218474423,153811.674297344,677594.0362994763,360153.75200784684,501172.51117957773,371284.22576822573,262261.5289238628,788480.2850014961,357376.9077751664
106054.37154118108,426610.5834840097,132737.64227963865,528095.430688868,341702.4337162905,491765.6826231601,293467.58421318093,260440.43966239598,460435.25280426117,528258.8621736122
96292.55800189087,420675.9372136477,140012.6503489849,542609.1094722836,334943.2487992578,505310.70100774715,299078.29477786226,294459.1379416315,523013.5368424807,521661.1491721377
94470.86427763195,351730.70892235544,185114.56947881388,548779.9871911892,444634.41984109423,372276.6771581869,503728.67473915406,225709.5283815669,398168.8560974594,380213.95189136197
93812.37606822685,436196.6084865525,195543.5764532059,358795.9272101114,415902.7372680149,325955.88307251234,474550.3173986166,254611.91961329198,473938.784037704,427738.5640871157
91460.50207157069,398701.6475785025,201413.65346905912,291453.21086964844,644392.9755340954,284525.90289739834,733081.3818557083,255496.02068825276,421899.585427994,428159.09571911884
91157.84444284992,397302.332147284,242693.92696208926,428307.9335995823,538042.9783289325,429821.85728920007,523660.93275417655,244407.18875945633,303111.72266323474,339516.49221085146
92113.82673281376,332656.96218005545,211732.9810189638,314606.32322185684,479598.6930865673,486349.5334657951,412454.49533823266,254871.32935946746,382528.98324487923,490351.86592043075
105116.3739842993,392298.5959740741,337550.4872423926,372638.40528759896,536112.5351383458,401588.3385745515,444441.6954740127,281065.30533944874,384291.0732748974,542329.4897859211
132213.99145107443,481153.0120622318,193960.41502329608,357845.25077721383,613298.4374704867,396735.58534169156,438533.8147529104,342237.051660482,367159.5567456702,498654.8301779406
101785.44206035315,356935.99270093726,204020.5213651863,286247.98232584284,589044.7494772326,709644.6505006475,296271.58867915644,254442.9907401638,376470.7706643665,660036.0824329522
109199.4928101253,316366.8542190966,206302.12741757266,354589.1689903835,568955.717109641,518311.5059915867,380916.29382747633,306926.2028490047,418564.6668901567,405336.2006709456
125303.47564362112,348494.93041957624,212914.208665541,246173.08565482075,597106.3583875389,543014.5610141219,394243.87685503974,330827.8295117959,311630.32119706826,676198.1761609117
85334.79192319661,384113.6157428994,252680.45076998466,249802.65929784562,609193.3181610745,460936.8255761942,460740.3286522144,308836.4118525061,330652.8043994112,575289.1597036979
102282.3306554606,379452.7056961827,129576.02942390401,419717.166023866,478886.94692296174,570445.5099875184,332900.4927284372,275260.1551084332,229358.53233807124,690138.731222878
