nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
9.0,22.0,10.0,20.0,10.0,5.0,6.0,26.0,12.0,7
4.0,15.0,4.0,22.0,21.0,5.0,5.0,9.0,10.0,5
14.0,8.0,8.0,10.0,13.0,5.0,16.0,10.0,6.0,6
3.0,4.0,7.0,6.0,8.0,6.0,7.0,6.0,10.0,15
11.0,5.0,11.0,13.0,5.0,5.0,4.0,11.0,5.0,11
2.0,5.0,2.0,8.0,6.0,21.0,4.0,7.0,12.0,10
3.0,6.0,9.0,23.0,6.0,8.0,10.0,16.0,3.0,4
11.0,7.0,9.0,9.0,5.0,12.0,8.0,12.0,10.0,10
11.0,8.0,7.0,6.0,9.0,15.0,7.0,4.0,10.0,9
10.0,4.0,6.0,3.0,5.0,10.0,5.0,5.0,3.0,4
4.0,5.0,5.0,3.0,9.0,4.0,11.0,16.0,5.0,3
8.0,3.0,3.0,4.0,4.0,6.0,35.0,4.0,4.0,4
4.0,2.0,6.0,9.0,2.0,9.0,10.0,5.0,13.0,10
3.0,1.0,7.0,21.0,8.0,11.0,4.0,9.0,11.0,7
20.0,4.0,10.0,5.0,6.0,9.0,4.0,6.0,7.0,5
8.0,3.0,7.0,9.0,5.0,6.0,3.0,4.0,11.0,29
11.0,4.0,5.0,7.0,3.0,16.0,3.0,3.0,15.0,9
10.0,4.0,9.0,8.0,4.0,7.0,8.0,4.0,4.0,9
4.0,9.0,6.0,9.0,10.0,12.0,6.0,5.0,14.0,7
5.0,10.0,9.0,2.0,13.0,5.0,5.0,7.0,6.0,4
5.0,3.0,4.0,6.0,7.0,6.0,7.0,7.0,12.0,4
4.0,3.0,6.0,4.0,2.0,8.0,9.0,8.0,3.0,3
8.0,4.0,6.0,5.0,4.0,5.0,6.0,8.0,4.0,7
3.0,5.0,3.0,3.0,3.0,7.0,7.0,9.0,8.0,5
3.0,2.0,1.0,9.0,2.0,4.0,10.0,12.0,7.0,4
11.0,3.0,3.0,5.0,4.0,5.0,11.0,7.0,6.0,6
4.0,9.0,6.0,8.0,7.0,10.0,8.0,13.0,13.0,6
8.0,4.0,5.0,4.0,5.0,7.0,4.0,8.0,11.0,5
11.0,5.0,9.0,10.0,6.0,9.0,5.0,8.0,4.0,6
8.0,4.0,6.0,6.0,4.0,4.0,13.0,6.0,7.0,4
5.0,6.0,14.0,5.0,4.0,5.0,3.0,6.0,12.0,3
5.0,2.0,10.0,4.0,10.0,8.0,14.0,13.0,12.0,13
4.0,5.0,4.0,3.0,6.0,5.0,6.0,10.0,6.0,2
10.0,6.0,11.0,3.0,13.0,10.0,10.0,3.0,5.0,10
16.0,5.0,8.0,5.0,14.0,6.0,10.0,10.0,4.0,7
11.0,13.0,5.0,6.0,15.0,4.0,6.0,5.0,3.0,10
6.0,8.0,6.0,5.0,6.0,5.0,8.0,10.0,6.0,5
6.0,7.0,11.0,4.0,5.0,21.0,4.0,7.0,5.0,5
9.0,5.0,13.0,4.0,4.0,5.0,4.0,4.0,4.0,9
7.0,7.0,8.0,3.0,6.0,7.0,5.0,4.0,17.0,10
6.0,3.0,5.0,3.0,8.0,6.0,4.0,14.0,8.0,7
5.0,17.0,4.0,7.0,7.0,19.0,4.0,7.0,3.0,7
4.0,18.0,3.0,11.0,8.0,5.0,7.0,11.0,10.0,4
4.0,18.0,3.0,7.0,9.0,2.0,7.0,8.0,7.0,4
18.0,5.0,6.0,5.0,7.0,2.0,12.0,11.0,5.0,2
6.0,10.0,18.0,4.0,6.0,4.0,9.0,13.0,4.0,4
7.0,19.0,8.0,4.0,19.0,7.0,15.0,6.0,9.0,3
13.0,7.0,4.0,6.0,8.0,6.0,5.0,5.0,4.0,2
13.0,13.0,3.0,14.0,7.0,5.0,6.0,4.0,5.0,2
34.0,2.0,3.0,4.0,5.0,3.0,5.0,3.0,8.0,2
12.0,4.0,4.0,3.0,9.0,5.0,15.0,5.0,4.0,5
4.0,7.0,6.0,7.0,8.0,2.0,12.0,8.0,4.0,4
8.0,7.0,5.0,3.0,7.0,23.0,7.0,9.0,6.0,12
10.0,7.0,5.0,5.0,8.0,11.0,2.0,7.0,4.0,4
16.0,14.0,4.0,12.0,8.0,4.0,4.0,4.0,10.0,6
17.0,8.0,9.0,9.0,14.0,5.0,2.0,10.0,6.0,4
62.0,11.0,3.0,7.0,7.0,2.0,3.0,20.0,3.0,2
7.0,6.0,4.0,5.0,4.0,6.0,8.0,8.0,10.0,3
2.0,10.0,4.0,3.0,14.0,3.0,8.0,6.0,9.0,4
6.0,12.0,8.0,4.0,29.0,6.0,3.0,14.0,4.0,6
13.0,7.0,4.0,4.0,12.0,8.0,5.0,7.0,6.0,5
4.0,9.0,6.0,5.0,5.0,8.0,4.0,11.0,8.0,6
4.0,13.0,7.0,8.0,4.0,3.0,5.0,6.0,4.0,8
4.0,12.0,15.0,9.0,7.0,6.0,6.0,7.0,6.0,12
2.0,2.0,20.0,7.0,9.0,9.0,8.0,11.0,10.0,14
4.0,13.0,3.0,5.0,5.0,6.0,4.0,4.0,4.0,3
7.0,4.0,3.0,5.0,10.0,3.0,3.0,4.0,6.0,4
18.0,4.0,2.0,3.0,6.0,4.0,7.0,8.0,8.0,3
12.0,3.0,3.0,5.0,7.0,7.0,7.0,5.0,5.0,3
11.0,10.0,4.0,5.0,4.0,6.0,3.0,6.0,14.0,7
6.0,8.0,9.0,4.0,5.0,10.0,6.0,3.0,6.0,5
1.0,8.0,20.0,5.0,7.0,4.0,7.0,6.0,11.0,8
,7.0,5.0,5.0,16.0,2.0,6.0,8.0,10.0,18
,6.0,4.0,2.0,7.0,4.0,3.0,8.0,6.0,11
,8.0,5.0,7.0,5.0,3.0,11.0,9.0,4.0,7
,8.0,3.0,8.0,10.0,4.0,5.0,14.0,3.0,5
,5.0,7.0,7.0,4.0,3.0,3.0,,3.0,6
,7.0,11.0,12.0,4.0,5.0,3.0,,3.0,2
,13.0,5.0,8.0,6.0,3.0,4.0,,8.0,15
