rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[ -6.36675794  51.68049695  17.81878414 -31.56234035  64.46275382
  44.26349223 -11.93369932  32.93819912  25.58374097  23.4834907 ]","[  7.09209824  39.99856622  25.4158639   13.24790161  12.06212636
  15.656004    71.28290525  36.99508873  68.8148456   52.50906206]","[ 42.04151351  -7.62399293  56.04050638  54.96337998  -3.61359033
  -7.62242234  63.30399139   3.13432644  49.11910158  30.69658929]","[ -9.60914585  56.52892342  88.34684322  40.3975273   33.35108253
  18.07337202  -8.38532285   7.23655631  12.26628272 -10.44098189]","[ 45.93003064  56.64493774   5.04284061  42.51957407  51.59008937
 -14.3290692   54.1630028  -32.3773663   54.52230898  39.94185936]","[ 57.34606171  16.76109031  18.55084913   6.11932779  56.7687555
  62.89132478  26.72114059  39.14449803  26.74325363  68.39273732]","[ 26.51831217   9.69054565  55.98198363  65.14151447  44.72368782
  22.76997851  -0.33348878  66.97815154  67.6473789   45.39249676]","[ 21.62057791  27.54263012  43.74008373  84.82337366  50.88608207
  19.75611674   5.50593994  16.19973659  15.16416729  16.19124109]","[ 71.21119163  13.04520166   2.89638008  68.47473893 -18.85501998
  62.21599981  39.42035994  33.13872746  25.94727044  58.75834145]","[ 28.07418253  35.97924367  51.66753977  74.91359852  25.89630961
  12.00507311  30.70953173  54.84954846  80.90775919  -3.7857135 ]"
"[ 47.29086181  67.58449988  38.33038787  17.87720489  50.65830187
  48.29092246  52.26069682  95.57276846  48.94161325  40.83759751]","[ 61.02514371  30.25875275  33.86063807  27.9104351   44.56789343
  62.25940407  53.20151282  39.00911068 -18.47753265   2.62762542]","[ 12.47912024  30.84755975  50.35125089  58.44437558  30.20841733
  49.7103921   29.82526718  28.10581775  -2.01110306  17.9244178 ]","[-16.05253624  39.11981763  -2.27088398  23.32795519  24.38108527
  61.05889951 -18.14510911   8.53479855  24.70242208  63.73960411]","[ -3.34572195 -11.12780443  38.09766224   1.90626138  15.03600777
  -5.49645052  44.34766145  12.29681202  57.05726148  88.00953136]","[ 31.85193567 -11.16915823  34.78914189  59.90964599  -4.68510654
 -21.3617311   66.36027997  55.94702758  35.44374997  73.67850294]","[ 36.4161947   28.71818498  -5.54537316  82.7020618   16.52355554
  65.78521949  52.11022994  36.95134761  17.29667658  10.3869289 ]","[ 54.92514429  42.99594519  61.14792387  43.64592187  21.48812029
  29.41483807  25.78474314  35.53070562   7.52022824  62.74691899]","[ 65.1416039   11.6960191   15.87841331   9.01008853  53.53375299
  38.91392492  11.72162899   1.02457711  26.71234067  35.83321491]","[ 15.09998496  58.15052685  14.65873797  60.28856252  16.61457364
  37.10455461  35.99011518  -3.53216131  60.35246941  64.92179775]"
"[ 48.85621156  63.94079368  68.44304495  45.82805391  79.86424367
  67.8622636   33.69813789  65.61823076  50.62701124  50.69661724]","[-10.8658018   51.86698182  75.5635235   73.90807964  93.42507016
  12.06403131  -2.90468723  50.57824497  35.94977089  34.53152293]","[ 21.66285163  50.742984    44.95585844  42.9281362   19.72156506
  61.48603466  12.46465034  21.35954967  43.52527453  -5.08542215]","[ -5.29038692  50.32983213  51.97502522  36.08135775  90.18509373
  44.49269675 -11.72990304  69.05186698  85.49006151  31.66911757]","[ 29.76023431  63.53690195  64.61467061  46.39708277  54.25927166
  66.7518075   42.72644916  38.01778954  44.8093413   27.2159863 ]","[ 42.38446796  31.19904747  42.04963161  32.64647005  52.30938471
  63.64497734   2.86798185  32.10604648  -5.84008721  76.12842983]","[ 47.50543225  17.97423077  13.79647157  42.52774208  70.32891106
   8.93954353  49.44393419  33.84209534  24.89268301  16.15265715]","[ 36.35505538  20.16683196 -20.30359471  29.09750459  38.44868323
  22.16104462  52.74640041 -12.89967374  38.46501504  45.25163524]","[ 36.59100719  27.30679865  -3.31927244  70.4141239   19.83281818
  16.55689265   4.5721729   48.88191671  61.90452271   3.97689091]","[ 37.67486537  42.21429481   0.61557159  12.23581692   4.34395796
  52.42578304  45.46701471  -4.24588852  62.31810545  54.44797169]"
"[  70.30235174   85.54042401  103.9549617    81.36081916   81.01161725
   35.97202373   87.02915259   76.46309616   59.95996176  113.66379487]","[ 18.27998451 -12.37147358  52.73921592  -2.85236084  55.88471286
  36.97855171  63.39055269  52.22012645  37.91846509  61.22838439]","[  5.77590054  97.50257001  11.61682895  83.60411318  77.38124033
  40.68882664  40.8901669   38.68121918  34.69400465   7.37185706]","[  2.46137362  43.23737723  48.62977907  52.12066002  25.08054508
  11.16452693  66.02617511 -11.01597722  42.31470953  19.29835412]","[ 61.90910355  15.6865003   36.24315326  21.19540053  87.16702733
  33.71298191   4.26100283   5.6711259   39.17923062  84.93839024]","[ 65.94662107  48.66307734   2.35004241  87.24466512  71.56112398
  60.44973888  54.86182828  56.67250467 -20.54370144  36.94768897]","[ 37.93957648  32.67844122  35.75656453  69.16236464  36.55486412
   4.08108747  23.64931662  -5.29941042  33.17934967  14.22013274]","[  38.22306574   32.79696919    6.06997074   86.0904777    49.93247693
    9.61831773  100.4086577    41.69265689   43.47252525   41.24484288]","[  4.45048073  46.45494527  25.72027743  -0.79992118  38.21584097
  39.53978025  14.08812524  19.80055145  18.04202169   7.17354281]","[ 57.24557727  69.52166285  47.06254872  30.23011861  25.72861676
  57.53416605  18.64778996  45.4912497   31.60131381  74.19304139]"
"[  61.81173933  100.80703616   64.90583532   82.46677479   98.2304195
   74.33560924   35.45531725   75.41338303  117.02564296   49.23443496]","[ 85.43521677  59.19502281  45.65117775  64.1311301   45.71770498
  72.33442549  35.43516848  37.64472461  59.94812333   1.31120938]","[ 63.79159263  -2.66330531  17.30787267  19.94953721  30.79382381
  22.19999679  62.61581949  49.4105735   84.05994404  20.86752163]","[ 28.10380369  14.11225651  51.33332734  33.9709499   56.28755314
  59.47664541  13.87969963  40.74321497  22.25665709  40.08550055]","[ 31.02070773  51.69436579   2.67200641  14.04959245  48.35399351
  69.0485993  -15.32890791  26.31598198  64.18386007  35.1090118 ]","[ 36.24812615  37.38617915  45.05400332  32.38111159  36.45084459
  18.68351419  41.39156666  33.24095335  53.62297715  14.57812943]","[  1.70096577  36.90623707  33.34969384  29.02353162  41.43156716
  59.27301512  36.00040018  37.64572962  18.15033764  -1.30369365]","[ 46.02676285   2.50727209  46.34023928 -10.9371395   72.76331003
  35.40850021  49.96893902  44.64204464  -1.93427834  45.82751403]","[ 20.67174328  22.08980057  52.8412331   68.86536462  24.00502519
  36.77867103  48.96750197  68.8498378   59.37323002   9.22473389]","[  97.87676028   62.686216     50.41144504   71.0295502   102.26793734
   -8.62019097   33.37863163   27.86623994   30.63127943   45.07179115]"
"[  86.39621793   92.46277266  117.50539076   46.20444765  108.22552023
   53.80654244   72.18437221   99.90629331   85.81215734   67.13653681]","[ 62.02575997  45.63521368  64.90423904  74.74519611  59.43864593
  87.27641372  65.1414652   62.78700164   5.2337315    6.22329522]","[  34.64759525   77.31492826   56.50723753   49.01784367   53.4644855
   46.21754461  116.18944979   48.13269414   68.47397918   50.36955824]","[ 78.10313746  53.21893725  57.20563299  40.39263638  50.33620398
  14.45007727  38.8135852   67.44108063  93.15842503  25.98549621]","[  69.0658059    50.89792417    8.56667812   41.60601417   39.01680349
   81.98894794  103.29021538   16.85040413   70.80709169   40.87446626]","[ 30.19146999  75.08117582  44.92183256  11.07420119  29.35837221
  40.99162524  60.06321966  -2.22470888  33.76600494  11.65545599]","[ 62.59722688  55.19579177  47.27255949  12.892447    55.65707679
  67.0511662   81.51085543  23.12213182  50.90255054  59.6024199 ]","[  7.50905338e+01   4.09117691e+01   4.58584673e-02  -1.32513957e+00
   9.09229841e+01   2.93471469e+01   4.39281553e+01   1.31320004e+01
   5.21502543e+01   7.58517785e+01]","[ -0.81739095  29.69965382  13.37393204  69.50085575  57.37786706
  32.4845441   29.50284774  35.52117122  45.92351606  59.72646228]","[ 60.10145924  26.47144098  21.74971498  60.12221421  32.25846038
  29.78767194  54.53030936  52.08754902  57.23076517  63.39235511]"
"[  68.69055315   75.33229167   61.28465529   91.85408002   69.15285454
   97.68941511  139.75332173   71.51493978   81.9968505    61.64837181]","[ 61.36244065  26.79453045  78.24490035  15.71982769   4.07132057
  80.03079357  98.48274246  70.98556615  -1.57864963  69.47357366]","[ 55.62412673  53.18888689  51.78391221  50.84232374  27.00076936
  52.17779223  73.23563932  62.30691335  17.16314516  17.5392109 ]","[-29.77196298  12.01138762  53.69733205  46.8931347   10.68370084
  39.23126903  61.75597239   9.04790073  32.53317337  67.70881489]","[ 45.08903116  21.60035651  56.61276997  53.6784534   32.88216456
  50.26229504  61.7349456   55.73224961  29.64352249  24.87951998]","[ 58.15147313   9.46969633  -0.50226811   2.60588064  56.61775622
   2.22757824  59.0734409   26.97499568  27.1849875   59.17907924]","[ 55.43621352  55.61770098  13.47176602  88.98986388  71.75051403
  36.9849416   13.00849624   5.64764942  60.50105888   1.57310835]","[ 76.65041078  51.01008317  43.91607438  48.63465936  53.38384872
  30.59802271  63.86674704  43.12050648  22.91369722  35.96497696]","[ 28.43567904  35.28848819  85.70678365   3.01440708  34.52665976
  37.0730108   30.80863793  27.82387257  65.3162841    2.05302419]","[ 70.83022252  77.41031574  96.77700521  78.42079266  48.71719111
  51.58802173  49.72812455  37.98110366  14.95584543  54.00136567]"
"[  87.06037242   71.00040159   94.32992939  112.35357865   56.42323739
   94.21110099  120.57178089   83.56599432  107.24684022  115.74689226]","[ 15.86374111  40.41483706  48.43726231  92.00772833  30.60206292
  38.66536295  55.12083145  95.69000185  13.84714603  99.66027226]","[ 49.80104256  42.14048254  46.97603955  32.24375233  33.4592826
  61.36867971  76.66552862  45.83693723  78.38148964  46.08254115]","[  33.54158724   59.65701165   40.07746046   89.62199249  101.75813403
   18.00300047   65.78206848   47.73061693   59.76194948   -1.40413994]","[ 58.80641296  18.41007703  72.83516553  17.69252389  62.73070377
  46.94962797  28.7729746   66.26514746  24.76563814  77.19046147]","[ 44.5068053   47.08743587  44.26059627  11.8999211   64.58508976
  24.11199244  10.53012253  21.70439401  14.19307279  65.15234532]","[ 37.44529963  57.65320976  39.18471336  53.9406616   36.83813878
  14.23894687  17.88507342  35.74672384  64.13987432  25.50493851]","[ 62.82117021  27.07141732  24.17056239  53.0859742   57.01638244
  61.96001027  31.43012012  36.71428506  69.02604175  62.43184377]","[ -4.14278972   0.2901027   19.02254649  13.00870419   3.30941676
  45.47452671  42.3019872   77.22088894  64.56664029  33.39834238]","[  76.78093762   62.30629094   63.82365985  106.77940407   73.02368685
   30.30544423   58.26542836   76.89927814   18.35594772   73.56506496]"
"[ 155.79404514   71.86829591   98.75514332   29.66468395   88.86060978
  114.76749173  104.03626954   58.7210424   128.6682287   135.30130878]","[ 42.82961249  43.64555699  63.08220521  83.5063475   68.4498977
  49.8841985   77.78399836  29.91284469  64.24105972  80.82726988]","[  43.88080368   42.22870306  129.87560029   46.74858382   97.20749519
   56.64819746   58.37603846   44.28886349   62.1893849     7.51451833]","[ 103.92267195   56.51947008   25.03846911   70.04775302   54.55612208
   45.33618349   74.60066049   41.93923063   57.3659723    42.31809   ]","[ 78.6707694   83.81177229  64.85274379  61.47351956  43.90964134
  54.40779397  34.63287217  63.85430728  19.15048296  60.45751651]","[ -7.70766182  42.80050629  70.03843378  20.7364418   46.70716768
  23.53775509  19.09810469  61.62577033  32.1341045   30.84468018]","[ 65.02442063  57.70294446  33.64355683  57.27699887  51.12540247
  38.47417884  67.98949519  60.02151218  54.41033694 -11.27731351]","[ 63.5281627   65.25719627  38.23606582  49.81556574  16.51768793
  27.29868729  89.39748786  72.25682953  55.73836537  55.77378821]","[ 67.3510362   48.41829465  -5.71413095  55.98248446  43.76618132
 -18.82079782  46.60489999  56.80050121   2.86081931  78.14963551]","[ 34.24941211  53.85624264  75.68844672  65.39263996  95.64614652
  55.947302    63.92149581  79.86974835  57.98622165  95.62837883]"
"[  86.92825726  109.41615359  133.73962836  131.49176612  106.62457886
   77.07991015   83.74912996  143.51183241  134.7642992    95.14251342]","[ 74.16810706  44.77253492  92.4010646   16.96957973  20.42473877
  57.97761598  51.98950616  14.29786761  59.01225065  70.94361962]","[ 72.8028913   68.61989917  56.43847113  57.53265304  48.84284154
  55.36383452  55.0298263   68.16648164  78.657142    84.18513428]","[ 110.78450079   19.46120753   54.6051712    23.61110659   57.05791683
  105.57692879  102.84807926   37.30639127   74.84969149   69.17929084]","[  21.81568985   54.59015571    3.42875271   35.69966603   63.71837962
   34.35789864  103.04937185  101.83846355   28.23948325   47.86343499]","[ 48.73308574  87.82120059  59.30988325  -1.11918165  27.26347715
  75.93109858  36.44550854  32.13139468  24.64021661  32.84914346]","[ 47.29753918  54.14309834  71.84392096  32.66112415  66.57103921
  77.15451157  12.40581749  53.25880529  15.97434429  23.45666515]","[  5.10171765  52.64377355  50.90571132  86.92267138  31.93252969
  21.19226847  99.04832229  -0.91982963  74.83805162  21.94051547]","[ 74.05145362  33.22076961  45.465572    44.42606855  44.9581948
  41.51269506  35.18156592  36.31366993  79.13839314  54.61684645]","[ 47.16378252  66.09034488  67.42118125  16.72692533  67.78860469
  85.00249607  55.40434474  33.76387584  33.07287841  21.98725463]"
