variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
141153.1193482923,80936.43409964321,51048.35185486335,73528.12229977659,27492.062785486512,74725.1895282048,50686.75691058533,43145.58157277882,75761.5702907161,73940.4385984628
203530.4634962273,222748.73052243408,87995.55212323023,68761.50980461288,61812.430175372494,79965.82837099172,119343.78733861288,76514.22329443655,55741.38472678878,83622.98727042407
180686.0423049467,71908.9986827595,101054.64621252619,107712.68151673785,50947.69576130271,85455.62535537744,88917.96733598656,87352.21652074315,92041.98520714502,75933.46052895929
127558.08042734824,80676.23364482823,62868.80688748382,136663.21122351137,74913.15703644758,160819.91658761908,120460.88545048515,96858.36777863721,113910.183236743,91332.12680942197
339901.68111487426,120430.14686147227,81408.43467248013,95849.82984036904,65207.94721604248,161711.17818856,131175.50210920177,217240.75193587755,108606.62689564904,54912.82310646826
242647.16261152804,125443.61442316056,128405.27331150166,102959.33128619863,117259.77012094844,129157.73204804331,82994.80574003892,179856.26245527592,150496.9663633076,105827.37941949037
208784.39125401498,194312.89403273517,158516.8553079296,155514.28219112847,148836.9311008059,238281.495569721,153860.94681076292,154762.29711462135,170274.22961051733,72577.47310876948
286051.7757844177,149698.49584937768,162118.3760051612,192662.66459978727,117561.27272406415,217773.58954690065,155753.58198344894,217196.25967107597,229467.47795743158,111674.57654974789
348132.22191402887,288962.9375711222,173408.31135393685,109719.38261934493,83933.07392268267,163310.81287711515,170132.21315567236,87968.12725513586,222462.4529152558,127974.0632749192
295379.4336938027,381059.2652761066,100199.76192258978,223413.03097881973,130423.1829601259,243925.28281317867,214654.2295897905,139275.9274575018,219447.2687057635,99743.77687165425
324183.2700474429,290144.59824517276,172386.28549851757,231690.23199972103,154860.8255785845,224790.17760606203,158266.17646857613,181644.61087654246,186087.33989339118,167425.05704767263
312569.74681127904,247592.9813814265,196815.6800988108,227361.42683555497,129195.73470877367,318773.81972400047,196283.189574431,188550.82733712957,243691.84997423037,99376.52513210138
452049.55519251316,416230.64673691057,181161.88157967394,196096.01176236972,127113.43649322077,243776.69896856352,176174.32350870693,241689.8236289701,302706.43066347024,168060.21793566959
