rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 104.76697799   78.27775906   54.1940262    63.11753243  104.76697799
   78.27775906   54.1940262    63.11753243  104.76697799   78.27775906
   54.1940262    63.11753243]","[-35.96600025  14.35831837  29.86468153  62.65000136 -35.96600025
  14.35831837  29.86468153  62.65000136 -35.96600025  14.35831837
  29.86468153  62.65000136]","[ 64.34981035  33.77494347  26.40544594 -31.33823066  64.34981035
  33.77494347  26.40544594 -31.33823066  64.34981035  33.77494347
  26.40544594 -31.33823066]","[ 62.58097813  42.86726729  56.62472122  94.17213875  62.58097813
  42.86726729  56.62472122  94.17213875  62.58097813  42.86726729
  56.62472122  94.17213875]","[ 43.6145493   21.17112361  54.4921562   48.82312631  43.6145493
  21.17112361  54.4921562   48.82312631  43.6145493   21.17112361
  54.4921562   48.82312631]","[ 56.15991965  31.24359298  28.30934859  42.69188194  56.15991965
  31.24359298  28.30934859  42.69188194  56.15991965  31.24359298
  28.30934859  42.69188194]","[ 64.75171152  55.41464763  36.85405073  13.63172194  64.75171152
  55.41464763  36.85405073  13.63172194  64.75171152  55.41464763
  36.85405073  13.63172194]","[ 29.57486812  25.71896061  55.60833496  45.37660258  29.57486812
  25.71896061  55.60833496  45.37660258  29.57486812  25.71896061
  55.60833496  45.37660258]","[ 33.97329757  57.80020686  37.55192538  49.81514338  33.97329757
  57.80020686  37.55192538  49.81514338  33.97329757  57.80020686
  37.55192538  49.81514338]","[ 26.13723089  40.80873346  61.91999538  40.18597355  26.13723089
  40.80873346  61.91999538  40.18597355  26.13723089  40.80873346
  61.91999538  40.18597355]"
"[ 101.81108042    0.70847925   98.4611617   103.21639715  101.81108042
    0.70847925   98.4611617   103.21639715  101.81108042    0.70847925
   98.4611617   103.21639715]","[ 89.15150829  38.07723701  24.32692177  33.27691065  89.15150829
  38.07723701  24.32692177  33.27691065  89.15150829  38.07723701
  24.32692177  33.27691065]","[ 45.91956017  28.74586807  35.19284929  62.44193038  45.91956017
  28.74586807  35.19284929  62.44193038  45.91956017  28.74586807
  35.19284929  62.44193038]","[-22.9677963   35.21670927  29.38476947  54.38541283 -22.9677963
  35.21670927  29.38476947  54.38541283 -22.9677963   35.21670927
  29.38476947  54.38541283]","[  8.94786637  25.43265725  34.42905441  53.83809097   8.94786637
  25.43265725  34.42905441  53.83809097   8.94786637  25.43265725
  34.42905441  53.83809097]","[ 58.68550979  36.84531876  56.93053196  68.24264495  58.68550979
  36.84531876  56.93053196  68.24264495  58.68550979  36.84531876
  56.93053196  68.24264495]","[ 42.40023749  63.39182263  62.97517306  41.25067796  42.40023749
  63.39182263  62.97517306  41.25067796  42.40023749  63.39182263
  62.97517306  41.25067796]","[ -2.41686033  17.89426541   5.64054161  53.90056567  -2.41686033
  17.89426541   5.64054161  53.90056567  -2.41686033  17.89426541
   5.64054161  53.90056567]","[ 34.55458395  44.35651822  45.90207679  52.77218203  34.55458395
  44.35651822  45.90207679  52.77218203  34.55458395  44.35651822
  45.90207679  52.77218203]","[ 50.67382258  75.26782471  38.81804386  94.64409221  50.67382258
  75.26782471  38.81804386  94.64409221  50.67382258  75.26782471
  38.81804386  94.64409221]"
"[  74.40157644   68.53513578  128.06072374   70.41006536   74.40157644
   68.53513578  128.06072374   70.41006536   74.40157644   68.53513578
  128.06072374   70.41006536]","[ 61.62125222  82.71433764  69.63504793  15.21876969  61.62125222
  82.71433764  69.63504793  15.21876969  61.62125222  82.71433764
  69.63504793  15.21876969]","[ 52.55502399  40.66922627  42.56525079  15.30512091  52.55502399
  40.66922627  42.56525079  15.30512091  52.55502399  40.66922627
  42.56525079  15.30512091]","[ 42.82423693  56.40420992  50.83471924  80.42924278  42.82423693
  56.40420992  50.83471924  80.42924278  42.82423693  56.40420992
  50.83471924  80.42924278]","[ 43.61403356  15.20938604  -1.31494661  86.90931838  43.61403356
  15.20938604  -1.31494661  86.90931838  43.61403356  15.20938604
  -1.31494661  86.90931838]","[ 22.24699009  84.26630073  67.34876594  55.89798037  22.24699009
  84.26630073  67.34876594  55.89798037  22.24699009  84.26630073
  67.34876594  55.89798037]","[ 31.18759812  84.61684645  65.5366847   51.19736382  31.18759812
  84.61684645  65.5366847   51.19736382  31.18759812  84.61684645
  65.5366847   51.19736382]","[-19.64117761  44.53549211   8.56917666  41.57883741 -19.64117761
  44.53549211   8.56917666  41.57883741 -19.64117761  44.53549211
   8.56917666  41.57883741]","[ 35.59239766  51.06458238  36.22208815  20.69617307  35.59239766
  51.06458238  36.22208815  20.69617307  35.59239766  51.06458238
  36.22208815  20.69617307]","[ 50.82376642  20.84598058   8.63704688  36.0996048   50.82376642
  20.84598058   8.63704688  36.0996048   50.82376642  20.84598058
   8.63704688  36.0996048 ]"
"[ 95.88317954  87.12566539  93.49633182  89.83423996  95.88317954
  87.12566539  93.49633182  89.83423996  95.88317954  87.12566539
  93.49633182  89.83423996]","[ 30.38288967  52.75878967  36.77047297   3.63799272  30.38288967
  52.75878967  36.77047297   3.63799272  30.38288967  52.75878967
  36.77047297   3.63799272]","[ 58.62792583  18.87872985  51.35981356   5.19450103  58.62792583
  18.87872985  51.35981356   5.19450103  58.62792583  18.87872985
  51.35981356   5.19450103]","[ 67.18533934  52.59836568  45.73855731  39.02155272  67.18533934
  52.59836568  45.73855731  39.02155272  67.18533934  52.59836568
  45.73855731  39.02155272]","[  7.34779322  -1.36487956  39.87663963  20.12080999   7.34779322
  -1.36487956  39.87663963  20.12080999   7.34779322  -1.36487956
  39.87663963  20.12080999]","[ 13.01905452  42.48595145  48.20382054  60.93477245  13.01905452
  42.48595145  48.20382054  60.93477245  13.01905452  42.48595145
  48.20382054  60.93477245]","[ 23.31438351  40.25588258  13.36296599  50.40499764  23.31438351
  40.25588258  13.36296599  50.40499764  23.31438351  40.25588258
  13.36296599  50.40499764]","[ -7.11743268  35.85060333 -33.52043544  60.49602433  -7.11743268
  35.85060333 -33.52043544  60.49602433  -7.11743268  35.85060333
 -33.52043544  60.49602433]","[ 62.42902168  36.32966882  14.48241829  47.72453107  62.42902168
  36.32966882  14.48241829  47.72453107  62.42902168  36.32966882
  14.48241829  47.72453107]","[ 87.95926107  11.03314758  26.7727477   36.59725287  87.95926107
  11.03314758  26.7727477   36.59725287  87.95926107  11.03314758
  26.7727477   36.59725287]"
"[ 150.30114995   34.19136251  100.52251213  130.60512896  150.30114995
   34.19136251  100.52251213  130.60512896  150.30114995   34.19136251
  100.52251213  130.60512896]","[ -7.4099024   13.05940431 -10.50275783  44.53064072  -7.4099024
  13.05940431 -10.50275783  44.53064072  -7.4099024   13.05940431
 -10.50275783  44.53064072]","[ 62.34263521  25.75583886  40.65307702  13.18898122  62.34263521
  25.75583886  40.65307702  13.18898122  62.34263521  25.75583886
  40.65307702  13.18898122]","[ 73.02990814  19.98073106  79.09055108  82.47656725  73.02990814
  19.98073106  79.09055108  82.47656725  73.02990814  19.98073106
  79.09055108  82.47656725]","[ 29.070434    61.48767797  43.72657594  41.57902808  29.070434
  61.48767797  43.72657594  41.57902808  29.070434    61.48767797
  43.72657594  41.57902808]","[ 44.98323341  70.9764094   60.46903325  15.15397961  44.98323341
  70.9764094   60.46903325  15.15397961  44.98323341  70.9764094
  60.46903325  15.15397961]","[ 58.30516484  64.02905735  66.42051686  16.44496112  58.30516484
  64.02905735  66.42051686  16.44496112  58.30516484  64.02905735
  66.42051686  16.44496112]","[ 26.00620086  78.31624547  15.83458658  50.39828907  26.00620086
  78.31624547  15.83458658  50.39828907  26.00620086  78.31624547
  15.83458658  50.39828907]","[ 59.67898741  15.67843317  -6.40456246  60.03673584  59.67898741
  15.67843317  -6.40456246  60.03673584  59.67898741  15.67843317
  -6.40456246  60.03673584]","[  1.45204964  23.85095976  57.7465144   52.27526018   1.45204964
  23.85095976  57.7465144   52.27526018   1.45204964  23.85095976
  57.7465144   52.27526018]"
"[ 161.7564012   112.10747785   78.65654344  146.99234932  161.7564012
  112.10747785   78.65654344  146.99234932  161.7564012   112.10747785
   78.65654344  146.99234932]","[ 91.24131242  66.30509848  -5.6935971   13.20151872  91.24131242
  66.30509848  -5.6935971   13.20151872  91.24131242  66.30509848
  -5.6935971   13.20151872]","[ 32.49611203  30.51602325  71.94309899  14.69208256  32.49611203
  30.51602325  71.94309899  14.69208256  32.49611203  30.51602325
  71.94309899  14.69208256]","[ 41.90209601  15.59245386  65.94607826  93.81718445  41.90209601
  15.59245386  65.94607826  93.81718445  41.90209601  15.59245386
  65.94607826  93.81718445]","[  44.31540531  113.23814841    5.39885119   56.67706277   44.31540531
  113.23814841    5.39885119   56.67706277   44.31540531  113.23814841
    5.39885119   56.67706277]","[ 13.63086864  52.71511643  19.70444957  15.66716935  13.63086864
  52.71511643  19.70444957  15.66716935  13.63086864  52.71511643
  19.70444957  15.66716935]","[ 99.89223443   0.48406577  27.45387199  84.22461891  99.89223443
   0.48406577  27.45387199  84.22461891  99.89223443   0.48406577
  27.45387199  84.22461891]","[ 47.22082656  50.04079115  59.96431787  22.12844714  47.22082656
  50.04079115  59.96431787  22.12844714  47.22082656  50.04079115
  59.96431787  22.12844714]","[  69.00227052   48.6987483   115.30857273   15.08082491   69.00227052
   48.6987483   115.30857273   15.08082491   69.00227052   48.6987483
  115.30857273   15.08082491]","[  3.92539171  54.79296864  20.10179952  32.46806359   3.92539171
  54.79296864  20.10179952  32.46806359   3.92539171  54.79296864
  20.10179952  32.46806359]"
"[  34.90061868  125.72712703  112.79126907  171.13978762   34.90061868
  125.72712703  112.79126907  171.13978762   34.90061868  125.72712703
  112.79126907  171.13978762]","[ 75.02856466  73.88243259  35.7427338   60.05402885  75.02856466
  73.88243259  35.7427338   60.05402885  75.02856466  73.88243259
  35.7427338   60.05402885]","[ 37.60668111  36.18419081  71.52720855  23.85593868  37.60668111
  36.18419081  71.52720855  23.85593868  37.60668111  36.18419081
  71.52720855  23.85593868]","[  48.39615954  108.58362955   43.8386109    64.32694159   48.39615954
  108.58362955   43.8386109    64.32694159   48.39615954  108.58362955
   43.8386109    64.32694159]","[  51.51153996   42.63995435   45.77980233  122.96864363   51.51153996
   42.63995435   45.77980233  122.96864363   51.51153996   42.63995435
   45.77980233  122.96864363]","[ 60.93314017  29.39456161  53.06901967  21.733987    60.93314017
  29.39456161  53.06901967  21.733987    60.93314017  29.39456161
  53.06901967  21.733987  ]","[ 35.88485035  77.02058704   3.99560821  60.85159402  35.88485035
  77.02058704   3.99560821  60.85159402  35.88485035  77.02058704
   3.99560821  60.85159402]","[  0.38371329   5.46388658  58.03545343  36.19148503   0.38371329
   5.46388658  58.03545343  36.19148503   0.38371329   5.46388658
  58.03545343  36.19148503]","[ 64.85180114   2.87815324  74.79456118   1.37522853  64.85180114
   2.87815324  74.79456118   1.37522853  64.85180114   2.87815324
  74.79456118   1.37522853]","[ 17.14598729  71.22134609  26.82303703  61.44419357  17.14598729
  71.22134609  26.82303703  61.44419357  17.14598729  71.22134609
  26.82303703  61.44419357]"
"[ 109.55383725  110.97880249  160.97559144  166.14046481  109.55383725
  110.97880249  160.97559144  166.14046481  109.55383725  110.97880249
  160.97559144  166.14046481]","[ 27.62591363  36.00999717  22.94568473  22.98919531  27.62591363
  36.00999717  22.94568473  22.98919531  27.62591363  36.00999717
  22.94568473  22.98919531]","[ 12.16836826  44.86439173  47.5410965   33.50029581  12.16836826
  44.86439173  47.5410965   33.50029581  12.16836826  44.86439173
  47.5410965   33.50029581]","[ 38.83977052  71.65905489  89.44224061  21.68867851  38.83977052
  71.65905489  89.44224061  21.68867851  38.83977052  71.65905489
  89.44224061  21.68867851]","[ 52.29500886  76.29654436  25.39851659  31.70936316  52.29500886
  76.29654436  25.39851659  31.70936316  52.29500886  76.29654436
  25.39851659  31.70936316]","[ 11.80446134  91.37224917  25.59295818  66.45724977  11.80446134
  91.37224917  25.59295818  66.45724977  11.80446134  91.37224917
  25.59295818  66.45724977]","[ 38.94188871  47.6280673   68.33684555  28.81829024  38.94188871
  47.6280673   68.33684555  28.81829024  38.94188871  47.6280673
  68.33684555  28.81829024]","[ 25.12391385  42.46935237  20.65963432  24.3625697   25.12391385
  42.46935237  20.65963432  24.3625697   25.12391385  42.46935237
  20.65963432  24.3625697 ]","[  83.37325302   58.96205523  103.65371393   31.05738156   83.37325302
   58.96205523  103.65371393   31.05738156   83.37325302   58.96205523
  103.65371393   31.05738156]","[ 79.7098495   43.55100669  66.50505235  88.27062533  79.7098495
  43.55100669  66.50505235  88.27062533  79.7098495   43.55100669
  66.50505235  88.27062533]"
"[  86.38318309   67.27734158  153.39706231  142.82467293   86.38318309
   67.27734158  153.39706231  142.82467293   86.38318309   67.27734158
  153.39706231  142.82467293]","[ 67.35771581  58.34657587  61.81237974  67.16086042  67.35771581
  58.34657587  61.81237974  67.16086042  67.35771581  58.34657587
  61.81237974  67.16086042]","[ 95.31748357  33.88025481  62.84319683  74.29073489  95.31748357
  33.88025481  62.84319683  74.29073489  95.31748357  33.88025481
  62.84319683  74.29073489]","[ 62.53772391  60.81333627  55.04316837  85.79330426  62.53772391
  60.81333627  55.04316837  85.79330426  62.53772391  60.81333627
  55.04316837  85.79330426]","[ 52.45190892  71.07420355  93.23837498  51.76182069  52.45190892
  71.07420355  93.23837498  51.76182069  52.45190892  71.07420355
  93.23837498  51.76182069]","[  6.93056328  51.86520849  77.03286858  62.91355686   6.93056328
  51.86520849  77.03286858  62.91355686   6.93056328  51.86520849
  77.03286858  62.91355686]","[ 44.68167634  71.01482344  66.90404993  25.35677265  44.68167634
  71.01482344  66.90404993  25.35677265  44.68167634  71.01482344
  66.90404993  25.35677265]","[ 14.50971307   6.12542585  50.84820905  41.70631762  14.50971307
   6.12542585  50.84820905  41.70631762  14.50971307   6.12542585
  50.84820905  41.70631762]","[ 50.14470356  51.99029035  72.70189394  46.37591418  50.14470356
  51.99029035  72.70189394  46.37591418  50.14470356  51.99029035
  72.70189394  46.37591418]","[ 103.88338319  115.56621284   43.00677307   32.80193381  103.88338319
  115.56621284   43.00677307   32.80193381  103.88338319  115.56621284
   43.00677307   32.80193381]"
"[ 156.32348938  198.20098279  185.31750136  122.32035953  156.32348938
  198.20098279  185.31750136  122.32035953  156.32348938  198.20098279
  185.31750136  122.32035953]","[ 33.17140753  26.05936486  66.21397202  55.61216116  33.17140753
  26.05936486  66.21397202  55.61216116  33.17140753  26.05936486
  66.21397202  55.61216116]","[ 57.8132341   86.13468711   6.26383012  34.56007783  57.8132341
  86.13468711   6.26383012  34.56007783  57.8132341   86.13468711
   6.26383012  34.56007783]","[ 79.79415045  72.39829017  83.5904304   30.17389919  79.79415045
  72.39829017  83.5904304   30.17389919  79.79415045  72.39829017
  83.5904304   30.17389919]","[ 72.95213257  23.86243073  32.11836906   7.02779855  72.95213257
  23.86243073  32.11836906   7.02779855  72.95213257  23.86243073
  32.11836906   7.02779855]","[ 76.86474789  19.24924665  99.499115    61.23470825  76.86474789
  19.24924665  99.499115    61.23470825  76.86474789  19.24924665
  99.499115    61.23470825]","[ 62.64021196  64.17846887  50.44525761  44.78162051  62.64021196
  64.17846887  50.44525761  44.78162051  62.64021196  64.17846887
  50.44525761  44.78162051]","[ 66.74509873  32.11911093  43.69269213  67.31059322  66.74509873
  32.11911093  43.69269213  67.31059322  66.74509873  32.11911093
  43.69269213  67.31059322]","[  85.0212545    76.25356119  107.13427818   63.06635978   85.0212545
   76.25356119  107.13427818   63.06635978   85.0212545    76.25356119
  107.13427818   63.06635978]","[ 57.49170051  86.96029927  39.39131607  32.82673785  57.49170051
  86.96029927  39.39131607  32.82673785  57.49170051  86.96029927
  39.39131607  32.82673785]"
