variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
82057.76820845527,44801.36269452541,50370.58206471947,65787.41571730073,64895.61352133288,104781.40252381553,45820.45346521187,86027.84234671658,82516.23778135798,38782.45173319152
180801.13708173227,94839.7184546548,66325.91150438515,57601.14087402672,92233.27838072865,58344.34823020399,86414.50198081788,35315.751666303695,61296.58872120356,95150.51278857532
90120.14690339952,87288.32627196718,32293.147359934068,64588.45770983675,94449.66853437715,53377.03578133385,80183.67470370806,71345.70677757895,69376.37724458742,51546.91152181276
156725.40082341345,20516.66132267117,60696.29336745563,170888.25944781827,62793.86137841828,35539.63470550159,38910.10817244359,73389.95047881611,103003.05595440618,116003.17289264416
237963.0598500133,38087.22566187311,43541.22945370244,152013.8219618044,147637.4527338998,122743.98020704005,85721.25667183596,42696.08093636003,87735.55702871451,127000.61712459916
277062.23264882737,142610.3412015213,52320.38468432307,190055.43551421934,120519.81872430549,79204.28966721479,96463.02027197959,93864.90882014544,144616.28567564872,33929.729774391366
205897.46289796225,57059.35584790725,66591.51343067345,89920.06594175845,97371.6817267276,66077.18356953579,49806.72878252678,74736.56556200459,61546.57908349048,149827.34337966464
284598.5994812808,37765.05445843678,34934.1840858837,140764.25414181227,65275.60593241276,72685.1941603792,29878.800662593167,44633.38208062228,111507.64472012094,130037.80299233775
176586.05054793129,51211.71674932613,59188.73740815607,118925.98921855296,117805.10813304012,128502.17799516807,89679.04565195627,65036.747483475774,90057.01470811079,132495.47696825681
375379.04680587497,80612.83888030853,74558.3565837934,118485.29467775246,77077.16665456563,148372.86935383317,160133.25881561154,49173.67145324244,149072.71824575937,142148.6606229748
228376.99834117407,136737.4810231849,62325.17923562277,102963.7799301975,51012.2231065241,107799.97226661246,149935.0568851689,43374.33197100369,156578.59284596896,152601.52272848334
342945.156529178,53353.15092853363,156830.96983505704,187791.35921343818,133462.61199459434,245561.5312085313,184116.29039900584,41909.51462820732,111468.18460420897,124898.49489282657
291581.15149861993,128459.6310322443,108160.80410299863,171569.5345114248,136739.7974078927,161383.14064513936,161229.28100720077,41787.6401843905,117904.37385745418,149969.29312324867
255526.87134561976,139083.54203526018,110507.89824702803,376200.4628974048,351727.3909204656,54398.18345203562,110124.41393748198,46303.008340994435,120600.0796129074,141412.28132655355
724594.0378275921,142176.87745556646,84940.72958254103,204097.92255960597,215653.9214369487,132323.75307782865,135147.86667500014,62602.192017543595,54310.63931804902,124391.28919287189
584341.9260923881,181041.08562854456,151034.81824598025,109839.63679249995,162968.42876314456,92905.53489643292,206765.14335127186,49646.35153623476,294548.52902115893,108525.39355946396
582774.699880685,219453.04085434665,180000.6914661397,159432.64096059787,152931.70602208108,146516.93126802205,117097.92585805742,57665.64815440497,121972.53688879548,224964.3316919846
493676.2048914298,113461.9507652153,172795.73839140197,382846.31771917496,248747.97531222936,145042.46152566644,329376.0032723009,101995.34714089285,188368.25978645027,226016.03375209944
357667.33861234516,130884.35709063432,136745.1646209563,203865.5171142958,232359.75731383412,110957.58533239669,162951.64002945006,95069.57007200997,188428.73353446528,158051.4755115167
394924.51342128403,160737.76767108368,88146.25640356902,104803.46638417507,149917.30586162469,60995.35066734043,96609.83018726413,43841.03862266225,219884.3744552128,176377.1511209824
647548.1126456968,283327.5425246101,231408.05427838536,101483.12400402213,161775.52504978317,222015.6038127441,235985.93926947936,107093.96879681644,102728.61814909872,116062.0467826479
666262.9287298373,184428.8528399356,206271.65502297442,482987.40848843456,122131.53548117634,184095.36136796512,326733.5406591237,47258.07659214703,109989.30701494994,146720.84012716636
209598.89956763724,206077.44175412628,222677.6813225685,134095.60747321558,87213.71839343758,214006.55291863525,254435.67681905255,110264.9159257119,164823.41578110275,182158.2720654565
494585.9877613075,152750.13923141418,376147.79484346206,382050.79672810854,112758.70020875988,180729.75189741707,211261.13523532086,94479.68191930141,149751.69575046978,191151.916233
303997.47639981506,197055.5874437436,292963.1896271531,330681.8512331231,196479.98536317924,175407.57912521623,125220.129646705,142143.68750140484,151157.47452165332,220864.8839840515
361901.43826722854,196250.77177478385,409269.5132171817,247717.79091931897,177748.9795443779,213997.2834059312,197971.37301654875,102069.09479085065,202755.56934574852,271043.66150992695
548590.0847096419,220103.93297428044,583544.9605143127,250988.02150797436,172746.7996082281,309033.39508544735,286069.3591943213,101199.93476935083,338148.46982771694,223371.33325741653
282825.85096698365,218628.6766480984,510253.4414747562,129820.81351215343,93289.40035554953,311450.11070325004,417839.1138633251,98839.19137183712,234509.3874160577,246608.2464783421
592787.5680568158,245349.2310018863,291585.50021155796,176023.6560999218,212395.83535265882,238347.70234524002,153361.16423405084,56721.16826991035,215385.18573130463,159516.2181086079
308098.4396490932,180815.94459347453,196821.85380958626,184047.66006122302,329324.99271905643,209673.85798929207,167443.74364444375,77285.90672447706,169215.20479183114,164403.27652153836
426391.42799926485,180531.55650602645,104759.60554026294,135787.69604561894,245713.94977788813,307779.7271269916,189356.1630785513,190352.47621513286,191970.31749187753,133971.3810769571
424430.78789161594,107683.16243561843,258056.28657506144,358614.5673861888,310189.30085078016,223523.08251354986,203413.03062542016,219212.7555686914,299972.7304737806,314725.04086181364
836638.4504423265,204999.3320679352,632667.1246416802,339494.35412992846,293795.3532798717,318393.2936009946,351188.81619381043,119679.90715738668,150592.00585759996,177529.21104874328
1132527.63807812,239054.52550279297,248570.34534143115,216650.9933864401,203845.7915299355,385527.9918598451,112884.34998021944,174655.1274054667,278862.363274446,163956.61716248776
490639.9367366941,299750.6737082555,293743.2099899227,253643.5595358241,158895.22801945865,400400.8194276181,258791.38476401515,130028.2822333529,118391.52110279602,187300.12939702265
702876.402056477,233945.19280327007,527576.3182675396,312150.78886955883,131733.84109430105,264404.1582467176,218836.59698703367,185816.53859914638,244845.68304836738,296764.56049165275
447646.54973744554,169748.2161255749,888261.1213080607,317705.9081686728,197438.54683024678,281900.6799222457,227531.98533050856,275130.2380952777,111179.96319320278,102528.79842142998
1155858.8763426044,230017.5712424884,521690.4437078153,206904.2178007756,377896.1574693081,494517.4966360127,234471.6437702769,141240.66657940164,222180.6389634721,164082.50972218596
549129.1313678082,340064.18898139114,609844.6854594186,302984.86807374156,197481.5784577551,366490.7868469412,337651.23720348044,254135.40127917822,123923.35961697924,176515.23133298085
484825.8083083144,249885.68930051746,331492.0824058508,266223.0541149171,277215.5534687808,740470.3453813065,314856.44289523805,157464.56680800262,261278.79970146695,225340.39206337841
