rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 35.63980876  53.59449487  68.41846566  63.10148629  35.63980876
  53.59449487  68.41846566  63.10148629  35.63980876  53.59449487
  68.41846566  63.10148629]","[ 22.65660659  48.91618697  58.23549698  39.01294958  22.65660659
  48.91618697  58.23549698  39.01294958  22.65660659  48.91618697
  58.23549698  39.01294958]","[ 59.10203909  39.48317996  42.5394345   59.11460724  59.10203909
  39.48317996  42.5394345   59.11460724  59.10203909  39.48317996
  42.5394345   59.11460724]","[  78.44092104   34.36860186  -12.71425057  100.4738825    78.44092104
   34.36860186  -12.71425057  100.4738825    78.44092104   34.36860186
  -12.71425057  100.4738825 ]","[ 28.42693235  14.92588846  -3.53482974  47.39963461  28.42693235
  14.92588846  -3.53482974  47.39963461  28.42693235  14.92588846
  -3.53482974  47.39963461]","[ 82.97036479  -2.80600623  18.64795114   1.6166704   82.97036479
  -2.80600623  18.64795114   1.6166704   82.97036479  -2.80600623
  18.64795114   1.6166704 ]","[ 55.61432371  63.84607848  -2.66543342   2.3847132   55.61432371
  63.84607848  -2.66543342   2.3847132   55.61432371  63.84607848
  -2.66543342   2.3847132 ]","[ 66.66263052  48.30291767  63.87733798  38.81135374  66.66263052
  48.30291767  63.87733798  38.81135374  66.66263052  48.30291767
  63.87733798  38.81135374]","[ 30.62952773  30.20919358  -3.0651149   24.0667336   30.62952773
  30.20919358  -3.0651149   24.0667336   30.62952773  30.20919358
  -3.0651149   24.0667336 ]","[ 17.47372407  33.71372232  12.86109653  25.92707584  17.47372407
  33.71372232  12.86109653  25.92707584  17.47372407  33.71372232
  12.86109653  25.92707584]"
"[ 89.70820614  80.41793704  55.43063654  51.75151417  89.70820614
  80.41793704  55.43063654  51.75151417  89.70820614  80.41793704
  55.43063654  51.75151417]","[ 26.68995589  23.02831979  63.72497705  58.41848152  26.68995589
  23.02831979  63.72497705  58.41848152  26.68995589  23.02831979
  63.72497705  58.41848152]","[ 30.2298325   54.84008544  -5.43136241  62.21891818  30.2298325
  54.84008544  -5.43136241  62.21891818  30.2298325   54.84008544
  -5.43136241  62.21891818]","[ 38.80877971  18.13422675  36.62942689  15.75503613  38.80877971
  18.13422675  36.62942689  15.75503613  38.80877971  18.13422675
  36.62942689  15.75503613]","[ -6.49249681   7.23092832  43.33703303  12.8366477   -6.49249681
   7.23092832  43.33703303  12.8366477   -6.49249681   7.23092832
  43.33703303  12.8366477 ]","[ 34.41477432  44.35861397  -8.47106622  58.56827748  34.41477432
  44.35861397  -8.47106622  58.56827748  34.41477432  44.35861397
  -8.47106622  58.56827748]","[ 69.464492    44.51836159  14.8227225    1.16885562  69.464492
  44.51836159  14.8227225    1.16885562  69.464492    44.51836159
  14.8227225    1.16885562]","[ 50.55206809  58.21400488  25.1531993   67.24673395  50.55206809
  58.21400488  25.1531993   67.24673395  50.55206809  58.21400488
  25.1531993   67.24673395]","[ 49.71122591  39.35506839   9.80532096  30.28555014  49.71122591
  39.35506839   9.80532096  30.28555014  49.71122591  39.35506839
   9.80532096  30.28555014]","[ 91.38534135  76.55509998  32.57526191  29.14842755  91.38534135
  76.55509998  32.57526191  29.14842755  91.38534135  76.55509998
  32.57526191  29.14842755]"
"[ 73.12422682  48.42912896  65.02546571  26.34245089  73.12422682
  48.42912896  65.02546571  26.34245089  73.12422682  48.42912896
  65.02546571  26.34245089]","[ 23.64282109  47.12201305   8.71633573  59.76845883  23.64282109
  47.12201305   8.71633573  59.76845883  23.64282109  47.12201305
   8.71633573  59.76845883]","[ 72.0904581   47.9395835   73.05484581  73.41616683  72.0904581
  47.9395835   73.05484581  73.41616683  72.0904581   47.9395835
  73.05484581  73.41616683]","[ 51.16535977  -0.51748     20.43910692  51.80002808  51.16535977  -0.51748
  20.43910692  51.80002808  51.16535977  -0.51748     20.43910692
  51.80002808]","[ 35.35523348  -1.90039498  15.93276493  50.68579117  35.35523348
  -1.90039498  15.93276493  50.68579117  35.35523348  -1.90039498
  15.93276493  50.68579117]","[ 13.59256178  12.75166868  56.90262885   1.9128021   13.59256178
  12.75166868  56.90262885   1.9128021   13.59256178  12.75166868
  56.90262885   1.9128021 ]","[ -9.86114927  44.60127905  30.07614904  27.11415127  -9.86114927
  44.60127905  30.07614904  27.11415127  -9.86114927  44.60127905
  30.07614904  27.11415127]","[ 36.0231352   37.63974178  32.34185086  18.91364733  36.0231352
  37.63974178  32.34185086  18.91364733  36.0231352   37.63974178
  32.34185086  18.91364733]","[ 47.48333531  78.48762018  29.23269025  44.26456799  47.48333531
  78.48762018  29.23269025  44.26456799  47.48333531  78.48762018
  29.23269025  44.26456799]","[ 133.82653229   61.34516064   47.58061194   38.21914156  133.82653229
   61.34516064   47.58061194   38.21914156  133.82653229   61.34516064
   47.58061194   38.21914156]"
"[  61.26590514  108.553411     67.1620716    95.22343473   61.26590514
  108.553411     67.1620716    95.22343473   61.26590514  108.553411
   67.1620716    95.22343473]","[ 37.98968243  56.92178331  33.97800638  84.0151327   37.98968243
  56.92178331  33.97800638  84.0151327   37.98968243  56.92178331
  33.97800638  84.0151327 ]","[ 70.32374887  47.77619325  47.73877503  34.61168074  70.32374887
  47.77619325  47.73877503  34.61168074  70.32374887  47.77619325
  47.73877503  34.61168074]","[ 13.85004689  -9.87534253  46.61442786  43.90028671  13.85004689
  -9.87534253  46.61442786  43.90028671  13.85004689  -9.87534253
  46.61442786  43.90028671]","[  8.80661881  45.86268314  -3.51772103  44.93381614   8.80661881
  45.86268314  -3.51772103  44.93381614   8.80661881  45.86268314
  -3.51772103  44.93381614]","[ 44.1855632   11.72511713  -8.72259159  80.83085841  44.1855632
  11.72511713  -8.72259159  80.83085841  44.1855632   11.72511713
  -8.72259159  80.83085841]","[ 31.58084586  47.12770079   0.79815637  23.82657496  31.58084586
  47.12770079   0.79815637  23.82657496  31.58084586  47.12770079
   0.79815637  23.82657496]","[ 88.68212467  -5.0722828   53.98557638  71.83718251  88.68212467
  -5.0722828   53.98557638  71.83718251  88.68212467  -5.0722828
  53.98557638  71.83718251]","[ 37.08967102  10.26551614   5.87787674  43.88800317  37.08967102
  10.26551614   5.87787674  43.88800317  37.08967102  10.26551614
   5.87787674  43.88800317]","[ 92.36340384  60.94122324  56.7332789   83.05871732  92.36340384
  60.94122324  56.7332789   83.05871732  92.36340384  60.94122324
  56.7332789   83.05871732]"
"[ 114.81045324   66.29377324   69.38081731   79.63097527  114.81045324
   66.29377324   69.38081731   79.63097527  114.81045324   66.29377324
   69.38081731   79.63097527]","[ 33.93908765  61.91972835  23.73988955  21.26930989  33.93908765
  61.91972835  23.73988955  21.26930989  33.93908765  61.91972835
  23.73988955  21.26930989]","[ 107.33367637   97.08953597   51.17892251   29.40090421  107.33367637
   97.08953597   51.17892251   29.40090421  107.33367637   97.08953597
   51.17892251   29.40090421]","[ 35.72622262  28.77780312  41.03312417  46.29619597  35.72622262
  28.77780312  41.03312417  46.29619597  35.72622262  28.77780312
  41.03312417  46.29619597]","[ 55.61311012  31.24171865  53.44455496  53.51953713  55.61311012
  31.24171865  53.44455496  53.51953713  55.61311012  31.24171865
  53.44455496  53.51953713]","[ 27.90361918  48.75118673  58.57559913  22.74403974  27.90361918
  48.75118673  58.57559913  22.74403974  27.90361918  48.75118673
  58.57559913  22.74403974]","[ 33.78986009  59.22116999  28.16657054  68.89470962  33.78986009
  59.22116999  28.16657054  68.89470962  33.78986009  59.22116999
  28.16657054  68.89470962]","[ 68.24130873  14.42420906  44.96678503  52.32524402  68.24130873
  14.42420906  44.96678503  52.32524402  68.24130873  14.42420906
  44.96678503  52.32524402]","[ 21.40406407  10.17855514  53.88470344  74.91444601  21.40406407
  10.17855514  53.88470344  74.91444601  21.40406407  10.17855514
  53.88470344  74.91444601]","[ 70.93896057  27.21591319  59.21236199  82.67616767  70.93896057
  27.21591319  59.21236199  82.67616767  70.93896057  27.21591319
  59.21236199  82.67616767]"
"[ 68.17197503  96.79560569  72.41800032   7.12938367  68.17197503
  96.79560569  72.41800032   7.12938367  68.17197503  96.79560569
  72.41800032   7.12938367]","[ 62.384688    81.41309139  66.72692329  58.07406845  62.384688
  81.41309139  66.72692329  58.07406845  62.384688    81.41309139
  66.72692329  58.07406845]","[ 74.49293468  64.3035434    6.26987946  52.92163535  74.49293468
  64.3035434    6.26987946  52.92163535  74.49293468  64.3035434
   6.26987946  52.92163535]","[ 57.24880494  91.57122737  57.78377155  -5.87559326  57.24880494
  91.57122737  57.78377155  -5.87559326  57.24880494  91.57122737
  57.78377155  -5.87559326]","[ 42.42299859  15.29361292  38.02008474  18.55245065  42.42299859
  15.29361292  38.02008474  18.55245065  42.42299859  15.29361292
  38.02008474  18.55245065]","[  39.28270295   16.70068426  104.17135592   68.91349261   39.28270295
   16.70068426  104.17135592   68.91349261   39.28270295   16.70068426
  104.17135592   68.91349261]","[ 45.96312361  23.09091106  54.59956614  74.31401431  45.96312361
  23.09091106  54.59956614  74.31401431  45.96312361  23.09091106
  54.59956614  74.31401431]","[ 76.94385119  98.26928612  80.31327871  43.45367126  76.94385119
  98.26928612  80.31327871  43.45367126  76.94385119  98.26928612
  80.31327871  43.45367126]","[ 83.45708198  29.46504157  51.11810636   3.77640342  83.45708198
  29.46504157  51.11810636   3.77640342  83.45708198  29.46504157
  51.11810636   3.77640342]","[ 64.86730797  65.61440994  21.46451642  47.15429813  64.86730797
  65.61440994  21.46451642  47.15429813  64.86730797  65.61440994
  21.46451642  47.15429813]"
"[ 144.62718338   94.95782838   67.47864441   98.37873133  144.62718338
   94.95782838   67.47864441   98.37873133  144.62718338   94.95782838
   67.47864441   98.37873133]","[ 81.55754727  10.70764218  33.55004069  43.75405675  81.55754727
  10.70764218  33.55004069  43.75405675  81.55754727  10.70764218
  33.55004069  43.75405675]","[ 75.80242664  57.53258905  74.75206716  44.21811285  75.80242664
  57.53258905  74.75206716  44.21811285  75.80242664  57.53258905
  74.75206716  44.21811285]","[ 93.41979082  66.97256226  20.78191068  59.34869247  93.41979082
  66.97256226  20.78191068  59.34869247  93.41979082  66.97256226
  20.78191068  59.34869247]","[ 42.01179605  75.44055633  32.90184187  64.13770452  42.01179605
  75.44055633  32.90184187  64.13770452  42.01179605  75.44055633
  32.90184187  64.13770452]","[ 21.64736209  51.80541644  49.90679324   8.38797099  21.64736209
  51.80541644  49.90679324   8.38797099  21.64736209  51.80541644
  49.90679324   8.38797099]","[ 38.48182228  66.70273871  46.91025425  63.92829088  38.48182228
  66.70273871  46.91025425  63.92829088  38.48182228  66.70273871
  46.91025425  63.92829088]","[  49.5826488    66.16415482   49.24844252  100.43863702   49.5826488
   66.16415482   49.24844252  100.43863702   49.5826488    66.16415482
   49.24844252  100.43863702]","[ 93.04796316  57.53152825  21.0253808   57.12168546  93.04796316
  57.53152825  21.0253808   57.12168546  93.04796316  57.53152825
  21.0253808   57.12168546]","[ 68.00079687  48.27445931  84.29156582  79.64616449  68.00079687
  48.27445931  84.29156582  79.64616449  68.00079687  48.27445931
  84.29156582  79.64616449]"
"[  88.42488335  116.50781398   85.26882489   40.53759132   88.42488335
  116.50781398   85.26882489   40.53759132   88.42488335  116.50781398
   85.26882489   40.53759132]","[ 22.65263007  79.27217395  59.25687494  82.27023832  22.65263007
  79.27217395  59.25687494  82.27023832  22.65263007  79.27217395
  59.25687494  82.27023832]","[ 46.07711363  84.43289282  55.08408251  84.12494933  46.07711363
  84.43289282  55.08408251  84.12494933  46.07711363  84.43289282
  55.08408251  84.12494933]","[ 17.2487754   27.19478193  46.57959913  37.02400553  17.2487754
  27.19478193  46.57959913  37.02400553  17.2487754   27.19478193
  46.57959913  37.02400553]","[ 51.42242118  67.63884882  57.56253716  21.53313265  51.42242118
  67.63884882  57.56253716  21.53313265  51.42242118  67.63884882
  57.56253716  21.53313265]","[ 107.98077867   89.12898785   75.98489866   60.16485271  107.98077867
   89.12898785   75.98489866   60.16485271  107.98077867   89.12898785
   75.98489866   60.16485271]","[ 16.54676703  53.65340736  -8.70999808  22.18933279  16.54676703
  53.65340736  -8.70999808  22.18933279  16.54676703  53.65340736
  -8.70999808  22.18933279]","[ 54.84054043  74.80973019  88.81684654  64.90366654  54.84054043
  74.80973019  88.81684654  64.90366654  54.84054043  74.80973019
  88.81684654  64.90366654]","[ 24.01504145  98.42894425  68.48844228  54.74150401  24.01504145
  98.42894425  68.48844228  54.74150401  24.01504145  98.42894425
  68.48844228  54.74150401]","[ 100.17138455   76.8060305    64.09926672   70.38905102  100.17138455
   76.8060305    64.09926672   70.38905102  100.17138455   76.8060305
   64.09926672   70.38905102]"
"[  91.94076544   56.26999171   89.82080936  132.81120566   91.94076544
   56.26999171   89.82080936  132.81120566   91.94076544   56.26999171
   89.82080936  132.81120566]","[ 60.89916155  22.2246815   94.13001828  56.03606878  60.89916155
  22.2246815   94.13001828  56.03606878  60.89916155  22.2246815
  94.13001828  56.03606878]","[ 54.58656528  41.90886468  91.30469264  31.47065373  54.58656528
  41.90886468  91.30469264  31.47065373  54.58656528  41.90886468
  91.30469264  31.47065373]","[ 26.91803053  -4.0965661   60.48867126  58.02229936  26.91803053
  -4.0965661   60.48867126  58.02229936  26.91803053  -4.0965661
  60.48867126  58.02229936]","[ 44.5887821   32.0483338   16.8709231   53.43354082  44.5887821
  32.0483338   16.8709231   53.43354082  44.5887821   32.0483338
  16.8709231   53.43354082]","[ 49.7965923   84.82915912  76.58211323  84.01241347  49.7965923
  84.82915912  76.58211323  84.01241347  49.7965923   84.82915912
  76.58211323  84.01241347]","[ 26.75711836  73.51244974  82.57957452  69.8372728   26.75711836
  73.51244974  82.57957452  69.8372728   26.75711836  73.51244974
  82.57957452  69.8372728 ]","[  67.64863008   45.09516374   72.31478162  103.49593741   67.64863008
   45.09516374   72.31478162  103.49593741   67.64863008   45.09516374
   72.31478162  103.49593741]","[ 75.44614614  67.44798102  41.17114846  41.4847438   75.44614614
  67.44798102  41.17114846  41.4847438   75.44614614  67.44798102
  41.17114846  41.4847438 ]","[ 102.69109954   51.25227552   68.57690706  119.08942555  102.69109954
   51.25227552   68.57690706  119.08942555  102.69109954   51.25227552
   68.57690706  119.08942555]"
"[  50.14323966  110.83277029   50.84137619   65.50249771   50.14323966
  110.83277029   50.84137619   65.50249771   50.14323966  110.83277029
   50.84137619   65.50249771]","[ 75.95557651  45.73165787  35.47509269  79.35835826  75.95557651
  45.73165787  35.47509269  79.35835826  75.95557651  45.73165787
  35.47509269  79.35835826]","[  90.24235646  115.0040331   101.21693259  112.51670427   90.24235646
  115.0040331   101.21693259  112.51670427   90.24235646  115.0040331
  101.21693259  112.51670427]","[ 36.27460416  76.89675516  77.09850973  41.60190679  36.27460416
  76.89675516  77.09850973  41.60190679  36.27460416  76.89675516
  77.09850973  41.60190679]","[ 55.15982531  36.52467596  34.13109643  55.80621101  55.15982531
  36.52467596  34.13109643  55.80621101  55.15982531  36.52467596
  34.13109643  55.80621101]","[ 115.24446154   66.16784849   56.90531718   63.91327103  115.24446154
   66.16784849   56.90531718   63.91327103  115.24446154   66.16784849
   56.90531718   63.91327103]","[ 46.0987814   60.98960446  25.32259609  42.21381694  46.0987814
  60.98960446  25.32259609  42.21381694  46.0987814   60.98960446
  25.32259609  42.21381694]","[ 88.63197533  65.89211373  26.82834121  23.99495865  88.63197533
  65.89211373  26.82834121  23.99495865  88.63197533  65.89211373
  26.82834121  23.99495865]","[ 66.6279109   62.66689095  17.24233285  38.63719487  66.6279109
  62.66689095  17.24233285  38.63719487  66.6279109   62.66689095
  17.24233285  38.63719487]","[ 52.54489117  29.84436414  67.87267995  49.92414191  52.54489117
  29.84436414  67.87267995  49.92414191  52.54489117  29.84436414
  67.87267995  49.92414191]"
