rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 84.26725576  32.86924466  32.86924466  31.63651532  31.63651532
  59.43830327  32.86924466  31.63651532  84.26725576  32.86924466]","[ 37.27493664  41.64518981  31.37632833  62.53218417   6.78874804
  68.95950491  78.84072035  38.20993942  15.36268985  13.77345285]","[ 25.22160196   1.77338298  29.30197596  17.81235014  28.02686398
  67.31440278  49.33179164  47.19088445   4.56629244  39.44231722]","[ 58.72988066  39.38036716  16.86078013  41.91484952  -1.73138443
  34.20528922  10.58743194  16.19266278  -4.76509982  31.7814687 ]","[ 10.22132462  50.11486389  40.04247691   0.99678758  70.62832999
  44.78242648  43.97396063  47.16108217  36.62264281  28.3412231 ]","[ 27.20508613  -2.40074241  36.44728521 -21.43850529  37.2240614
   8.54314495  -6.56541601  33.54521169 -21.43850529  37.2240614 ]","[  7.84754107 -28.05516429  36.58932585  32.71339897  -5.04755456
  28.49577454  88.09139977  57.52269747  57.13149131  47.6194778 ]","[ 20.28083483  10.30582174  20.40021664  33.31509042  40.63037905
  32.34723631  22.64208149  -5.47051739  39.23721652  57.01638751]","[ -4.20990963  13.86260103   6.64433802  45.0998301   52.72719495
  31.91743455  46.82642166  38.26445354  38.88271978  67.5340509 ]","[ 36.07440033   8.5752604   45.14696959 -25.42707706  -1.24623177
  80.31402151  16.48160188  52.62781255  -5.56049978   3.7132185 ]"
"[ -8.37877406  59.81743518  74.88118082  -8.37877406  44.00293922
  74.88118082  -8.37877406  59.81743518  74.88118082  -8.37877406]","[  44.34912029   40.25454442   25.42996926   31.00382041   56.51284455
   55.03992924   47.03228554   32.48520263   68.65792194  110.70585482]","[ 25.34529717  49.80216811  25.88041479  56.26297556  37.97676025
  32.83340662  20.84069733  -0.28929555  56.27406758  52.54734247]","[  18.24129163   17.71507961  105.50273268   39.30644595   12.44537789
    1.19970967   42.3723171    38.83917072   16.87503188   37.51613571]","[ 93.27477412  -0.94891897  37.83219251  20.92728626  69.1242955
  26.72604854  97.77282347  71.83046336  41.05566589   4.77972863]","[ 52.18144342  16.88906298  32.92801132  10.70293342  75.1111703
  -0.15170665  55.35891678  38.57816722  63.13601828  58.70727162]","[ 59.94315242  20.53060267  56.91435681  83.49085543   9.62565691
  44.61606528  -8.64340387   6.03534078  67.81369815  81.62885014]","[ 61.72259513  28.45578165 -20.15194852  76.50291267 -16.91011145
  14.45225837  63.24452514  26.40757893  17.13480428  25.09416907]","[ 53.23609606  45.89508637  41.50933328  67.48226507  19.24685311
  17.27712251  30.35202076  70.24614583  58.92032717  21.22441772]","[  6.89470343  37.44721136  55.66906133  30.93610509  -2.61784618
  34.85620775  45.02483816  12.65540755  46.69594328  12.61697329]"
"[  58.5748867    88.60969671  102.00512879   50.6917877   102.00512879
   50.6917877    49.10646081   70.80468092   70.80468092   83.54602941]","[  28.53661427   21.25069729   84.40502856   31.95113996   54.79299063
   57.97829396   40.85234452   95.86935478   65.42020469  114.41904938]","[ 13.95396679  85.30537528  48.12039082  16.6683979    0.56798558
  62.33966051  18.9548813   37.52398826   2.09926095  53.39598562]","[ 93.06262938  18.89554134  84.58577806 -27.98911221  12.30354647
  45.34509864  30.65933516  -1.64535084  12.16290075  46.59488005]","[ 39.62878862  17.46904987  55.37060904  63.12429397  21.38302819
  43.61056069   5.78135152  58.83274227  54.815425    26.51261811]","[ 56.02413454  50.53804377  29.03518805   7.79942249  45.21275621
  90.93165795  86.80520695  12.30707271  48.5194894   32.36235276]","[ 15.8494889   79.66135003   4.81356132 -13.67244277  41.07928927
  62.09423873  15.45225137  16.69844778  41.43947328  33.33428171]","[ 35.38024456  59.39763845  39.84364505  44.55742923  63.25537722
   0.36568563  61.47720459  41.91785763  48.68056885  57.17843128]","[ 59.93807237  57.16539689  65.20241947  30.2550147   23.81556735
  59.23726772   6.92951036  83.50013077  27.60119697  41.82031686]","[ 80.32832844   4.58182528  84.96764518  29.495643    22.36294809
  25.56778162  -2.37492332  72.91166251  41.95914314  40.855664  ]"
"[  63.63289609   37.2960067    76.23195365  111.42753424   76.23195365
  111.42753424   76.23195365  111.42753424   56.97514584  111.42753424]","[  35.79023737   29.97183329   23.72918002   48.09372609   61.6070859
   21.03337433  100.351373     77.98116971   22.81929921  107.88430322]","[ 47.02716168  71.67211247  39.77626662  11.97732749  18.34143675
  70.90789315  82.8644351   15.89288367  14.08601335  47.21875711]","[ 52.72120523  63.81620906  23.40110304  31.06580241  22.66471898
  31.06580241  24.80665453  71.12848884  55.30736972  44.52316826]","[-13.708083    50.12719438  36.42631     80.1734949   40.47287472
  34.88434803  34.67576692  37.66012632  68.06685352  47.0012517 ]","[ 95.01500666  57.30849048  34.55268606  49.38812277  21.32633753
   5.10325447  32.94465686  19.23644413  71.64525606  59.28634597]","[ 43.69925329  19.00867781  17.62644433  60.33235639  39.9615545
  45.89800454  48.05652753  77.78714715  30.08342434   9.21941318]","[ 80.84047919  36.81323704 -17.20701641  57.23402061  56.9427187
  67.28167569  56.65711654  59.96481036 -21.19213467  29.91596525]","[ 42.19995536  53.41272502  35.3165102   56.09603622  36.47369246
  63.49320798  65.21050596  22.69571706  -1.34650248  69.68758317]","[ 35.18719653  72.92220922  74.77303709   9.14740663  67.28829132
  36.51964846  41.5880923   29.47419848  39.84075126  26.36653618]"
"[  86.61097287   84.410651     55.95384629   72.49926679   99.693595
   99.693595     55.95384629  132.73962294   99.693595     55.95384629]","[ 47.15769098  50.27129033  82.98563632  60.37006944  80.75831052
  45.67912055  68.50223097  26.07916701  19.0553819   80.86210142]","[ 43.48869478  27.76442012  20.46543669   1.37886314  56.86721803
  74.15704588  63.25355239  68.70687192  11.52224954  65.27582476]","[ 51.21951667  30.30140036  16.42458289  61.29442207  74.78127396
  62.097038    58.31801157  59.92540363  48.37648441  44.42671336]","[ 63.39512425  56.41177546  69.92398233  66.1229988   70.50988506
  69.90522705  54.86627074  30.94178471  29.63324204  40.74035382]","[ 59.56293856  50.32909897  55.61018337  72.84268424  66.02599979
  48.5628324   45.16006675  70.73118459  72.84268424  86.79573909]","[  36.1557844   121.30178363   29.06396883   61.64082396   31.74360718
   96.47969361   50.85080703   27.89401506   67.68779151   75.43523464]","[ 40.02564347  36.1049405   61.59878479  24.83375172  74.01072853
  65.19452392  15.94857379   4.9524883   50.19357836  78.53179682]","[ 80.66319032  31.73153979  47.92494237  16.4576347   51.06886847
  41.5384578   36.35065141  13.74060014  42.45191113  19.71999562]","[ 35.07993914   4.23693276  43.78984068  46.86457552  52.10533253
  59.18221301  70.61340374  28.40330015  43.84581484  76.06167258]"
"[ 76.65207984  92.15293771  93.74276188  70.54680704  76.65207984
  70.54680704  76.65207984  76.65207984  92.15293771  73.16111155]","[ 33.40920692  51.96825141  17.98321982   0.8178831   54.60821506
   7.78533912  74.00382943  -0.11347182  48.74889503  -7.68167871]","[ 47.86589789  44.42221144  22.9952169   65.60986754  76.97370281
  70.64240145  48.20147905  27.69089604  52.50961233  32.12606222]","[ 26.4937587   53.52400357  31.89002766  26.5285095   32.87206502
  64.33252086  56.18989732  47.18027096   6.36730874  40.93997   ]","[ 34.98825085  49.75525253  -4.83063988  48.57187866   4.88257812
  18.91771591  58.02783464  60.85940528   7.72393173   4.37479188]","[ 44.06108704  62.29040212  54.89210739  72.30411053  62.49938862
  43.65954049  11.75543963  23.49732527  91.91666808  18.71325876]","[ 57.20058313  73.25756108  51.05465964  55.22128291   1.37705616
  46.00760125  68.2938432   50.26784693  58.27858201  37.21903813]","[  2.2216557   22.98178423  25.18553101  37.33458792  73.71746478
  63.92961236 -16.58110475  44.31976768  61.34114901  45.70337515]","[ 46.78145238  37.58790621  35.47017337  61.35460844  40.19579065
  65.99179567  24.02168134  38.96785943  68.20976841  20.03981632]","[ 67.51315571  15.45322949  43.21557994  63.04259544  37.70371068
  39.17881408  62.5734945   72.68919557  61.05821316  47.67205235]"
"[ 95.94609959  74.5945981   19.71382807  74.81442223  95.94609959
  74.5945981   19.71382807  19.71382807  74.81442223  74.5945981 ]","[  23.06617886   79.56632457   67.61240705   79.54352679   16.25066111
   52.58607374   68.37221028   57.65778511  110.6180844    17.7029385 ]","[  84.98784465   81.09585144   49.21856193   78.33295763  -18.1939727
   66.95698095   42.70795132  102.26534911   67.06600256   64.8941338 ]","[ 48.68170381  71.31923447  46.09997936  80.70469773  29.47990897
  45.9906672   29.47990897  37.01718153   4.92920993  11.33452566]","[ 65.13870558  49.69051662  16.6494392   68.86912712  65.31079182
  42.38392119  45.46377809  97.43603978  58.91610714  92.00056519]","[  27.29085855   60.77644194   17.6667398    35.1479358    60.41993647
   42.64204394   68.71699067  115.35021398   80.37970599   36.54472968]","[  55.29106241   65.38583328   85.27171831   22.54637736   38.84770106
   24.84975543   52.14691762   65.18273691   80.50070995  103.49713286]","[  26.81553635   -8.53139714   15.22380239   45.03108178  102.24923713
   76.81525309   50.60236183   -2.82487371   26.81553635   43.10210918]","[ 39.56476851  78.56270038  77.10851702  53.01431533  56.81681056
  67.17880875  44.1202471   38.40291644  62.11035458  52.03274817]","[ 51.31030573  62.97260982  49.60737537  71.58675725  40.01288554
  54.68492003  41.06425719  41.39999317  27.05061933  45.09980105]"
"[  51.71953771   74.42415867   65.44604131   85.8435992    85.8435992
   61.49308722   84.72231485  105.75209913   93.8733716    51.71953771]","[ 62.7190601   92.32418668  81.41010943  29.06177468  12.3683555
  74.71326518  74.3911368   85.18899045  49.5305825   77.21443918]","[ 97.36823416  90.06558318  65.1745516   67.99225325  50.22802406
  28.56238559  67.99225325 -11.29754508  35.5811975   74.03566493]","[ 63.40143922  26.94045919  37.19976366  42.68914865  78.05095132
  51.61423667  88.22411346  48.09979308  52.3267016   55.87912849]","[ 46.77176831  76.79054214  43.94811204  83.45129006  40.282899
  18.91475428  34.08179059  31.19546271  44.8849779   62.42587469]","[  97.31302088   40.95596865   94.4778614    92.09259783   51.10730556
   91.40266264  104.82515337   27.59593989   94.4778614    92.09259783]","[ 30.46496079  48.33130502  76.25977781  94.48589098  59.47896519
  72.11919694  45.24425547  86.73087941  68.53762824  55.02329729]","[ 49.49373648  62.82597035  45.57464141  65.79910127  45.68870532
  16.6741658   65.98327629  45.91730409  10.72041161  49.49373648]","[ 98.70767093  67.56554006  52.3941748   65.88933622  16.05721536
  45.78605323  27.05270658  72.60253232  42.24499947  10.20216911]","[ 45.84616347  15.42937132  70.67363313  42.92970126  40.468916
  22.94553257  57.78401361  69.63543646  48.46836431  47.67750621]"
"[ 62.7551506   54.31341562  62.7551506   54.31341562  57.73670119
  62.7551506   57.73670119  62.7551506   57.73670119  62.7551506 ]","[ 75.14386616  56.75364832  62.02184502  90.17629171  30.89927191
  80.62151231  68.23812249  39.70644616  58.52496471  70.45005096]","[ 50.99945851  72.54996387  89.92432719  22.10072544  41.91858586
  50.16199842  82.993986    61.5677727   39.5247679   82.993986  ]","[  87.94856958   21.75710624   59.23449668   51.4016264    43.76660114
    8.45068426   65.77969724   54.91160449  103.90914622   59.02667432]","[ 62.15054829  20.12031662  53.41294594  76.33452172  46.41679704
  48.90253387  56.18223746  38.07305246  48.68024149  48.61581131]","[ 55.63019955  88.30804149  72.07051868  72.19899097  79.42464262
  42.30866788  97.53489564  36.13447339  76.83494446  70.27969946]","[ 76.9828164   66.82665102  32.84457553  69.93988317  22.55370387
  67.03166267  72.62950835  82.3644162   52.55489782  53.11772816]","[ 45.14947785  82.15302075 -14.07963487  26.65582249  24.06446086
  15.08715727  61.8252806   73.94308163  56.32408212  48.22272121]","[ 35.25032158  44.98447561   2.09648286  47.10703955  53.55822143
  44.20048373  51.14182946  59.55613566  54.68901037  44.65893375]","[  60.26043215   26.70790992   23.8881852   116.18672484  108.31068705
   46.53540573   33.19065002   63.49132699   21.48379203   59.72861338]"
"[ 65.10820151  53.25714686  46.58843239  98.28614451  93.12412029
  89.80681591  46.58843239  98.28614451  95.95009272  80.54157238]","[  60.56961803   18.32263738   60.40336035   92.6748986    60.8727355
  120.03564979  104.82714684   76.49946653   73.62958851   60.8727355 ]","[  54.5048126    58.85226181   58.85226181   68.0702755    61.69241387
   52.20715201   68.3857896    90.50406464  118.41043614   64.27927581]","[ 63.5458264   67.79042146  56.52696239  47.80660638  45.79725431
  20.99488414  36.61795553  59.97256002  36.80032873  90.13600454]","[ 60.58121823  59.33592719  58.24162628  59.37984044  33.57482169
  81.02088048  72.17596048  37.57817929  62.4145835   88.00271107]","[ 116.54060239   62.27015235   98.24536177  103.42497133    6.98758177
   66.08807321   41.6035164    83.00944861   86.77162908   91.96481547]","[ 74.1636214   70.45036701  98.4139816   84.03627654  80.50043179
  56.73287693  83.25411408  43.94737223  70.20702124  77.82965763]","[ 18.56983203  87.78660758  56.80319126  12.44467375  38.80945271
  38.16245791  17.14119874  46.01696896  43.18751111  48.73894714]","[ 64.10993119  61.93350275  91.66805487  47.37523912  94.71735072
  47.91226462  33.81376151  43.26425072  90.73089046  11.4534736 ]","[ 71.51584186   0.53613744  52.01503617  58.09575466  17.88531463
   0.8587619   30.13115361  69.87020075  45.42542567  76.98026514]"
