variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
49569.26650997789,55022.1922657645,54394.41413703457,50141.996054736606,52837.675220519275,41082.26886698861,51531.674299607104,61600.837063026695,40724.88739684591,73885.51670472545
35255.65639719548,46069.13184869059,54710.3085201893,52395.8231901597,72275.63027469357,50801.01961933337,55199.079271185336,54149.47694725929,59380.64940508499,67764.93059754377
57054.47774942927,44769.13034222099,69502.55543419211,50574.19556458207,73985.70864213453,56745.485101442726,36422.841171850225,60779.16555603735,51352.921991184296,67825.71257812207
25801.69714534309,45753.814991631385,55052.66701382345,43254.26779415115,72053.4258585179,45896.53647596512,39310.46895669696,69078.29977809807,55335.19757430194,58302.68547379122
30273.10368913566,53967.98715116306,54123.472967251626,42209.72496735115,42353.437565393826,47802.92720888829,41251.942212353766,77400.50005277652,52889.128324025485,40974.87415880015
36636.004019402026,58423.78459546758,61489.03726740564,46211.72477244848,44222.108885490496,47294.693885364235,81420.82150166306,44159.99681635834,51020.47819159691,55584.01847174003
64293.41962197577,56859.67967441464,61669.08458849217,49475.93631911682,42038.35913750321,52907.17641684484,88245.19368162566,56564.08388832525,66824.43190063693,59322.8061918988
71273.07479936937,60039.64022622556,84478.98455961702,43339.339183377204,60857.521499327646,54172.04500121069,82395.98490240483,66311.56108606023,74242.03576346015,62022.620059733694
73581.99458778522,76081.7756186657,77326.73903735519,58563.41941839758,58438.963450422205,62605.10702239962,79189.79490804803,54391.83951850874,81927.10028166477,53329.85533009221
65563.62552418513,72159.75112137051,73779.61408269993,59069.6249178372,54203.62096911197,85817.6257611365,76324.02099257,74409.66564612591,74393.19211292229,49680.24066531055
113064.44128295715,71143.30788467755,74239.47879513905,81213.39112784316,59032.49625141351,89665.32200064807,85614.29199887416,64831.038284599155,90342.80912665509,58839.65343194109
102062.44582985144,63694.83512863419,93231.85777751365,71786.67033652194,57770.756588341814,106784.2302761431,86608.79669312086,62973.127550757024,77086.3287511275,66038.09663379582
86310.34230365705,67183.52180161717,110710.64905638277,102778.98023299064,69574.05057799425,78126.62111300297,91005.69342829887,65980.0221148635,62437.47317115053,70205.12459268192
92591.00948635602,59562.771990982845,98469.28405999084,93334.2391708403,74823.2781530033,124574.4250222808,77923.51106160908,69058.31348547968,99593.3017797622,127692.74343639635
82377.96838201859,69616.54239764248,102443.4614246994,88510.19204063735,67106.99068501749,144010.9577603758,87977.14620427747,97160.58207863983,116631.20000784312,107142.04432762592
87668.00768956501,86329.46125787825,181730.30428187767,89184.91970296098,73484.927349208,165504.7519033024,84653.85481711847,96767.73360968585,107049.1209217332,104903.3539651971
97770.26785177602,142280.53730242827,129430.58961564043,91568.63141064963,69912.79207971637,144506.75068908557,121512.2751028396,92689.0031075429,141135.78940697567,102209.56611260076
66839.96970364176,119203.21070188386,123452.88120799813,79335.21943005058,69973.35628475671,93340.96572690661,124844.87859804824,98171.72799485445,145047.28216693318,95719.4167265149
62834.955720343845,113831.40816725024,117584.8210663368,120515.09577480561,126297.26757342744,106293.95078429923,93853.18830821438,106205.88936655605,137290.02066407807,136069.4004387213
70738.0634556085,113974.55137404244,108065.37746310026,127710.30420501498,108138.62357354193,118690.03430971957,118799.51466643796,103350.8647757018,115755.09063641822,117029.23332561596
47258.62043250044,199750.4629763665,104109.75721678321,55984.82602340462,97755.18405834385,106452.0709326491,122213.43998289389,122291.3035244254,114517.14708105216,109095.93732850559
55117.41990845669,160860.28935720611,99488.01231101614,67301.85485559926,94191.7892629637,117740.01850765746,143076.9378811168,118806.12175121039,176120.62058218155,114684.2059981957
53517.154406059104,115297.74987549688,106694.07875344309,73396.77528992196,101996.88258977802,123109.19573392416,137427.87478232064,129365.42437850467,149908.6335244993,125375.52225086796
59387.14237710711,118435.49433028081,142521.13333855075,76897.87930677962,102079.00307114223,198669.31735332985,132648.20268397732,117083.79340111582,150537.7704520233,93421.6884387121
85981.59292098533,122074.486626811,165992.69535385858,82152.40830041477,96481.18611096882,204088.49512328338,135317.83110183777,120030.41778851877,152969.80093074375,90631.96632436776
83259.61199334367,140253.26323865307,168517.73937012436,83559.04563394222,72981.71619956334,208153.6322899901,144296.45266352867,121432.13193582153,245330.39163145976,110575.8832391015
73104.85717621207,160206.4762370654,150645.51093050197,83581.6088109531,73949.83998276328,215563.75987550593,148813.76808588827,139272.91299896175,210390.68547520225,112389.55353426542
66079.79055262246,162051.26643254515,173889.61281243837,145784.65111188695,70401.23548592937,208572.50510511082,181260.05564993853,126821.50723568721,147454.92898244807,116498.31283377213
84409.99644327961,115047.62905532646,167736.51696294456,147347.3948839006,93913.16479859702,219749.2988421827,166436.64256961114,117459.15602431868,135327.88431027415,113593.39372706937
80608.36711854635,104155.40341997295,182110.20945264504,138878.4252140113,95902.64999666189,213555.09555582333,153040.77188298968,116483.89262459168,152431.13676133228,116814.65330439544
123726.16931314507,133220.56040394382,220911.9705810033,136196.78067519458,89656.48603526951,317760.86161863233,116679.67404341731,105017.92146117978,169026.2517908917,114748.129048826
125247.26657727054,157893.7580239087,184951.71401118743,121744.77643929663,88092.6709663277,278329.82283329155,117372.54168830121,123071.13024545922,188114.47652212472,113880.24320245459
127658.86819893177,162433.29594143791,87262.34939080165,170875.33789036586,88016.8883520106,295834.6524729143,140376.37723637593,121658.11536956466,170931.91441965828,112153.13050449891
139855.54437438725,170800.42741511384,139496.11263398395,169809.84902533283,123589.9390726395,265063.28957959823,259782.26263524298,121297.98973105814,156658.8259749219,162845.46827152447
97141.30943752133,149682.00879589262,177008.3649184857,189110.17725639473,93559.05949508822,227112.23232512712,227070.38289403493,110872.2123066643,260218.8489790685,193847.91456499902
112848.41128329822,153677.61978696793,183946.64605009477,168990.75678887335,91970.47561273625,241967.16998770257,491988.6045019084,138976.73313266115,224975.41093715793,129750.6573197101
131430.7878806257,199757.80934385356,182506.9782599699,153490.7244501509,95411.08902775218,251662.08409826527,355187.54592461826,163361.9537911883,219989.72666944095,144213.27057228508
98551.19201914757,193310.881666289,184895.16549026975,186731.9097251841,95682.4446728202,233129.70188758275,181665.5052875134,148189.54817514124,286881.848698441,148962.7156947637
100353.05916088747,163854.61371874652,219825.9634749878,189712.2994753144,93400.05579280877,224605.93766905426,157674.0132653342,166488.99331966008,292261.4946239719,183947.4882821205
110190.71430291246,155322.66553229463,224173.78190201736,116200.17851425131,140040.6866554883,224043.6895568651,208813.7044334262,120710.35368925458,311317.6928411689,156664.76778832468
112101.10075732305,160035.11881509967,237780.08591423312,106180.03768802196,125478.3726783442,247394.62189090173,209619.68386569782,136486.70692406516,329328.2276329413,152394.6769048872
130761.96705411174,162232.96713077257,173143.6657035628,99097.61073196391,154653.34105211316,299807.91780943325,252498.13804983458,145186.12542560685,326682.8390820911,155634.80369712372
123409.11844997705,272672.18279812805,152896.6557806087,107002.67505075799,162313.7456294742,219616.78859357964,145505.93743370945,135851.31669251766,249457.5385302585,267457.918021139
122430.63680098478,306461.98604568065,156787.90292794025,113674.08792555475,146295.70538388687,268906.7220727128,205857.62664778196,160046.6470451043,301657.3725187811,229646.66626158115
116852.83865868178,313485.90145256836,220850.48247662207,166431.2228843072,159353.4147369203,280502.30380116653,224253.13960494284,170624.76224919502,286718.9092387682,221266.9807613626
117024.04576567473,252830.73504372145,220071.617080741,206881.13928401915,159992.478735911,284325.90567035705,214887.0460024615,177247.17997627094,435704.03785280976,238563.6626520012
194018.62788650754,307393.48352393776,196814.67663422597,213910.79793715247,197999.96233378604,289361.4128104348,236781.28010775815,149145.89871884635,377634.0985794455,182063.24518698166
175916.7762919554,252568.12594500388,201025.40294358085,195130.93404600304,167246.32091361264,300154.2573537476,271187.5847424399,160444.60956233725,357584.78665943566,161512.15293498445
126028.62620046662,252751.14730131254,299050.3260647306,171262.9796369066,149107.54565375688,282538.5201668161,216804.96864295352,239461.94799791745,417816.41433686827,167419.29588502974
156591.68855772325,206158.41948107336,270346.2969873147,151240.41469831145,161695.35782992502,291140.65556517773,226692.0507099528,192942.98611536226,291193.26395631843,170692.86107196764
178497.93345636805,301287.4754379607,291619.89864638564,168455.27216214858,174557.065111377,306528.1170586536,267609.08798600617,173400.68698901456,286820.9051809818,164285.86750200717
190217.4277748366,407129.198062846,346582.42830219073,188806.61678893422,145184.65675385512,303505.9109377107,263493.4594141333,179354.5446472927,276024.85418367194,166043.26963665942
212006.94071806676,393223.8491639121,292036.7127862228,223734.24229158365,166061.91269122256,179139.3233714719,279301.16850387224,179473.71497438458,208940.05363588885,170396.78868765078
185816.5817574989,352081.5890346159,306591.7539044714,224148.32215217387,151534.4744142022,254498.13492062406,311334.1110318594,189002.75929979305,271926.09161173325,180015.0692746935
164632.85115812402,383080.8250770399,232300.93459463352,234806.15275630067,173361.19501397136,233181.56944307953,304374.5518391569,189142.3144878081,266629.4415007171,183781.14871004142
164654.50354830408,632503.4679559116,212811.50125411665,220142.85008284159,182329.6268168816,253210.37966928474,382857.0479313496,264660.5836850691,211899.02054681044,178816.11505639175
156084.081719784,515836.6644920375,266538.7804960446,311670.6806842777,158213.9631013997,265226.32920308935,470124.7491065748,206091.8368191225,248123.52054854372,264352.2768765956
243784.15294448627,459476.60232958593,231969.99196259188,230805.57844940526,188453.56292610607,233137.64436424492,418237.5539370322,211459.10572091903,402260.70246923954,278221.36405464564
249381.8435232502,465210.06120867905,277451.8777755982,196328.63077793655,219971.9920638508,225128.6152780767,414118.23903928185,248531.0174448121,331216.3773253322,249267.82688751194
392038.78493705107,443645.6459458731,293871.32605181274,205293.84874579738,188771.6335209685,249915.30538894187,429563.9527618307,236200.12868318253,288273.02566981094,223653.6448436109
233614.33128108314,526535.2407950307,308197.3455079937,236493.79880205588,194290.12785518184,249011.7178881217,171008.6953533621,231582.4522043408,305636.6555290426,229146.11521515824
392744.00615068374,449668.0020974347,312333.29716432927,203646.29247412924,200057.4856549332,275337.99316683225,288738.2324839538,224811.27073868585,203829.30879731488,212649.0222171236
195455.12392204598,540578.2108143438,314286.5268073913,268239.5658587389,173492.31794964033,305641.84658356686,285088.72011499375,299972.6096017297,246687.71498693968,180851.2017762056
400041.2077791224,454133.0407903468,298639.6811160986,270105.7762663916,190563.22501038614,260972.936190164,474577.0338451334,268078.645712154,264114.3175432393,160200.98226856405
416724.75207040313,368316.5501188841,311687.7670992417,320529.74242786993,204504.21049796906,303489.94872866117,378687.13227984816,238696.49021700295,273326.1039359918,265863.17886864755
354556.86098614644,408718.5411968628,314489.97580476385,334447.5650889499,211632.9579676512,299505.98386947927,361640.8053455001,202578.39374468848,347801.55669854523,274522.4084523696
348768.1530159658,369998.150252018,331270.2057907847,224333.93952668115,266826.63384294487,310569.73342062236,454693.4268067464,282738.1661069455,307946.01099670795,269023.3222667077
330473.569583858,430657.6115079661,375432.10085081717,278687.98109477595,262197.5262573688,248301.30671349535,406664.7925502454,277794.0220424776,401482.31945289986,253119.1233300504
262193.1351378943,411680.84691156656,331160.7412078013,290499.49398478225,197219.67271661502,281227.9601293209,364488.9399048933,260884.3837386659,539114.0866482446,149252.34830884816
241469.81035319748,377712.3209501687,349726.380082912,306177.4994514213,200350.5809661668,276877.4809189511,307156.89566596353,245059.1241891598,479959.83936935733,172485.27622596268
348834.9202262447,344018.52223380795,397885.1195744134,396839.12087323965,199503.74237269652,301180.7533396969,274819.9006584228,286043.3403406296,458000.37035932805,193765.74098466698
246767.01329324444,417024.8561013695,396426.1369652711,450933.4681964653,212995.84960302172,351298.660125012,434236.4330185761,309938.02722987114,446833.42565655406,208434.3165007692
350452.5903276339,478422.55313714,269412.40885876,389803.32743789785,208802.66232447868,330502.5298550736,408266.0557953289,281507.2349326652,402284.66835268494,272432.20241628547
192168.45443161408,429064.8880701562,393374.7628069896,382875.4190598685,203472.56447352679,313849.73666037136,284384.70719252224,394103.0960482155,378027.829433743,270334.8485636967
280232.7976264511,410222.7844471027,388323.6947563119,404239.9331285097,374347.46393036237,315597.9430615713,245990.4684040302,390074.49137281947,282698.6836867167,257076.46638104072
182004.66153639831,406995.16148764815,393458.0227772714,396775.31568521727,441161.0847870908,305879.129687979,368801.4628526879,371069.6910760371,382895.1191350965,403022.49277761386
188658.1675746883,332277.0410096997,405939.056137633,400840.6430768693,367018.0665710218,277699.6787444072,355650.01738323766,403753.3459820746,527979.0328917864,367309.9479835373
198002.2615648441,485126.7336707476,428454.46923129703,377740.39538851083,347180.8844810437,344106.64911596465,359197.0920062921,342249.377534213,492860.2620104256,325241.948070019
194553.8832637734,325537.5886670146,300266.814281768,435170.7362007352,315183.5675606204,338864.60785919253,384722.13611980143,327036.8245440476,525304.998050603,237169.6637536252
225709.96453634743,330248.2033089682,310483.9472431099,379880.8573158944,312454.64811727335,341207.55419918237,364688.4617677065,215772.6586624352,506356.54860713443,268408.03996740864
179933.777096576,357879.69210254797,388757.78184595297,426850.92386687244,164491.45018004614,409605.93465566565,297867.9696376937,215813.5812462612,241352.57081000588,272541.7706147138
185503.64332408935,373762.8907989054,398168.8420947538,399999.4737630931,195254.84736514286,366302.7709344794,318498.42454765894,416943.89036333596,331941.727422195,270382.60773048893
189582.1545971218,396867.0269127723,384849.56804677355,396562.3116496486,223686.26098273226,389099.9904880228,335814.29008775565,467193.8967488305,389374.6584634982,264367.60941596073
224775.98613440676,637693.0536584227,399762.0466489446,418934.19843451114,248895.17428992005,368336.81299307966,291128.3456366805,342797.0502740436,384094.48022913095,262677.3400942274
199892.54755270656,441581.4473928089,402363.187395175,531110.1848427593,225205.43402226144,340382.2258380154,280708.19868296396,349436.9164942751,416408.68613829906,270377.57316795556
193029.97506093472,371072.70305048977,415887.30709502613,547837.0512728371,308932.51844376116,380293.00977590814,305069.4684368753,297533.2650463125,421328.06120683555,290270.5760830721
186095.7215962886,418726.3027583684,424713.58739727654,501303.35013283533,304532.336244565,427869.26689624245,230355.39912930664,361891.4475095866,440729.7239487884,366871.66188536014
190392.2569257429,473963.4872457419,431575.131168574,431926.2010707137,401857.4238820193,427597.31652441266,274209.2948107731,598916.1847301822,430851.55118859216,325541.7245780772
105183.13553430395,533828.9428529674,421139.8148835361,402084.6871378572,353324.9228141671,701325.3816122715,331360.9789787604,479277.11187296035,433593.3231370902,296055.4628048792
135803.94080118954,524498.8243375004,420384.9562324214,393697.86523589084,321512.8772639331,604323.4012177988,397583.9255987805,462744.9545563685,517759.3202477909,303154.45828435424
145852.88465863283,690930.8824748938,438614.887726389,560587.8795857003,298714.34103986155,588075.2510008818,391456.0705576223,452022.27247001475,507674.9882599715,295378.81476074446
168147.4657261141,366832.6261686438,325212.5437285912,497457.14831372973,368914.1439957891,564060.0313054415,404930.7147109105,438524.0436967055,486194.3837249754,287296.6248384412
174118.6682866995,572951.3980891055,362430.8555543433,466130.92426521156,349316.6363538792,513693.32095510967,392351.78586618084,427846.47938052966,455094.81651215244,270690.8758209416
166963.3691131575,602228.2118778129,389723.5593996611,365257.3320695164,412265.5321328641,507860.6836066549,368247.30177411414,404763.4096665977,468385.4462088897,267009.8454523167
175076.58762521538,403757.62829661963,496068.9426743082,424709.2471297066,398188.4009166792,437053.3403459297,374104.1834125582,411001.81586952345,584152.2372004376,270045.02168136556
111916.11586107058,507571.21216400317,503867.28643719736,504905.02641006204,355855.17209675536,500719.36906035105,421669.4900831849,376919.5372420433,617662.5296190561,284376.9102520031
106988.08357956435,499449.94550420326,462945.17388061597,558358.3748801141,478065.53346059436,480181.1021970947,424713.9476427383,463484.77343935124,534858.2537910149,287183.6257432552
118349.12650371795,586519.3370748765,415292.3209487801,525561.941042128,390133.4449005453,411597.20240077045,491332.1277188972,514610.7485809509,473351.40657536825,278497.0166836702
200384.8906358711,598212.0200327935,410514.7598117525,520751.83116679755,399557.7724815211,409734.42500874866,468327.25173610536,486595.33442332014,598290.0409425644,282527.8202369628
177160.26348011132,535594.7523643766,444999.5097564717,597034.7721613265,397328.7526925079,401045.6338942762,341190.95003547723,465962.460198382,483950.9189307476,278450.3203746141
196421.58784271497,467613.7530875758,430566.7632712334,562152.2974121254,422686.2818181426,413436.09243756416,326512.65134905436,443358.16897737305,518448.74895149295,277222.88502239354
181566.07484805753,399945.92812566855,414681.72327893344,632711.6728287942,428261.8279433458,362958.6160174899,315613.9663043106,368706.13279289554,495003.41953443934,235346.05531724953
166184.91942413285,469087.33918213827,492983.0694691449,571065.2696029334,412123.3777778437,421822.00620697247,298098.2308678011,399850.74283589947,593588.6612051784,256150.16393452897
179338.02449326307,467166.8253056641,481906.18678060966,506101.2889532829,315620.4561681046,431759.97196927306,383332.23513932707,416314.60238196835,609445.4746911364,289345.10165862006
151862.9017636121,657488.2820583631,520466.0539901055,499662.40328799206,349112.17813132197,841526.0929685882,383246.26458766655,424142.6987419792,729737.408785306,344485.6271323261
172894.49439474443,587965.1767754651,380204.7053524774,453946.60239275795,379107.17747235904,695054.8094810521,386285.5800409533,649542.0181647637,677271.531471949,325731.26736381673
176126.41980529478,297626.3551049356,396092.0202794952,435270.2686469258,536766.4119060449,637461.5068722168,414500.63215566694,521797.9507123238,697766.9733975639,343450.6856199565
261159.49279224314,388712.9661771689,401860.3121145865,530659.325975715,472923.3927441067,674876.2245196619,414904.5697426442,484939.5674446593,636330.3203143596,316466.0909387273
298993.0716044397,308659.19121513714,450087.2829195053,499054.3027635891,385300.97287198075,524922.976517915,424124.31151571975,435973.1388001294,625664.2289663232,408655.23485960404
267506.5579918419,466020.4590671195,420005.6183407075,525719.5247695968,465081.6058515513,575247.2391949629,303150.30578351824,451533.72671439097,481577.96947296616,362591.5681884093
246121.21980919508,451028.5208603676,412497.51760793116,559528.3475844169,501939.88272286684,483002.73887559475,396166.01255859865,413992.4805871708,421579.57872005564,328969.9925401633
221225.49389094498,553526.1586922836,529822.9604939044,534236.2976795785,456398.40108260995,482906.51917616744,375046.17961225216,466115.5433622628,649393.9906675011,181482.54733981757
241205.4843802675,506651.64941602317,560166.2457542041,634919.9579618517,346075.5111568887,509636.8002379913,345470.24572776945,549646.6855064728,612441.8141824949,246744.25627462912
