rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 62.99150816  59.35442773  59.35442773  25.75528256  62.99150816
  59.35442773  62.99150816  59.35442773  62.99150816  59.35442773]","[ 34.34904235  74.65040377  71.79640352  34.09543497  45.66750057
 -18.67183848   9.5764608    9.90076698  13.50439581  39.10260273]","[ 20.21659433  62.74189451  23.44221124   3.36245969 -11.41625459
   7.95238502  38.63712071  20.21659433  62.37693191  28.15102687]","[  61.34961224   21.44668816   56.6257132    15.66090278   -5.53036075
   -7.76832432   56.0792659    41.06969472   -5.53243047  110.33943691]","[ 21.77075034  66.38741857  36.50825746  29.86056132  73.6105065
  34.1212936   -6.15822886  38.26868448  40.34515153   9.6607957 ]","[ 10.95912475  13.81318566  37.31416545  16.10052442  13.76112295
  17.50225539  12.01838638  22.84952382   4.52526432 -20.09750258]","[ 39.98014934  58.43259032  73.92135212  71.17016364  64.21209536
  73.988678    45.21558354  58.43259032  23.25771982   7.81224944]","[ 39.34791778  42.02420794  49.38114736 -27.23394302  63.78705958
  53.04513498  48.68597663  63.76344885  38.67797102  -0.99908009]","[  35.81243213  -17.05347569  105.83512429   26.45730631   54.56077504
  -28.48269852   40.38695203   41.71340128    6.27673011   40.28258707]","[  42.11163352   -2.68537621  104.5450103     0.94560863   13.92606465
   41.00062987   30.0669587    20.72366732   54.54718316   14.58467115]"
"[ 62.0870696   69.93037838  62.0870696   69.93037838  69.93037838
  58.02326872  62.0870696   69.93037838  58.02326872   9.87720083]","[ 36.14779295  90.18180831  36.66245976  59.69729445  63.99225711   8.89432
  39.67469442   3.92532007  26.47026867  59.69729445]","[ 10.06394985  17.29895739  -2.35112021  -7.2353775   69.51243896
  54.86465138  19.24723612  33.86053082  54.57114385  45.92049136]","[ 38.301298    70.7693757   12.06747648  23.53374326  54.11183958
  82.78351384  62.96853875  57.14457405  46.80929621  46.54450712]","[ 15.69676315  57.64968855  63.71575217  75.28115815  34.43547506
  16.89109701  -7.60628057  63.40234196  75.0572218   41.06959272]","[ 30.58116428  10.5040141   68.18745409  -9.93473367  33.57753722
  54.63324446  57.99251652  47.36607292   4.47321438  28.52072367]","[  1.99021426  65.31757252  36.74720797  27.71483144  59.05125464
   9.40352888  56.44217314  42.76238981  15.24871206  59.05125464]","[ 100.47312354   69.35458176   80.50883886   57.95978077   46.30031921
   61.63271524   34.82693679   28.62329677   26.45101832   42.74769081]","[ 17.92249157  46.48342703  27.55975941  53.02029359  28.58484852
  58.29550126  41.58703855  87.68314146   4.71918951  65.18096255]","[ 75.62077197  39.19881447  62.51125974  78.84147813  40.0958457
   7.91584245  44.62131638  24.79627141  95.85908297  28.46456873]"
"[ 52.47056113  48.61218072  48.61218072  73.5919226   52.47056113
  48.61218072  48.61218072  73.5919226   52.47056113  73.5919226 ]","[  39.67340885  105.79591043   38.91021845   44.58428289   41.90205165
   86.91841208   59.34399617   11.04033077   42.51280807   29.16275991]","[ 17.51615446  15.43501856  83.1996713   55.27750551  41.78605954
  12.55592025  91.87743348   6.88275146 -25.55516823  42.59445206]","[ 12.89100061  42.35645082  50.54607637  89.99035364   4.99895343
  11.41626152  11.67598534  15.6856215   43.46261991  41.43579085]","[  0.55500775  15.90091495  17.16855351  16.11614961  53.42916592
   8.16749526  63.31589836  57.3561794   59.98554522  -1.66343448]","[ 53.83765822  86.89121464  10.06678059  64.10868552  56.00676866
  47.4814575    9.97039124  23.49030798  55.55867313  46.3127105 ]","[ 43.68932818  52.38332134  79.34417975  96.60245403  52.56859473
  53.48233443  89.41140364  60.53098804  51.03112656  66.19121633]","[  73.02849486  102.36654793   41.24614517   74.14711803   77.5322796
   18.61869528   80.4883408    35.24695886   66.70298021   42.73340009]","[ 40.20366567  24.01675485  58.79619856  35.93017558  12.67594854
  62.23927362  49.29560389  39.38923343  51.99681595  39.5587415 ]","[  56.46721519   43.41473714  100.41602414   71.57894162   93.51335406
   79.40054246   51.8799274    32.73011664   76.23468878   47.44335282]"
"[ 109.96642657   84.86147008   73.02212467   86.16298835  109.96642657
   84.86147008   73.02212467   86.16298835   86.16298835  109.96642657]","[ 98.05141015  72.845736    34.49517164  47.03888558  75.96647762
  85.02238785  74.86582491  71.01120642  51.20059439  79.6512098 ]","[ 39.27018754  14.46730895  34.48356711  13.66129164  51.48105187
  70.03845139  24.59293027  43.05728307  26.96548002  53.5382005 ]","[ 50.15777739  28.26314432  -1.59783104  25.3325414   63.72395282
  51.97956324  81.70741868  26.71968572  39.30850608  48.69929168]","[ 77.24892666  43.81330908  51.22607173  42.68390289  13.94159192
  11.11463458  23.39753446  20.78454173  20.54112496  67.49006994]","[ 24.95097926  -6.09592151  14.57173303  64.65283113  32.88108408
  42.86085861  39.65046451  39.12537354  16.34400494  36.84307529]","[ 72.57182613  92.13137065  78.89758147  44.85504466  84.9549715
  27.02841493  41.61758821  93.83017595  72.78778057  27.8443129 ]","[ 71.26976441  25.15246744  47.9357018   71.26976441  78.03195191
  55.47543427  36.28913185  57.80852995  57.92346023  63.71308779]","[  41.93149137   46.54186986    9.28616518   11.86037224   21.18702426
   93.24779312   41.57237354   39.89548214  117.97709569   66.1943167 ]","[  23.54148202   84.11854741   56.72320405   83.2433827   142.5745958
   89.74369552   44.19269447   78.01356037   56.28874114   25.08303077]"
"[  90.09459524   64.69862069  100.37024693   30.21775136  100.37024693
   30.21775136   64.69862069  100.37024693   90.09459524   64.69862069]","[ 29.97203282  79.16830204  65.24958694  42.47208303  30.44563433
   7.29028722  21.4872987   58.56514421  44.33597322  15.33794213]","[ 90.25039152  92.98479073  62.49132403  26.97728199  38.27455202
 -12.84728039  82.10002138  22.42090568  63.066143    25.25475485]","[ 22.89865084  66.67287602  59.4590163   41.4743707    4.3913065
  21.13337375  76.54949761  53.93995551  13.22013566  13.66891722]","[ 45.35333411  32.79927363  55.23744385  62.08792078  35.58201681
  22.04755268  31.49602575  32.04740882  73.18486425  35.59929102]","[  7.78234488  -4.33572993  43.69350571  65.03937791  66.23906818
  68.42185067  22.00074734  52.31629201  79.86670197  42.77208591]","[  3.86310637   9.52731847  71.0601306   62.49195901  73.18902509
  69.16479434  91.39432971  24.55445143  49.93372671  44.25695771]","[ 61.31167753  38.1766965   57.84219802  36.55687383   7.47691857
  88.29193787  57.32617113  61.48227736  53.5839489   43.96718868]","[ 48.87832579  78.87924394  47.01456705  71.83083368  49.97761981
  68.02944848  61.70883936  74.38955552  46.565466    29.60245087]","[  64.71489217  101.17552875   80.39025084   51.7740994    89.79202173
   96.06897475   63.97216349   29.36500747   72.60115106   66.76697292]"
"[ 46.23509349  86.87199051  91.35504986  95.04589412  64.72879071
  82.97851306  64.72879071  82.97851306  46.23509349  86.87199051]","[  63.17718512   35.64141861   64.03942507   -6.73535475  120.87817219
   65.46924982   53.82740046   71.51232075  110.75604922  100.98561864]","[ 83.44084788  55.39631225  29.18115396  39.44140099  75.9868414
  19.36275658  86.65824988  29.82425533  32.99285279  50.70508984]","[ 95.97694752  85.44681341  47.55362065  46.18286517  74.01997233
  29.70727922  74.62572125  15.13493043  14.73493786  75.37546916]","[ 54.82980704  87.36386316  47.42844226  58.87049196  93.99656363
  56.57198687  35.68110291  67.90849377  30.26404761  29.32340973]","[ 54.10843099  31.49433035  39.72958297 -10.8899594   78.059228
  50.87139772  45.7407192   37.10559056  72.27707217  88.27993266]","[ 38.91758435  52.45928869  43.02713579  63.02538892  33.70582862
  69.5743768   73.72953901  48.87488378  63.04323652  20.11371989]","[ 37.54291904  34.92161451  35.11537699  62.28854873  67.60287238
  79.02556589  55.4844374   51.62493732  15.31157752  46.02049435]","[ 98.06511162  63.02346361  40.6361216   50.87834594  62.14198431
  60.86331714  44.91946945  82.45650758  47.11003931  52.72079075]","[ 88.97877898  36.60822159  37.3271615   23.57810377  70.28153936
  70.32876755  57.80309345  51.82027031  31.1833058   77.17972678]"
"[ 37.74469708  85.12260515  80.31616487  47.53425274  54.52061992
  28.3885382   66.04152015  54.52061992  80.31616487  47.53425274]","[ 71.7739586   19.425377    95.11677615  81.52907055  50.78098622
  71.7739586   15.62190637  61.1983704   87.08562505  67.89952993]","[ 60.42950054  22.69996964  50.24275762   9.085695    45.94660302
  43.11868587  71.1261139   71.22929966  78.8112279   68.51869423]","[  40.32628607   38.58538341    0.27780705   -7.22013785   83.93499733
   31.11766533   49.35030136   78.13305531  121.60398904   74.97313673]","[ 81.46148865  70.91877806  56.83618369  28.36671411  43.07053612
  72.72690581  59.6481573    9.62761799  88.49961789  69.91322456]","[ 41.88748179  16.34188319  23.07090408  63.10464139  -2.82611879
  37.19273132  70.71908647   5.86952102  37.19273132  44.28219983]","[ 69.05475565  85.87417098  43.87545333  59.37954453  62.92662149
  48.84678577  81.09104205  82.76336302   0.70955528  55.16059065]","[ 111.18712214   79.54187316   30.33427294   40.42243082   51.68401196
   53.59254619   86.96588343   52.43829686   93.57696172   35.69410979]","[ 86.87442628  60.18960044  45.80066849  30.69086838  69.65483002
  22.71623253  57.6879391   21.03330741  69.73164678  26.27274109]","[ 88.31032558  52.67823273  88.17952052  49.50586256  32.11398468
  70.74175274  96.81719353  75.86203077  49.76382767  47.32546076]"
"[  65.48036785  104.09633918   29.13697065   27.5409919    42.98467701
   27.5409919    42.98467701   73.31495934   32.25636073   27.5409919 ]","[ 117.43354994   79.73542803   76.81662019   51.06503063   33.31758494
   81.08339141   66.03589974   59.27251522  115.03447777   33.31758494]","[ 29.52184562  69.42244832  19.41337155  83.89365036  67.11410048
  47.00820357  78.9385248   72.61217589  71.23836719  50.22469071]","[  38.27299875   63.41187102   31.43331468   28.65259194   86.59333146
   28.0946308    37.57653862  134.90724587  129.52229476  152.59701238]","[ 49.72014889  48.70446911  39.85613175  72.07233312  49.08362826
  50.59116764  60.05272265  42.52591959  74.02907125  71.97049319]","[ 16.5826951   22.6411219   60.31698948  56.39619635  92.9879166
  79.90974831  74.72240421  74.7164392   64.01152125  27.43649495]","[  95.49201592   67.51743517   60.1166434    79.05067046   50.07579507
   39.98356304   90.78079001  103.88198974   42.61746624    9.92963804]","[ 86.05689098  47.25117864  39.37498348  81.66960251  46.36660488
  66.42793045  60.51385716  45.62526788  57.47762246  41.26304499]","[ 101.13394005   60.31883859   47.97162325   47.59693959   38.45376337
   57.79662163   84.67145842   54.67590324   61.6900294    60.58748012]","[  81.98887514  120.6744547    82.45836895   70.84688197  116.45146092
   47.88728081   48.63782444   82.14816085   64.3858938    92.2246893 ]"
"[ 114.19343109   43.70047658   80.36141449   61.40094648   44.66464982
   80.36141449   61.40094648  114.19343109   80.36141449   61.40094648]","[ 60.48336924  51.17262055  89.78929424  38.62727862  60.53210413
  66.84546351  68.65718364  51.96471     73.43806008  78.7321537 ]","[ 47.73657326  37.33500636  76.28405519  47.18317098  63.69321895
  41.61922741  36.15966939  16.03696591  70.17463937  -8.90243287]","[  6.95162658  84.13253229  46.75057148  56.20555684  51.89542294
  40.33944889  57.37344031  37.07619911  18.07746449  26.24847319]","[ 32.95111619  60.39821857  63.58710349  52.18518206  42.80747176
  98.75447491  67.61580179  66.12740321  70.76874256  66.67736667]","[ 52.93103835  55.05065589  78.65448905  74.05889063  75.79121983
  76.61805484  37.90241852  82.16069513  81.93987053  68.85349309]","[  64.81470425   64.25004942  110.67681189   52.35121821   68.5189809
   98.77822452  113.66757929  106.6852667    78.43143433   83.61285451]","[  63.55814772  110.5001285    69.29829261   22.7287501    30.46631525
   58.60548822   77.18955247  123.97742617   65.33128702   38.74179755]","[  57.29419295  100.51350344   70.06705575   83.13881663   70.71123589
   48.93168156   52.23222256   94.06532001   70.72882154   55.16821917]","[ 106.63186577   46.09270026  104.49093756  112.42530858   71.6094814
  129.71362719   53.06369614  141.26093619  151.07430185  104.42395368]"
"[ 58.31135204  84.70947833  84.70947833  13.78983043  59.99478142
  65.66515177  54.77126491  13.78983043  59.99478142  65.66515177]","[  55.56241839   66.48885738   66.10251354   87.53055758   80.08676183
  105.69513265   73.96707023   67.61426144   36.50319317   29.15050571]","[  23.01201034   24.68868514   83.86911097   86.96704921   65.12285848
   83.33059545   57.17932079  114.82472703  114.82472703   10.17744807]","[ 75.64024778  59.88865518  47.6966794   66.23737334  65.6705644
  30.06887295  37.89902719  56.41194382  72.62661303  32.66541407]","[ 71.82588083  91.18351222  52.42399122  63.93267324  63.13781814
  29.47862602  90.56277276  75.04107368  85.01839169  90.56277276]","[  63.68611369  101.29609908   77.51841342   82.09099456   78.65974374
   72.82083886   25.77410613   57.71326386   78.65974374   30.09774727]","[  74.72986342   76.8244555   122.52591843   77.72551762   70.01961458
   88.21984351   64.02657022   48.62148811  104.95982309   60.13880387]","[ 102.17899661   63.62017647   51.67790334   54.44822751   79.05075228
   57.12343505   55.89315853   42.75351503   59.61103816   27.71730336]","[ 22.54893176  60.08013461  71.51299833  59.01494833  36.78227442
  62.90807637  77.62618259  87.52123973  49.77501574  66.10995055]","[  80.38388126  100.95438971  109.62248135  133.17319368   37.4926801
  162.02890466  130.2716296    80.36597459   94.06769743   56.42174747]"
