varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
196652.5848607287,31924.863751478533,17904.45203610367,18485.813314938718,19938.11891746506,12689.81365175109,15991.930841858222,21134.490745021867,15631.968787889502,28399.597060494663
34736.13948955958,91178.56969091267,67598.89593606482,78539.48536802342,28595.55726662114,25399.911214118663,20329.312643804864,42324.0944537968,22585.580358623345,41878.47307438807
76689.48705441422,12955.509770821964,23918.386729752237,307120.94549017766,140634.21405940893,40951.89629146154,48051.6331777955,59142.29677873582,63043.09025406999,111716.3068254282
17984.47535317438,32686.264603378317,19701.279067691758,22793.58984908289,23082.74687743782,99299.12444455945,79942.48924725241,95802.18873293656,28080.03727700272,30893.74966630296
42260.00701646748,14894.539326020193,130558.48342284437,28563.72551343309,50338.76136532895,16210.644837161775,20985.39463140026,22733.51670669288,40888.91046603478,51642.28881555355
82771.19331070104,31343.24750057631,18886.003884196754,9829351.214396667,65658.89331036452,45415.45339423408,66430.88669004895,50806.81197374588,58673.31341847124,223850.17488535307
112136.41501366202,51475.151312022805,20244.030051673104,43321.87102277992,22801.795104899633,15933.313343392623,608883.9409601593,95309.16527344959,20126.869562543772,149832.3225943789
24709.848861799106,69231.11403940429,33841.50435898657,156912.0145120693,21882.645450584172,24983.029453977288,51821.26357392651,27342.865345571452,46263.66420272185,41701.004523045296
33590.37301228995,39116.24525960161,120534.46095437663,23796.377005161045,37787.55531848314,34660.115058618074,69087.48892109227,27167.969153339487,117374.82369122127,165565.20074944088
68548.95320868211,46741.46821768767,22920.765808765715,28974.26001872318,48973.42428107514,90919.22566494317,99475.42912458853,42608.44441783608,67422.60519040641,52059.15954934276
200928.95597490412,94293.27748143712,22185.266803059527,39278.23324524524,230993.56797787102,22093.335507518877,135761.09902354097,68841.56295050429,199634.47459689045,93012.18398375137
144760.6495433424,161458.57092541407,534135.7294043298,44295.26043631259,37249.70762195032,51274.34616098038,49264.09174774831,87992.57920015359,37309.59354999348,166528.9765539272
37643.73307834302,43199.73651393915,41631.843303488786,1184062.6321235548,38993.4650679133,163968.40942622375,57621.17536921442,33251.58160322985,87347.50030368632,57189.51350318809
45494.70924098662,40692.4218200434,81677.97864839422,24721.959720045023,51923.35866675083,48274.120180220554,134026.87038257575,30390.234241248472,858833.9884190217,135633.38025438716
66271.85592712137,71273.8906986976,189043.6740693316,35016.31486997648,118291.82042264007,80808.10911472184,51164.55474689631,36358.672741974005,48766.416861290476,1418236.3512357974
141695.24760668236,104955.38879484053,41793.783247837906,83763.00335813116,43307.88426229844,132144.67748329436,105430.83752896817,41477.59056175944,115516.90066891885,77476.58848040782
94717.23462875109,38026.89588060023,51270.097510398016,195144.63719483884,84845.1285462892,176288.86985980475,173910.8670552954,55993.15918879179,423015.7110874654,159842.46077258486
456776.0009411559,30880.771542014798,80711.0653634482,44172.42694970076,175077.57653593,97551.14372478677,40625.723043668724,75246.79625386347,61084.387519240496,94347.28166417236
86998.25677099146,37903.59028623606,145657.6412468265,90851.12244735348,41257.22084861297,390012.7033925153,36268.4850335411,95255.2550988647,141860.43936657524,90282.74823305987
430445.1674819879,73485.97456361217,38394.8418795154,193208.2727323827,314587.72061169357,43992.84977755171,47217.32178640749,34170.35590099956,250395.728111717,124042.03785149928
83404.50593908859,528311.2125647374,162933.18059192822,54920.136813658144,61204.37596182924,36060.609065335644,164689.60489900963,34250.16655301864,72041.7993273279,185915.68972611733
693018.1651979549,41525.71639388026,65202.10009991811,61305.19201283596,78687.5752497753,64637.645620798336,97650.7658201367,41818.35041290925,106805.8971210289,340571.41043358936
65235.02084731666,33750.886660331926,77701.57772137508,168661.3362561387,240264.47137643085,185594.96822925133,447067.26900211733,65216.433038684976,230574.404239139,69308.01937942424
65488.29151037341,44367.76199820863,140211.3661990895,244810.853115317,63214.63158265244,47823.14370837427,95284.99121122819,90334.01508862314,75366.76548205313,177653.0787153158
223228.05864534265,90906.74401252251,261299.31732758833,54665.608536457,96370.11698179791,48023.17009947405,264752.7096631973,127657.14284775376,90668.37799188509,482585.59335895034
136482.6130901833,171895.55693633985,37131.14001706808,59283.67316957955,283631.09932909824,78594.29763607704,80032.30693214116,138338.10779475392,167368.4886583294,186766.56553059304
276890.7594348182,47065.65423783107,71006.66271139757,109767.76165658188,63353.80670539217,116794.15963257321,151702.3855895174,83170.64228415382,402514.11682347144,907779.8019082977
