policyParams0,policyParams1,policyParams2
"[ 0.14115528  0.05037573 -0.04434142 ...,  0.34151491  0.          0.        ]","[-0.15622795  0.2340608  -0.05337624 ..., -0.41417694  0.          0.        ]","[-0.0660178   0.18746959 -0.08449283 ...,  0.35437688  0.          0.        ]"
"[ 0.14015528  0.05137573 -0.04334142 ...,  0.34051491  0.001       0.001     ]","[-0.15722795  0.2330608  -0.05437624 ..., -0.41317694  0.001      -0.001     ]","[-0.0670178   0.18646959 -0.08349283 ...,  0.35337688 -0.001      -0.001     ]"
"[ 0.13515531  0.05637572 -0.03834143 ...,  0.33851491  0.004      -0.001     ]","[-0.16222795  0.2280608  -0.05937623 ..., -0.40917695  0.006      -0.006     ]","[-0.07101779  0.18246959 -0.07949283 ...,  0.35237688 -0.006      -0.006     ]"
"[ 0.13415532  0.05737572 -0.03734143 ...,  0.33951491  0.004      -0.002     ]","[-0.16722795  0.22306081 -0.06437623 ..., -0.40617695  0.011      -0.011     ]","[-0.07601779  0.17846959 -0.07549283 ...,  0.35037688 -0.011      -0.011     ]"
"[ 0.1361553   0.05937572 -0.03534143 ...,  0.34251491  0.002      -0.006     ]","[-0.17222795  0.21806081 -0.06937623 ..., -0.40317695  0.016      -0.016     ]","[-0.08101779  0.1734696  -0.07049283 ...,  0.34837688 -0.016      -0.016     ]"
"[ 0.1361553   0.06237572 -0.03234143 ...,  0.34651491  0.001      -0.008     ]","[-0.17722795  0.21306081 -0.07437623 ..., -0.40417695  0.021      -0.021     ]","[-0.08101779  0.1714696  -0.07049283 ...,  0.34937688 -0.021      -0.019     ]"
"[ 0.1351553   0.06237572 -0.03134143 ...,  0.34651491  0.001      -0.009     ]","[-0.18172794  0.20856081 -0.07887623 ..., -0.40667695  0.0255     -0.0255    ]","[-0.08551779  0.16896959 -0.06599283 ...,  0.34587688 -0.0255     -0.0225    ]"
"[ 0.1341553   0.06237572 -0.03434142 ...,  0.34751491  0.001      -0.013     ]","[-0.18022795  0.20706086 -0.07737624 ..., -0.40517695  0.024      -0.027     ]","[-0.08401779  0.16746959 -0.06749283 ...,  0.34737688 -0.024      -0.024     ]"
"[ 0.1361553   0.06637572 -0.03934142 ...,  0.34651491  0.001      -0.018     ]","[-0.17822799  0.20706119 -0.07437628 ..., -0.40417695  0.023      -0.031     ]","[-0.08001779  0.1634696  -0.07149283 ...,  0.34937688 -0.021      -0.028     ]"
"[ 0.1311553   0.06837572 -0.04434142 ...,  0.34651491  0.002      -0.022     ]","[-0.17422801  0.20606169 -0.07037629 ..., -0.40017695  0.021      -0.035     ]","[-0.07851779  0.1619696  -0.07299283 ...,  0.35087688 -0.0185     -0.0295    ]"
"[ 0.1306553   0.06987572 -0.04584142 ...,  0.34701491  0.0015     -0.0225    ]","[-0.17272772  0.2065618  -0.06687631 ..., -0.39667696  0.0205     -0.0375    ]","[-0.08001779  0.1634696  -0.07049283 ...,  0.35337687 -0.017      -0.031     ]"
