varianceSvrg0,varianceSvrg1,varianceSvrg2
612.1151484378252,339337.91327334853,555600.6371893102
827.6297898677989,368880.9100947928,559070.8571459341
541.2110009002388,339938.85696885583,600271.6738387131
748.2705384996825,339315.3401125509,552306.6334213503
865.9073942316002,341321.53317240736,581950.0892794954
2323.5726999990807,339675.2641102912,570055.0066517645
6175.481564661858,341895.98799131886,554576.8850981675
1324.7482110359927,342515.17429069843,556762.554088377
1087.959320415404,340195.0578937701,558700.3615914906
1866.417264044872,340010.77657452936,639304.4225086547
4367.688088837489,340868.13598605304,566174.9143577241
150351.32826977962,351313.8817731655,564813.541423348
29054.06632843218,340633.8710144684,586366.2702992545
27354.940805341408,350450.37520936143,554657.9323631709
25678.469073514054,345204.4790993717,729720.052101055
16960.22123944592,340232.9916577298,558852.8073601616
1764807.8005246776,357885.2233699857,570118.1787619834
421780.15978704364,341842.02912445774,600875.2808884645
153593.28435739526,341628.0716980762,642241.3221845166
384307.5703453585,341274.8082791758,921403.798063772
130169.86061314962,341767.4418989982,592728.9582634375
155183.94599534702,344680.9887057508,593200.3825045679
34216.62120597405,339946.7910324049,561502.5917625227
63459.78445457964,342675.9616028542,1065848.795968574
238934.90943357424,358043.56090144103,651356.1800875675
71812.12517604406,346497.55177712976,742362.6238653248
433455.17036267306,344069.14846784197,659319.6410461667
235578.49947132566,340387.7305535,567010.8474247246
184677.94032444252,353426.89282730164,605072.3221164102
88905.65922743964,341577.02036663337,568405.618888364
239869.0443058021,341564.3092601906,1815486.3473521995
2786632.575996531,339495.2324916602,1760480.887886251
182135.30345261737,342479.2816978076,1069311.851399946
7961068.286823281,340815.77708020393,711257.5093423914
426072.606587533,340457.4522627948,912959.8222402422
517799.4505110185,347989.4857494142,1017199.2561591492
407518.0854975149,339958.26265817625,1519245.8593021194
1557147.810577763,362071.8687496099,628014.3070327123
1899724.5830989198,342044.1579166611,641050.4629548021
548597.1613108177,339954.3962441428,602933.436813565
2517294.280887085,340925.95519968384,574003.9707003634
1083847.9174825791,505518.84333244804,619517.3166520005
1095236.3674269167,340551.81826350273,574519.3312064607
927351.638801807,349229.6491910017,559039.8663168238
932409.7840062571,341015.84545851214,637044.300503174
602014.2904825674,340998.96422443126,956163.5266061659
1018529.7071054336,342792.45549592905,633172.390896879
1892732.7582993766,340711.42407890933,659313.4829549273
2610817.618758138,340144.36494922644,1529687.8229076676
25741505.56190952,208.35196459473102,43663.38093619279
865604.8727949392,211.01382174510738,77676.57953132379
1007106.8371268068,246.5304356695043,67570.16647468733
4417758.740627053,215.6992415114956,63001.52939525604
3050628.162517939,572.7579356345786,674116.9037284943
3142170.529939244,396.58671304126176,179156.9931678356
2033281.386681889,887.8438171238721,79102.3292481773
3928324.447820951,248.7626412580816,337438.817904441
1790548.8702710564,602.6822655643283,111808.42664143315
1471835.3218220563,2342.3428015468708,621290.0084611378
1272097.6472347593,741.3558640752312,283403.47094257333
4343262.130055067,338.4273661252824,189822.29825492357
2531612.336121989,634.6116615662642,279322.84162661753
201399967.29392356,1098.3311136276357,555721.7574787029
3374417.821041001,257.404740931011,273676.5939244247
8470916.131772935,330.2624872778332,1014848.7519835138
495781267.0277267,319.52894215884226,446710.41078475025
1555010.9027796146,286.60857877495334,3388216.716085734
1793040.5512823192,586.9787249351623,6861185.280827365
8440736.809015071,321.5571515939457,526241.6059979344
6329576.933883313,944.6810034985405,9577948.558556553
59281255.18090861,329.38478940909465,1944802.2707736082
2221931.9623362063,646.8147857271467,1415862.6468205506
4562423.39398204,1032.1519658935943,5070043.235404109
5402005.2693407945,523.6956925006053,5031219.588604611
6869810.940062752,351.39450885727166,4841263.397578556
2257477.5370026166,551.8879779031645,4422775.540128665
1753760.8644305663,2232.5559340091077,6822415.150674852
3472571.4461624753,360.7317604262968,9661202.392908713
4856076.81337288,1436.9492255295102,5081878.68637716
8560192.930134285,869.1865417918965,15602547.53588112
12223068.857416438,395.70069453011666,9490896.923342057
3796700.1559206443,1683.1770680491375,15505997.925885418
