policyParams0,policyParams1,policyParams2,policyParams3,policyParams4
"[ 0.14115528  0.05037573 -0.04434142 ...,  0.34151491  0.          0.        ]","[-0.15622795  0.2340608  -0.05337624 ..., -0.41417694  0.          0.        ]","[-0.0660178   0.18746959 -0.08449283 ...,  0.35437688  0.          0.        ]","[-0.07149666  0.22075691  0.13949168 ...,  0.36856083  0.          0.        ]","[ 0.16792468 -0.20833804 -0.17445442 ..., -0.23917967  0.          0.        ]"
"[ 0.14015528  0.05137573 -0.04334142 ...,  0.34051491  0.001      -0.001     ]","[-0.15522795  0.2350608  -0.05237624 ..., -0.41517694 -0.001       0.001     ]","[-0.0670178   0.18646959 -0.08349283 ...,  0.35337688  0.001       0.001     ]","[-0.07049666  0.22175691  0.13849168 ...,  0.36756083 -0.001       0.001     ]","[ 0.16692468 -0.20733804 -0.17545442 ..., -0.23817967 -0.001       0.001     ]"
"[ 0.13865528  0.05387573 -0.04084142 ...,  0.33801491  0.0035     -0.0035    ]","[-0.15072795  0.2395608  -0.04787624 ..., -0.41967694 -0.0045      0.0055    ]","[-0.0705178   0.18196959 -0.07899283 ...,  0.34887688  0.0055     -0.0005    ]","[-0.06599666  0.22625691  0.13399169 ...,  0.36306083 -0.0055      0.0055    ]","[ 0.16342469 -0.20283804 -0.17895447 ..., -0.23367967 -0.0055      0.0055    ]"
"[ 0.13715527  0.05637573 -0.03834142 ...,  0.34051491  0.001      -0.005     ]","[-0.15222794  0.2390608  -0.04937623 ..., -0.41817694 -0.003       0.007     ]","[-0.07201779  0.18046959 -0.07749283 ...,  0.35037688  0.004      -0.001     ]","[-0.06749665  0.22475691  0.13549168 ...,  0.36456083 -0.007       0.007     ]","[ 0.1619247  -0.20133804 -0.17745448 ..., -0.23517967 -0.004       0.004     ]"
"[ 0.13515528  0.05937572 -0.03534142 ...,  0.34151491  0.002      -0.008     ]","[-0.15372794  0.24056054 -0.05087623 ..., -0.41667694 -0.0015      0.0055    ]","[-0.07501779  0.1774696  -0.07449283 ...,  0.35337688  0.002      -0.004     ]","[-0.07149665  0.22175692  0.13949167 ...,  0.36856083 -0.008       0.011     ]","[  1.57924710e-01  -1.98338038e-01  -1.73454489e-01 ...,  -2.39179669e-01
  -1.00000039e-03   4.93186522e-11]"
"[  1.35155285e-01   6.13757246e-02  -3.33414248e-02 ...,   3.44514905e-01
  -5.65186754e-12  -1.09999999e-02]","[-0.15822793  0.24506053 -0.05537623 ..., -0.41217695 -0.002       0.006     ]","[ -7.60177928e-02   1.77469594e-01  -7.44928250e-02 ...,   3.55376876e-01
   7.02031163e-11  -1.99999991e-03]","[-0.07349664  0.21975692  0.14149167 ...,  0.37056083 -0.006       0.009     ]","[ 0.15592471 -0.19633804 -0.1714545  ..., -0.24117967 -0.002      -0.002     ]"
"[ 0.13765528  0.06387572 -0.03084142 ...,  0.34501491 -0.0005     -0.0105    ]","[-0.15922793  0.24606053 -0.05637623 ..., -0.41217695 -0.002       0.005     ]","[-0.07451779  0.17996959 -0.07599283 ...,  0.35887688  0.0005     -0.0015    ]","[-0.07599664  0.21625692  0.14399167 ...,  0.37406083 -0.0055      0.0075    ]","[ 0.15642471 -0.19683804 -0.1709545  ..., -0.24467967 -0.0025     -0.0055    ]"
"[ 0.13915528  0.06637572 -0.02934142 ...,  0.34651491 -0.002      -0.014     ]","[-0.16122794  0.25006052 -0.06037623 ..., -0.41717695 -0.001       0.002     ]","[-0.07401779  0.18146959 -0.07649283 ...,  0.36137688  0.001      -0.004     ]","[-0.07849664  0.21375692  0.14649167 ...,  0.37656083 -0.003       0.005     ]","[ 0.15792471 -0.19633804 -0.1714545  ..., -0.24717967 -0.002      -0.008     ]"
"[ 0.14015528  0.06737572 -0.02734142 ...,  0.34751491 -0.001      -0.016     ]","[-0.16172794  0.25056052 -0.06087623 ..., -0.41767695 -0.0005      0.0015    ]","[-0.07601779  0.18346959 -0.07349283 ...,  0.36437688  0.001      -0.007     ]","[-0.07949664  0.21175692  0.14849167 ...,  0.37856083 -0.001       0.002     ]","[ 0.15692471 -0.19533804 -0.1694545  ..., -0.25017967 -0.003      -0.011     ]"
"[ 0.13815528  0.06737572 -0.02434142 ...,  0.35151491  0.001      -0.02      ]","[-0.16522794  0.25306052 -0.06337623 ..., -0.42117695 -0.004      -0.002     ]","[-0.07501779  0.18246959 -0.07449283 ...,  0.36637688 -0.001      -0.01      ]","[ -8.04966550e-02   2.08756931e-01   1.49491674e-01 ...,   3.81560828e-01
  -2.00000296e-03   3.38211293e-10]","[ 0.15792471 -0.19733804 -0.1704545  ..., -0.25317967 -0.001      -0.013     ]"
"[  1.39155282e-01   6.83757241e-02  -2.33414249e-02 ...,   3.52514908e-01
  -3.76579052e-12  -1.99999999e-02]","[-0.16422794  0.25206052 -0.06237623 ..., -0.42317695 -0.002      -0.004     ]","[ -7.50177930e-02   1.82469592e-01  -7.44928253e-02 ...,   3.68376876e-01
  -1.94569719e-11  -9.99999991e-03]","[-0.07899666  0.20925693  0.14799167 ...,  0.38306083 -0.0025     -0.0005    ]","[ 0.15942471 -0.19783804 -0.1719545  ..., -0.25567967 -0.0005     -0.0135    ]"
"[ 0.13515528  0.06937572 -0.01934143 ...,  0.35051491  0.002      -0.022     ]","[-0.16272794  0.25256052 -0.06287623 ..., -0.42667695 -0.0015     -0.0075    ]","[-0.07401779  0.18146959 -0.07649283 ...,  0.37237688  0.002      -0.011     ]","[-0.08149665  0.20475693  0.15049167 ...,  0.38756083 -0.002      -0.005     ]","[ 0.15792471 -0.19633804 -0.1714545  ..., -0.25717967 -0.001      -0.016     ]"
"[ 0.13465528  0.06987572 -0.01984143 ...,  0.35001491  0.0025     -0.0225    ]","[ -1.63227938e-01   2.53060521e-01  -6.33762279e-02 ...,  -4.29176952e-01
   1.01115184e-09  -1.00000006e-02]","[-0.07401779  0.18146959 -0.07649283 ...,  0.37337688  0.003      -0.012     ]","[-0.08099665  0.20425693  0.14999167 ...,  0.38706083 -0.0025     -0.0055    ]","[ 0.15992471 -0.19833804 -0.1724545  ..., -0.25717967 -0.001      -0.017     ]"
"[ 0.13815528  0.07437572 -0.02334142 ...,  0.35351491  0.003      -0.028     ]","[ -1.61227938e-01   2.51060521e-01  -6.13762279e-02 ...,  -4.32176952e-01
   1.01764745e-09  -1.20000006e-02]","[-0.07451779  0.18096959 -0.07599283 ...,  0.37487688  0.0025     -0.0135    ]","[-0.07999665  0.20225693  0.14899167 ...,  0.38806083  0.0005     -0.0085    ]","[ 0.15692471 -0.19633804 -0.17045449 ..., -0.26017967 -0.002      -0.021     ]"
"[ 0.13915528  0.07537572 -0.02434142 ...,  0.35451491  0.002      -0.029     ]","[-0.15922794  0.24906052 -0.05937623 ..., -0.43517695 -0.003      -0.015     ]","[-0.07301779  0.17946959 -0.07749283 ...,  0.37637688  0.001      -0.015     ]","[-0.07949665  0.19975694  0.14849167 ...,  0.38856083 -0.001      -0.011     ]","[ 0.15842471 -0.19783804 -0.17195449 ..., -0.26167967 -0.0025     -0.0225    ]"
"[ 0.13865528  0.07787572 -0.02384142 ...,  0.35801491  0.0015     -0.0325    ]","[-0.16022794  0.25006052 -0.06037623 ..., -0.43617695 -0.002      -0.015     ]","[ -7.40177928e-02   1.80469592e-01  -7.64928252e-02 ...,   3.78376876e-01
  -2.28443961e-11  -1.59999999e-02]","[ -7.94966549e-02   2.00756934e-01   1.48491674e-01 ...,   3.91560828e-01
  -2.93425881e-09  -1.39999996e-02]","[ 0.15892471 -0.19833804 -0.17245449 ..., -0.26317967 -0.001      -0.024     ]"
"[  1.37155281e-01   7.93757238e-02  -2.23414244e-02 ...,   3.58514908e-01
  -1.30734833e-13  -3.39999999e-02]","[-0.15872794  0.24856052 -0.05887623 ..., -0.43767695 -0.0025     -0.0165    ]","[-0.07451779  0.18096959 -0.07599283 ...,  0.37987688  0.0015     -0.0185    ]","[ -7.84966549e-02   1.99756934e-01   1.47491674e-01 ...,   3.92560828e-01
  -2.93493835e-09  -1.59999996e-02]","[ 0.15742471 -0.19683804 -0.17095449 ..., -0.26467967 -0.0025     -0.0245    ]"
"[ 0.13415528  0.07937572 -0.02134142 ...,  0.36051491  0.002      -0.037     ]","[-0.16022794  0.25106052 -0.06137623 ..., -0.44117695 -0.002      -0.021     ]","[-0.07451779  0.17996959 -0.07599283 ...,  0.38287688  0.0015     -0.0205    ]","[-0.07799665  0.19925693  0.14699167 ...,  0.39206083  0.0015     -0.0175    ]","[ 0.15892471 -0.19833804 -0.17245449 ..., -0.26617967 -0.002      -0.026     ]"
"[ 0.13415528  0.08037572 -0.02134142 ...,  0.36251491  0.001      -0.039     ]","[-0.15922794  0.25006052 -0.06037623 ..., -0.44217695 -0.001      -0.022     ]","[ -7.30177928e-02   1.78469592e-01  -7.74928252e-02 ...,   3.84376876e-01
  -1.09961890e-11  -2.09999999e-02]","[-0.07849665  0.19875694  0.14749167 ...,  0.39356083 -0.001      -0.02      ]","[  1.59924711e-01  -1.99338040e-01  -1.72454493e-01 ...,  -2.69179668e-01
  -1.39588911e-10  -2.89999999e-02]"
"[ 0.13365528  0.08087572 -0.02284142 ...,  0.36501491  0.0015     -0.0415    ]","[-0.15722794  0.25006052 -0.06037623 ..., -0.44317695 -0.001      -0.023     ]","[-0.07401779  0.17946959 -0.07649283 ...,  0.38537688 -0.001      -0.022     ]","[-0.07999665  0.20025694  0.14899167 ...,  0.39506083 -0.0015     -0.0205    ]","[ 0.15992471 -0.19933804 -0.17245449 ..., -0.27117967 -0.002      -0.031     ]"
"[  1.35155281e-01   7.83757245e-02  -2.23414253e-02 ...,   3.65514908e-01
  -6.94106643e-12  -3.79999999e-02]","[-0.15572794  0.24856052 -0.05887623 ..., -0.44367695 -0.0005     -0.0235    ]","[-0.07351779  0.17996959 -0.07699283 ...,  0.38487688 -0.0005     -0.0225    ]","[-0.07699665  0.19725694  0.14599167 ...,  0.39606083 -0.0025     -0.0245    ]","[ 0.15992471 -0.19933804 -0.17245449 ..., -0.27317967 -0.002      -0.033     ]"
"[ 0.13415528  0.07937572 -0.02334143 ...,  0.36651491 -0.001      -0.039     ]","[ -1.53227939e-01   2.49060521e-01  -5.93762279e-02 ...,  -4.46176953e-01
   1.00077069e-09  -2.60000006e-02]","[-0.07301779  0.17946959 -0.07749283 ...,  0.38637688  0.001      -0.024     ]","[-0.07749665  0.19575694  0.14749167 ...,  0.39656083 -0.001      -0.026     ]","[ 0.15942471 -0.19883804 -0.17195449 ..., -0.27367967 -0.0025     -0.0345    ]"
"[ 0.13065528  0.08187572 -0.02684143 ...,  0.36801491  0.0005     -0.0435    ]","[-0.15122794  0.24706052 -0.05737623 ..., -0.44617695 -0.001      -0.028     ]","[-0.07301779  0.17946959 -0.07749283 ...,  0.38837688  0.003      -0.028     ]","[-0.07549665  0.19375694  0.14549167 ...,  0.39756083  0.002      -0.03      ]","[ 0.15792471 -0.19733804 -0.17145449 ..., -0.27517967 -0.003      -0.036     ]"
"[ 0.13215528  0.08037572 -0.02534143 ...,  0.36951491  0.001      -0.045     ]","[-0.15072794  0.24656052 -0.05687623 ..., -0.44667695 -0.0005     -0.0275    ]","[-0.07501779  0.18146959 -0.07549283 ...,  0.38937688  0.001      -0.03      ]","[-0.07649665  0.19475694  0.14649167 ...,  0.39756083  0.001      -0.032     ]","[ 0.15992471 -0.19933804 -0.17345449 ..., -0.27517967 -0.002      -0.036     ]"
"[  1.31155281e-01   7.93757246e-02  -2.53414229e-02 ...,   3.68514908e-01
   1.49342224e-11  -4.89999999e-02]","[-0.14722794  0.24906052 -0.05937623 ..., -0.44917695 -0.001      -0.031     ]","[ -7.40177928e-02   1.81469593e-01  -7.64928252e-02 ...,   3.90376876e-01
  -6.61869225e-12  -3.09999999e-02]","[-0.07699665  0.19425694  0.14699167 ...,  0.39806083 -0.0005     -0.0325    ]","[ 0.16142471 -0.20083804 -0.17495449 ..., -0.27567967 -0.0015     -0.0375    ]"
"[ 0.13015528  0.08037572 -0.02634142 ...,  0.36951491  0.002      -0.051     ]","[ -1.46227939e-01   2.48060521e-01  -5.83762279e-02 ...,  -4.50176953e-01
   9.94367074e-10  -3.20000006e-02]","[-0.07201779  0.17946959 -0.07849283 ...,  0.39337688  0.002      -0.034     ]","[-0.07549665  0.19375694  0.14549167 ...,  0.39656083 -0.003      -0.035     ]","[ 0.15892471 -0.19833804 -0.17245449 ..., -0.27717967 -0.003      -0.04      ]"
