rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  39.97803027  129.9695385    39.97377964   29.95794605   39.97803026
  129.96953856   39.97377964   39.97803027  129.9695385    39.97377964]","[  39.96688307   89.97163055   49.98564059   29.98519644   39.95769801
  119.96532399    9.97954838   99.93161958   49.98285375   19.99130688]","[  0.          99.97258836  59.95115275  39.95360249  79.91205009
  59.95955172  49.97395057   9.98665464  49.96369819  99.96951727]","[ 49.95820728  39.97342253  39.97238109  49.95780559  29.98682118
  29.96777138  19.97691079   9.98543645  19.98803696  69.96829028]","[  89.95108232   39.96241006   39.97794438   19.98305057   29.97546777
   49.94896748   29.97808231   29.96760202  109.94400834   19.97617165]"
"[ 189.9321803   189.93218032   59.96528231   59.9615057     0.
   59.98142822   59.96293738   19.98543868    9.98301688   19.98079079]","[  39.97146854   19.97176936  109.96229125   89.93556406   39.98365928
   29.98714194   39.96371378   49.98939427   29.9657353    49.96733858]","[  29.98074389   49.95179815   59.93629517   79.94544077   19.97657405
  179.94911232   29.95895535   49.97869173    9.98091437    9.98535803]","[  9.98716884  29.98454226   9.98870169  29.98376941  59.98821709
  39.97245996  19.98251079  39.9878856   29.98209457  49.9834988 ]","[  19.98125191    9.98651364  149.96167987  119.900891     29.95326039
   39.97211212   69.91508437   49.98466251   79.93526256   89.96202097]"
"[ 59.97559393  19.97643002   9.98866497  19.96524145   0.          19.97596382
  49.98036698  49.97508788   9.98866497  19.96524145]","[   9.98641965   19.97114403   39.96277394   19.98202291   79.93789511
   39.97449479  119.97323306   49.98084445  129.96627943   39.98366406]","[  39.95286823  279.89652493  179.88248703   29.98196162    9.983982
   99.8716298    49.95570328   49.94983745   69.94585624   79.94316665]","[ 19.98896422   0.          59.949672    29.96452024   9.98402544
  19.98371021  19.98955788  29.98320403  39.97145418  19.98079929]","[  39.94365697   29.98332794   19.96640139   49.98072021    9.98367418
  109.91096836   29.97285794   29.94904527   99.93049606    9.98349588]"
"[  39.93308424    9.98626053   29.98081215  149.93838426    0.
   69.96208459   39.97723208  139.93740865    9.98626053   29.98081216]","[ 39.9816078   49.9641328   89.97667143  49.97863236  49.91380912
  59.98253013  39.980463     9.98158866  29.97748707   9.984718  ]","[  49.96592751   59.96878717  109.96540661  309.90555148   69.94032583
   79.93963424   59.98048727   39.96884124    9.98249738  179.93164688]","[ 19.98553688  19.99106734  19.99173735  29.99078306   0.           9.9869324
  39.97492975   9.99177642  29.99078375  19.96863895]","[ 239.89286142   19.98105455   69.94627316    9.98884492  119.96971989
   29.97506495  109.94610838   39.97092185    0.           29.95853157]"
"[  19.96463326    9.98906622  159.87376232   99.96063147    9.98696734
   19.97618499    9.98312938   19.97890415   19.97219123   29.96891417]","[ 109.95068907   69.95845988   39.95583784   49.9575653     9.98880912
   29.99028145   29.9708668    79.96250401   19.98797708   39.98276869]","[  79.94913091   89.95300761   19.96666157   99.94058324  159.9423607
   19.97392377   49.95637672   39.9654544    89.91377376  229.90697975]","[ 19.97780224   9.9855333   19.96992536  49.97326729  59.9911102
  39.97902187  29.96424241  19.97352211  39.97193286  39.97308786]","[  99.95951905   69.94119291   89.94352328   99.957082    189.94264654
   69.95697814   59.93976711   69.95006004   79.96387895   59.94380856]"
"[  29.97382394   59.95652253   39.959594    109.94134196   29.97393756
   19.977603      9.98082937   19.96726434  159.91390628   39.97523302]","[ 49.9731839   59.96305162  59.97229139  19.97696145  29.98464044
  39.98666569  89.97720502  69.98777145  29.99013295   9.98621592]","[ 179.93689822   69.97291171   69.96107228   89.94686309   29.96770493
   39.96606042   99.94732992   29.9642732    29.96629738  179.94495195]","[ 19.98924897  19.98333464  19.9827022   29.98281215   9.98530065
  39.98011473  39.98853121  19.97169212  39.95631675  19.97952125]","[  39.98517691  129.92213025    9.98279253   39.9705825    59.97749752
   79.95478439    9.98133587   59.96579654  119.90536564   99.96023702]"
"[  29.98234631  109.90736712   89.92542733  189.90233778   19.97665343
   19.97330653  189.85741035   29.98234631  109.90736712   89.92542733]","[ 29.97510577  29.98872313  49.98267172  39.98291573  49.98307215
  59.95028113   9.98322715  19.97255746  29.99115716  39.9800599 ]","[ 119.90570447   49.94992514   59.93576092   59.9715026   149.8815515
    9.98515495  339.87469908   89.89614506  209.92533116   39.94759006]","[ 29.96911576  19.9789063   29.9857506   29.99183574  39.97552936
  19.98890803  39.97839757  39.976284    29.98671295  19.96800131]","[  29.96090895   59.9564011   119.93425332   49.97271658  339.80051098
   29.9552537    69.9102081   119.91656396   49.97633536    9.98929415]"
"[ 389.80642076  149.9485094    19.97552862   39.9767619    99.96077509
   79.97402986   89.93347188  109.89177352   69.93470127   19.98888158]","[ 29.99125603  29.98717363  29.99002353  59.9480759   59.96722059
  29.9916951   59.97639558  29.97589896  19.98637649  39.99106379]","[   9.98669512   29.96043991   89.93188029  119.95054313  249.72766484
  129.942165    119.93713976    9.98209192  129.82727212  139.94164191]","[ 29.97982763  19.97025786  19.98363782  19.98682199  39.97749354
  29.97883638  39.98142681  49.96711448  39.98100483  29.99318341]","[  49.95518231  169.92620984    9.97998165   19.96878576   79.9461887
   89.96785588   89.97937872   49.95837934  159.96719966   69.96360448]"
"[  89.91350326  249.89239182   19.96712127  369.82594268  139.87252369
  119.89521224   49.9595749   169.9439078    69.89417252   39.97594615]","[  39.98182577  119.89953312  129.94281728   29.98674537   59.98383954
   19.9826639   109.94251205   79.94444916   19.97751509   29.98619755]","[  79.95202024    9.98627298   79.96477998   49.97195567   29.96863222
  119.95425371  159.90271254   29.96095794  149.92260771   39.95965088]","[ 39.98273591  39.97080173  49.97373274  49.97367321   9.98201264
  59.98317927  29.9676489   19.97473709  19.97270336  29.98593021]","[ 149.96697251   49.93202898    9.98887012  119.8948109    49.94514616
  159.87774546   19.96859174  159.93600491   19.9707554    69.95791981]"
"[  19.96709051   29.95533124   39.95119438  359.62841552  119.90601615
   69.94415416  229.85251173    9.98186444  139.87954166  159.86670441]","[ 49.97640289  49.95375275  39.95712821  29.96604485  79.93236963
   9.99144232  29.97308276  29.98551235  39.98340631  59.96797947]","[  99.91386255  119.90431224   29.96813782  169.91772209  179.8431496
  329.83639676   39.98793282   49.9141741    59.93926698   89.90539931]","[ 19.98469464   0.           9.98975178  29.98626973  29.98615298
  79.98187519  39.98683029  29.97499182  19.98422191  39.97964576]","[ 189.8909113    39.93840583    9.9829641    49.93798568  239.90812941
   59.95111722  179.93614641   79.90356114   59.94871257   79.95041715]"
"[  19.98296737  179.88662525   59.96956977    9.98266851   79.95499374
   79.95300635  179.95161543    9.98209306  119.88621556   49.93460635]","[ 19.98957072  89.96594056  69.94349924  29.97116044  39.97332469
  19.97172375   9.98047748  29.99185544  39.97324441  49.96864932]","[ 219.8525232   179.9230425   109.91151523   89.86133409   19.96182235
   49.91988699   79.9019832    19.97652585   89.94845366   69.94303566]","[ 39.98765665  39.97647486  39.9686966   19.98924965  39.97268923
  49.9822279   19.96692984  19.98053056   9.98577438  29.98520391]","[  49.91868615    9.98352253    0.          139.93768069   29.97667615
   19.97579792   39.9707282   129.91159981   19.97811992   59.97169929]"
