varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
561.5542500521326,380936.91129483515,607718.3248466541,409914.2283055968,255842.90041733475
4841.144650242947,380767.6052740688,608116.6733640553,410709.2609109588,255570.44019071106
775.5665078827064,383612.48082336993,612785.7706302742,410250.31967974245,255500.39106720203
3186.510806500503,381292.6344407394,656452.4816374087,410039.8455193716,255998.03263958133
907.7693392526129,385740.9245213324,610928.7111283601,410681.18570435187,255838.6559114654
4562.102957834404,382139.5507197808,614845.1163465587,410716.073017677,265958.54953655537
44259.93676327825,382094.9855649163,623790.7770883745,410921.77970455046,264630.0013745597
56879.78596437324,382071.53165658336,646996.9675502944,411409.7478742224,261648.13000333708
10291.924592085063,439594.3057079245,611064.3481823558,410919.35182706104,260087.88761155395
96591.10786785425,840.5896730253949,20866.138562781838,198.39917565344234,2196.2569161180677
10513.906797554991,603.9176898653262,7915.0586319444,189.05763882122537,6171.114385236005
10385.150550410173,421.08951229396746,11669.946567360852,149.10380401984156,28676.506458446573
312946.1956660247,3060.3668593695957,20193.91539451653,672.7382964925055,3959.241667686818
18323.540568787183,435.15067242538225,22315.77282378746,545.4084152907786,1575.4902248090345
36121.4281300301,293.02250264399504,19345.08109157726,559.428400024792,9926.110804714881
3350.1022130562214,475.9711658710357,25801.755585907755,275.3834883069177,2930.0129864048085
44311.83594682401,1445.0402524056888,50444.24690607627,2089.9892581190866,9966.370390710028
234850.27636491368,407.73061642538664,2093740.9806858432,1807.0816220402698,10281.317840867314
25221.747084826868,4518.939633299793,49566.41310433354,197.80602598712545,6805.929010491778
77417.15949030215,1416.4384105139156,28773.533687319778,328.12694680795715,8799.167119196114
47412.47881337546,996.348912148359,102461.59796622794,833.7579170184318,170121.22682265606
407387.99939899583,2496.253406521699,665409.5722711412,40601.05406321232,20854.872861058822
85395.28173859573,13199.483294679601,48609.642932880466,371.36144434408794,7278.325616642862
95252.35931597123,10222.397768929486,180806.60485651426,2453.4647148010813,47047.883895575396
349852.15432036703,18839.366788782427,102084.68983185248,44022.12820015436,12323.092076337802
156583.9333239504,200921.85389452253,67065.90059715293,532.6111853259171,6810.182936548737
322994.9573087089,19755.429944838383,421959.48166701617,19090.322419317767,17928.160114727063
242128.28788406978,12134.862763903824,226234.56978107587,2171.7423968705652,61663.939144726406
443113.45093927265,13351.222645210217,371792.2052076451,8094.355028920464,58366.75321864437
713337.9638742071,74185.83717409412,329024.92608552123,13457.340665500378,57805.20108567006
1091752.9699751763,6599.148135221558,216933.3320772097,16638.462530038527,51291.52911851023
1241180.7451422468,37080.89705865848,394241.524347141,6130.935854825921,95297.01190345666
621719.9026917836,23735.93261558579,514524.48457915,347826.17683568277,219540.18027606152
928858.6081264293,30683.32550362944,704983.9701278637,152329.5466705897,175387.19762144244
317382.34554964426,40284.5298027875,1230577.4026215593,14864.847182174453,181909.46942443057
424925.99469294795,23270.752533297687,1024150.8633717716,1540782.13391633,153612.80446062866
1742858.9075653509,155583.36257968468,1021798.8402141563,111194.01467529825,790234.022995889
784695.2513171966,334897.5864764387,5289991.3653331455,90466.3105416767,908231.6448618262
3105933.9481726047,72554.03627408674,1114856.324482518,73173.49179233694,896258.1110079736
8871333.085067578,109387.93271619249,709233.9393230679,567035.5186333812,5277893.400406148
1236802.9666715052,223755.73663413385,4434835.985159098,178443.34124113835,2852250.5043359688
48073916.333723225,213052.26621060545,823323.8001316077,220707.5903821298,1352079.5256999992
4264714.287125759,275802.37137693516,813409.5614289911,1975399.466267494,903234.7739027329
21530053.996443376,172294.15179629595,588144212.477487,264148.73126751237,1416302.660194104
4599347.297182626,637084.8344094793,1249327.73814097,289234.5195458245,45488393.15432962
3691913.7384822024,415071.9675838944,812631.9862987986,498685.59321524354,5769427.589123115
2535436.9948728373,679099.2814518788,2109008.4683771627,363886.3839508282,1873887.976332135
2251161.859164784,684657.1539519194,8863494.422050258,699292.43959862,452140.1517415531
2637430.795186011,402302.0882260186,1123354.4911382797,381583.88984513195,1224769.7205873162
3434214.399821062,620016.4500898992,2062631.615209979,293733.43040322786,4581052.6281191595
5740921.150120541,960007.3350716502,4652754.18218925,1819470.6357885362,12994735.243482511
16934712.517671302,1654711.8507662988,23940310.07084496,2262807.5200534454,1174758.6550800598
767158.1862521886,18776306.252194982,3192903.31970134,2422316.1363082407,1005378.0395272127
2945474.979938141,5066388.904428474,2033410.3713950673,3857237.494781865,27860133.28503215
2075564.6942380748,1047497.8999349684,12743512.138961777,17215014.291709017,2442720.3154963385
22714541.614322677,4749231.358155421,33060240040.45256,1549524.8011094853,12040674.507642034
2194417.6020909776,1122332.5865271538,33276995.774051044,1155640639.1927037,1518130.293312226
7435850.83614314,4397392.869769961,8524140.211164352,4179855.6211194275,821980.1437008606
13829635.224289078,6820173.871165369,56238417.09004699,712770.7769603375,1817781.1377029237
3866940.176784331,929228.5578371221,7098275.553601626,2064266.6634862754,2061879.4614380542
6935321.872818759,1553847.4125474887,24426583.97580314,3302849.6094269603,2280203.5439122794
9982649.419878276,270312147.6049337,11349710.716320563,3883554.518550282,2607827.5385877443
7321331.373073246,405051964.91541463,5903619.413948441,5532468.089548662,2020885.0706451465
3204111.2041787365,5744353.633828205,22947888.198279012,4029015.9646264883,3682422.801360825
4462753.2705224175,2976115.577430545,3531449.868070375,11161848.248336177,4854078.218325332
4801286.694271907,3642938.61836704,21372875.422892816,1179526.9264359148,2350402.3321238253
2983059.684820939,3256917.8937530033,2706529.3525992385,5065563.252656832,1427358.9185534306
3898522.1407837574,3074965.1746349875,6588828.875987189,2716359.550163193,90819255.01601802
8777716.883860743,4027448.452023034,112369975.79329433,1769830.275291602,94358047.13403434
5779230.5776793435,3635873693.5647664,359580476.62715864,2596731.7377134617,2663778.268423998
4243469.421743511,2967161.800336499,36371122.267151214,3572274.997481225,6036039.043525483
5596015.008126988,6940788.690885954,7109928.774178518,2398971.8600620544,5917815.505444895
18690837.519205116,2276692.5381051404,223578418.18321365,7806860.431063952,9940749.714013789
5585105.636741521,244013531.9762732,52014189.8454286,5556627.893878652,8847124.204649225
8709882.922794685,13380184.878735114,29850804.75505873,8311690.807537438,5357226.139755761
21675136.366917856,3717627.9652697453,8407361.132238543,2013474.782765473,8955135.14963987
6813625.000064765,18063503.983409368,33369663.11416143,5720245.843289252,10258605.318117684
12383780.889624495,1605018330.791191,39432383.897231,57854176.63736113,6882298.629217561
12841336.963950306,3025403.7605233155,272117916.82259923,3986028.879327069,3283854.647892666
15441382.754043637,7086865.67810967,11518173.042343823,6242671.707145286,18454564.95927146
13249600.632210081,303743349.16855633,57906718.77494194,10160183.673684198,7317484.071333626
9428341.730863102,14948947.669260057,5455659.704323078,5360602.494141788,8235360.255017703
6670786.906160547,9602172.622487742,4658295.0486906,224004577.00032794,13511441.345944665
9885878.70294955,74197535.6583711,42537440.61883129,2394880.9535345775,22272671.791443124
13280332.823291633,11321774.04653739,16993625.351776503,4219562.9795295205,20802240.266360193
41718323.013391055,13431629.171655526,11529372.94937479,18207813.345756385,75234090.7425637
12775046.66526971,12415594.84543698,13035526.03891829,7170840.987571048,22560372.20158016
11010001.766860513,13974212.99084255,30901441.93335209,12980475.27391939,76647087.03421268
8113199.707837677,5581550.69983772,25485690.68434055,21135369.78077604,8214809.92553897
538193315.8811011,18136643.518450577,7087484.969208942,10281983.43585837,10379159.302065823
14177662.461298777,4349466.368431685,5517745.373761987,10026361.60358521,16137033.303094372
11947860.126646418,56297218.45505822,31018931.262529034,24273569.714849338,26777245.420304444
8623963.271893887,33533086.20073971,32870785.74092976,7141474.185232714,18187667.93298924
17885596.50124526,45563858.15086883,70628293.74504568,50079648.11306809,14432615.317058302
65359784.86279161,18158625.199100703,37384530.31548214,9051982.106012,21472513.508562684
23222461.564997554,11619351.798841769,3804573.054126948,49202274.78713928,18723282.199878022
37706051.20914644,17546299.020175487,35011990.92758144,14740076.082818558,12310863.94240042
10977693.135079045,14792645.712696811,5702076.80285565,17838411.43126956,7906210.088016134
8879817.323360227,39447819.538249604,6975671.767133033,31635320.019733477,9278444.389801707
13783924.54178699,11545597.469060535,42553308.47098671,5941261.907606043,20110757.930961296
16735216.687475162,17533422.789622385,9780183.122810517,6300854.272776628,13366139.167449042
3409829.544519822,8894357.43972782,13322524.582770728,4208540.618172024,34346255.78505188
25842964.41540408,16398826.61208464,17766469.21437037,129426412.5088861,7666904.6755248625
9321492.568092883,9534385.439820137,19863325.512235854,23724895.19962725,27369574.660703517
9822404.900824502,30708106.694302887,2153441.81394299,36655068.03232399,7088973.418019213
4361537.546654031,13862347.236130612,12417385.893128466,6550313.806785239,13877043.290371887
5490194.228498582,2803142.758663076,96329300.40094309,3375474.9773752033,3870142.820333112
4852802.269355297,18711054.555407733,994098.840252828,8136929.86255094,6516785.092666493
1113347.9809937675,11308688.382019982,4024050.9030612106,4215939.7379673235,7762568.473815925
9480154.370411973,17976405.901074104,980757.8118342732,35462817.999375544,4950812.877461656
2165049.736254178,10848779.853051722,925807.4912712864,7767088.345812345,11063078.314806446
445138798.93748254,40309153.25106206,1248177.5301490654,12272019.063052155,4360847.732738458
1396106.6573590422,936542097.2441149,1245872.9945342839,6852373.703353406,5933532.00637
1157514.812955154,9496873.838483881,1049096.2915794428,41676588.45526795,5803688.686807929
