policyParams0,policyParams1,policyParams2,policyParams3,policyParams4
"[ 0.14115528  0.05037573 -0.04434142 ...,  0.34151491  0.          0.        ]","[-0.15622795  0.2340608  -0.05337624 ..., -0.41417694  0.          0.        ]","[-0.0660178   0.18746959 -0.08449283 ...,  0.35437688  0.          0.        ]","[-0.07149666  0.22075691  0.13949168 ...,  0.36856083  0.          0.        ]","[ 0.16792468 -0.20833804 -0.17445442 ..., -0.23917967  0.          0.        ]"
"[ 0.14015528  0.05137573 -0.04334142 ...,  0.34051491 -0.001      -0.001     ]","[-0.15722795  0.2330608  -0.05437624 ..., -0.41317694 -0.001       0.001     ]","[-0.0670178   0.18646959 -0.08349283 ...,  0.35537687  0.001       0.001     ]","[-0.07049666  0.22175691  0.13849169 ...,  0.36956083 -0.001       0.001     ]","[ 0.16692468 -0.20733804 -0.17545442 ..., -0.24017967 -0.001      -0.001     ]"
"[ 0.13765529  0.05387573 -0.04084142 ...,  0.33801491 -0.0035     -0.0035    ]","[-0.16172795  0.2285608  -0.05887623 ..., -0.40867694 -0.0055      0.0035    ]","[-0.07151779  0.18196959 -0.07899283 ...,  0.35787687  0.0015      0.0005    ]","[-0.06999666  0.22425691  0.13599169 ...,  0.37406083 -0.0055      0.0035    ]","[ 0.16242469 -0.20283804 -0.17995442 ..., -0.24367967 -0.0055     -0.0045    ]"
"[ 0.13515529  0.05737572 -0.03734143 ...,  0.33951491 -0.004      -0.006     ]","[-0.16322795  0.2300608  -0.06037623 ..., -0.40717694 -0.004       0.002     ]","[ -7.30177938e-02   1.80469593e-01  -7.74928259e-02 ...,   3.59376874e-01
   3.58929626e-11  -9.99999905e-04]","[-0.07149666  0.22275691  0.13749169 ...,  0.37556083 -0.004       0.002     ]","[ 0.16292467 -0.20133804 -0.18145442 ..., -0.24217967 -0.004      -0.005     ]"
"[ 0.13415529  0.05937572 -0.03534143 ...,  0.34051491 -0.003      -0.007     ]","[-0.16722795  0.2340608  -0.06437623 ..., -0.40317694 -0.003      -0.002     ]","[-0.07401779  0.17746959 -0.07549283 ...,  0.36337687 -0.001      -0.005     ]","[-0.07549666  0.21875691  0.14149169 ...,  0.37956083 -0.001      -0.001     ]","[ 0.161425   -0.19983804 -0.18295442 ..., -0.24067967 -0.0025     -0.0065    ]"
"[ 0.13765529  0.06287572 -0.03284143 ...,  0.34401491 -0.0015     -0.0095    ]","[-0.16922795  0.2360608  -0.06637623 ..., -0.40517694 -0.003      -0.004     ]","[-0.07601779  0.17946959 -0.07349283 ...,  0.36537687 -0.003      -0.007     ]","[ -7.64966595e-02   2.17756910e-01   1.42491689e-01 ...,   3.78560834e-01
  -2.59822254e-11  -2.99999998e-03]","[ 0.159925   -0.19833804 -0.18445442 ..., -0.24217967 -0.001      -0.005     ]"
"[ 0.13815529  0.06337572 -0.03234143 ...,  0.34551491 -0.002      -0.011     ]","[-0.16972795  0.2365608  -0.06687623 ..., -0.40567694 -0.0025     -0.0045    ]","[-0.07451779  0.17896959 -0.07499283 ...,  0.36887687 -0.0025     -0.0105    ]","[-0.07899666  0.21525691  0.14499169 ...,  0.38006083  0.0005     -0.0065    ]","[ 0.156925   -0.19533804 -0.18745442 ..., -0.24517966 -0.001      -0.008     ]"
"[  1.39155287e-01   6.63757204e-02  -3.13414253e-02 ...,   3.48514907e-01
   5.05984032e-10  -1.39999999e-02]","[-0.17272795  0.2395608  -0.06987623 ..., -0.40867694 -0.0015     -0.0075    ]","[-0.07201779  0.1784696  -0.07749283 ...,  0.37137687 -0.001      -0.011     ]","[-0.07949666  0.21375691  0.14549169 ...,  0.38256083  0.001      -0.009     ]","[ 0.15442501 -0.19283804 -0.18995442 ..., -0.24767966 -0.0005     -0.0105    ]"
"[ 0.14015529  0.06737572 -0.02934143 ...,  0.34751491 -0.002      -0.016     ]","[-0.17222796  0.2390608  -0.06937624 ..., -0.41217694 -0.001      -0.009     ]","[-0.07301779  0.1794696  -0.07649283 ...,  0.37437687  0.001      -0.011     ]","[-0.07749666  0.21375692  0.14349169 ...,  0.38456083  0.001      -0.012     ]","[ 0.15292501 -0.19133804 -0.19345441 ..., -0.25117966 -0.002      -0.014     ]"
"[ 0.14165529  0.06987572 -0.02584143 ...,  0.35001491 -0.0025     -0.0195    ]","[-0.17272796  0.2395608  -0.06987624 ..., -0.41367694 -0.0005     -0.0105    ]","[-0.07401779  0.1804696  -0.07549283 ...,  0.37737687 -0.002      -0.014     ]","[ -7.84966594e-02   2.12756916e-01   1.43491689e-01 ...,   3.86560834e-01
  -1.45564986e-11  -1.40000000e-02]","[ 0.15292501 -0.19133804 -0.19545441 ..., -0.25317966 -0.001      -0.014     ]"
"[  1.39155288e-01   6.73757209e-02  -2.53414252e-02 ...,   3.52514908e-01
   5.05928509e-10  -2.19999999e-02]","[-0.16822796  0.2350608  -0.06537624 ..., -0.41817694  0.001      -0.015     ]","[-0.07451779  0.1809696  -0.07399283 ...,  0.37987687 -0.0015     -0.0165    ]","[-0.07949666  0.21175692  0.14449169 ...,  0.38756083  0.001      -0.015     ]","[ 0.15592501 -0.19433804 -0.19845441 ..., -0.25717966 -0.001      -0.018     ]"
"[ 0.13815529  0.06637572 -0.02534143 ...,  0.35451491  0.001      -0.025     ]","[ -1.67227957e-01   2.34060802e-01  -6.43762371e-02 ...,  -4.19176944e-01
   4.37282669e-11  -1.59999999e-02]","[-0.07201779  0.1784696  -0.07649283 ...,  0.38337687 -0.002      -0.02      ]","[-0.07999666  0.20925692  0.14499169 ...,  0.39106083  0.0025     -0.0195    ]","[ 0.15742501 -0.19483804 -0.19995441 ..., -0.25867966 -0.0005     -0.0195    ]"
