rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 29.96036525  89.9816307   39.96601073  89.97096275  59.96991314
  79.97039179  39.98256624  59.98110856  89.9816307   39.96601074]","[  9.98728445  29.9820598    9.98408738  29.96906885  49.98010653
  49.97606118  39.97422641  19.99338826  39.95701906  19.97041389]","[ 129.95457875   49.96974984   29.98236319   69.96322437   99.9216823
   19.97069751   89.94251543  119.97338893   79.97002928   59.97655049]","[  9.98634703   9.98946318  39.98204087  19.9805577   29.97665929
  69.96138275  49.95436389  29.97000958  29.97255672  29.9654513 ]","[  99.96538332    9.98115383   39.97429707    9.99034812  109.95159787
  119.90647056   89.95081015   19.98417758   49.97553337   29.98698753]"
"[ 29.97261031  39.9835815   39.94851782   9.98371168  99.95569089
  59.98842268  89.95167431  79.96291702  19.99116409  29.98985273]","[ 109.96663945   69.9805859    89.9700412    49.96563541   89.91621524
    9.98137215   79.95443573   39.97007424  109.97559744   89.96863148]","[   9.9797344   189.91085897  229.89923716   89.96244697  259.85818197
   19.97888714   99.92669647   29.95845327   89.88227694   39.97458984]","[  29.96918801   19.97038412    9.98881886   59.96877167   79.98449021
   29.97686988  139.96236146   19.98761705   19.9781795     9.98440475]","[  39.97116767   69.95969499   69.9493327    99.92996565   39.97743482
   89.97157185   59.96939589   99.94005924  249.92445976   29.98953056]"
"[  59.9664629   129.90878249    9.99025721   29.99007347    0.
   59.98156738  109.95685074   29.97067652   39.95019573    9.99152786]","[  69.9667689    19.9764372    39.97775487  129.94869695   19.97235617
   29.97269529   49.98336781   59.93463656   49.95632648   19.98440438]","[ 129.96425035   69.92587033   19.97020468   39.97715469   39.96734711
  339.77450108   69.96162944    9.98521943   49.9696712    99.95910701]","[  79.96771785   59.97644205   39.95150593  119.97723831    9.9849037
   19.98213895   59.9666954    89.9588354    19.97712415   69.95250691]","[ 19.97628202  69.93924744   0.          89.94900312  79.9753765
  29.97324868  49.94872417  49.97650587  99.97340805  39.96797119]"
"[ 69.9768789   19.96729923  39.96327483  29.98507229  49.97937067
  79.97757338  89.94680597  89.9725526   19.97414307  29.98217252]","[   9.980002     59.96326894   29.99053567   29.98569882   29.98602396
   39.97874426  159.95783807   59.97594618   49.94120217  129.94189797]","[ 69.95209849  59.96103799   9.98005499  19.97449658  69.96157299
  29.96705182  49.96587982  19.97222098  99.88869593  19.9743322 ]","[  19.97149616   89.905101     49.97546449  229.87004116   79.96150567
   49.97284617  109.95447092   39.98080553   39.99034483   19.970531  ]","[  39.962488    169.97004564   59.96155512   59.94310528   39.98109862
   29.97024169   59.96125902   39.97030209   39.98913472   49.94824372]"
"[   9.98808946   89.95141252   39.98373574   19.97148009  129.9062216
  169.86643512   29.96481385   39.9617778     9.98367506   39.97120405]","[ 79.94014194   9.98526578  49.98846905   9.98546091  39.95682688
  39.96009807  59.95906922  89.97395686  19.96655285  59.9457022 ]","[ 199.86598449    9.98451694   39.94598487   69.93027839   69.9707831
   19.98098088   59.94846327   19.97791933   39.98395875   29.95636016]","[ 139.94587655   39.97827359   29.94987748   49.9399591   139.89544949
   29.98771974   59.95455544    9.98330509   69.95750401   29.9650864 ]","[ 139.92766231  149.91064606   29.99024656   79.96557187   29.95654993
   39.98318484    9.98210503   49.97517557   29.9819227    59.96532146]"
"[ 119.91211971   59.93775632  199.8759142   189.93078123   69.95861311
   19.97394099   39.96949226   19.97758327   39.98019241   59.99133437]","[  89.89475218   39.9595199    69.89250849   59.95263946   49.98212431
   29.98780041   29.95672389  109.89987131   59.94455021   69.94362432]","[ 159.95090419   49.98577671    0.          119.90370804   29.9551526
  149.91705975   49.93664393   49.97685548   69.90583852   79.91431458]","[  49.97361112   69.94968199   79.97730275   39.97729274   49.97424664
   29.97566119   29.96701943   69.94177064  159.95802556   69.97547527]","[  69.98193489   49.96815855    9.98296867  219.89144841   59.96660596
   29.9790713   119.8807234    39.98461373   39.96005744   19.98727784]"
"[   0.           59.96371226   39.97382955   29.98116193    9.98606861
   59.95110884  129.96650577  179.94034094  199.93153778   89.9308218 ]","[  99.8903267    89.96279005   59.94564362   59.95530344  149.94750353
   49.9224974    49.94694008   29.9794402    29.96705402   49.96261601]","[  89.89366144  139.87762261   29.96978256   49.97317539  129.91966026
  149.92195302  129.95854247    9.97999345   49.95467855   99.85770024]","[  39.98265347   89.95394588  129.91824497  189.9194916   109.95832348
   39.97795885  139.95430634   79.93555421   29.98196421   29.98605498]","[  59.98622556   19.98479297   39.98603821  139.97092585   39.96827657
    9.98015079   29.98875736   39.96724524  139.92870069   49.98065056]"
"[ 109.97091696    9.98076497  129.95865841    9.99157695    9.98460349
   19.97871557   49.96334673   19.97318548  129.94911458   19.97947819]","[  49.98291137   39.96189391   59.93943966   29.99102882  179.92867605
   99.94565117   19.98670447  119.95932321  249.90826231   29.96178119]","[ 249.88009637   69.98090894   89.92949957   79.94424218  179.94726422
  119.94119074  169.9668622    29.98022356  119.91630468   59.94177664]","[ 59.9615971   19.97991521  29.97114344  79.90754513  69.97519202
  49.95872235  79.93732679  59.97879324  39.98761543  69.97449387]","[ 99.95723854  59.96973199  19.98752839  19.97099121  29.97110837
  59.9668564   29.98257903   9.98361929   0.           0.        ]"
"[ 309.85919042   59.95658555   79.91270102   39.96268183  119.90414638
   79.89224443   39.94430112  119.91577317  139.92450989   79.91270101]","[  39.95083408   39.98081148   89.96880382   39.97725852   19.97153452
    9.98419726  129.94710547   29.97842615   29.96549462    9.98360567]","[ 169.93203426   59.93879723   59.9384656    79.9373246    59.96867963
  159.92780073   79.93770684   79.94674103   29.97956055   29.97640893]","[  19.97712055    0.            9.9827637     9.98171744   39.9846446
   19.96929934   29.95374245   79.97335668  109.85828096   99.89440447]","[ 49.94419664  59.94910412  79.96368865  69.99162645  59.96630062
  19.99001255  59.96586428   9.98388884  49.96530406  49.97495365]"
"[ 139.93722903   99.97318752  129.93602429   19.97510081   69.9149821
  459.74689516    0.           49.97448417  159.93589706  109.96385092]","[ 119.96087976  149.92848129  109.89104277   69.9516999   169.8511626
   59.94949083   69.98599263   29.98942184   49.96144377   69.95777439]","[  59.93965184   79.96121991  179.83023606   69.92973475  239.86271739
  229.94340668   39.97224464   19.96752642   29.95098598   99.96918974]","[  89.96314301   99.89718938  169.90639871   39.96842137   29.95523156
   29.97083968   69.93228443    0.            0.           29.95369509]","[ 109.89921293   29.97310105  189.96041216  119.92951629   19.98109562
   59.98335524   49.97674343   59.93653608   69.97341557   69.97503318]"
