variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4
653.9346115726715,3588.584968596388,8380.418687225932,1133.5651533722312,2968.9491953099205
846.6416089766279,1239.6303769090825,12170.857086136897,3314.9938542583536,9473.173826642085
3660.566338227636,2880.8875952271655,25532.14127055082,6106.213369462255,2802.0452409432205
1623.7434836452944,3196.4625762025717,4390.559133175367,9605.710189982017,1812.6386540078881
11980.823896528775,1768.4280642141346,8847.156484210298,3944.22998288241,3193.4319831367256
4181.059335416548,5437.610666965036,7768.014554078813,4282.71321532605,5794.957599775078
8463.8638443419,2095.789223871823,20237.66596638242,4207.591366564821,5037.153280671062
3174.8743980572726,12964.519919903505,24501.747150630603,1333.847060776258,2510.770538084383
10993.190684634592,2239.854126851025,9183.463115614904,2167.951559934073,3157.1961325879815
42492.75285792812,13554.757494648706,226361.96441040112,7571.0517809689445,9904.704653228959
33189.93523875049,9351.727118768202,57960.56072241912,53699.434481213655,672.9440805734303
6438.6020119921195,13609.790315714481,83129.66356677994,42787.62600410753,893.8993450102522
27549.439079791126,41521.084557656446,69963.66738705407,156108.55498625574,12171.633092844095
106781.74610513191,29909.456827638467,36174.73811817121,27426.094986652963,8297.983093462459
71432.5132929509,25709.26746230693,39188.63377571131,43254.79882421394,6012.406942924257
67521.40888308591,19651.618157294106,101578.21239620843,18572.51436077684,161561.8631800073
73016.48000667462,15771.841637352098,23709.001021910946,65024.72144914956,26370.667914986057
36122.752966389824,11379.890807458947,788810.1812319079,91926.42144992577,36810.54700310451
316409.5337026877,22863.051978780415,68617.61479196364,212737.75878775265,17932.893955092048
1251129.7375841672,14709.487403088719,146845.50647167763,170202.23520071097,21180.895398814308
178344.16886776482,58577.76279711895,71960.59427105832,362544.53258737526,23198.517974980932
394625.0153065774,69040.07873600173,94709.01681178692,98026.3994565921,43319.361940593706
210014.68286866313,58422.712566177186,212371.73055645535,264257.1946039025,20095.534012299857
305827.5090929548,34369.60038494462,103343.34651057298,234602.10825697915,25281.732907001176
337621.8900794758,29125.8384469327,75734.25408579466,185716.36886101213,32000.970362620414
270222.60953052895,32304.415865622497,178732.97802923323,113376.44294210507,221519.2697549302
332778.1934855997,214080.873602542,1164901.8877320276,125926.34347041225,40713.14950062689
1516614.5760389813,115211.06160242727,1809964.8680880782,467618.5604282818,38848.89888072697
778924.4094894187,152090.83106746065,1077598.4971230603,1799416.9536832315,74131.18836280362
1353530.6845110795,179986.40103642998,1215780.339002505,1206229.1830506278,44244.29162059163
851999.0961443462,45151.657520683686,1709098.9922719554,2404684.0820671315,47179.90857462571
1145288.968057341,190354.89402569583,1833060.1877022064,1380408.2692254416,49333.20054210774
853193.0768491762,311941.22455734527,4664272.74825806,897428.385920445,201280.22973710808
1434385.4587954842,343550.2094926118,1342777.5194115406,1393851.1709516584,161423.7052690693
1001146.3454983099,140068.18888602898,4127622.8343997896,1200125.437694448,153349.2136305026
1543492.1814499884,226207.27175803535,2653498.8232530765,5120362.186034664,321612.13817076775
1120771.9778952585,353838.52227909054,2871763.9103594716,3240632.5112257376,326849.8257040761
5544131.268013344,289675.7921008239,768832.2155654561,1440180.5929278866,398905.84427789564
3431018.438859762,817337.2261327342,2638882.9720037547,1291758.541505342,306976.3307737614
2051552.8348113538,306184.2503936627,2037251.9178248625,3057206.236671243,431100.3470423495
1942244.7954842479,854284.4329275698,1859096.053667978,2605715.6506522237,523978.0453068888
4350539.238612248,789100.7315094874,2445100.898982576,1623637.694066403,526776.6580861856
5411804.587463101,682161.1894558269,1836194.8050235193,1246579.0477894517,677764.8699932013
1856847.3021413318,1871005.590749796,770434.9795965536,1748438.582023417,716067.4066284812
4153048.656744766,2619904.1365793273,2010912.3235343283,749118.5564026237,1009685.995969129
5739505.662994355,6496131.428896968,1761551.377200727,2660141.0038778633,3116179.989131934
4651865.445218938,1897625.0606564141,2964048.836728838,1978948.8038160463,982560.959139766
6769119.785694364,899006.485573552,1765094.8458594116,2984121.7740120417,883847.8135897447
4472025.938128335,1956256.7521640242,3888240.3675822397,1759225.511465499,2240143.3684348525
6903379.818921786,6535436.647478809,5569088.290181626,5394774.046302084,778563.9559698505
5475353.080684648,2137668.319653063,3695933.7711245315,3501748.217006277,1253496.2743373988
2745166.6319833826,4214080.097703796,10687048.342200153,11930153.38758496,6201093.00112541
14740527.329629496,2482740.2759957854,8033645.192530498,10722778.540802881,2953298.2817474045
13309401.169243246,3927085.625475734,8463625.533011857,8280558.827687572,7325232.362346508
3218391.4395356225,4930250.048579643,7870676.363587843,6869692.072122332,3647446.3712436254
8196271.407005241,8220877.420777872,4817675.5095444955,12037066.698956832,8970622.09395048
1660932.1579115295,9853637.826575985,7956216.4708078,6080319.568501595,1258383.9117169152
4605845.167897548,10155726.547481306,3419981.758484613,11421269.458075888,6162890.691174362
4273669.220616874,8215587.046194478,7389095.974414377,3360390.054343677,1693010.0414668538
13600806.317777418,3501379.138166288,2500819.6707632365,22936810.432539236,2265970.479709335
5533331.327250353,8480838.07102285,8746458.015590783,6332676.217621354,3355074.0566800106
8714185.55872967,8756855.280193696,15603949.111724654,19658728.506690584,4160180.4371860866
6937254.886690104,7944519.517725037,11941776.209493356,3620434.0267348504,7462158.114014236
5089032.692507212,5876675.34865787,1884251.0223992825,8034894.2495179735,6130094.55833914
7457042.863014513,6918812.9805535795,6197289.797795262,9910419.569432173,9451413.30616017
4137176.755994024,2859344.7772611976,4584681.306546848,2107260.280743464,7141219.360266138
6498396.008326177,12864307.699556578,8943663.881094914,10323584.020303756,6105401.221664542
3279894.5373798176,3942278.343527023,5472295.261673572,6550673.646994522,19643406.85063702
4654159.103718738,13443915.830734063,17340776.77151762,11151478.249732371,9884773.24133468
9579920.967393994,11688538.67963377,9865551.15868782,9084978.216559174,5232220.3985793255
7685457.908090555,13895080.294667387,13306938.093414819,15772737.687709294,3573278.228971922
