varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
350.983544332004,331621.4012829017,607997.3202593431,455047.50319551706,254610.76269864896
448.74744835835975,331095.9640192359,609768.4452115586,455841.5105691741,257467.08986283696
2787.621557690419,331427.6580553927,619299.7454098156,458867.1422867779,254790.59232990406
3185.833332567041,331556.7338728921,607902.2005330729,461305.98362719483,254670.838889059
12450.444337124834,331204.4360387824,636771.3493320802,459697.990488555,254790.95089264342
2588.4218243540554,332216.4589480566,611589.8025007469,458021.9579401679,259625.10772166692
4672.968144248513,331721.3875414838,616039.9707209901,458349.2536857402,255175.81726996522
4732.244192030245,335980.86035831925,619734.7106914399,458262.76903425273,254866.50741519255
4837.323018492006,334372.9177135617,610918.127580167,455909.5854951981,255337.79701258478
32428.32999941507,4007.0309322858875,2859506.4813068574,5452.19556178183,2585.5643533355055
47312.07654120484,6897.488202141225,593086.400821873,26653.05873849333,331.2985071447978
3038.7280475149637,6798.479237683608,35057.82966158236,24972.791086455967,420.79104921015414
29201.228958102613,90196.23194423328,25070.21982390435,127821.13895830803,7747.733288546192
310556.1784849984,21220.540660077673,29770.39747072192,14542.59132047858,2277.1335436681484
26367.675598124355,14712.4190671608,15677.243223959844,66375.17071540837,1812.5451276960875
21425.367955204216,10426.989336326264,52767.82391112964,411823.229000928,214322.6773303393
28054.113844755597,23692.100635849132,18394.37320848319,57976.462586392314,7649.403274316432
20839.59961036505,9193.27960988977,840875.6255513604,54583.927464571905,15805.45690979501
286721.8877076659,9911.139271543921,31384.414637782786,86082.73786837453,23075.789173903195
430954.9756529963,7114.217495517198,64706.243259438124,69971.65371672972,10594.536480190214
68696.60182229421,33536.21675712338,31082.398176921215,205807.75380525348,28036.271146206713
127302.43747878369,19906.226701996537,80736.97303656074,60959.04431669989,28068.240007447454
84799.65156736792,17254.02291716556,100838.58733471684,182998.46999782446,24538.4976857705
187881.39740561083,12322.496962331175,68446.47490285437,173808.72506019566,16578.182254726733
263547.5765024688,42159.34872913933,89110.06474148555,114557.58274746465,36814.24660562489
196610.80524507113,13579.565658982774,106525.32217504234,131428.56582700944,53951.60290826695
338635.2406048649,58893.658378994034,1117278.4760896948,221827.36108706065,16485.81641512154
1499306.3314485678,33275.60972280842,710130.0179627637,349118.1225005649,14811.37204525026
504059.8954308194,89677.6897418322,690969.8044718525,1612238.5867180147,27033.778601997612
1186633.6385055967,87842.07755170806,1092848.319175233,754960.8876585017,28061.627895972422
951785.0748281672,36089.537292602414,2818159.4741819296,87427035.8538879,27234.39904012035
736722.7463142141,105155.80447152143,3135619.8132520947,895298.3651002912,25995.994625779895
944810.8476241626,142241.01424576392,2305490.190231944,775007.3867374216,104002.21399724178
1046584.466088103,105566.71442886835,1287226.7670943039,946892.1221833945,458298.36565571587
2921750.9171971977,91727.30827439926,4588892.058457842,1014069.0855249772,93435.64543980898
