rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  69.94772429   39.96733899   79.95882915   69.97391459   89.94371947
  139.94654925   39.98271532  169.8986626    29.97397018   39.97124089
   59.97877328   89.94371947  139.94654925]","[ 109.96020523    9.98024083  109.9613632    29.98423286  209.88602831
   19.97829741  119.94669295   59.96593251   49.9746105    59.9631514
   39.97593517  169.81599012   29.98715596]","[ 49.94437603  79.95400799   9.98239374  39.97496732  69.92707978
  29.97452067   9.9888557   89.93296533   0.          39.97141345
  69.97864257  79.9549658 ]","[  49.98000298  149.85172696    9.98160474   29.97867652   39.97158924
   39.97842879   49.95155281   19.98317206   29.99111895   19.97221371
   49.95599887   29.9787422    59.96993778]","[  19.97351723   19.96844122  129.94439706    0.           89.95205847
   29.9645694    99.93511496   29.96466425   19.98976557   99.96563221
   69.97435321   29.95645143  259.87746619]"
"[   9.98620719   29.97700819   69.97118843   19.98039539   29.98590609
   29.98244296   19.98346827   29.97009584    9.98620719   29.97700819
   69.97118843   69.97512468  179.91880937]","[  19.97213604  109.94668511   99.95615572    9.98239238   19.98331458
   69.9217754    39.96856625   39.98274457   89.92547054   99.93127287
   89.95801685   19.96773067  199.93132527]","[ 139.94755685  139.96151656   19.97599835   49.94378317   59.94935409
   69.9268512    99.94595922   59.97729766  119.93505409   69.96410849
    9.98327476   49.94335124  149.93279535]","[ 39.95053332  19.97725205  49.95949     29.98811239  89.93633145
  39.97921882  39.9901204   99.96162218  69.97166394  89.9645285
  39.98432373  49.98118495  29.96690238]","[  39.94685757   29.97025887   89.94490254   99.98319176   29.96879632
   79.9710915    29.98080874  269.85995383   69.95845595   59.96423062
  139.96074291   39.96199375   59.97004274]"
"[  79.95703591   39.98106959   49.96051265   49.96584188   59.94681091
   19.97549766   19.98405361  109.9196634     0.           19.98922255
    9.98303227   39.96864995   69.96417902]","[ 59.98265647   9.98947669   9.98815425  39.98089856   0.          49.97932291
  39.97716816  59.96952228  19.97150761  29.96133562  89.97616765
  19.96953467  89.92036541]","[ 319.8321975   149.90707895  129.97038424   99.97022587   19.96843196
    9.98336484  139.91554     209.91144994  109.96524649   79.96055317
   79.94854548   59.97603142   99.90052042]","[  29.97900532   29.95295032   39.96911643   69.96726148   19.96771011
  149.8928935     0.           29.9749216    59.91369617   39.9470941
  169.81380653   29.9822886    69.968354  ]","[ 129.93302207  109.94221738   39.95424394   99.95734617    9.98663234
   59.97326937  129.95290222  219.82860874    9.98226016   69.9635662
  119.94885895   99.96106547  249.76498845]"
"[   9.98606848   29.9771803   129.96191652   39.96781365   59.91316819
   39.97681182   49.97685982   49.98466352   79.975734     69.96727872
   19.97345321   69.96946942   19.9833382 ]","[  29.9667239   129.94591365  109.90648548   29.97320591   79.95952693
  109.91075192   39.94676845   39.94818044   59.95625433    9.98355781
  109.96776726  169.9485361    59.95628142]","[ 149.94332231   89.92336892  199.94762381   29.94366603   49.93868459
   59.95028381  209.92142022   29.96023927  219.92954724  219.82924275
  169.95202405]","[  59.96371102   19.97021531  219.93579732   89.96614399   59.94300103
    9.98752798   19.97269338   39.93555838   39.98014928  109.9539323
   29.95740482  129.95873973   49.96661423]","[  19.98286069   99.86968615  129.94082184   59.98495884   89.93188199
   69.92813443   69.9779587    49.96389351   69.97179422   19.97385914
  179.87254923  149.92115481  139.94268061]"
"[  49.97669718   19.97898011  139.94552112   49.98656431   39.97495048
    0.           29.97404996   29.95808899   79.96995542    9.98461373
   19.97080214   89.97250142    9.98612918]","[  79.96291294   29.96524942    0.          139.84426941   19.96940872
   59.9468225    99.96862304   59.95217659   39.98137303   19.96503943
   39.97635069   29.96983217  109.94405572]","[  29.94873425  119.93389283  229.92763633  129.85958746   19.98350911
  109.92881095   59.9585057    19.97158299  159.82429346   19.9782286
   69.94826951   79.95230315]","[ 49.98700992  49.97248442  19.97331229  49.97647991  69.96861698
  59.9711307   29.95519431   9.98423861  49.97326296  69.97611054
  49.97746182   9.98175738  29.9637741 ]","[ 109.93370809  439.79082989   19.97747859    9.98044477  309.7945085
  109.92348693   59.93817585    9.98086386   49.9691859   269.93173111
  119.86609603   99.93474171   49.91489586]"
"[   9.98911299   69.98770428   39.95942435  169.90292058   19.98432895
    0.          109.97715321   19.97534393   69.97802124   69.93993005
   39.97718015   89.95424958   49.97170037]","[ 29.96252902  49.95909739  69.96112114  29.98401866  59.9633012
  29.95908026  49.93886052  19.96953036   9.9827962   19.96777334
  39.95327947  59.9593607 ]","[  59.94140732   49.96297974  139.82508066  189.88824795    9.9824753
   89.96877631   29.96445542  139.92743416   59.96813443  149.92786037
   29.96482308   39.97208029   69.95878147]","[  59.96681401  149.86239985   39.98682073  169.90947976   39.99118828
   39.96754629  119.93415626   19.98517376   39.96156632  109.96489992
   39.98371403    0.           39.97662643]","[ 139.82626378   49.96159573   89.91323722   29.98375547   89.92189336
  179.90834633   19.96961226   59.96701871  189.82727409   29.95970849
   49.9695028    59.95652479   39.95560181]"
"[  99.96908894  109.95696363   49.94806761    9.98715584   69.92322183
   69.9220029    39.96657878   29.96275474   49.96603089   49.95513679
   39.97980282   79.86535942   59.93812322]","[ 299.91640022   99.91648749   49.93933432   19.96983272  209.90987259
   29.97019909  109.94675529   89.96863536   89.9630112   109.95291934
    0.           29.96041282   29.96836923]","[ 109.83614902  179.91344303   49.93129573   49.92502922   69.96276346
   49.96547648    9.98323392  229.93764301  159.81466988   49.97513861
  169.92779805   19.96994629   29.98561709]","[  19.98334552   49.96633333   29.96049827   99.94272477  169.85149408
  179.94056237   49.96138008    9.98472521   49.98787549   19.98378053
   19.97281379   39.97642884   69.94666419]","[  39.95800091   39.96527008  219.8530897    89.92340311   89.86303253
    9.97979626  109.94807227   99.90717944  109.90070596   99.95944417
   59.96059224   89.95067004   49.94193221]"
"[  69.92991039    9.9825245    69.97889881   39.97324066   29.95640791
   89.92168457   29.96325155   29.97033064   59.95291635    9.9852991
  149.93999468   59.9586619   129.90506481]","[  39.94370497   79.86670466  139.91341569   49.95019372   89.96267983
  159.93907913   59.94141481  309.93884419  349.79845313    9.98893518
   29.98735095   89.9630913   419.83982582]","[  89.92525249    9.98439968  119.95091198   69.94660114  269.82110622
   49.96812372   29.98074594  139.96320431  209.91699373  289.93579979
  329.90913259   79.93570909   49.94694718]","[ 119.95768419    9.98494985   99.97205035   19.981121    129.95317951
   29.96133699   69.93383854   29.98357683  109.92997649  209.85612759
  199.88055056   59.96532478  189.96374328]","[ 229.88499331  159.9145077    39.97504472   69.96891904   59.90950569
  309.77956655   89.96795169   29.96409234   99.95956608   39.96223364
   69.91178426    9.98730616  229.8118182 ]"
"[  29.97499024  109.9617074    99.94675779    9.98506393  189.93325183
   49.98096434   19.99242466   59.95685031   29.9604342    59.95098536
   89.95908744   39.97252163   19.97417141]","[  79.9593756   209.87262557  129.9333106     9.98437821  129.9467374
   79.91487406   49.94648224   69.92511969   39.93061374  149.9321901
   39.94356906    9.98161233   19.98577543]","[  69.9095212    69.95142967   39.94443867   49.96701963   79.9078194
  119.90964961  249.91575681   19.97534866  109.94999202   39.95337486
   29.9592887    39.94862499  139.95544839]","[  79.89951929   49.96053392  179.90731213   39.93722619  159.88285759
  119.96886405   49.97728116    0.           59.91828888   99.9690375
    9.98192016   29.98376553   99.96106931]","[  39.9634035    59.96957462    9.98740041   19.97461592   59.94670589
  169.86490706   59.9713746   119.94205924  129.92473257  189.94334816
   49.94964573   39.94839273  229.95076447]"
"[ 169.898524     29.96033994  119.94944034    9.98232014    9.98030832
   59.96142866  129.96098986    9.98526894   79.96763986   89.95018474
    9.98786854   49.98475318  249.90398758]","[ 169.82286592   79.95954821  149.87798887   59.94103117   79.96411348
   89.96052281  229.84027397   69.92190073  159.87789365   29.97067723
    9.98178192  109.87895793  179.9280463 ]","[  79.95814711   19.97498184    9.98043952   59.92897759  109.94265248
    9.98657883   19.97444077   59.92775523  109.91896272    0.
   49.95602403   69.93943463  179.91182133]","[ 429.76030013   59.93724865  259.85083348  109.94114013   89.94690977
  129.94385099   79.90857457  119.94808263   39.94020421  179.93678903
   29.95504966   29.95926458  159.91692402]","[  49.95667834    9.98074979  129.91292589  179.89663752   59.91750268
   39.97132867   59.96740495   39.98667539   29.97099302   69.9388047
  219.85269318   29.98047322  179.83459831]"
