rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 79.91855575  39.94806387  19.98236015  29.98844647  19.98771883
  19.98837479  19.99208783  39.98330224  19.99361227  19.99314041
  29.9632194   49.98798497  29.9632194 ]","[ 19.98810209  29.95719915  49.94663918  39.95875138  69.97562102
  49.95882115  99.96946408  39.97221678  49.9579511   29.9922277
  89.94233168  29.94853888  49.96110479]","[ 159.85440153   99.93827681    9.98104517   29.98404705   69.94529906
   19.97534704   49.94163462    9.98828091   99.93432704   29.97541336
   79.94582459   29.97360158  119.89537793]","[ 29.97726288  39.96898119  59.97683443   0.          59.9771231
  39.98757552  29.97800465  69.97217535  49.96467655  79.92922245
  49.9693031   59.9765422   49.98163949]","[  69.98735839   49.97305794   49.95843966  259.73757022   99.93757829
   49.942024     89.9593346    29.98210267  309.8039658    99.96448262
   29.97650809   49.96821682   49.97666865]"
"[ 69.97577349  49.95516492  59.97753828  39.98779042  29.99036846
  99.95676377  29.99036846  99.95676373  29.98813711  19.98005977
  99.94822587  19.97599146  19.99360898]","[  59.96410217   29.95699632   69.91505433  129.95845618   59.97455712
    0.          109.95019337   49.95206536   49.96461001   79.98271724
   79.97813775   29.97205383  259.80855715]","[  59.97101395   49.9482013   209.83027882   19.97914472   49.95664812
   49.95452691   39.93494536   99.97265085   19.9701188    69.96450522
   19.97487306   29.94624989  109.94513881]","[  29.98392279   39.98928311    9.98648908   19.96303922  129.96362615
   19.98894975   79.96951837   59.96456935   49.97870701   29.97716541
   59.9706611     9.98952035   59.95566316]","[  59.95558927  169.93213721   39.95856315  199.96321696   29.95760278
   49.96809769   59.95678986   29.97370202   99.93677347   29.9735906
   19.98164913    0.          159.92699471]"
"[ 19.97872181  39.96624473  79.97518804  39.97314901  29.97370277
  39.97314901  29.97370277   9.98459186  39.96689728  29.97859221
  49.96993938  19.977096    49.99173245]","[  49.93718768    9.98512147   29.96617512  219.88841342   19.973866
   79.96968563   39.98360396   89.95474444    9.98266683   89.93463018
    9.98380297   39.96471906  109.95887523]","[   9.9828189    59.96379918   49.96833563   89.94394544   79.97112269
  119.9458359   139.96980106   29.9849925    39.94571795  219.87014678
   49.95202721   39.93518082   69.92619962]","[   0.           19.96717007    9.98783442  109.93322398   29.98055014
   49.97836275  159.91646776   19.9885869   129.96520477   49.97596668
   59.96944941   69.95398236   19.98740208]","[   9.98279849   59.94471825  189.95110118  139.91994281  209.95149276
   19.97010539   19.97771616   59.97178393   69.95396588   49.95539183
   29.96212414   79.95773758  209.92298061]"
"[ 79.96604959  39.97393982  19.98507773   9.98070169  49.96542639
  19.98605979  19.97504026   9.9847585   39.96688855  79.96604959
   9.98409488   9.98217738  39.96695615]","[ 39.95204391  79.95743021  49.96171581  79.93973707  69.92857621
  49.93972977  29.96190025  69.93517388  29.96063205   9.98174093
  19.97693135  59.9628032   39.96015525]","[   9.983908      9.98776996   29.97354525  189.88983795    9.98231143
  119.92765278    9.98975145   39.95132033  199.96449125  259.81645489
   59.93745246  129.94950889]","[ 119.96617121   29.95707287   99.97299584   39.97624875   39.97626799
   29.9727658    59.93610042    9.98897107   49.94050681   29.99067791
   79.92265453   19.98554423]","[  59.9687616    99.95644034   19.9823174    29.96547227   29.98013525
   99.97811927  199.84286734   19.97532598   39.97053119   69.9563085
   19.97633178  189.9274576   119.96416237]"
"[   9.9796063    19.98322456   39.9796223    19.98507773  109.95905347
   39.99114674   49.98838962   19.98507773    9.98070169   49.96263169
   19.98605979   39.97153548    9.9796063 ]","[  69.89326587   69.94671621   49.93305681  139.93640843   59.9664491
   19.98356231    9.98971375   49.98242148    0.            9.98318241
   69.97001934   29.95558142   99.93394858]","[   9.98113927   99.95607048   39.95942467  139.92526425    9.98616868
  149.9312072   259.77319663  139.95020682   39.97255292   79.95304145
   79.9418582    19.97938061  169.75981823]","[  19.97330534   49.98556821   49.97106919   39.95754296   99.97004995
   69.95375887   19.99093196   79.93038139   29.96569372   39.95496665
   49.97588586  129.90533782   49.97821581]","[  19.96827895   79.89787982   69.93828489  139.90594174   69.98541461
   99.9536331   119.95966514  269.93939254   59.92010887   69.9666483
   39.94625598  109.92146641]"
"[ 19.97612421  59.95595197  29.98936995  39.98630145  19.97621349
  99.96874607   0.          19.98354026  39.97751075  19.98507773
   9.98070169  49.96140873  19.98605979]","[  29.95793052    0.          219.8569354    89.94652672  119.87703847
   49.97935111  179.8204756    89.9411707    49.95538179   99.8910734
   49.9556123     9.98342909  189.86252759]","[  19.97896479  399.86747675  109.89763005   59.94124686  399.84157103
   99.93078826   59.94333752  189.91201222   69.9610964    39.93741791
  149.86895462   79.93455471   49.96713073]","[ 129.96508468  129.89109582   39.97338735   49.96782048   29.96637333
   29.96641417   29.96674653   79.94836811   39.9666675    29.97702685
   89.90421415   89.94952288]","[ 129.91638995   49.93201425  129.95926252  129.90331475   19.96659801
   79.90837395   19.98004943    9.98093338   19.96887807   59.9652141
  129.96049735  229.91089832   79.96894975]"
"[   9.98549209   19.98026322   19.98440201   19.97681039  109.96890739
   19.97583859   59.95427938   29.99005035   39.98625129   39.98431207
   39.98431207    9.98070169   49.961067  ]","[  39.97785869   39.98190671   39.95666819   59.96298499   39.95466975
    9.98327179  129.97801657   99.92933943   99.91912012   49.95304826
  169.83365467   79.95380891  179.9269567 ]","[ 129.90121852   39.95654285   59.94829294  369.78446205   69.95438279
  139.926675     99.97485377   29.95109392   49.96886569   99.96071862
   59.96439034    9.98700204]","[ 169.94649438   99.96503627    0.          119.9619559    49.97231116
    9.98427402   19.97657311   79.9547112    29.96450551    9.98538385
    9.9844464    59.97421151   59.93887083]","[ 109.96417267    9.97962605    9.98180784   59.96553959   19.97643866
    9.98962838   19.98627157  269.89951532   19.96858138  239.90870107
   19.97627257  599.71231981]"
"[  79.97559592   79.98507788   79.97559592   79.98507788   29.9662481
   49.96856181   19.98605979   19.97744808  119.95116804   29.99224696
   29.99091259   39.98596746   39.98363915]","[  39.95690677   29.97951833   49.97932291   59.96609447   69.96414419
   49.94048701  139.95805666   19.96803641   59.95718016   29.96876128
  209.90745949   89.95625839  149.93162664]","[  49.96814211   29.96466633   39.95601145  109.91743191   29.96787417
  149.96310974  199.89765535   29.96773899   49.94763569    9.98516997
   69.93523762  149.96676326   69.92029479]","[ 299.82058689   69.94586057   39.95140962   79.95558847    9.98131357
    9.9836425     0.           59.91560179   49.93915506   59.97993228
   29.97988173   49.98005627   39.98183541]","[ 239.93345283  159.9512414    19.96445791  189.87036899   79.91774666
    0.           39.946878     59.94781649   89.96099124  119.86951616
  159.9406608     9.98155225   49.96994912]"
"[  29.97682764   29.96809964   59.96757264   19.99410851   79.97388376
   89.97437388   29.97276794   39.97487432   29.96264156    9.99124101
  109.89425137   29.96643162  169.82619961]","[ 319.86780924   39.94923669   29.97274973   49.9697821    59.93898738
  129.95590416    9.9798642    39.9436405    99.97448054   19.97353299
   29.95768601   39.97910474  129.89435308]","[  19.96875677  129.93715418   29.9762376    29.97630514    9.99096761
  269.90826411  169.93666585  119.89892078   19.98604091   79.9607401
   29.96452332  239.92195797   79.94602316]","[ 129.94519211   19.96281175   29.9688049   109.89006744  109.93310355
    9.98923343   59.93398693  159.89943457   19.97131338  439.81901476
   69.96684818  119.9680215    39.95191358]","[  29.94694967  109.91849329   49.94855514    9.9818157     9.98542809
  139.92327905  119.81530286   89.95026124  119.93012188    9.98815032
   59.90713293  119.93339611  309.85716288]"
"[  19.97199256   49.96379631   39.9678898    59.95562673   69.96049665
   19.98964495  119.97421867   59.97761362   39.97791854   49.98207547
   49.97316319    9.98675707   19.98223727]","[  89.97028016  359.92505957   79.9528243    69.97075642   19.97235492
   19.97562396  109.92576898   49.97184533  129.93308169  199.8784919
   49.9457329   129.9386317   129.94926861]","[ 399.80101576   99.88161317  269.87713512   29.95905736   29.96492623
  289.7770943    69.93895606  219.89521504  129.9194767    89.86181891
  159.87679487    9.98937857  199.84240201]","[  69.96738948    9.98402513   29.97493702   69.96867312   49.95619101
   59.92613876  119.9692694   179.93280615   69.89460553  259.91305774
   19.96437486   19.97270834  109.89100445]","[  39.96903711  139.96502842  169.92493687   49.95247668   39.95587671
   49.93824655  489.85547768   69.92972629   89.9256825    49.9486187
  149.92868415   39.95114583  249.87079733]"
