varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
-315.7463879764623,544.5693202991989,2379.238445343292,767.9934772965796,-765.0701002477765
743.6634380505583,24398.881841203758,513.7966064687442,1817.7138879888093,5343.388233083899
-41.85859777860514,6635.714739492974,5954.2023297467995,3080.5517052839073,6521.5870857058235
-488.1884245514983,97.75094129456403,14382.790939712679,1031.3759171933139,1224.0993128170599
82.31271300944002,3289.231177536432,27735.169803099718,5008.300229655519,2209.941853975843
558.603108017823,18765.81318174331,85437.6700600412,11669.413183045599,10026.34764261125
850.2399970978041,16062.418552512492,22030.0607084308,3722.1755010468632,105641.6258406404
1500.3239215091494,25058.840765954446,8581.044157815846,95849.97430542817,8977.45878922674
19326.408575638186,10473.683397785231,13007.525514514362,6466.976053319238,6519.170643330188
-87.92666805161939,40692.50477056738,62737.378449647644,6373.397131803227,64206.28379711261
8724.433131072743,9871.0689874142,9240.533951196034,86466.67304388687,33045.6723161631
2220.781454319197,22153.66908655752,56022.85952388428,42117.764335789885,6677.348640690464
573.4565508375989,39852.11750233831,138206.2046628062,26956.867589877547,14344.83018196349
5985.448341313522,16178.259924412632,271110.82772996335,34156.84505038973,26771.424192263326
1558.3970884231187,39528.95239401491,8393.672751545582,77604.45200532218,88942.23421739222
12375.81012862792,30410.956372768607,41382.17713852753,184426.14102123445,105625.97729837724
6833.735666766483,45318.559784942314,17606.174164924596,1093566.3336000608,17200.724153885538
12601.112121299258,51661.53032736124,578602.5136877819,11500.273329824311,83443.01780702162
1409.9855825739564,273459.1146266151,124861.32158681174,135318.48982751288,25338.01884833015
9510.427244304557,12973.551168493059,88908.24540849676,230096.67138467182,29816.62285036347
25748.448743639965,9529.67844534488,120607.76726878631,555255.4317999913,237002.8362160524
29517.900406826222,123540.27056370355,109577.29176411325,1139153.9220485992,99699.75824459603
80864.85378392981,160301.9165306168,501992.59524974576,196236.47647810218,93741.93555095914
246916.1830238528,96178.87329646433,158620.8084601126,234313.22461708856,147069.58929142106
347005.4902818544,12428.363324767717,125287.93671509702,270386.48039490177,62359.22218043406
445075.622055462,40715.00132497947,1256603.731560159,106503.35848812573,33516.15953253755
211875.27480124653,293769.7855431067,2216458.3433652315,667375.9195971871,624626.0876774203
497415.2029342104,126528.17668367064,1741494.8465053192,2735026.0843551224,719828.6200000858
