rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 49.97280292  79.980263    19.98437414  19.97856977   9.97943397
  79.92577507  39.97211598  39.95567076  39.9847779   19.98437414
  19.97856977   9.97943397  79.92577507]","[ 119.96703962   69.96413553   49.97441363  129.93454402   19.9756085
   89.9652226   119.93293311  129.93534691   19.97504075   29.97835126
   29.98561129  119.92997901   79.94481041]","[  69.95198029   99.91732064   29.96819842   49.9845322   129.90035122
   19.9837815    49.94190772   19.97594052   19.97185367   79.96271266
    0.           29.97632812]","[  49.97179746   29.96004677   29.99160931   69.98177908   59.96716374
   69.98091791   39.97576869   59.98227591   39.96859409   79.9503567
   19.9893731    59.96609947  109.94726815]","[  89.98344317   29.95873427   69.98233565   59.97935631    9.98238175
   29.95392354   29.99179627   59.97052626  119.92631482   29.96534659
   59.94132529   99.9602329    49.95700831]"
"[  49.98124865   69.94293515  169.90061867    9.98339282   49.96511489
   19.97926887    9.97933012   79.92619907   29.96782373   69.97526013
   59.96103434   49.98124865   69.94293515]","[  59.95162589   49.96281755   19.97444574   29.97283063   49.97456742
   49.97961084   29.99232772   59.99092177   19.96751863   29.96760851
   29.96090015  119.93681103  219.94629981]","[   9.98633642   69.96663665  169.94991632   99.9117142    39.96044932
  189.90177836   49.94444808   19.97416049   39.95635053  109.91725426
   19.96711833   19.97343909   59.97235694]","[  9.98788095  19.97515858  19.96774977  49.97096108  89.91072793
   9.98244482  49.98144091  39.94847801  39.98099725  39.95799766
   9.98071444  69.89840227  49.98246737]","[  59.94390881   69.89303188  199.94131725   69.97521493   29.97367144
   59.92670509   69.95420246   39.97713621  229.81675817   49.97731939
   59.97853175   79.93277525   29.94452319]"
"[  39.98661245   19.97321023   39.98125572    9.98621638   79.97236791
   59.97243414   79.96324155   79.95372209   19.98098223  119.93883755
   49.98143684   99.9744168    49.978932  ]","[  29.97862402  239.87022617   19.9736861    79.98009502   89.98350159
   89.90510348   79.98073874   19.97857092  139.91822543   39.97043462
   79.98373769   69.95875348]","[  49.98287076  109.9257831    49.97211114  139.92238393  149.87977586
  149.8707065    99.91509568   19.98606888   89.89704541   69.9311966
   79.89945525  119.8908575    99.90096517]","[  29.98386823   59.95872916  119.93467192  139.92213027   69.96645754
   19.96653383    9.98447083    9.98499012   29.97611833   29.94503272
   99.93163962   59.95389388]","[ 129.93191194   39.95645722  199.95228309   49.97378256  119.87484627
  219.92277015   29.99079401  109.97003221   69.94515368   79.96463001
   59.96654836  109.92462274   19.97315582]"
"[ 129.90644779   49.98094112   29.97042812   29.97958536   39.94911145
    9.98096085   19.97248702   29.98172936   69.97937024   39.98176419
   49.97841842  109.94283206   79.96965555]","[  99.91667834   79.96627921   29.95837771    0.           39.98609218
   39.9528408    59.98259516   19.97357285  149.95391078  169.94667694
   79.95475477]","[  29.96538226   19.96157293   29.9728519    59.92447883  199.86970951
   19.98083006  249.89892549    9.98462474   29.97288438  129.96275524
   99.93438627    9.98079165  159.95559   ]","[   9.98394382   29.97061643  139.9409307   119.96102663   29.96033965
   19.99193628  129.96425564   19.97178269   79.95297746   69.983982
   29.97401485  189.88773686   19.96836666]","[ 119.95093804  129.90689308   59.96536242   49.96982496    0.
  219.92720591   59.95507961   29.9732396    19.97697338   79.95586518
   19.97524761   59.92318279  149.90857432]"
"[ 39.97607373   0.          49.95945699  39.95218173  89.91010203   0.
  19.98059835  49.94756703  49.95780883  49.98684686  39.96715913
  79.97169862  89.90116014]","[  59.93654694  119.94127684   29.96900965   19.97430698   69.92571642
  139.96097866   19.97053277   49.94734064  109.93521198   89.96742385
   49.95447269   79.94460731   89.92545204]","[  89.95429143  479.7360896   229.92076191  209.89646124   69.93832886
  269.89934261   59.97780856  199.92671203   19.96688645  189.92229727
   29.98264382   49.97642667  219.92128804]","[  59.97859315   19.9867737    69.9695238   159.89814706   99.93543439
   49.94464776   19.96176433   39.98799251   29.99011858   39.97579125
    0.           19.97238091   89.96981348]","[  79.93157081   59.91411117    0.           59.96736589   19.98743197
  149.93764504   39.9675092    79.89230207   79.9519912    59.97365866
   79.93561558   79.94751661]"
"[   9.98411013    9.98209869   29.97199052   39.9629773   109.97266597
   39.95877778   69.96886827   39.97193201   49.97514585   69.98183776
   19.96804905   39.95678233   19.96811471]","[  59.98004161   79.95876067   49.98761935   29.95341609   99.93892264
   49.96382723  129.93822405   29.9593196   109.94883579   19.96254092
    9.98600268   49.98281655  139.91919973]","[  39.96140545  219.90023358  289.88543668   59.96709727  239.89381839
   79.9742386   189.90883672  189.93785359   89.96793867   99.92268685
   29.96903797  159.90209852   49.94346944]","[  59.98312685  139.89238296   49.94954358   19.96833123   69.95195219
   39.94284637    9.98684346  119.90367118   89.97190993   89.96168071
   29.96093746   79.95127176  109.95396897]","[  39.95955658   89.87315178  129.90754084  149.97101196   89.93947947
   19.96553349   29.97886552   39.98587149   69.97729827  339.88468817
    0.           79.9572488   139.94219375]"
"[  19.98050022   39.96109059   29.98676929   79.96564392   59.92403396
  129.88871782   99.94097314   29.98166578   79.95254411   39.97347002
   19.98032493   49.96723403   89.96185979]","[ 289.89529984   59.9648205    49.91648545   29.97051662  389.85035726
   49.96827332   69.96838537  109.96347649  109.83769517  179.91770332
  169.96728688   29.97019436  139.93793336]","[   0.          109.95242497    9.98322351  129.92597704  139.91767964
   79.95967963  259.87742993   99.93030684  259.87853199   59.96113747
   39.96263389   29.95783331  149.81733505]","[ 119.94804008  179.92561954    9.98372238   59.94666908   49.9771101
   29.95915569   29.96287934   79.97523329  129.97474594   39.98048661
   49.97370322   79.96908753  119.95668468]","[ 289.89965208   69.91381685   39.96059662  119.93706771   29.9593319
   29.96062481    9.98197589   49.92987538  259.8645085   189.90101148
   89.97373507   69.95564712  319.73240261]"
"[  79.96804983  149.9054126    59.98409326   79.90649632   89.93072662
    9.98916976   39.97465474   79.94953938  129.94746819  109.94488245
   49.97242974  129.96727503  119.94467091]","[ 119.93708735    9.98424983   39.98713819  169.86493574  139.88124825
   89.92197411   69.91152317   59.93921317   59.91792942  119.95530698
  179.88932391   29.98744661   39.96983556]","[ 249.91746045  199.93392625   59.92877581   39.98396964  159.83997557
  169.90969252   59.95162435  129.87757982   79.97108337  129.96354861
  219.94087239  199.88292708   69.96021842]","[  29.96235696   19.96797157  149.93387703   19.97871057   69.96795252
   39.96670141   89.92406618   59.9566054    79.96706973   89.9378264
   59.9622584    89.93640076  139.8880719 ]","[  69.94019941   79.96157786  139.94957662  179.91626365  289.84316479
   19.9694829   249.79412413   69.95100731  109.90640048   99.87269395
  139.95588488   29.95568141   89.96786857]"
"[  9.98427773  29.97108983  39.95906912  59.97528701  39.97951796
  49.97210788  19.98107809  49.97725306  89.9602987   59.96498047
  99.8717804   19.97840475  89.96608997]","[ 299.86446884   59.91219896   59.92951785   99.95403768  189.91594531
   29.97102361   19.96980599    9.98322396  159.93388276  119.91271915
  289.81947948]","[  59.95426829  409.80775952   39.93874229  209.89002196   79.9459994
   49.94304718  119.93168587  229.93063314  179.95573633  259.85136471
  119.94565758  209.86452669  149.96856013]","[  29.98159061   19.98596583  119.96243309   59.96676455   89.93646281
   59.96337785   49.92863099   19.98256636   69.95745478   89.96363015
  119.86093531   29.96524211]","[   9.98441368   39.92385682    9.98016834   19.97476798   49.94376375
    9.98855538   19.97605889  129.88443267  159.80154557   39.9332161
   59.95734925   89.96922396]"
"[  99.86844081   19.96840452  119.88931837   19.9815435    49.98026718
  179.83684871   49.97348138   69.9525426    79.95462085  139.91756245
   79.9519119    39.9640338 ]","[ 149.91320467  109.94985538   89.8873476    79.95263364   19.97490647
   59.92301503   59.90690813   99.94618016  199.88329862   89.91823715
   99.8632601   109.96563471   29.94907684]","[ 149.89295152   49.9650092    69.94830574   19.96940483  119.90061381
   19.97107858   99.84390442   89.93551756   29.95105182  189.86087773
  119.92025984   69.97947811  159.91907637]","[ 189.92719408  139.93846046   29.95496263  139.9451272    69.97513347
   59.94208112   49.95049214  119.95619305  109.95917274   19.97043439
   39.95628427   49.96939734]","[  59.96273945   49.97971448   79.92061655   99.89779779   39.98061836
   59.90100336  119.91746603   49.95315607   89.92465367   49.96566056
   59.91947657   19.96224815   19.97150189]"
"[  89.96337557   89.95866824   19.96785929   59.97485537    9.98681838
  119.90068615   99.92022777   49.98224882  199.8068044    29.97050753
  149.95145071   59.9696928   259.820805  ]","[ 149.9468938    89.90307869  189.80383246  149.90821861  109.93893953
   89.91289388   79.93313154  289.93236528  129.87734003   79.97311136
   69.91245909   59.96987203  129.85104929]","[   0.          199.94811376   99.95031392   39.94477227   79.92019055
  169.90973225  159.92582791  139.86637399  149.96658313  149.91267634
  109.95540347   19.97517263   99.90005515]","[ 119.90500072   69.95327007    9.98222807   59.95587191   29.97495636
   99.90836399   49.95422879   49.97761633   99.97644285  209.92832522
   49.9606044    89.95199728   29.97352862]","[  79.95897689   79.96708557   49.96001745  229.92426444   59.97747283
  309.842148      9.98079214   79.93479565  199.88516599  179.92342464
    9.98202283   39.95120111  229.8378376 ]"
"[ 209.8679364    59.93813282    0.           29.95095533   79.95074922
   49.975082     89.94368383   59.96547515  319.853237    149.83542079
   49.94520716   69.96138825   49.94520716]","[  79.95637228   49.971478     39.97583873  179.94252229  199.92810122
   39.96980769   89.94827977  249.9016207    19.97462008  219.94662416
  239.91501413  229.87249682  279.90891979]","[  39.9473964    79.89261278   59.95900864   49.93865759   19.97401766
  149.94393646  139.87959401    9.98501437    0.          179.8699397
   79.93464248   19.96039058  219.92127074]","[ 109.9302992    39.9552908     0.          399.79937403  219.82697528
  139.8098993   239.90845611   89.95507116   49.95496273   69.9215305
   99.91232502  199.90625698  219.88052625]","[  89.96086476  329.79883777   99.93025168  129.95753046    0.           59.9696764
  379.8850113   339.86635338  369.81310776  109.92103674   39.96308992
  109.87031117   89.91686917]"
